ticker,name,Type
ACB,Ngân hàng Thương mại Cổ phần Á Châu,VN30
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,VN30
BVH,Tập đoàn Bảo Việt,VN30
CTG,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,VN30
FPT,Công ty Cổ phần FPT,VN30
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,VN30
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,VN30
HDB,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,VN30
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,VN30
KDH,Công ty Cổ phần Đầu tư và Kinh doanh Nhà Khang Điền,VN30
MBB,Ngân hàng Thương mại Cổ phần Quân Đội,VN30
MSN,Công ty Cổ phần Tập đoàn MaSan,VN30
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,VN30
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,VN30
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,VN30
PLX,Tập đoàn Xăng dầu Việt Nam,VN30
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,VN30
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,VN30
SAB,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Sài Gòn,VN30
SSI,Công ty Cổ phần Chứng khoán SSI,VN30
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,VN30
TCB,Ngân hàng TMCP Kỹ Thương Việt Nam,VN30
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,VN30
VCB,Ngân hàng TMCP Ngoại Thương Việt Nam,VN30
VHM,Công ty Cổ phần Vinhomes,VN30
VIC,Tập đoàn Vingroup - Công ty Cổ phần,VN30
VJC,Công ty Cổ phần Hàng không VietJet,VN30
VNM,Công ty Cổ phần Sữa Việt Nam,VN30
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,VN30
VRE,Công ty Cổ phần Vincom Retail,VN30
AAA,Công ty Cổ phần Nhựa An Phát Xanh,VNMID
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,VNMID
ANV,Công ty Cổ phần Nam Việt,VNMID
