name,date,open,high,low,close,volume,adj_close
SSI,2020-02-10,17.9,18.05,17.0,17.75,10961430,17.75
SSI,2020-01-10,17.1,18.0,17.0,17.8,10321030,17.8
SSI,2020-09-30,16.75,17.0,16.6,16.95,4432160,16.95
SSI,2020-09-29,17.1,17.15,16.7,16.75,6122220,16.75
SSI,2020-09-28,16.55,16.95,16.55,16.9,5215260,16.9
SSI,2020-09-25,16.6,16.65,16.25,16.45,7290520,16.45
SSI,2020-09-24,16.6,16.8,16.5,16.55,4564860,16.55
SSI,2020-09-23,16.55,16.8,16.55,16.7,5699700,16.7
SSI,2020-09-22,16.35,16.6,16.35,16.55,6821140,16.55
SSI,2020-09-21,16.45,16.75,16.35,16.5,8122870,16.5
SSI,2020-09-18,16.0,16.45,15.95,16.3,7903190,16.3
SSI,2020-09-17,15.95,16.05,15.8,16.0,6000380,16.0
SSI,2020-09-16,15.8,16.1,15.8,15.9,3807390,15.9
SSI,2020-09-15,15.8,16.15,15.75,15.8,7005050,15.8
SSI,2020-09-14,15.85,15.9,15.65,15.75,4644580,15.75
SSI,2020-11-09,15.85,15.95,15.7,15.75,4402790,15.75
SSI,2020-10-09,15.95,16.15,15.85,15.85,8787650,15.85
SSI,2020-09-09,15.5,15.9,15.45,15.85,7044490,15.85
SSI,2020-08-09,15.45,15.8,15.3,15.8,6831470,15.8
SSI,2020-07-09,15.5,15.85,15.3,15.35,9582630,15.35
SSI,2020-03-09,15.35,15.35,15.1,15.25,4876180,15.25
SSI,2020-01-09,14.85,15.1,14.8,15.1,3449300,15.1
