name,date,open,high,low,close,volume,adj_close
ACB,2020-10-22,25.2,25.3,26.0,25.6,9447256,25.6
ACB,2020-10-21,25.3,25.4,25.6,25.2,8869815,25.2
ACB,2020-10-20,25.3,25.4,25.6,25.3,11362976,25.3
ACB,2020-10-19,24.7,25.0,25.7,25.3,14160428,25.3
ACB,2020-10-16,24.5,24.5,25.0,24.7,8719031,24.7
ACB,2020-10-15,24.0,24.0,24.8,24.5,16349453,24.5
ACB,2020-10-14,23.4,23.5,24.1,24.0,20294474,24.0
ACB,2020-10-13,23.3,23.4,23.4,23.4,5325101,23.4
ACB,2020-10-12,23.5,23.7,23.8,23.3,8648083,23.3
ACB,2020-10-09,23.2,23.2,23.8,23.5,8725441,23.5
ACB,2020-10-08,23.4,23.2,23.7,23.2,13901830,23.2
ACB,2020-10-07,24.0,24.0,24.1,23.4,17695173,23.4
ACB,2020-10-06,23.6,23.6,24.2,24.0,10977492,24.0
ACB,2020-10-05,23.0,23.0,23.6,23.6,12891936,23.6
ACB,2020-10-02,22.5,22.4,23.5,23.0,23518516,23.0
ACB,2020-10-01,22.5,22.3,22.8,22.5,6510267,22.5
ACB,2020-09-30,22.4,22.4,22.5,22.5,3624221,22.5
ACB,2020-09-29,22.6,22.7,22.8,22.4,5923046,22.4
ACB,2020-09-28,22.2,22.2,22.8,22.6,8207740,22.6
ACB,2020-09-25,22.2,22.2,22.4,22.2,6416344,22.2
ACB,2020-09-03,21.1,21.1,21.4,21.2,6080561,21.2
ACB,2020-09-01,21.2,21.2,21.3,21.1,7822064,21.1
ACB,2020-08-31,21.4,21.4,21.5,21.2,7008237,21.2
ACB,2020-08-28,21.5,21.6,21.8,21.4,6947593,21.4
ACB,2020-08-27,21.2,21.2,21.5,21.5,4863627,21.5
ACB,2020-08-26,21.1,21.1,21.3,21.2,6018699,21.2
ACB,2020-08-25,21.0,21.0,21.2,21.1,7801079,21.1
ACB,2020-08-24,21.2,21.2,21.5,21.0,6821518,21.0
ACB,2020-08-21,20.8,20.8,21.2,21.2,7392791,21.2
ACB,2020-08-20,19.7,20.6,21.2,20.8,19475136,20.8
ACB,2020-08-19,25.6,25.7,25.8,25.6,9263369,19.7
ACB,2020-08-18,25.8,26.0,26.1,25.6,4710796,19.7
ACB,2020-08-17,25.3,25.3,25.8,25.8,6222301,19.85
ACB,2020-08-14,25.5,25.5,25.5,25.3,6682494,19.47
ACB,2020-08-13,25.4,25.4,25.6,25.5,3803166,19.62
ACB,2020-08-12,25.4,25.8,25.9,25.4,6091725,19.55
ACB,2020-08-11,23.8,24.0,25.4,25.4,15333430,19.55
ACB,2020-08-10,23.7,23.7,24.1,23.8,2576760,18.31
ACB,2020-08-07,23.8,23.9,24.1,23.7,2150978,18.24
ACB,2020-08-06,24.0,24.1,24.1,23.8,1874899,18.31
ACB,2020-08-05,23.7,23.9,24.4,24.0,5472736,18.47
ACB,2020-08-04,23.2,23.3,23.9,23.7,2907562,18.24
ACB,2020-08-03,22.5,22.1,23.2,23.2,3044620,17.85
ACB,2020-07-31,22.6,22.7,22.7,22.5,2220749,17.31
ACB,2020-07-30,22.2,21.7,22.6,22.6,1914488,17.39
ACB,2020-07-29,22.9,22.7,22.8,22.2,4929532,17.08
ACB,2020-07-28,21.8,21.8,22.9,22.9,2598740,17.62
ACB,2020-07-27,23.2,20.9,22.9,21.8,6240477,16.78
ACB,2020-07-24,24.2,24.3,24.3,23.2,5532575,17.85
ACB,2020-07-23,24.4,24.4,24.4,24.2,1955757,18.62
ACB,2020-07-22,24.6,24.6,24.8,24.4,1726317,18.78
ACB,2020-07-21,24.5,24.5,24.6,24.6,2194410,18.93
ACB,2020-07-20,24.8,24.8,24.9,24.5,2622350,18.85
ACB,2020-07-17,24.0,24.1,25.0,24.8,7890281,19.08
ACB,2020-07-16,24.0,24.2,24.2,24.0,903322,18.47
ACB,2020-07-15,24.0,24.2,24.2,24.0,1570073,18.47
ACB,2020-07-14,23.9,23.9,24.1,24.0,1406915,18.47
ACB,2020-07-13,24.0,24.1,24.2,23.9,1840084,18.39
ACB,2020-07-10,24.3,24.3,24.4,24.0,2284971,18.47
ACB,2020-07-09,23.9,23.9,24.3,24.3,2248695,18.7
ACB,2020-07-08,23.7,23.6,24.0,23.9,1647694,18.39
ACB,2020-07-07,23.6,23.7,24.0,23.7,2389942,18.24
ACB,2020-07-06,23.0,23.0,23.7,23.6,3204367,18.16
ACB,2020-07-03,23.1,23.2,23.3,23.0,1271360,17.7
ACB,2020-07-02,23.2,23.2,23.4,23.1,1070089,17.78
ACB,2020-07-01,22.8,22.8,23.3,23.2,1676001,17.85
ACB,2020-06-30,22.9,23.0,23.3,22.8,3585625,17.54
ACB,2020-06-29,23.6,23.6,23.6,22.9,4353272,17.62
ACB,2020-06-26,23.7,23.8,24.0,23.6,1400341,18.16
ACB,2020-06-25,23.8,23.7,23.8,23.7,2500893,18.24
ACB,2020-06-24,24.0,24.0,24.3,23.8,3013466,18.31
ACB,2020-06-23,24.1,24.2,24.4,24.0,3282364,18.47
ACB,2020-06-22,24.4,24.4,24.7,24.1,2256643,18.55
ACB,2020-06-19,23.8,23.8,24.5,24.4,2334941,18.78
ACB,2020-06-18,23.7,23.7,23.9,23.8,1301526,18.31
ACB,2020-06-17,23.8,24.3,24.3,23.7,1599340,18.24
ACB,2020-06-16,23.3,23.6,24.2,23.8,4198360,18.31
ACB,2020-06-15,24.5,24.7,24.7,23.3,5885937,17.93
ACB,2020-06-12,24.5,24.0,24.5,24.5,6648375,18.85
ACB,2020-06-11,25.6,25.6,25.8,24.5,9172138,18.85
ACB,2020-06-10,25.5,25.5,25.9,25.6,6494275,19.7
ACB,2020-06-09,25.4,25.5,25.6,25.5,3531851,19.62
ACB,2020-06-08,25.2,25.2,26.0,25.4,6087882,19.55
ACB,2020-06-05,25.3,25.4,25.4,25.2,4025847,19.39
ACB,2020-06-04,25.5,25.6,25.7,25.3,5159832,19.47
ACB,2020-06-03,24.8,24.8,25.5,25.5,3758964,19.62
ACB,2020-06-02,25.1,25.5,26.5,24.8,10935462,19.08
ACB,2020-06-01,22.9,23.0,25.1,25.1,13859688,19.31
ACB,2020-05-29,22.9,22.9,23.0,22.9,2394358,17.62
ACB,2020-05-28,22.8,22.8,23.2,22.9,3568932,17.62
ACB,2020-05-27,23.3,23.5,23.7,22.8,6389497,17.54
ACB,2020-05-26,22.6,22.5,23.5,23.3,5267006,17.93
ACB,2020-05-25,22.4,22.5,22.7,22.6,3519682,17.39
ACB,2020-05-22,22.4,22.5,22.7,22.4,4841440,17.24
ACB,2020-05-21,22.2,22.2,22.7,22.4,4622625,17.24
ACB,2020-05-20,22.2,22.1,22.4,22.2,3116422,17.08
ACB,2020-05-19,21.8,22.0,22.5,22.2,5561531,17.08
ACB,2020-05-18,21.7,21.9,21.9,21.8,2771622,16.78
ACB,2020-05-15,21.4,21.5,22.2,21.7,6937907,16.7
ACB,2020-05-14,21.7,21.7,21.8,21.4,3827622,16.47
ACB,2020-05-13,21.8,22.0,22.0,21.7,3453900,16.7
ACB,2020-05-12,21.7,21.7,22.0,21.8,4057939,16.78
ACB,2020-05-11,21.4,21.9,21.9,21.7,4108808,16.7
ACB,2020-05-08,21.2,21.3,21.9,21.4,5995918,16.47
ACB,2020-05-07,20.8,20.9,21.2,21.2,2973997,16.31
ACB,2020-05-06,20.3,20.4,21.2,20.8,4453036,16.01
ACB,2020-05-05,20.3,20.2,20.4,20.3,1126770,15.62
ACB,2020-05-04,20.5,20.5,20.5,20.3,1193939,15.62
ACB,2020-04-29,20.3,20.3,20.5,20.5,1196049,15.77
ACB,2020-04-28,20.1,20.1,20.4,20.3,1246915,15.62
ACB,2020-04-27,20.3,20.3,20.6,20.1,1806851,15.47
ACB,2020-04-24,20.3,20.2,20.4,20.3,1264729,15.62
ACB,2020-04-23,20.4,20.5,20.8,20.3,2076603,15.62
ACB,2020-04-22,19.8,19.8,20.4,20.4,2637424,15.7
ACB,2020-04-21,20.7,20.6,20.6,19.8,6015799,15.24
ACB,2020-04-20,21.0,21.2,21.2,20.7,3064104,15.93
ACB,2020-04-17,20.4,20.5,21.1,21.0,4809341,16.16
ACB,2020-04-16,20.2,20.2,20.4,20.4,1895213,15.7
ACB,2020-04-15,20.0,20.0,20.7,20.2,3686239,15.54
ACB,2020-04-14,20.0,20.0,20.2,20.0,3167293,15.39
ACB,2020-04-13,19.8,17.9,20.4,20.0,1926793,15.39
ACB,2020-04-10,20.0,19.0,20.2,19.8,2517477,15.24
ACB,2020-04-09,20.2,22.2,22.2,20.0,4068966,15.39
ACB,2020-04-08,20.3,22.3,22.3,20.2,2331536,15.54
ACB,2020-04-07,20.6,21.0,21.0,20.3,4467621,15.62
