name,date,open,high,low,close,volume,adj_close
BMP,2020-10-16,55.0,55.0,54.2,54.4,79050,54.4
BMP,2020-10-15,54.0,54.5,53.3,54.2,289680,54.2
BMP,2020-10-14,55.3,55.5,53.9,54.0,379640,54.0
BMP,2020-10-13,55.0,55.7,55.0,55.4,103670,55.4
BMP,2020-10-12,57.0,57.0,55.0,55.2,419580,55.2
BMP,2020-10-09,57.0,58.0,56.5,56.9,146160,56.9
BMP,2020-10-08,57.4,57.7,56.4,57.1,294340,57.1
BMP,2020-10-07,57.7,59.5,57.4,57.4,341930,57.4
BMP,2020-10-06,62.0,62.2,61.4,61.4,342250,58.56
BMP,2020-10-05,62.0,62.2,61.7,61.9,288820,59.03
BMP,2020-10-02,61.9,62.3,61.2,61.8,167530,58.94
BMP,2020-10-01,61.8,62.7,61.2,62.2,255450,59.32
BMP,2020-09-30,60.0,60.9,59.3,60.9,135730,58.08
BMP,2020-09-29,61.0,61.0,59.0,59.3,178380,56.55
BMP,2020-09-28,61.0,61.0,60.1,60.5,86700,57.7
BMP,2020-09-25,60.8,61.3,60.0,60.2,108340,57.41
BMP,2020-09-24,59.9,60.4,59.9,60.2,128010,57.41
BMP,2020-09-23,60.7,60.7,60.2,60.2,141300,57.41
BMP,2020-09-22,60.9,61.3,60.3,60.4,106680,57.6
BMP,2020-09-21,62.0,62.0,61.0,61.0,216230,58.18
BMP,2020-09-10,56.7,56.9,56.3,56.3,156190,53.69
BMP,2020-09-09,55.3,57.0,55.2,56.5,167060,53.88
BMP,2020-09-08,55.0,55.9,54.5,55.3,145060,52.74
BMP,2020-09-07,57.0,57.0,55.0,55.0,164720,52.45
BMP,2020-09-04,55.5,56.7,55.5,56.4,57060,53.79
BMP,2020-09-03,56.9,57.4,56.5,56.7,51990,54.07
BMP,2020-09-01,55.8,57.0,55.8,56.9,71260,54.27
BMP,2020-08-31,56.5,57.5,56.0,56.0,193340,53.41
BMP,2020-08-28,57.0,57.8,57.0,57.3,97310,54.65
BMP,2020-08-27,57.0,58.0,56.9,57.0,79480,54.36
BMP,2020-08-26,57.1,57.4,55.5,57.0,94430,54.36
BMP,2020-08-25,57.8,57.8,56.8,57.1,153480,54.46
BMP,2020-08-24,58.0,58.0,57.2,57.8,182700,55.12
BMP,2020-08-21,55.3,57.2,55.2,57.2,372050,54.55
BMP,2020-08-20,54.0,55.4,53.7,55.3,231440,52.74
BMP,2020-08-19,54.0,54.2,53.8,54.1,73430,51.6
BMP,2020-08-18,54.8,54.9,54.0,54.0,256520,51.5
BMP,2020-08-17,54.3,54.3,51.4,54.3,401720,51.79
BMP,2020-08-14,52.0,52.0,51.5,51.7,89060,49.31
BMP,2020-08-13,51.7,52.0,51.0,51.9,137830,49.5
BMP,2020-08-12,51.7,52.3,51.5,51.7,133180,49.31
BMP,2020-08-11,52.5,52.5,51.5,51.7,149890,49.31
BMP,2020-08-10,52.4,52.4,51.9,51.9,119340,49.5
BMP,2020-08-07,51.0,52.3,51.0,51.9,177720,49.5
BMP,2020-08-06,51.5,52.3,51.0,51.3,108400,48.92
BMP,2020-08-05,50.6,52.7,50.1,51.5,192070,49.12
BMP,2020-08-04,50.7,50.9,50.0,50.5,99480,48.16
BMP,2020-08-03,49.1,50.3,49.1,50.0,76810,47.69
BMP,2020-07-31,49.1,49.6,48.5,49.1,84080,46.83
BMP,2020-07-30,48.8,49.5,48.6,49.4,48880,47.11
BMP,2020-07-29,48.1,49.95,47.8,48.8,129070,46.54
BMP,2020-07-28,47.5,50.2,47.5,50.2,222410,47.88
BMP,2020-07-27,49.0,49.8,47.0,47.0,296010,44.82
BMP,2020-07-24,52.5,52.5,49.6,50.5,250690,48.16
BMP,2020-07-23,53.0,53.0,52.0,52.5,34380,50.07
BMP,2020-07-22,53.7,53.7,52.5,52.5,76360,50.07
BMP,2020-07-21,52.7,53.2,50.1,53.2,85000,50.74
BMP,2020-07-20,52.7,53.6,52.7,52.7,64200,50.26
BMP,2020-07-17,53.5,53.9,53.0,53.5,78260,51.02
BMP,2020-07-16,53.5,54.9,53.0,54.0,125140,50.55
BMP,2020-07-15,54.1,54.4,53.5,53.5,88440,50.08
BMP,2020-07-14,54.6,54.6,53.5,54.0,73240,50.55
BMP,2020-07-13,53.9,54.5,53.5,54.4,65940,50.92
BMP,2020-07-10,54.3,54.7,53.2,53.9,114810,50.45
BMP,2020-07-09,54.3,55.0,53.5,54.3,153170,50.83
BMP,2020-07-08,54.7,55.0,54.2,54.3,30270,50.83
BMP,2020-07-07,54.2,55.3,54.2,54.2,206340,50.73
BMP,2020-07-06,56.0,56.0,54.2,54.2,96780,50.73
BMP,2020-07-03,54.9,56.5,54.2,56.0,304740,52.42
BMP,2020-07-02,53.8,54.8,53.0,54.2,156520,50.73
BMP,2020-07-01,52.0,54.1,52.0,53.8,235710,50.36
BMP,2020-06-30,53.1,53.8,51.5,51.9,177520,48.58
BMP,2020-06-29,54.5,54.6,52.7,52.8,227710,49.42
BMP,2020-06-26,55.0,55.0,54.2,54.5,83990,51.02
BMP,2020-06-25,54.5,54.5,53.8,54.0,146540,50.55
BMP,2020-06-24,55.9,56.2,54.0,54.5,345950,51.02
BMP,2020-06-23,54.8,55.0,54.4,54.7,165240,51.2
BMP,2020-06-22,54.0,55.5,54.0,55.0,438090,51.48
BMP,2020-06-19,51.9,54.4,51.5,54.0,516910,50.55
BMP,2020-06-18,49.7,51.9,49.7,51.5,115710,48.21
BMP,2020-06-17,49.7,52.0,49.7,49.7,198010,46.52
BMP,2020-06-16,50.0,50.9,49.0,49.7,142680,46.52
BMP,2020-06-15,50.3,50.3,48.3,48.8,132470,45.68
BMP,2020-06-12,48.2,50.4,48.2,49.7,189970,46.52
BMP,2020-06-11,51.8,51.8,50.5,50.5,240840,47.27
BMP,2020-06-10,52.4,52.4,51.0,51.6,167840,48.3
BMP,2020-06-09,52.6,52.9,50.0,52.0,171350,48.67
BMP,2020-06-08,51.7,52.9,51.2,52.6,247840,49.24
BMP,2020-06-05,49.2,51.0,48.6,50.7,320190,47.46
BMP,2020-06-04,48.3,49.5,47.85,49.2,228430,46.05
BMP,2020-06-03,47.7,48.2,47.0,47.7,126500,44.65
BMP,2020-06-02,47.9,47.9,47.5,47.5,137230,44.46
BMP,2020-06-01,47.7,48.3,47.5,47.6,63140,44.56
BMP,2020-05-29,47.8,48.15,47.1,47.7,121860,44.65
BMP,2020-05-28,48.0,48.5,47.5,47.8,81520,44.74
BMP,2020-05-27,48.6,48.75,48.35,48.35,129930,45.26
BMP,2020-05-26,47.0,48.8,46.8,48.6,274890,45.49
BMP,2020-05-25,46.95,47.0,46.25,47.0,266330,43.99
BMP,2020-05-22,47.0,47.0,46.5,46.75,401390,43.76
BMP,2020-05-21,47.0,47.0,46.5,46.55,302050,43.57
BMP,2020-05-20,46.5,47.6,46.5,46.8,258980,43.81
BMP,2020-05-19,47.0,47.45,46.8,46.8,219260,43.81
BMP,2020-05-18,45.7,46.75,45.7,46.75,137190,43.76
BMP,2020-05-15,46.8,46.9,46.05,46.45,170440,43.48
BMP,2020-05-14,47.5,47.95,46.8,46.8,206250,43.81
BMP,2020-05-13,46.8,48.5,46.6,47.5,209500,44.46
BMP,2020-05-12,45.0,47.0,45.0,47.0,392600,43.99
BMP,2020-05-11,45.0,45.5,44.1,45.0,136950,42.12
BMP,2020-05-08,44.3,45.0,44.2,44.55,401010,41.7
BMP,2020-05-07,44.9,44.9,44.3,44.5,217340,41.65
BMP,2020-05-06,44.25,45.2,44.25,44.35,165050,41.51
BMP,2020-05-05,44.1,45.1,44.1,45.0,130080,42.12
