name,date,open,high,low,close,volume,adj_close
CRE,2020-10-16,24.2,24.45,24.0,24.15,939430,24.15
CRE,2020-10-15,24.4,24.9,24.05,24.2,1140690,24.2
CRE,2020-10-14,24.0,24.4,23.75,24.35,1315890,24.35
CRE,2020-10-13,22.85,23.95,22.5,23.95,1799020,23.95
CRE,2020-10-12,22.55,23.1,22.55,22.8,1161970,22.8
CRE,2020-10-09,22.1,22.7,21.8,22.55,1432950,22.55
CRE,2020-10-08,22.2,22.2,21.75,22.0,877720,22.0
CRE,2020-10-07,22.2,22.4,22.1,22.2,946890,22.2
CRE,2020-10-06,22.5,22.5,22.0,22.15,1136930,22.15
CRE,2020-10-05,21.7,22.5,21.6,22.4,1196530,22.4
CRE,2020-10-02,21.7,22.4,21.45,21.8,1387410,21.8
CRE,2020-10-01,22.35,22.4,21.55,21.8,1358640,21.8
CRE,2020-09-30,21.3,22.45,21.25,22.45,1499800,22.45
CRE,2020-09-29,20.6,21.6,20.6,21.0,1582440,21.0
CRE,2020-09-28,20.9,20.9,20.5,20.75,1911080,20.75
CRE,2020-09-25,22.85,23.2,21.5,22.0,1306800,21.0
CRE,2020-09-24,23.15,23.2,22.8,22.8,885670,21.76
CRE,2020-09-23,24.35,24.35,23.3,23.4,1241620,22.34
CRE,2020-09-22,24.15,24.45,24.0,24.3,1219550,23.19
CRE,2020-09-21,24.8,24.95,24.2,24.4,1116610,23.29
CRE,2020-09-10,22.3,23.0,21.95,22.75,1367770,21.71
CRE,2020-09-09,22.95,23.3,22.25,22.45,1134490,21.43
CRE,2020-09-08,22.8,23.1,22.7,23.05,1033380,22.0
CRE,2020-09-07,23.1,23.5,22.9,22.9,1102520,21.86
CRE,2020-09-04,23.0,23.45,22.85,23.2,1233450,22.14
CRE,2020-09-03,23.7,23.8,22.95,23.2,1580350,22.14
CRE,2020-09-01,23.5,24.0,23.25,23.7,1006010,22.62
CRE,2020-08-31,23.25,23.4,23.1,23.4,1091930,22.34
CRE,2020-08-28,24.0,24.1,23.3,23.4,1600390,22.34
CRE,2020-08-27,23.4,24.0,23.3,23.8,1393450,22.72
CRE,2020-08-26,22.0,23.4,21.85,23.1,1618500,22.05
CRE,2020-08-25,22.4,22.4,21.85,22.1,781630,21.09
CRE,2020-08-24,22.3,22.5,21.85,21.95,1099660,20.95
CRE,2020-08-21,21.45,22.4,21.4,22.1,1282850,21.09
CRE,2020-08-20,22.0,22.0,21.25,21.45,1088020,20.47
CRE,2020-08-19,20.45,21.6,20.4,21.5,1438700,20.52
CRE,2020-08-18,20.3,20.8,20.2,20.5,913500,19.57
CRE,2020-08-17,20.35,20.4,20.05,20.35,782960,19.42
CRE,2020-08-14,20.7,21.0,20.1,20.25,975390,19.33
CRE,2020-08-13,19.3,20.55,19.3,20.55,1637080,19.62
