name,date,open,high,low,close,volume,adj_close
CSM,2020-10-16,15.4,15.45,15.15,15.3,15040,15.3
CSM,2020-10-15,15.4,15.6,15.25,15.4,58490,15.4
CSM,2020-10-14,15.9,15.9,15.3,15.6,38940,15.6
CSM,2020-10-13,15.35,15.7,15.35,15.5,38890,15.5
CSM,2020-10-12,15.9,16.25,15.6,15.65,212210,15.65
CSM,2020-10-09,16.75,16.75,16.05,16.05,111770,16.05
CSM,2020-10-08,16.95,16.95,16.4,16.75,55450,16.75
CSM,2020-10-07,17.0,17.4,16.8,16.95,219830,16.95
CSM,2020-10-06,16.3,17.1,16.3,17.0,377200,17.0
CSM,2020-10-05,16.2,16.35,15.95,16.3,86350,16.3
CSM,2020-10-02,15.8,16.1,15.65,16.0,141010,16.0
CSM,2020-10-01,15.95,15.95,15.6,15.6,44360,15.6
CSM,2020-09-30,15.35,15.9,15.35,15.8,57430,15.8
CSM,2020-09-29,15.5,16.0,15.4,15.5,46810,15.5
CSM,2020-09-28,15.7,15.7,15.4,15.5,11320,15.5
CSM,2020-09-25,15.6,15.7,15.5,15.7,35830,15.7
CSM,2020-09-24,15.55,15.85,15.55,15.8,12680,15.8
CSM,2020-09-23,15.85,15.9,15.8,15.8,76940,15.8
CSM,2020-09-22,15.85,15.9,15.85,15.9,22140,15.9
CSM,2020-09-21,15.8,15.9,15.75,15.85,15900,15.85
CSM,2020-09-10,15.9,16.2,15.9,16.0,53030,16.0
CSM,2020-09-09,15.7,15.9,15.7,15.9,31960,15.9
CSM,2020-09-08,15.7,15.9,15.6,15.8,13700,15.8
CSM,2020-09-07,15.7,15.85,15.7,15.7,14100,15.7
CSM,2020-09-04,15.8,15.9,15.5,15.85,81800,15.85
CSM,2020-09-03,15.5,16.0,15.5,15.9,33820,15.9
CSM,2020-09-01,15.3,15.45,15.3,15.45,27500,15.45
CSM,2020-08-31,15.6,15.6,14.45,14.45,291630,14.45
CSM,2020-08-28,16.05,16.05,15.5,15.5,42730,15.5
CSM,2020-08-27,16.0,16.05,15.8,16.05,66720,16.05
CSM,2020-08-26,15.9,16.0,15.9,15.9,110520,15.9
