name,date,open,high,low,close,volume,adj_close
CTD,2020-10-16,58.0,58.4,54.1,54.4,2814930,54.4
CTD,2020-10-15,61.0,61.1,58.0,58.0,2464510,58.0
CTD,2020-10-14,62.5,62.5,61.1,61.3,1219040,61.3
CTD,2020-10-13,64.5,64.5,62.5,62.7,1120630,62.7
CTD,2020-10-12,62.0,64.9,61.7,64.5,2120420,64.5
CTD,2020-10-09,62.1,62.9,60.2,61.4,1914890,61.4
CTD,2020-10-08,60.5,64.1,60.5,61.1,3504770,61.1
CTD,2020-10-07,63.3,64.0,60.5,60.5,2791470,60.5
CTD,2020-10-06,66.5,66.8,64.5,64.5,2864590,64.5
CTD,2020-10-05,68.5,68.8,67.0,67.0,954110,67.0
CTD,2020-10-02,68.6,69.0,67.0,68.7,774660,68.7
CTD,2020-10-01,69.2,70.0,68.0,69.0,554170,69.0
CTD,2020-09-30,67.0,69.3,64.8,69.2,1381300,69.2
CTD,2020-09-29,69.0,69.0,67.0,67.0,1411470,67.0
CTD,2020-09-28,71.6,72.0,68.1,69.2,1543740,69.2
CTD,2020-09-25,73.0,73.5,71.0,71.3,1153660,71.3
CTD,2020-09-24,73.1,73.5,72.7,72.9,419780,72.9
CTD,2020-09-23,72.8,73.8,72.7,73.1,418760,73.1
CTD,2020-09-22,73.5,73.5,72.3,72.7,453490,72.7
CTD,2020-09-21,73.7,73.8,73.3,73.6,568940,73.6
CTD,2020-09-10,73.7,74.3,73.3,73.8,381410,73.8
CTD,2020-09-09,72.7,74.1,72.6,73.3,439130,73.3
CTD,2020-09-08,74.7,74.7,72.7,73.1,1061900,73.1
CTD,2020-09-07,76.1,76.3,74.3,74.3,719300,74.3
CTD,2020-09-04,74.5,77.0,74.5,75.3,560630,75.3
CTD,2020-09-03,75.7,75.7,74.6,75.2,612210,75.2
CTD,2020-09-01,76.0,76.0,75.0,75.0,875370,75.0
CTD,2020-08-31,77.5,78.0,76.1,76.2,758910,76.2
CTD,2020-08-28,77.9,78.9,76.7,77.5,818180,77.5
CTD,2020-08-27,80.1,81.0,79.0,79.5,700190,76.5
CTD,2020-08-26,81.5,81.6,80.0,80.4,712210,77.37
CTD,2020-08-25,80.0,82.3,79.2,81.7,1058980,78.62
CTD,2020-08-24,78.9,80.3,78.2,79.9,939500,76.89
