name,date,open,high,low,close,volume,adj_close
DPG,2020-10-16,26.8,27.0,26.4,26.7,308060,26.7
DPG,2020-10-15,27.6,27.7,27.0,27.0,226870,27.0
DPG,2020-10-14,28.05,28.15,27.55,27.6,244050,27.6
DPG,2020-10-13,26.6,28.2,25.5,28.1,590260,28.1
DPG,2020-10-12,27.75,28.0,26.6,26.7,670250,26.7
DPG,2020-10-09,28.65,28.75,27.0,27.75,604440,27.75
DPG,2020-10-08,28.85,29.15,28.4,28.65,396270,28.65
DPG,2020-10-07,28.75,29.5,28.7,28.85,550960,28.85
DPG,2020-10-06,29.5,29.9,28.9,29.05,727510,29.05
DPG,2020-10-05,29.2,29.7,28.8,29.6,501940,29.6
DPG,2020-10-02,30.0,30.0,27.2,29.2,805670,29.2
DPG,2020-10-01,27.7,29.2,27.6,29.2,1299170,29.2
DPG,2020-09-30,26.8,27.45,26.8,27.3,692640,27.3
DPG,2020-09-29,27.4,27.5,26.8,26.8,439250,26.8
DPG,2020-09-28,26.2,27.4,25.9,27.35,894420,27.35
DPG,2020-09-25,25.6,26.05,25.5,25.75,400750,25.75
DPG,2020-09-24,26.0,26.4,25.5,25.5,367890,25.5
DPG,2020-09-23,25.6,26.7,25.6,26.1,538970,26.1
DPG,2020-09-22,25.9,25.95,25.35,25.7,394300,25.7
DPG,2020-09-21,25.9,26.6,25.9,25.9,667470,25.9
DPG,2020-09-10,23.05,23.1,22.65,22.7,199540,22.7
DPG,2020-09-09,22.1,22.9,22.0,22.8,217120,22.8
DPG,2020-09-08,22.15,22.35,22.1,22.15,189040,22.15
DPG,2020-09-07,22.4,22.5,22.25,22.25,132030,22.25
DPG,2020-09-04,22.2,22.5,22.05,22.4,304740,22.4
DPG,2020-09-03,23.05,23.05,22.5,22.5,228820,22.5
DPG,2020-09-01,22.65,22.75,22.4,22.7,144290,22.7
DPG,2020-08-31,23.4,23.4,22.6,22.65,299400,22.65
DPG,2020-08-28,22.3,23.4,22.3,22.85,631090,22.85
DPG,2020-08-27,22.15,22.5,22.15,22.25,135920,22.25
DPG,2020-08-26,22.15,22.3,21.9,22.0,241090,22.0
DPG,2020-08-25,22.55,22.65,22.1,22.1,314340,22.1
DPG,2020-08-24,22.5,22.8,22.35,22.55,201770,22.55
DPG,2020-08-21,22.2,22.55,22.2,22.35,212940,22.35
DPG,2020-08-20,21.85,22.4,21.8,22.2,362410,22.2
DPG,2020-08-19,21.7,22.0,21.7,21.85,195160,21.85
DPG,2020-08-18,22.2,22.2,21.8,21.8,169360,21.8
DPG,2020-08-17,22.2,22.6,21.85,22.2,304430,22.2
DPG,2020-08-14,21.0,22.15,21.0,21.85,550780,21.85
DPG,2020-08-13,20.8,21.05,20.8,20.95,131170,20.95
DPG,2020-08-12,21.3,21.3,20.75,20.85,91150,20.85
DPG,2020-08-11,21.0,21.25,20.9,21.0,167770,21.0
DPG,2020-08-10,20.4,21.3,20.4,20.9,183300,20.9
DPG,2020-08-07,20.7,20.7,20.3,20.4,195240,20.4
DPG,2020-08-06,21.0,21.35,20.65,20.7,195030,20.7
DPG,2020-08-05,20.6,21.2,20.45,21.05,191450,21.05
DPG,2020-08-04,20.4,20.8,20.4,20.55,169150,20.55
DPG,2020-08-03,20.2,20.2,19.75,20.1,133850,20.1
DPG,2020-07-31,19.5,20.0,19.5,19.6,153770,19.6
DPG,2020-07-30,20.0,20.1,19.6,19.9,154200,19.9
