name,date,open,high,low,close,volume,adj_close
DPR,2020-10-16,41.0,42.0,40.6,41.1,8820,41.1
DPR,2020-10-15,42.0,42.0,40.55,40.55,10890,40.55
DPR,2020-10-14,42.85,42.85,42.0,42.0,11710,42.0
DPR,2020-10-13,42.8,42.8,42.0,42.8,10530,42.8
DPR,2020-10-12,43.0,43.0,41.75,42.8,1380,42.8
DPR,2020-10-09,43.0,43.0,42.2,42.8,29260,42.8
DPR,2020-10-08,41.85,43.0,41.5,42.75,9480,42.75
DPR,2020-10-07,42.0,42.0,41.8,41.8,9070,41.8
DPR,2020-10-06,42.1,42.5,41.8,42.0,18060,42.0
DPR,2020-10-05,41.6,42.05,41.6,42.0,25600,42.0
DPR,2020-10-02,42.1,42.1,41.5,42.0,18700,42.0
DPR,2020-10-01,42.2,42.75,42.0,42.0,42570,42.0
DPR,2020-09-30,40.9,42.75,40.9,42.75,145350,42.75
DPR,2020-09-29,40.05,41.5,40.05,40.85,25950,40.85
DPR,2020-09-28,40.05,40.1,39.6,40.0,4820,40.0
DPR,2020-09-25,39.95,40.5,39.95,40.05,17420,40.05
DPR,2020-09-24,40.0,40.0,39.9,39.9,3740,39.9
DPR,2020-09-23,40.05,40.05,39.75,40.05,1040,40.05
DPR,2020-09-22,40.0,41.0,40.0,40.05,2880,40.05
DPR,2020-09-21,40.0,40.05,40.0,40.0,12500,40.0
DPR,2020-09-10,40.0,40.1,39.85,40.1,3510,40.1
DPR,2020-09-09,38.0,40.7,38.0,40.0,520,40.0
DPR,2020-09-08,40.0,40.5,40.0,40.0,7410,40.0
DPR,2020-09-07,40.9,40.9,40.0,40.0,11940,40.0
DPR,2020-09-04,41.2,41.2,40.8,40.8,2400,40.8
DPR,2020-09-03,41.5,41.5,41.0,41.2,20410,41.2
DPR,2020-09-01,40.0,42.5,40.0,41.5,58000,41.5
DPR,2020-08-31,40.5,40.5,40.0,40.0,2980,40.0
DPR,2020-08-28,40.5,40.5,40.0,40.0,10420,40.0
DPR,2020-08-27,40.5,40.6,40.5,40.5,20400,40.5
DPR,2020-08-26,39.55,40.5,39.55,40.5,1550,40.5
DPR,2020-08-25,40.7,40.7,39.5,40.6,10290,40.6
DPR,2020-08-24,38.5,41.5,38.5,40.9,63450,40.9
DPR,2020-08-21,38.8,38.9,38.8,38.8,22550,38.8
DPR,2020-08-20,38.5,38.5,38.3,38.3,1880,38.3
DPR,2020-08-19,38.5,38.9,38.2,38.9,2340,38.9
DPR,2020-08-18,38.55,38.55,38.5,38.5,710,38.5
DPR,2020-08-17,38.5,38.5,38.0,38.5,4150,38.5
DPR,2020-08-14,38.5,38.5,38.5,38.5,4800,38.5
DPR,2020-08-13,38.95,38.95,38.5,38.5,2110,38.5
DPR,2020-08-12,38.9,38.9,38.9,38.9,0,38.9
DPR,2020-08-11,39.0,39.0,38.9,38.9,1620,38.9
DPR,2020-08-10,39.0,39.5,38.5,39.0,19370,39.0
DPR,2020-08-07,39.9,39.9,38.0,39.0,12060,39.0
DPR,2020-08-06,38.2,39.5,38.2,38.2,18870,38.2
DPR,2020-08-05,38.2,38.2,38.0,38.2,25320,38.2
DPR,2020-08-04,38.1,38.1,37.55,38.0,8590,38.0
DPR,2020-08-03,38.0,38.2,37.9,38.0,14300,38.0
DPR,2020-07-31,37.0,38.2,37.0,38.2,3250,38.2
DPR,2020-07-30,38.0,38.0,37.0,37.0,14180,37.0
DPR,2020-07-29,38.7,38.7,37.2,37.4,7260,37.4
DPR,2020-07-28,37.2,38.7,37.0,38.7,7510,38.7
DPR,2020-07-27,37.8,38.0,37.8,37.8,25970,37.8
DPR,2020-07-24,39.0,39.0,38.0,38.0,6060,38.0
DPR,2020-07-23,39.0,39.0,38.9,39.0,5420,39.0
DPR,2020-07-22,38.7,39.3,38.7,39.0,240,39.0
DPR,2020-07-21,38.6,39.3,38.6,39.3,10690,39.3
DPR,2020-07-20,39.3,39.3,39.0,39.3,6350,39.3
DPR,2020-07-17,39.0,39.2,39.0,39.1,7080,39.1
DPR,2020-07-16,39.0,39.0,38.5,39.0,6100,39.0
DPR,2020-07-15,38.5,39.0,38.5,39.0,8320,39.0
DPR,2020-07-14,40.4,40.4,39.5,39.5,60,39.5
DPR,2020-07-13,38.8,38.8,38.6,38.65,12120,38.65
DPR,2020-07-10,39.8,39.8,38.6,38.6,1300,38.6
DPR,2020-07-09,38.6,38.6,38.2,38.6,3120,38.6
DPR,2020-07-08,38.1,38.9,38.1,38.4,17290,38.4
DPR,2020-07-07,38.9,38.9,38.4,38.4,5890,38.4
DPR,2020-07-06,39.0,39.0,38.1,38.9,7990,38.9
DPR,2020-07-03,39.5,39.5,39.0,39.0,160080,39.0
DPR,2020-07-02,38.6,39.5,38.25,39.1,55520,39.1
DPR,2020-07-01,39.45,39.7,39.2,39.6,21680,39.6
DPR,2020-06-30,39.4,39.6,38.6,39.2,14230,39.2
DPR,2020-06-29,38.5,39.4,38.0,38.5,11560,38.5
DPR,2020-06-26,38.95,39.85,38.95,39.5,10780,39.5
DPR,2020-06-25,39.5,39.7,39.2,39.2,18150,39.2
DPR,2020-06-24,38.4,39.55,38.4,39.5,36530,39.5
DPR,2020-06-23,38.15,38.4,38.0,38.3,9250,38.3
DPR,2020-06-22,38.3,38.3,37.95,38.2,3170,38.2
DPR,2020-06-19,38.0,38.7,38.0,38.0,17730,38.0
DPR,2020-06-18,38.3,38.7,37.4,37.65,5830,37.65
DPR,2020-06-17,38.5,38.75,38.0,38.0,9310,38.0
DPR,2020-06-16,37.5,38.65,37.5,38.5,1710,38.5
DPR,2020-06-15,38.5,38.65,38.5,38.65,27730,38.65
DPR,2020-06-12,37.0,38.5,37.0,38.5,21340,38.5
DPR,2020-06-11,38.55,38.7,38.0,38.0,32970,38.0
DPR,2020-06-10,38.5,38.6,38.2,38.2,7980,38.2
DPR,2020-06-09,38.3,38.7,38.3,38.7,35120,38.7
DPR,2020-06-08,38.0,38.45,38.0,38.45,24710,38.45
DPR,2020-06-05,38.1,38.5,36.05,38.25,11930,38.25
DPR,2020-06-04,38.15,38.5,38.15,38.15,7690,38.15
DPR,2020-06-03,38.1,38.7,38.1,38.15,7340,38.15
DPR,2020-06-02,38.8,38.9,38.1,38.1,5470,38.1
DPR,2020-06-01,38.85,38.9,38.6,38.7,3610,38.7
DPR,2020-05-29,38.55,39.0,38.1,39.0,37430,39.0
DPR,2020-05-28,38.6,38.7,38.1,38.1,26350,38.1
DPR,2020-05-27,38.0,38.7,38.0,38.1,21300,38.1
DPR,2020-05-26,37.3,38.8,36.0,38.0,21220,38.0
DPR,2020-05-25,38.0,38.4,37.2,38.0,4370,38.0
DPR,2020-05-22,37.3,38.7,37.0,38.0,35250,38.0
DPR,2020-05-21,37.5,38.0,37.0,37.0,6170,37.0
DPR,2020-05-20,37.4,37.8,37.3,37.6,18340,37.6
DPR,2020-05-19,38.0,39.5,37.15,37.15,14960,37.15
DPR,2020-05-18,37.8,37.85,37.8,37.85,590,37.85
DPR,2020-05-15,37.35,37.35,37.25,37.35,28900,37.35
DPR,2020-05-14,37.35,37.9,34.8,37.3,25720,37.3
DPR,2020-05-13,38.0,38.2,37.15,37.35,4170,37.35
DPR,2020-05-12,37.65,38.7,37.65,38.2,15600,38.2
DPR,2020-05-11,38.2,38.4,37.7,38.2,17130,38.2
DPR,2020-05-08,37.0,39.55,37.0,38.45,18950,38.45
DPR,2020-05-07,38.0,38.0,37.0,37.05,11390,37.05
DPR,2020-05-06,36.5,37.7,36.5,37.2,15550,37.2
DPR,2020-05-05,36.6,36.95,36.2,36.9,17930,36.9
DPR,2020-05-04,36.0,36.9,36.0,36.6,2060,36.6
DPR,2020-04-29,36.5,37.0,36.2,36.5,7560,36.5
DPR,2020-04-28,38.0,38.0,36.05,36.2,7410,36.2
DPR,2020-04-27,36.85,36.9,36.5,36.65,5680,36.65
DPR,2020-04-24,37.8,37.8,37.0,37.0,4980,37.0
DPR,2020-04-23,36.15,37.8,36.15,37.5,49720,37.5
DPR,2020-04-22,35.65,36.15,35.5,36.15,25430,36.15
DPR,2020-04-21,36.15,36.2,35.6,35.6,45960,35.6
DPR,2020-04-20,36.0,36.15,35.75,36.15,40320,36.15
DPR,2020-04-17,35.6,36.0,35.6,36.0,20300,36.0
DPR,2020-04-16,36.4,36.4,35.3,35.4,7210,35.4
DPR,2020-04-15,35.0,35.7,35.0,35.3,2020,35.3
DPR,2020-04-14,35.1,35.8,35.1,35.75,2180,35.75
DPR,2020-04-13,35.8,35.85,35.2,35.25,13960,35.25
DPR,2020-04-10,35.7,36.0,35.7,35.8,940,35.8
DPR,2020-04-09,35.8,35.8,35.0,35.7,8240,35.7
DPR,2020-04-08,35.3,35.3,34.8,34.8,17140,34.8
DPR,2020-04-07,35.6,35.6,35.05,35.05,10730,35.05
DPR,2020-04-06,35.0,35.7,35.0,35.6,14100,35.6
DPR,2020-04-03,33.9,34.9,33.9,34.8,6170,34.8
DPR,2020-04-01,34.5,34.5,33.5,33.8,93070,33.8
DPR,2020-03-31,34.7,34.7,34.0,34.65,31250,34.65
DPR,2020-03-30,35.8,35.8,34.6,34.65,24210,34.65
DPR,2020-03-27,35.5,36.0,35.5,36.0,1470,36.0
DPR,2020-03-26,35.0,36.0,35.0,36.0,4210,36.0
DPR,2020-03-25,36.95,36.95,35.0,35.1,5730,35.1
DPR,2020-03-24,35.3,35.35,34.6,35.1,3270,35.1
DPR,2020-03-23,34.5,36.1,34.5,35.2,13760,35.2
DPR,2020-03-20,36.0,36.1,36.0,36.1,7660,36.1
DPR,2020-03-19,36.0,36.1,35.95,36.1,3330,36.1
DPR,2020-03-18,35.9,36.25,35.6,36.25,27090,36.25
