name,date,open,high,low,close,volume,adj_close
DRC,2020-10-16,19.45,20.15,19.35,19.7,701780,19.7
DRC,2020-10-15,19.25,19.6,19.25,19.45,774620,19.45
DRC,2020-10-14,19.75,19.75,19.3,19.35,1373620,19.35
DRC,2020-10-13,19.8,19.85,19.6,19.7,595380,19.7
DRC,2020-10-12,20.4,20.4,19.7,19.7,999590,19.7
DRC,2020-10-09,20.0,20.2,19.7,20.0,768630,20.0
DRC,2020-10-08,20.25,20.45,19.9,20.0,1289900,20.0
DRC,2020-10-07,20.5,20.8,20.2,20.25,953180,20.25
DRC,2020-10-06,21.1,21.2,20.6,20.6,1448890,20.6
DRC,2020-10-05,20.5,21.4,20.5,20.85,1293770,20.85
DRC,2020-10-02,21.2,21.2,20.0,20.6,1682350,20.6
DRC,2020-10-01,21.0,21.35,20.85,21.05,850440,21.05
DRC,2020-09-30,19.7,20.95,19.6,20.95,3253920,20.95
DRC,2020-09-29,20.1,20.5,19.6,19.6,2861280,19.6
DRC,2020-09-28,19.25,19.45,19.1,19.35,553650,19.35
DRC,2020-09-25,19.35,19.4,19.05,19.15,752440,19.15
DRC,2020-09-24,19.2,19.6,19.1,19.3,792190,19.3
DRC,2020-09-23,19.15,19.5,19.15,19.2,376400,19.2
DRC,2020-09-22,19.2,19.4,19.1,19.1,998710,19.1
DRC,2020-09-21,19.6,19.7,19.35,19.4,1033250,19.4
DRC,2020-09-10,18.4,18.75,18.4,18.55,921380,18.55
DRC,2020-09-09,17.5,18.3,17.4,18.3,1775540,18.3
DRC,2020-09-08,17.4,17.7,17.35,17.6,681830,17.6
DRC,2020-09-07,17.6,17.75,17.35,17.35,618680,17.35
DRC,2020-09-04,17.3,17.5,17.2,17.45,322220,17.45
DRC,2020-09-03,17.65,17.95,17.6,17.6,692910,17.6
DRC,2020-09-01,17.0,17.55,16.95,17.55,796280,17.55
DRC,2020-08-31,17.2,17.3,16.9,17.0,519550,17.0
DRC,2020-08-28,17.2,17.4,17.05,17.2,726750,17.2
DRC,2020-08-27,17.15,17.25,17.05,17.2,291690,17.2
DRC,2020-08-26,17.25,17.5,17.15,17.15,429030,17.15
DRC,2020-08-25,16.9,17.4,16.9,17.3,1190510,17.3
DRC,2020-08-24,16.8,16.95,16.65,16.75,448230,16.75
DRC,2020-08-21,16.65,16.65,16.45,16.55,367620,16.55
DRC,2020-08-20,16.65,16.8,16.5,16.5,277490,16.5
DRC,2020-08-19,16.65,16.75,16.6,16.7,358000,16.7
DRC,2020-08-18,16.35,16.85,16.35,16.75,617130,16.75
DRC,2020-08-17,16.35,16.35,16.0,16.35,280760,16.35
DRC,2020-08-14,16.7,16.7,16.1,16.15,765610,16.15
DRC,2020-08-13,16.9,16.95,16.5,16.7,309500,16.7
DRC,2020-08-12,16.35,16.75,16.3,16.75,427840,16.75
DRC,2020-08-11,16.3,16.45,16.25,16.35,339130,16.35
DRC,2020-08-10,15.8,16.4,15.8,16.3,359080,16.3
DRC,2020-08-07,15.95,15.95,15.6,15.75,472200,15.75
DRC,2020-08-06,16.0,16.25,15.9,15.95,195470,15.95
DRC,2020-08-05,15.7,16.15,15.65,16.15,408730,16.15
DRC,2020-08-04,15.9,16.1,15.7,15.8,461110,15.8
DRC,2020-08-03,15.2,15.6,15.0,15.6,463880,15.6
DRC,2020-07-31,15.2,15.2,15.0,15.1,169250,15.1
DRC,2020-07-30,15.1,15.35,15.1,15.25,283940,15.25
DRC,2020-07-29,15.5,15.5,14.7,15.0,402550,15.0
DRC,2020-07-28,15.0,15.65,15.0,15.6,376210,15.6
DRC,2020-07-27,15.3,15.6,15.0,15.0,1015450,15.0
DRC,2020-07-24,16.85,16.95,16.0,16.1,752170,16.1
DRC,2020-07-23,17.25,17.3,16.85,16.95,520100,16.95
DRC,2020-07-22,17.45,17.55,17.3,17.3,317950,17.3
DRC,2020-07-21,17.8,17.85,17.45,17.45,383060,17.45
DRC,2020-07-20,17.85,18.05,17.8,17.85,174330,17.85
DRC,2020-07-17,17.7,18.1,17.7,17.95,194930,17.95
DRC,2020-07-16,18.3,18.5,17.5,17.7,1234310,17.7
DRC,2020-07-15,19.0,19.15,18.9,19.0,274350,18.0
DRC,2020-07-14,18.95,19.05,18.7,19.0,235430,18.0
DRC,2020-07-13,18.95,19.1,18.75,18.8,272430,17.81
DRC,2020-07-10,18.9,19.1,18.75,18.95,461380,17.95
DRC,2020-07-09,19.0,19.1,18.65,18.75,420970,17.76
DRC,2020-07-08,18.6,18.95,18.6,18.85,154400,17.86
DRC,2020-07-07,18.6,18.85,18.55,18.6,341820,17.62
DRC,2020-07-06,18.8,18.8,18.3,18.55,245610,17.57
DRC,2020-07-03,18.4,18.75,18.4,18.55,190580,17.57
DRC,2020-07-02,18.3,18.65,18.3,18.35,175960,17.38
DRC,2020-07-01,18.0,18.6,17.9,18.3,307650,17.34
DRC,2020-06-30,18.6,18.9,17.7,17.8,605100,16.86
DRC,2020-06-29,19.15,19.2,18.5,18.55,431650,17.57
DRC,2020-06-26,19.5,19.7,19.25,19.3,224400,18.28
DRC,2020-06-25,19.2,19.7,19.2,19.4,646830,18.38
DRC,2020-06-24,19.55,19.9,19.45,19.5,198470,18.47
DRC,2020-06-23,19.8,20.2,19.5,19.8,473250,18.76
DRC,2020-06-22,19.4,20.0,19.3,19.95,778320,18.9
DRC,2020-06-19,19.45,19.45,19.15,19.35,124810,18.33
DRC,2020-06-18,18.8,19.5,18.75,19.45,186040,18.43
DRC,2020-06-17,19.1,19.1,18.8,19.05,287520,18.05
DRC,2020-06-16,18.6,19.0,18.55,18.95,532880,17.95
DRC,2020-06-15,19.5,20.0,18.2,18.4,1211440,17.43
DRC,2020-06-12,19.0,19.7,19.0,19.5,751580,18.47
DRC,2020-06-11,20.9,21.4,20.0,20.0,1402310,18.95
DRC,2020-06-10,20.2,21.0,19.9,20.9,1592850,19.8
DRC,2020-06-09,19.95,20.45,19.85,20.2,1223720,19.14
DRC,2020-06-08,19.95,20.35,19.75,19.95,997750,18.9
DRC,2020-06-05,19.6,19.8,19.5,19.75,414300,18.71
DRC,2020-06-04,19.8,19.9,19.6,19.6,436820,18.57
DRC,2020-06-03,19.7,19.95,19.7,19.8,287830,18.76
DRC,2020-06-02,20.45,20.45,19.7,19.7,668710,18.66
DRC,2020-06-01,19.85,20.35,19.8,20.15,463680,19.09
DRC,2020-05-29,19.85,19.85,19.55,19.75,742080,18.71
DRC,2020-05-28,20.1,20.4,19.75,19.9,520500,18.85
DRC,2020-05-27,20.75,20.8,20.1,20.1,716030,19.04
DRC,2020-05-26,19.6,20.7,19.6,20.7,1946620,19.61
DRC,2020-05-25,19.15,19.4,18.8,19.4,706890,18.38
DRC,2020-05-22,19.2,19.25,18.85,18.9,503130,17.91
DRC,2020-05-21,19.0,19.45,18.9,19.2,491030,18.19
DRC,2020-05-20,19.1,19.15,18.8,18.95,207580,17.95
DRC,2020-05-19,19.1,19.25,18.9,19.0,565710,18.0
DRC,2020-05-18,18.9,18.95,18.55,18.9,490960,17.91
DRC,2020-05-15,19.4,19.7,18.95,18.95,631940,17.95
DRC,2020-05-14,19.5,19.65,19.3,19.4,616150,18.38
DRC,2020-05-13,19.8,20.15,19.65,19.7,885270,18.66
DRC,2020-05-12,19.8,20.25,19.6,20.1,576880,19.04
DRC,2020-05-11,19.8,19.85,19.25,19.8,596190,18.76
DRC,2020-05-08,19.95,19.95,19.3,19.4,1802400,18.38
DRC,2020-05-07,19.75,20.25,19.7,19.95,939800,18.9
DRC,2020-05-06,19.8,20.4,19.6,20.0,901360,18.95
DRC,2020-05-05,19.75,19.95,19.0,19.7,430680,18.66
DRC,2020-05-04,19.0,20.4,18.8,19.8,1257370,18.76
DRC,2020-04-29,19.25,19.35,18.25,19.25,1050510,18.24
DRC,2020-04-28,18.55,18.55,18.05,18.45,530050,17.48
DRC,2020-04-27,19.0,19.1,18.4,18.55,584390,17.57
DRC,2020-04-24,18.8,19.05,18.65,18.85,631080,17.86
DRC,2020-04-23,19.2,19.4,18.7,19.1,1026840,18.1
DRC,2020-04-22,17.65,18.65,17.65,18.6,628870,17.62
DRC,2020-04-21,18.2,18.95,17.65,17.65,1168550,16.72
DRC,2020-04-20,18.55,19.45,18.55,18.95,1066950,17.95
DRC,2020-04-17,18.7,18.8,18.2,18.55,527970,17.57
DRC,2020-04-16,17.9,18.6,17.85,18.5,471140,17.53
DRC,2020-04-15,17.1,18.2,17.0,17.95,565230,17.01
DRC,2020-04-14,17.1,17.4,16.6,17.1,445170,16.2
DRC,2020-04-13,17.3,17.5,16.9,17.1,219710,16.2
DRC,2020-04-10,17.4,17.4,16.9,17.3,385770,16.39
DRC,2020-04-09,16.5,17.35,16.35,17.35,564670,16.44
DRC,2020-04-08,16.5,16.5,15.85,16.25,383420,15.4
