name,date,open,high,low,close,volume,adj_close
DXG,2020-10-16,11.1,11.9,11.0,11.9,13617210,11.9
DXG,2020-10-15,11.1,11.4,11.05,11.15,5082640,11.15
DXG,2020-10-14,11.05,11.15,11.0,11.1,1800370,11.1
DXG,2020-10-13,10.9,11.25,10.75,11.05,3564950,11.05
DXG,2020-10-12,11.3,11.4,10.8,10.85,6563040,10.85
DXG,2020-10-09,11.2,11.35,11.15,11.2,3533190,11.2
DXG,2020-10-08,11.3,11.4,11.05,11.15,7008310,11.15
DXG,2020-10-07,11.3,11.7,11.25,11.4,6639440,11.4
DXG,2020-10-06,11.2,11.4,10.9,11.4,7630010,11.4
DXG,2020-10-05,10.35,11.0,10.35,10.95,11928320,10.95
DXG,2020-10-02,10.35,10.45,10.05,10.3,3661860,10.3
DXG,2020-10-01,10.15,10.45,10.1,10.35,2928090,10.35
DXG,2020-09-30,10.05,10.25,10.05,10.1,3825560,10.1
DXG,2020-09-29,10.45,10.5,10.0,10.05,5110180,10.05
DXG,2020-09-28,10.3,10.5,10.3,10.4,3231740,10.4
DXG,2020-09-25,10.5,10.5,10.2,10.25,3816130,10.25
DXG,2020-09-24,10.5,10.55,10.35,10.4,4128990,10.4
DXG,2020-09-23,10.55,10.65,10.4,10.5,4116900,10.5
DXG,2020-09-22,10.45,10.6,10.4,10.5,2771550,10.5
DXG,2020-09-21,10.6,10.9,10.5,10.55,4993360,10.55
DXG,2020-09-10,9.84,10.05,9.82,9.92,2740380,9.92
DXG,2020-09-09,9.68,9.81,9.65,9.81,1996420,9.81
DXG,2020-09-08,9.8,9.85,9.69,9.78,2495520,9.78
DXG,2020-09-07,10.0,10.05,9.76,9.76,3418190,9.76
DXG,2020-09-04,9.9,10.05,9.88,10.0,3548600,10.0
DXG,2020-09-03,10.0,10.15,9.95,10.15,4453810,10.15
DXG,2020-09-01,9.8,9.94,9.7,9.88,2184340,9.88
DXG,2020-08-31,9.99,10.1,9.6,9.68,8034040,9.68
DXG,2020-08-28,10.15,10.2,10.0,10.0,4156640,10.0
DXG,2020-08-27,10.15,10.2,9.99,10.05,5019040,10.05
DXG,2020-08-26,10.5,10.55,10.15,10.15,7224410,10.15
DXG,2020-08-25,9.56,10.15,9.56,10.15,8210100,10.15
DXG,2020-08-24,9.3,9.55,9.27,9.5,5507820,9.5
DXG,2020-08-21,9.29,9.36,9.21,9.24,3636930,9.24
DXG,2020-08-20,9.05,9.35,8.92,9.29,6230810,9.29
DXG,2020-08-19,9.0,9.19,8.85,9.05,8475830,9.05
DXG,2020-08-18,9.38,9.44,9.2,9.2,5120300,9.2
DXG,2020-08-17,9.43,9.65,9.22,9.43,5601570,9.43
DXG,2020-08-14,9.5,9.86,9.5,9.68,8018820,9.68
DXG,2020-08-13,9.5,9.68,9.5,9.5,4541550,9.5
DXG,2020-08-12,9.6,9.62,9.45,9.49,2941140,9.49
DXG,2020-08-11,9.6,9.72,9.51,9.53,2344220,9.53
DXG,2020-08-10,9.43,9.8,9.42,9.64,2498210,9.64
DXG,2020-08-07,9.5,9.5,9.31,9.42,2739810,9.42
DXG,2020-08-06,9.51,9.61,9.43,9.45,2409130,9.45
DXG,2020-08-05,9.6,9.78,9.45,9.6,3165320,9.6
DXG,2020-08-04,9.2,9.6,9.1,9.6,3696020,9.6
DXG,2020-08-03,8.75,9.07,8.75,9.06,3073400,9.06
DXG,2020-07-31,8.6,8.93,8.58,8.78,2382190,8.78
DXG,2020-07-30,8.84,9.03,8.84,8.88,1778370,8.88
DXG,2020-07-29,8.75,9.0,8.5,8.83,3655750,8.83
DXG,2020-07-28,8.8,9.13,8.7,9.13,3753640,9.13
DXG,2020-07-27,8.9,9.0,8.78,8.78,7351080,8.78
DXG,2020-07-24,10.1,10.25,9.44,9.44,11411250,9.44
DXG,2020-07-23,10.4,10.45,10.15,10.15,1871430,10.15
DXG,2020-07-22,10.1,10.65,10.1,10.35,4087310,10.35
DXG,2020-07-21,10.5,10.6,10.05,10.15,8196660,10.15
DXG,2020-07-20,10.7,11.15,10.7,10.7,5272010,10.7
DXG,2020-07-17,11.2,11.25,11.0,11.15,4123490,11.15
DXG,2020-07-16,11.4,11.5,11.0,11.15,5227230,11.15
DXG,2020-07-15,11.5,11.65,11.4,11.4,1689550,11.4
DXG,2020-07-14,11.4,11.5,11.3,11.4,1386070,11.4
DXG,2020-07-13,11.75,11.75,11.35,11.4,2384140,11.4
DXG,2020-07-10,11.55,11.7,11.5,11.6,2449670,11.6
DXG,2020-07-09,11.55,11.7,11.45,11.6,1872260,11.6
DXG,2020-07-08,11.5,11.65,11.45,11.5,1765920,11.5
DXG,2020-07-07,11.75,11.8,11.5,11.5,3868060,11.5
DXG,2020-07-06,11.65,11.75,11.4,11.7,2941680,11.7
DXG,2020-07-03,11.5,11.5,11.25,11.5,2188290,11.5
DXG,2020-07-02,11.8,11.8,11.3,11.45,2103310,11.45
DXG,2020-07-01,11.1,11.7,11.0,11.7,2602810,11.7
DXG,2020-06-30,11.45,11.6,10.7,11.2,3477890,11.2
DXG,2020-06-29,11.65,11.95,11.25,11.3,4362820,11.3
DXG,2020-06-26,12.35,12.4,11.9,12.0,2600700,12.0
