name,date,open,high,low,close,volume,adj_close
EIB,2020-10-16,17.6,17.6,17.1,17.35,384180,17.35
EIB,2020-10-15,17.55,17.6,17.25,17.6,504220,17.6
EIB,2020-10-14,17.5,17.6,17.35,17.4,584060,17.4
EIB,2020-10-13,17.1,17.4,17.1,17.4,472900,17.4
EIB,2020-10-12,17.2,17.35,17.1,17.2,396660,17.2
EIB,2020-10-09,17.2,17.2,16.95,17.15,241720,17.15
EIB,2020-10-08,17.4,17.4,17.05,17.15,474680,17.15
EIB,2020-10-07,17.45,17.55,17.25,17.45,313680,17.45
EIB,2020-10-06,17.5,17.85,17.3,17.55,766900,17.55
EIB,2020-10-05,17.2,17.5,16.85,17.35,703860,17.35
EIB,2020-10-02,17.0,17.2,16.85,17.0,228550,17.0
EIB,2020-10-01,16.95,17.05,16.85,17.0,165370,17.0
EIB,2020-09-30,16.9,17.05,16.85,17.0,108610,17.0
EIB,2020-09-29,17.2,17.2,16.95,17.0,163100,17.0
EIB,2020-09-28,17.05,17.35,17.0,17.2,311340,17.2
EIB,2020-09-25,17.2,17.2,17.05,17.1,124060,17.1
EIB,2020-09-24,17.05,17.15,17.0,17.15,84640,17.15
EIB,2020-09-23,17.05,17.2,16.95,17.1,509250,17.1
EIB,2020-09-22,17.05,17.05,16.9,17.05,217900,17.05
EIB,2020-09-21,16.95,17.05,16.8,17.05,634840,17.05
EIB,2020-09-10,16.8,17.0,16.8,16.8,136230,16.8
EIB,2020-09-09,17.0,17.05,16.7,16.8,409750,16.8
EIB,2020-09-08,16.9,17.1,16.65,17.1,407970,17.1
EIB,2020-09-07,17.1,17.2,16.9,16.9,136200,16.9
EIB,2020-09-04,17.0,17.2,16.95,17.05,209170,17.05
EIB,2020-09-03,17.2,17.6,17.15,17.2,605430,17.2
EIB,2020-09-01,17.1,17.2,17.05,17.2,91160,17.2
EIB,2020-08-31,17.5,17.5,17.2,17.25,97830,17.25
EIB,2020-08-28,16.95,17.7,16.85,17.45,535570,17.45
EIB,2020-08-27,16.9,17.05,16.8,16.95,338590,16.95
EIB,2020-08-26,16.8,17.0,16.8,16.95,120710,16.95
EIB,2020-08-25,16.8,17.0,16.75,16.95,146500,16.95
EIB,2020-08-24,16.85,17.0,16.75,16.95,416860,16.95
EIB,2020-08-21,16.75,16.95,16.7,16.95,485980,16.95
EIB,2020-08-20,16.7,16.95,16.5,16.95,443820,16.95
EIB,2020-08-19,16.7,16.85,16.6,16.85,124570,16.85
EIB,2020-08-18,16.8,17.0,16.65,16.85,153840,16.85
EIB,2020-08-17,17.0,17.5,16.75,17.0,135150,17.0
EIB,2020-08-14,16.8,17.0,16.65,17.0,287500,17.0
EIB,2020-08-13,16.9,16.9,16.7,16.7,248110,16.7
EIB,2020-08-12,16.75,16.95,16.75,16.9,39320,16.9
EIB,2020-08-11,16.7,17.0,16.6,17.0,173140,17.0
EIB,2020-08-10,16.9,16.95,16.55,16.85,169660,16.85
EIB,2020-08-07,16.55,16.9,16.55,16.9,104260,16.9
EIB,2020-08-06,16.75,17.0,16.7,16.95,73510,16.95
EIB,2020-08-05,16.85,17.0,16.55,17.0,199360,17.0
EIB,2020-08-04,16.6,16.85,16.35,16.85,238180,16.85
EIB,2020-08-03,16.25,16.6,16.2,16.6,115010,16.6
EIB,2020-07-31,16.4,16.65,16.15,16.55,146150,16.55
EIB,2020-07-30,16.55,17.4,16.55,17.1,146710,17.1
EIB,2020-07-29,15.65,17.65,15.65,17.65,683290,17.65
EIB,2020-07-28,15.85,16.5,15.6,16.5,500170,16.5
EIB,2020-07-27,16.4,17.05,15.75,16.4,206050,16.4
EIB,2020-07-24,17.3,17.4,16.35,16.8,287290,16.8
EIB,2020-07-23,17.15,17.3,16.95,17.3,139830,17.3
EIB,2020-07-22,17.15,17.4,17.0,17.35,151480,17.35
EIB,2020-07-21,17.15,17.6,17.15,17.3,99530,17.3
EIB,2020-07-20,17.35,17.35,17.2,17.35,93730,17.35
EIB,2020-07-17,17.25,17.55,17.15,17.45,166430,17.45
EIB,2020-07-16,17.3,17.6,17.0,17.6,223630,17.6
EIB,2020-07-15,17.0,17.3,16.95,17.3,204760,17.3
EIB,2020-07-14,17.3,17.45,16.8,17.0,379910,17.0
EIB,2020-07-13,17.6,17.7,16.9,17.4,220130,17.4
EIB,2020-07-10,17.5,17.65,17.3,17.6,98500,17.6
EIB,2020-07-09,17.5,17.85,17.3,17.65,186240,17.65
EIB,2020-07-08,17.7,17.7,17.45,17.65,70930,17.65
EIB,2020-07-07,17.8,17.8,17.4,17.8,68870,17.8
EIB,2020-07-06,17.85,17.85,17.2,17.8,93840,17.8
EIB,2020-07-03,17.5,17.85,17.15,17.85,79070,17.85
EIB,2020-07-02,17.75,17.75,17.2,17.7,47700,17.7
EIB,2020-07-01,17.6,17.8,17.5,17.75,25700,17.75
EIB,2020-06-30,17.55,18.05,17.25,17.8,110790,17.8
EIB,2020-06-29,17.6,18.0,17.25,18.0,52920,18.0
EIB,2020-06-26,17.75,17.85,17.5,17.75,20400,17.75
EIB,2020-06-25,17.9,18.25,17.55,17.75,108130,17.75
EIB,2020-06-24,18.2,18.2,17.9,18.0,20030,18.0
EIB,2020-06-23,18.25,18.25,17.95,18.0,35830,18.0
EIB,2020-06-22,18.0,18.25,17.8,18.2,105170,18.2
EIB,2020-06-19,17.9,18.25,17.9,18.25,106470,18.25
EIB,2020-06-18,18.1,18.1,17.8,18.1,269880,18.1
EIB,2020-06-17,18.2,18.2,17.7,18.1,72320,18.1
EIB,2020-06-16,17.9,18.15,17.85,17.9,51160,17.9
EIB,2020-06-15,17.9,18.4,17.8,18.2,126000,18.2
EIB,2020-06-12,17.55,18.2,17.55,17.9,197860,17.9
EIB,2020-06-11,18.1,18.15,17.85,18.0,185650,18.0
EIB,2020-06-10,18.15,18.15,17.8,18.1,95310,18.1
EIB,2020-06-09,17.75,18.3,17.75,18.1,139250,18.1
EIB,2020-06-08,17.9,18.2,17.7,17.75,453800,17.75
EIB,2020-06-05,17.8,18.0,17.65,17.7,447980,17.7
EIB,2020-06-04,17.6,17.95,17.6,17.65,328350,17.65
EIB,2020-06-03,17.7,18.15,17.6,17.65,213440,17.65
EIB,2020-06-02,17.45,18.0,17.45,17.6,425640,17.6
EIB,2020-06-01,17.45,18.1,17.1,17.45,229560,17.45
EIB,2020-05-29,17.0,17.6,17.0,17.3,362450,17.3
EIB,2020-05-28,17.2,17.6,16.9,16.9,502180,16.9
EIB,2020-05-27,17.0,17.6,17.0,17.2,471440,17.2
EIB,2020-05-26,16.8,17.1,16.8,16.9,382380,16.9
EIB,2020-05-25,16.7,17.15,16.5,16.9,389240,16.9
EIB,2020-05-22,16.7,17.5,16.55,16.9,641700,16.9
EIB,2020-05-21,16.4,17.4,16.3,17.4,968450,17.4
EIB,2020-05-20,16.2,16.6,16.05,16.3,363970,16.3
EIB,2020-05-19,15.8,16.45,15.8,16.25,430260,16.25
EIB,2020-05-18,15.4,15.75,15.3,15.75,518890,15.75
EIB,2020-05-15,15.3,15.6,15.25,15.5,436860,15.5
EIB,2020-05-14,15.05,15.45,15.05,15.35,739600,15.35
EIB,2020-05-13,15.25,15.3,14.2,15.25,500730,15.25
EIB,2020-05-12,15.35,15.45,15.0,15.25,209410,15.25
EIB,2020-05-11,15.4,15.5,15.15,15.4,186110,15.4
EIB,2020-05-08,15.05,15.55,15.05,15.25,463060,15.25
EIB,2020-05-07,15.15,15.15,14.85,15.1,222720,15.1
EIB,2020-05-06,15.0,15.0,14.8,15.0,823590,15.0
EIB,2020-05-05,15.05,15.05,14.7,15.0,490590,15.0
EIB,2020-05-04,14.8,15.1,14.8,15.05,284550,15.05
EIB,2020-04-29,15.0,15.15,14.9,15.0,443860,15.0
EIB,2020-04-28,15.0,15.15,14.85,15.15,223530,15.15
EIB,2020-04-27,15.1,15.3,14.85,15.1,438480,15.1
EIB,2020-04-24,15.15,15.4,15.15,15.3,191720,15.3
EIB,2020-04-23,15.6,15.7,15.3,15.3,221620,15.3
EIB,2020-04-22,14.95,15.6,14.95,15.4,821030,15.4
EIB,2020-04-21,15.2,15.3,14.85,15.15,248790,15.15
EIB,2020-04-20,15.3,15.5,15.1,15.2,841910,15.2
EIB,2020-04-17,15.2,15.6,15.0,15.2,874840,15.2
EIB,2020-04-16,15.0,15.2,14.95,15.15,217150,15.15
EIB,2020-04-15,15.15,15.2,14.9,15.15,121970,15.15
EIB,2020-04-14,15.2,15.35,14.95,15.15,138290,15.15
EIB,2020-04-13,15.15,15.2,14.85,15.2,101110,15.2
EIB,2020-04-10,15.05,15.15,14.65,15.15,499740,15.15
EIB,2020-04-09,15.2,15.3,15.05,15.2,259700,15.2
EIB,2020-04-08,14.8,15.45,14.8,15.2,263460,15.2
EIB,2020-04-07,15.0,15.5,15.0,15.5,1373070,15.5
EIB,2020-04-06,15.2,15.5,14.7,15.5,203550,15.5
EIB,2020-04-03,14.85,15.2,14.25,15.2,1313270,15.2
EIB,2020-04-01,14.0,15.2,14.0,15.2,532880,15.2
