name,date,open,high,low,close,volume,adj_close
FMC,2020-10-16,31.4,31.5,30.2,31.0,344880,31.0
FMC,2020-10-15,32.35,32.65,31.5,31.5,393110,31.5
FMC,2020-10-14,32.9,32.9,32.0,32.35,696070,32.35
FMC,2020-10-13,32.75,33.6,32.65,33.3,222590,33.3
FMC,2020-10-12,33.5,33.9,32.75,32.75,518150,32.75
FMC,2020-10-09,33.9,34.0,33.55,33.55,222730,33.55
FMC,2020-10-08,34.5,34.5,33.55,33.6,319980,33.6
FMC,2020-10-07,34.3,35.3,34.15,34.2,685310,34.2
FMC,2020-10-06,34.5,34.65,33.9,34.2,552030,34.2
FMC,2020-10-05,33.6,34.55,33.6,34.0,497870,34.0
FMC,2020-10-02,34.5,34.55,33.05,33.6,294420,33.6
FMC,2020-10-01,34.45,34.7,33.7,34.15,441600,34.15
FMC,2020-09-30,34.0,34.2,33.4,34.15,473600,34.15
FMC,2020-09-29,35.1,35.1,34.1,34.2,434810,34.2
FMC,2020-09-28,34.3,35.5,34.1,35.2,583870,35.2
FMC,2020-09-25,34.3,34.8,34.05,34.2,430040,34.2
FMC,2020-09-24,34.7,35.0,34.15,34.3,423860,34.3
FMC,2020-09-23,35.0,35.7,34.55,34.7,359370,34.7
FMC,2020-09-22,32.7,35.05,32.7,35.0,1208630,35.0
FMC,2020-09-21,33.0,33.3,32.7,32.8,263410,32.8
FMC,2020-09-03,31.0,32.2,31.0,31.65,341830,31.65
FMC,2020-09-01,29.0,31.0,29.0,30.95,838160,30.95
FMC,2020-08-31,29.35,29.6,28.6,29.0,156490,29.0
FMC,2020-08-28,30.0,30.0,29.2,29.2,247340,29.2
FMC,2020-08-27,28.3,30.0,28.3,29.6,442600,29.6
FMC,2020-08-26,28.4,28.4,28.15,28.3,96980,28.3
FMC,2020-08-25,28.8,28.9,28.2,28.35,196340,28.35
FMC,2020-08-24,28.1,28.9,28.1,28.9,218860,28.9
FMC,2020-08-21,28.0,28.5,28.0,28.2,175580,28.2
FMC,2020-08-20,28.3,28.55,27.95,28.0,195510,28.0
FMC,2020-08-19,28.55,28.7,28.25,28.55,166020,28.55
FMC,2020-08-18,27.85,28.7,27.85,28.6,367620,28.6
FMC,2020-08-17,27.7,27.7,26.8,27.7,298440,27.7
FMC,2020-08-14,27.35,27.4,26.7,27.0,91160,27.0
FMC,2020-08-13,27.0,27.5,26.85,27.35,147270,27.35
