name,date,open,high,low,close,volume,adj_close
HDG,2020-10-16,24.1,24.2,23.65,24.0,1312000,24.0
HDG,2020-10-15,25.0,25.25,24.1,24.1,1816090,24.1
HDG,2020-10-14,25.1,25.3,25.0,25.0,1024380,25.0
HDG,2020-10-13,25.4,25.5,25.0,25.1,1631590,25.1
HDG,2020-10-12,25.55,25.8,25.35,25.4,1374880,25.4
HDG,2020-10-09,25.45,25.7,25.4,25.55,1058990,25.55
HDG,2020-10-08,25.85,25.85,25.3,25.5,2620120,25.5
HDG,2020-10-07,25.6,26.25,25.5,25.7,2387280,25.7
HDG,2020-10-06,25.9,25.9,25.55,25.75,1436070,25.75
HDG,2020-10-05,25.0,25.8,24.9,25.75,2816750,25.75
HDG,2020-10-02,25.3,25.45,24.3,25.0,2985170,25.0
HDG,2020-10-01,25.3,25.5,25.05,25.3,1976370,25.3
HDG,2020-09-30,24.35,24.9,24.25,24.9,2736490,24.9
HDG,2020-09-29,24.25,24.95,24.15,24.25,2524220,24.25
HDG,2020-09-28,24.15,24.3,24.05,24.15,983690,24.15
HDG,2020-09-25,24.25,24.4,24.1,24.15,1317800,24.15
HDG,2020-09-24,24.15,24.4,24.0,24.35,1195140,24.35
HDG,2020-09-23,24.1,24.35,24.0,24.25,1452960,24.25
HDG,2020-09-22,23.8,24.35,23.8,24.0,2030540,24.0
HDG,2020-09-21,24.6,24.7,23.9,23.95,3110690,23.95
HDG,2020-09-10,22.85,23.2,22.55,22.95,3663080,22.95
HDG,2020-09-09,22.3,22.55,22.3,22.55,1100900,22.55
HDG,2020-09-08,23.0,23.0,22.4,22.5,664150,22.5
HDG,2020-09-07,23.0,23.0,22.45,22.45,1292910,22.45
HDG,2020-09-04,21.95,23.15,21.85,22.85,2822710,22.85
HDG,2020-09-03,22.6,22.75,22.05,22.15,1991180,22.15
HDG,2020-09-01,22.65,22.85,22.35,22.45,2024910,22.45
HDG,2020-08-31,23.0,23.1,22.55,22.65,1110150,22.65
HDG,2020-08-28,23.0,23.15,22.85,22.85,1177810,22.85
HDG,2020-08-27,22.95,23.35,22.9,23.0,1502060,23.0
HDG,2020-08-26,22.7,23.4,22.5,22.95,1885130,22.95
HDG,2020-08-25,22.8,22.95,22.6,22.8,2667070,22.8
HDG,2020-08-24,23.25,23.3,22.7,22.8,2094450,22.8
HDG,2020-08-21,22.5,23.1,22.3,22.9,2267860,22.9
HDG,2020-08-20,21.4,22.4,21.3,22.3,3374870,22.3
HDG,2020-08-19,21.4,21.45,21.2,21.4,987840,21.4
HDG,2020-08-18,21.2,21.5,21.15,21.35,1243930,21.35
