name,date,open,high,low,close,volume,adj_close
HSG,2020-10-16,15.1,15.35,14.95,15.05,10840330,15.05
HSG,2020-10-15,15.3,15.45,15.05,15.1,8383990,15.1
HSG,2020-10-14,15.4,15.45,15.0,15.1,11996590,15.1
HSG,2020-10-13,15.7,15.95,15.25,15.35,13967970,15.35
HSG,2020-10-12,15.85,16.1,15.6,15.8,15016420,15.8
HSG,2020-10-09,15.85,15.9,15.65,15.7,5523920,15.7
HSG,2020-10-08,16.0,16.1,15.65,15.75,12025260,15.75
HSG,2020-10-07,15.65,16.4,15.5,15.8,17773570,15.8
HSG,2020-10-06,15.6,15.8,15.3,15.75,9015710,15.75
HSG,2020-10-05,15.6,15.85,15.35,15.45,11406940,15.45
HSG,2020-10-02,15.9,15.9,14.85,15.45,21207030,15.45
HSG,2020-10-01,15.9,16.45,15.65,15.8,10976300,15.8
HSG,2020-09-30,15.3,15.85,14.85,15.65,15238890,15.65
HSG,2020-09-29,16.1,16.15,15.2,15.2,23085250,15.2
HSG,2020-09-28,15.25,16.25,15.25,16.1,16925760,16.1
HSG,2020-09-25,15.0,15.4,14.8,15.25,13614170,15.25
HSG,2020-09-24,14.05,15.1,14.0,14.95,22459970,14.95
HSG,2020-09-23,14.35,14.4,14.05,14.2,9751050,14.2
HSG,2020-09-22,13.8,14.45,13.75,14.2,15453370,14.2
HSG,2020-09-21,14.45,14.5,13.9,13.9,14618670,13.9
HSG,2020-09-10,12.25,12.25,11.85,11.85,6873130,11.85
HSG,2020-09-09,11.5,12.2,11.5,12.05,11379420,12.05
HSG,2020-09-08,11.6,11.7,11.45,11.65,7023450,11.65
HSG,2020-09-07,11.85,11.9,11.55,11.55,9695350,11.55
HSG,2020-09-04,11.75,11.95,11.7,11.85,7657200,11.85
HSG,2020-09-03,12.0,12.2,11.85,11.95,14906190,11.95
HSG,2020-09-01,11.3,11.8,11.3,11.8,14900500,11.8
HSG,2020-08-31,11.5,11.6,11.25,11.3,7008810,11.3
HSG,2020-08-28,11.75,11.75,11.4,11.4,8851480,11.4
HSG,2020-08-27,11.6,11.75,11.5,11.65,5311350,11.65
