name,date,open,high,low,close,volume,adj_close
IMP,2020-10-16,47.7,47.7,46.7,47.3,101730,47.3
IMP,2020-10-15,47.9,47.9,47.2,47.5,51270,47.5
IMP,2020-10-14,47.9,48.0,47.45,47.6,53940,47.6
IMP,2020-10-13,47.2,48.3,47.2,47.8,102620,47.8
IMP,2020-10-12,47.5,47.7,47.3,47.3,40340,47.3
IMP,2020-10-09,47.9,47.9,47.5,47.5,37910,47.5
IMP,2020-10-08,47.7,47.95,47.6,47.7,60040,47.7
IMP,2020-10-07,48.0,48.0,47.6,47.7,58530,47.7
IMP,2020-10-06,48.1,48.1,47.7,48.0,52400,48.0
IMP,2020-10-05,48.3,48.3,47.7,47.85,40910,47.85
IMP,2020-10-02,48.05,48.05,47.4,47.85,93350,47.85
IMP,2020-10-01,48.25,48.4,47.8,48.05,74270,48.05
IMP,2020-09-30,47.8,48.0,47.5,48.0,52360,48.0
IMP,2020-09-29,48.35,48.35,47.8,47.8,71530,47.8
IMP,2020-09-28,48.0,48.5,47.9,48.2,75170,48.2
IMP,2020-09-25,48.15,48.2,47.6,48.0,133200,48.0
IMP,2020-09-24,48.4,48.45,48.15,48.15,69100,48.15
IMP,2020-09-23,48.55,48.9,48.15,48.4,94880,48.4
IMP,2020-09-22,49.1,49.2,48.15,48.55,162980,48.55
IMP,2020-09-21,49.8,49.8,49.1,49.1,121580,49.1
IMP,2020-09-10,48.0,48.0,47.55,47.65,57230,47.65
IMP,2020-09-09,47.7,47.8,47.4,47.65,64340,47.65
IMP,2020-09-08,47.7,48.0,47.2,48.0,68090,48.0
IMP,2020-09-07,47.3,47.8,47.3,47.5,79630,47.5
IMP,2020-09-04,46.6,47.5,46.6,47.25,107870,47.25
IMP,2020-09-03,47.5,47.5,47.1,47.25,68050,47.25
IMP,2020-09-01,47.2,47.5,46.9,47.25,61730,47.25
IMP,2020-08-31,48.4,48.4,47.05,47.35,163960,47.35
IMP,2020-08-28,48.3,48.8,48.1,48.4,139640,48.4
IMP,2020-08-27,48.1,48.5,47.7,48.1,103080,48.1
IMP,2020-08-26,48.15,49.5,47.8,48.1,157570,48.1
IMP,2020-08-25,48.3,48.5,47.8,48.15,123700,48.15
IMP,2020-08-24,47.7,48.7,47.7,48.3,138140,48.3
IMP,2020-08-21,45.7,49.0,45.7,47.7,348630,47.7
IMP,2020-08-20,46.1,46.4,45.6,45.9,136740,45.9
IMP,2020-08-19,46.4,46.8,45.7,46.5,132670,46.5
IMP,2020-08-18,46.45,47.0,46.0,46.45,164510,46.45
IMP,2020-08-17,46.45,46.7,44.7,46.45,169720,46.45
IMP,2020-08-14,43.9,45.85,43.6,45.3,302650,45.3
IMP,2020-08-13,43.6,43.85,43.45,43.8,85540,43.8
IMP,2020-08-12,44.0,44.0,43.6,43.6,46360,43.6
IMP,2020-08-11,43.9,44.0,43.75,43.9,59010,43.9
IMP,2020-08-10,44.0,44.25,43.75,43.9,58970,43.9
IMP,2020-08-07,44.0,44.05,43.65,43.95,40730,43.95
IMP,2020-08-06,44.6,44.6,43.7,44.0,84320,44.0
IMP,2020-08-05,44.5,44.9,43.7,44.2,68860,44.2
IMP,2020-08-04,44.4,45.0,44.0,44.5,36450,44.5
IMP,2020-08-03,44.0,44.0,43.2,43.95,100200,43.95
IMP,2020-07-31,43.0,43.4,42.05,43.2,87940,43.2
IMP,2020-07-30,41.1,43.0,41.1,42.0,22290,42.0
IMP,2020-07-29,43.0,43.05,40.0,41.7,44340,41.7
IMP,2020-07-28,39.7,42.4,39.7,42.4,70740,42.4
IMP,2020-07-27,41.6,42.5,39.6,39.65,90560,39.65
IMP,2020-07-24,45.1,45.1,42.0,42.5,141700,42.5
IMP,2020-07-23,45.1,45.8,44.5,45.0,33970,45.0
IMP,2020-07-22,46.0,46.0,45.0,45.1,39780,45.1
IMP,2020-07-21,46.2,46.2,45.8,46.0,34800,46.0
IMP,2020-07-20,46.0,46.6,45.75,46.0,71490,46.0
IMP,2020-07-17,45.5,46.6,44.4,45.5,129400,45.5
IMP,2020-07-16,46.5,46.5,43.2,45.5,73390,45.5
IMP,2020-07-15,46.3,46.9,46.3,46.4,46760,46.4
IMP,2020-07-14,47.0,47.0,46.0,46.3,156750,46.3
IMP,2020-07-13,58.5,59.4,58.0,59.2,164500,52.91
IMP,2020-07-10,58.1,58.8,58.1,58.5,91490,52.28
IMP,2020-07-09,58.3,58.4,58.0,58.4,60090,52.19
IMP,2020-07-08,58.0,58.5,58.0,58.0,38020,51.83
IMP,2020-07-07,58.8,58.8,58.0,58.0,67780,51.83
IMP,2020-07-06,58.8,58.9,58.4,58.4,33890,52.19
IMP,2020-07-03,58.6,58.8,57.8,58.8,42440,52.55
IMP,2020-07-02,57.8,58.0,57.1,57.9,34000,51.75
IMP,2020-07-01,56.5,57.5,56.0,57.0,21590,50.94
IMP,2020-06-30,56.6,56.7,56.0,56.5,33170,50.49
IMP,2020-06-29,58.0,58.0,56.0,56.6,32220,50.58
IMP,2020-06-26,58.5,58.8,57.5,58.0,14340,51.83
IMP,2020-06-25,58.5,58.7,58.0,58.0,57070,51.83
IMP,2020-06-24,59.0,59.0,57.7,58.7,77240,52.46
IMP,2020-06-23,56.3,58.0,55.5,58.0,40610,51.83
IMP,2020-06-22,55.4,56.5,55.4,56.3,11850,50.32
IMP,2020-06-19,56.0,56.0,55.2,55.5,22250,49.6
IMP,2020-06-18,55.0,55.8,54.6,55.5,8020,49.6
IMP,2020-06-17,55.5,56.0,55.4,56.0,14260,50.05
IMP,2020-06-16,56.0,56.5,55.1,56.0,9080,50.05
IMP,2020-06-15,55.4,57.1,54.1,55.0,37190,49.15
IMP,2020-06-12,53.0,57.0,53.0,55.4,91180,49.51
IMP,2020-06-11,58.4,58.4,56.2,56.2,66480,50.23
IMP,2020-06-10,58.8,59.0,57.6,58.4,18730,52.19
IMP,2020-06-09,58.8,59.5,57.7,58.5,61940,52.28
IMP,2020-06-08,59.9,59.9,58.5,58.8,91910,52.55
IMP,2020-06-05,60.1,60.1,57.0,59.9,93910,53.53
IMP,2020-06-04,60.0,61.9,59.5,60.3,118380,53.89
IMP,2020-06-03,58.0,59.9,57.5,59.8,115670,53.44
IMP,2020-06-02,56.8,59.5,56.8,57.5,146890,51.39
IMP,2020-06-01,54.8,57.0,54.6,56.1,136070,50.14
IMP,2020-05-29,54.4,54.4,54.0,54.2,21260,48.44
IMP,2020-05-28,54.5,54.5,53.2,54.0,18290,48.26
IMP,2020-05-27,54.9,54.9,53.3,53.4,88690,47.72
IMP,2020-05-26,54.7,54.7,53.2,54.0,42510,48.26
IMP,2020-05-25,53.1,54.0,53.1,53.9,8090,48.17
IMP,2020-05-22,53.0,53.7,52.9,52.9,70410,47.28
IMP,2020-05-21,54.7,54.7,53.5,53.5,62930,47.81
IMP,2020-05-20,55.0,55.0,53.6,54.0,18810,48.26
IMP,2020-05-19,56.0,56.0,54.0,54.0,43860,48.26
IMP,2020-05-18,56.0,56.0,55.0,55.8,43020,49.87
IMP,2020-05-15,56.1,57.0,56.0,56.0,95100,50.05
IMP,2020-05-14,54.9,56.2,54.7,56.1,120200,50.14
IMP,2020-05-13,54.0,54.5,53.8,54.2,18770,48.44
IMP,2020-05-12,54.9,54.9,53.9,54.1,18360,48.35
IMP,2020-05-11,54.0,55.0,53.0,54.0,100540,48.26
IMP,2020-05-08,53.4,53.4,52.6,53.0,36410,47.37
IMP,2020-05-07,52.2,53.3,52.2,53.0,32880,47.37
