name,date,open,high,low,close,volume,adj_close
KDH,2020-10-16,23.9,23.9,23.6,23.75,683570,23.75
KDH,2020-10-15,23.95,23.95,23.6,23.95,541610,23.95
KDH,2020-10-14,23.7,24.05,23.65,24.0,261800,24.0
KDH,2020-10-13,24.0,24.1,23.6,23.85,850770,23.85
KDH,2020-10-12,24.3,24.3,24.0,24.1,687060,24.1
KDH,2020-10-09,24.25,24.3,23.95,24.25,440240,24.25
KDH,2020-10-08,24.6,24.6,24.15,24.25,491910,24.25
KDH,2020-10-07,24.9,24.9,24.55,24.6,406060,24.6
KDH,2020-10-06,24.95,25.15,24.75,24.9,918350,24.9
KDH,2020-10-05,24.25,24.8,24.2,24.7,716860,24.7
KDH,2020-10-02,24.35,24.35,23.85,24.25,928170,24.25
KDH,2020-10-01,24.3,24.4,24.25,24.35,360380,24.35
KDH,2020-09-30,24.35,24.4,24.0,24.25,541530,24.25
KDH,2020-09-29,24.2,24.45,24.1,24.4,458040,24.4
KDH,2020-09-28,24.2,24.3,24.1,24.2,281670,24.2
KDH,2020-09-25,24.45,24.45,24.15,24.2,524660,24.2
KDH,2020-09-24,24.55,24.6,24.2,24.4,556500,24.4
KDH,2020-09-23,24.7,24.8,24.55,24.55,591270,24.55
KDH,2020-09-22,24.35,24.95,24.35,24.75,952030,24.75
KDH,2020-09-21,24.35,24.4,24.3,24.35,714600,24.35
KDH,2020-09-10,24.4,24.4,23.95,23.95,721800,23.95
KDH,2020-09-09,24.0,24.35,23.9,24.2,410220,24.2
KDH,2020-09-08,24.3,24.4,24.05,24.35,420510,24.35
KDH,2020-09-07,24.95,24.95,24.35,24.35,533690,24.35
KDH,2020-09-04,24.8,25.5,24.8,24.95,779920,24.95
KDH,2020-09-03,24.55,25.0,24.55,25.0,1166890,25.0
KDH,2020-09-01,24.35,24.5,24.2,24.45,492190,24.45
KDH,2020-08-31,24.5,24.6,24.25,24.35,562860,24.35
KDH,2020-08-28,24.5,24.6,24.5,24.5,446000,24.5
KDH,2020-08-27,24.3,24.65,24.3,24.6,550440,24.6
KDH,2020-08-26,24.6,24.7,24.15,24.55,378880,24.55
KDH,2020-08-25,23.95,24.6,23.9,24.6,1195060,24.6
KDH,2020-08-24,23.95,24.0,23.8,23.9,425800,23.9
KDH,2020-08-21,23.3,23.9,23.3,23.85,901320,23.85
KDH,2020-08-20,23.25,23.5,23.15,23.3,614950,23.3
KDH,2020-08-19,23.2,23.4,23.0,23.3,283990,23.3
KDH,2020-08-18,24.55,24.65,24.5,24.55,360700,22.91
KDH,2020-08-17,24.55,24.7,24.4,24.55,352730,22.91
KDH,2020-08-14,24.55,24.9,24.55,24.55,445490,22.91
KDH,2020-08-13,24.3,24.55,24.15,24.55,369970,22.91
KDH,2020-08-12,24.4,24.45,24.05,24.15,320710,22.53
KDH,2020-08-11,24.5,24.6,24.1,24.4,279810,22.77
KDH,2020-08-10,24.55,24.7,24.5,24.5,549960,22.86
KDH,2020-08-07,24.75,24.75,24.45,24.55,328240,22.91
KDH,2020-08-06,24.6,24.9,24.6,24.75,321800,23.09
KDH,2020-08-05,24.35,24.85,24.2,24.75,318600,23.09
KDH,2020-08-04,23.7,24.35,23.6,24.35,363840,22.72
KDH,2020-08-03,23.1,23.7,23.1,23.6,198590,22.02
