name,date,open,high,low,close,volume,adj_close
MBB,2020-10-16,17.75,17.9,17.7,17.85,9150340,17.85
MBB,2020-10-15,17.7,17.7,17.55,17.6,4262410,17.6
MBB,2020-10-14,17.4,17.75,17.4,17.65,4923620,17.65
MBB,2020-10-13,17.6,17.6,17.35,17.5,4053540,17.5
MBB,2020-10-12,17.65,17.75,17.45,17.55,4828180,17.55
MBB,2020-10-09,17.65,17.7,17.55,17.55,3873190,17.55
MBB,2020-10-08,17.9,17.9,17.6,17.65,6874020,17.65
MBB,2020-10-07,17.75,17.8,17.6,17.6,7245090,17.6
MBB,2020-10-06,17.95,17.95,17.7,17.85,7113210,17.85
MBB,2020-10-05,17.5,17.8,17.5,17.7,10749710,17.7
MBB,2020-10-02,19.9,20.0,19.65,19.85,10888220,17.26
MBB,2020-10-01,19.9,20.0,19.7,19.85,7966350,17.26
MBB,2020-09-30,19.65,19.8,19.55,19.75,4772210,17.17
MBB,2020-09-29,20.0,20.05,19.65,19.65,7980230,17.09
MBB,2020-09-28,19.75,20.1,19.65,20.0,8664740,17.39
MBB,2020-09-25,19.7,19.75,19.35,19.6,6504900,17.04
MBB,2020-09-24,19.35,19.65,19.2,19.6,12357250,17.04
MBB,2020-09-23,19.3,19.4,19.1,19.2,6764910,16.7
MBB,2020-09-22,19.05,19.25,19.0,19.2,9969810,16.7
MBB,2020-09-21,19.0,19.25,18.85,19.05,10816030,16.57
MBB,2020-09-10,17.9,18.0,17.8,17.8,3129160,15.48
MBB,2020-09-09,17.6,17.8,17.6,17.75,3715080,15.44
MBB,2020-09-08,17.8,17.85,17.55,17.8,3480610,15.48
MBB,2020-09-07,18.15,18.15,17.7,17.7,7654310,15.39
MBB,2020-09-04,17.85,18.1,17.85,18.05,5064490,15.7
MBB,2020-09-03,18.2,18.35,18.1,18.2,4950930,15.83
MBB,2020-09-01,18.05,18.1,17.9,18.1,5064400,15.74
MBB,2020-08-31,18.0,18.2,17.9,17.95,3916140,15.61
MBB,2020-08-28,18.0,18.15,17.9,17.9,6040590,15.57
MBB,2020-08-27,17.9,18.0,17.75,17.9,3597610,15.57
MBB,2020-08-26,18.0,18.15,17.9,17.9,5231990,15.57
MBB,2020-08-25,17.9,18.3,17.85,18.05,12351760,15.7
MBB,2020-08-24,17.4,17.85,17.4,17.8,8344270,15.48
MBB,2020-08-21,17.05,17.3,17.0,17.3,5135520,15.04
MBB,2020-08-20,17.05,17.15,16.95,17.05,4196330,14.83
MBB,2020-08-19,17.0,17.05,16.9,17.05,3899030,14.83
MBB,2020-08-18,17.1,17.15,16.9,17.0,2714080,14.78
MBB,2020-08-17,17.1,17.2,16.85,17.1,3857910,14.87
MBB,2020-08-14,16.9,17.2,16.85,17.15,5684510,14.91
MBB,2020-08-13,16.95,17.0,16.8,16.95,2730880,14.74
MBB,2020-08-12,16.5,16.9,16.5,16.85,5592880,14.65
MBB,2020-08-11,16.55,16.6,16.4,16.5,3279300,14.35
MBB,2020-08-10,16.5,16.55,16.35,16.45,3695170,14.3
MBB,2020-08-07,16.35,16.45,16.3,16.3,2043440,14.17
MBB,2020-08-06,16.5,16.55,16.35,16.35,3050260,14.22
MBB,2020-08-05,16.4,16.55,16.2,16.55,2939150,14.39
MBB,2020-08-04,16.3,16.5,16.2,16.4,2557000,14.26
MBB,2020-08-03,15.7,16.2,15.7,16.2,4195230,14.09
MBB,2020-07-31,15.7,15.9,15.5,15.75,2822800,13.7
MBB,2020-07-30,15.8,15.9,15.7,15.85,2740330,13.78
MBB,2020-07-29,15.9,15.9,15.35,15.65,4891540,13.61
MBB,2020-07-28,15.9,16.35,15.5,16.3,6476500,14.17
MBB,2020-07-27,15.9,16.1,15.35,15.35,9988390,13.35
MBB,2020-07-24,17.0,17.0,16.4,16.5,8288120,14.35
MBB,2020-07-23,17.15,17.2,16.95,17.05,3208620,14.83
MBB,2020-07-22,17.4,17.4,17.15,17.15,2724680,14.91
MBB,2020-07-21,17.3,17.3,17.15,17.3,3066900,15.04
MBB,2020-07-20,17.2,17.55,17.2,17.2,3056310,14.96
MBB,2020-07-17,17.5,17.55,17.4,17.5,3957050,15.22
MBB,2020-07-16,17.5,17.5,17.3,17.5,3783960,15.22
MBB,2020-07-15,17.3,17.4,17.2,17.3,2941050,15.04
MBB,2020-07-14,17.15,17.2,17.0,17.15,3552800,14.91
MBB,2020-07-13,17.25,17.4,17.15,17.2,2322950,14.96
MBB,2020-07-10,17.4,17.4,17.2,17.25,2151820,15.0
