name,date,open,high,low,close,volume,adj_close
MSH,2020-10-08,34.2,34.5,33.8,34.3,137130,34.3
MSH,2020-10-07,33.65,34.7,33.5,34.2,207700,34.2
MSH,2020-10-06,33.15,33.7,33.15,33.65,48720,33.65
MSH,2020-10-05,33.1,33.5,33.0,33.5,81420,33.5
MSH,2020-10-02,33.15,33.45,32.85,33.1,183700,33.1
MSH,2020-10-01,33.5,33.5,32.8,33.15,61820,33.15
MSH,2020-09-30,32.1,33.05,32.1,33.05,128040,33.05
MSH,2020-09-29,33.0,33.2,32.5,32.6,110760,32.6
MSH,2020-09-28,31.95,32.9,31.95,32.75,153880,32.75
MSH,2020-09-25,31.7,31.85,31.55,31.8,166430,31.8
MSH,2020-09-24,31.65,31.7,31.5,31.7,28170,31.7
MSH,2020-09-23,31.5,31.65,31.4,31.65,104890,31.65
MSH,2020-09-22,31.7,31.8,31.45,31.5,61640,31.5
MSH,2020-09-21,31.6,32.1,31.55,31.9,31660,31.9
MSH,2020-09-18,31.75,31.75,31.4,31.65,52150,31.65
MSH,2020-09-17,31.8,31.8,31.6,31.75,32530,31.75
MSH,2020-09-16,31.8,31.8,31.6,31.8,26540,31.8
MSH,2020-09-15,31.8,32.0,31.7,31.8,37140,31.8
MSH,2020-09-14,31.75,31.9,31.7,31.75,58580,31.75
MSH,2020-09-11,31.2,31.8,31.05,31.7,72970,31.7
MSH,2020-09-10,31.1,31.3,31.05,31.2,43720,31.2
MSH,2020-09-09,31.0,31.2,30.95,31.1,50020,31.1
MSH,2020-09-08,31.3,31.3,30.7,31.1,38050,31.1
MSH,2020-09-07,31.5,31.5,31.1,31.15,58180,31.15
MSH,2020-09-04,31.0,31.5,31.0,31.45,110120,31.45
MSH,2020-09-03,31.0,31.25,31.0,31.1,73460,31.1
MSH,2020-09-01,30.75,31.15,30.75,31.0,38770,31.0
MSH,2020-08-31,31.45,31.5,30.75,30.75,70240,30.75
MSH,2020-08-28,30.85,31.3,30.8,31.15,59810,31.15
MSH,2020-08-27,30.5,30.9,30.4,30.85,69370,30.85
MSH,2020-08-26,30.4,30.85,30.2,30.75,83050,30.75
MSH,2020-08-25,29.9,30.4,29.8,30.4,128650,30.4
MSH,2020-08-24,29.6,29.8,29.4,29.8,74800,29.8
MSH,2020-08-21,29.65,29.8,29.5,29.6,71820,29.6
MSH,2020-08-20,29.85,29.9,29.4,29.5,126640,29.5
MSH,2020-08-19,29.2,29.85,29.2,29.85,127390,29.85
MSH,2020-08-18,29.1,29.7,29.1,29.5,90230,29.5
MSH,2020-08-17,29.25,29.45,29.1,29.25,62110,29.25
MSH,2020-08-14,29.55,29.6,29.15,29.15,117200,29.15
MSH,2020-08-13,29.05,29.55,28.75,29.55,147160,29.55
MSH,2020-08-12,29.3,29.3,28.95,29.05,78290,29.05
MSH,2020-08-11,29.3,29.3,28.75,29.15,170200,29.15
MSH,2020-08-10,29.0,29.05,28.8,28.8,114290,28.8
MSH,2020-08-07,28.8,29.0,28.7,29.0,93710,29.0
MSH,2020-08-06,28.25,28.85,28.25,28.8,71990,28.8
MSH,2020-08-05,29.3,29.3,28.55,28.8,122560,28.8
MSH,2020-08-04,28.5,29.45,28.5,29.3,383200,29.3
MSH,2020-08-03,26.0,27.6,26.0,27.55,138220,27.55
MSH,2020-07-31,26.1,26.4,25.9,26.0,210370,26.0
MSH,2020-07-30,26.05,27.0,26.05,26.3,60380,26.3
MSH,2020-07-29,25.55,26.45,25.5,26.3,148230,26.3
MSH,2020-07-28,25.75,27.1,25.75,26.85,198720,26.85
MSH,2020-07-27,25.5,26.5,25.4,25.4,536240,25.4
MSH,2020-07-24,28.9,29.1,27.2,27.3,255750,27.3
MSH,2020-07-23,28.95,29.5,28.95,29.2,85160,29.2
MSH,2020-07-22,29.8,29.95,29.0,29.6,233550,29.6
MSH,2020-07-21,28.7,29.6,28.0,29.6,196780,29.6
MSH,2020-07-20,29.0,30.45,28.75,29.0,423050,29.0
MSH,2020-07-17,29.55,30.9,29.55,30.45,619080,30.45
MSH,2020-07-16,34.2,34.6,31.75,31.75,1020590,31.75
MSH,2020-07-15,33.3,34.2,33.2,34.1,213730,34.1
MSH,2020-07-14,33.25,33.4,33.2,33.4,52270,33.4
MSH,2020-07-13,33.2,33.4,33.2,33.25,51520,33.25
MSH,2020-07-10,33.35,33.35,33.25,33.25,77600,33.25
MSH,2020-07-09,33.5,33.5,33.2,33.3,73830,33.3
MSH,2020-07-08,33.8,33.8,33.2,33.4,31700,33.4
MSH,2020-07-07,33.7,34.0,33.3,33.3,51040,33.3
MSH,2020-07-06,33.6,33.8,33.5,33.65,39270,33.65
MSH,2020-07-03,33.6,34.0,33.2,33.6,33630,33.6
MSH,2020-07-02,34.1,34.1,33.4,33.6,20580,33.6
MSH,2020-07-01,33.0,34.3,32.5,33.95,39960,33.95
