name,date,open,high,low,close,volume,adj_close
MSN,2020-10-16,81.0,81.0,75.5,80.0,6539150,80.0
MSN,2020-10-15,80.0,82.9,78.3,81.1,5698130,81.1
MSN,2020-10-14,74.7,80.0,73.1,80.0,5066890,80.0
MSN,2020-10-13,70.0,75.1,68.0,74.8,4664240,74.8
MSN,2020-10-12,68.0,70.2,66.5,70.2,5818700,70.2
MSN,2020-10-09,63.5,68.2,62.2,68.1,5339660,68.1
MSN,2020-10-08,61.5,63.9,60.6,63.9,4846470,63.9
MSN,2020-10-07,58.0,62.0,57.9,61.9,6435850,61.9
MSN,2020-10-06,56.4,58.3,56.3,58.0,4400570,58.0
MSN,2020-10-05,54.6,56.2,54.1,56.0,3268020,56.0
MSN,2020-10-02,54.9,55.0,53.8,54.1,1483120,54.1
MSN,2020-10-01,54.7,55.0,54.6,54.9,964220,54.9
MSN,2020-09-30,53.6,54.6,53.6,54.6,843740,54.6
MSN,2020-09-29,54.9,54.9,53.6,53.6,1283100,53.6
MSN,2020-09-28,54.7,55.1,54.5,54.7,623360,54.7
MSN,2020-09-25,55.0,55.3,54.5,54.7,708340,54.7
MSN,2020-09-24,55.1,55.7,55.0,55.0,881030,55.0
MSN,2020-09-23,54.6,55.4,54.4,55.4,1284870,55.4
MSN,2020-09-22,54.5,54.6,54.1,54.3,760350,54.3
MSN,2020-09-21,54.4,54.8,54.4,54.5,879920,54.5
MSN,2020-09-10,55.4,55.5,54.7,54.8,735560,54.8
MSN,2020-09-09,54.1,55.4,54.1,55.0,1082410,55.0
MSN,2020-09-08,54.7,55.0,54.4,54.8,1460040,54.8
MSN,2020-09-07,56.6,57.1,54.6,54.6,2265500,54.6
MSN,2020-09-04,54.4,56.5,54.4,56.3,2640190,56.3
MSN,2020-09-03,55.4,55.5,54.7,55.4,1754030,55.4
MSN,2020-09-01,55.0,55.0,54.3,54.6,1624840,54.6
MSN,2020-08-31,55.0,55.5,54.4,55.0,1294650,55.0
MSN,2020-08-28,53.9,55.5,53.7,54.5,2380000,54.5
MSN,2020-08-27,53.5,53.7,53.4,53.6,816320,53.6
MSN,2020-08-26,53.6,53.9,53.3,53.5,883720,53.5
MSN,2020-08-25,54.0,54.4,53.6,53.6,1698780,53.6
MSN,2020-08-24,52.8,54.0,52.8,53.6,1713810,53.6
MSN,2020-08-21,52.0,52.9,52.0,52.6,968870,52.6
MSN,2020-08-20,52.7,52.8,52.0,52.0,1419940,52.0
MSN,2020-08-19,52.4,52.9,52.1,52.7,867050,52.7
MSN,2020-08-18,53.0,53.0,52.3,52.4,771290,52.4
MSN,2020-08-17,53.0,53.5,52.3,53.0,1099660,53.0
MSN,2020-08-14,54.4,54.5,53.0,53.4,1796510,53.4
MSN,2020-08-13,54.2,54.6,54.0,54.4,953060,54.4
MSN,2020-08-12,54.3,54.8,53.9,54.2,981320,54.2
MSN,2020-08-11,54.8,54.8,54.1,54.6,658760,54.6
MSN,2020-08-10,54.2,54.9,54.2,54.5,953690,54.5
MSN,2020-08-07,54.0,54.8,53.8,54.1,959230,54.1
MSN,2020-08-06,54.5,54.9,53.7,53.9,1178020,53.9
MSN,2020-08-05,53.5,55.0,53.2,55.0,1810780,55.0
MSN,2020-08-04,53.2,54.3,53.2,54.0,1681090,54.0
MSN,2020-08-03,50.5,52.7,50.5,52.6,1395440,52.6
MSN,2020-07-31,49.1,51.4,49.1,50.5,2195060,50.5
MSN,2020-07-30,49.9,50.1,49.5,49.8,821650,49.8
MSN,2020-07-29,49.5,50.0,49.0,49.35,1352670,49.35
MSN,2020-07-28,50.0,51.0,49.5,50.5,1318770,50.5
MSN,2020-07-27,48.9,51.5,48.9,49.5,2819250,49.5
MSN,2020-07-24,53.7,53.9,50.8,52.0,2045780,52.0
MSN,2020-07-23,54.2,54.6,53.6,53.9,762030,53.9
MSN,2020-07-22,54.7,55.2,54.2,54.2,833760,54.2
MSN,2020-07-21,55.0,55.6,54.3,54.7,1670960,54.7
MSN,2020-07-20,55.0,56.0,55.0,55.0,944440,55.0
MSN,2020-07-17,56.7,56.8,56.0,56.2,759610,56.2
MSN,2020-07-16,56.0,57.0,55.5,57.0,978700,57.0
MSN,2020-07-15,56.5,56.7,55.7,55.7,1250200,55.7
MSN,2020-07-14,56.4,56.6,55.7,56.0,929240,56.0
MSN,2020-07-13,57.0,57.5,56.5,56.6,557920,56.6
MSN,2020-07-10,57.4,57.6,56.0,56.9,564900,56.9
MSN,2020-07-09,57.1,57.7,56.9,57.4,1097650,57.4
MSN,2020-07-08,57.0,57.5,57.0,57.0,467170,57.0
MSN,2020-07-07,57.9,58.4,57.0,57.0,959250,57.0
MSN,2020-07-06,57.2,58.0,57.1,57.6,855780,57.6
MSN,2020-07-03,57.2,57.9,56.7,57.2,699930,57.2
MSN,2020-07-02,56.0,57.6,55.5,57.2,1094380,57.2
MSN,2020-07-01,54.4,56.1,54.0,55.5,965870,55.5
MSN,2020-06-30,55.9,56.1,54.0,54.1,1378930,54.1
MSN,2020-06-29,56.4,56.4,53.9,55.1,1720440,55.1
MSN,2020-06-26,56.7,57.9,56.4,56.4,574970,56.4
MSN,2020-06-25,56.6,57.0,56.2,56.7,1540010,56.7
MSN,2020-06-24,58.4,58.8,56.5,57.2,935890,57.2
MSN,2020-06-23,58.0,59.5,58.0,58.4,1453290,58.4
MSN,2020-06-22,57.5,58.5,57.5,58.3,1621780,58.3
