name,date,open,high,low,close,volume,adj_close
NLG,2020-10-16,26.5,26.65,26.4,26.55,916060,26.55
NLG,2020-10-15,26.5,26.7,26.4,26.5,753280,26.5
NLG,2020-10-14,26.6,26.6,26.45,26.5,455860,26.5
NLG,2020-10-13,26.5,26.6,26.4,26.6,648230,26.6
NLG,2020-10-12,26.65,26.65,26.2,26.5,842900,26.5
NLG,2020-10-09,26.5,26.65,26.3,26.65,867790,26.65
NLG,2020-10-08,26.55,26.65,26.4,26.5,848360,26.5
NLG,2020-10-07,26.3,26.6,26.2,26.55,670310,26.55
NLG,2020-10-06,26.7,26.8,26.0,26.4,853490,26.4
NLG,2020-10-05,26.4,26.75,26.0,26.5,1236080,26.5
NLG,2020-10-02,26.4,26.4,25.75,26.0,658230,26.0
NLG,2020-10-01,25.8,26.45,25.6,26.25,1111310,26.25
NLG,2020-09-30,25.6,25.8,25.45,25.75,603070,25.75
NLG,2020-09-29,25.8,25.8,25.0,25.6,867740,25.6
NLG,2020-09-28,25.45,25.65,25.4,25.6,993300,25.6
NLG,2020-09-25,25.7,25.7,25.35,25.5,940370,25.5
NLG,2020-09-24,25.65,25.95,25.4,25.5,747660,25.5
NLG,2020-09-23,28.4,28.4,28.05,28.1,789960,25.65
NLG,2020-09-22,28.0,28.2,27.8,28.1,954220,25.65
NLG,2020-09-21,28.5,28.65,27.9,28.0,927840,25.56
NLG,2020-09-10,27.45,27.55,27.25,27.5,1079270,25.1
NLG,2020-09-09,27.5,27.5,27.1,27.4,522540,25.01
NLG,2020-09-08,27.6,27.6,27.1,27.5,989210,25.1
NLG,2020-09-07,27.6,27.8,27.3,27.6,884940,25.19
NLG,2020-09-04,27.2,27.6,27.1,27.6,893190,25.19
NLG,2020-09-03,27.95,27.95,27.35,27.45,1389070,25.05
NLG,2020-09-01,27.4,27.7,27.4,27.65,619470,25.24
NLG,2020-08-31,27.9,27.9,27.45,27.6,1622660,25.19
NLG,2020-08-28,27.6,28.0,27.5,27.9,972030,25.46
NLG,2020-08-27,27.55,28.0,27.45,27.6,1540420,25.19
NLG,2020-08-26,27.2,27.55,27.15,27.45,2065570,25.05
NLG,2020-08-25,27.2,27.65,27.15,27.35,1154590,24.96
NLG,2020-08-24,27.25,27.5,27.1,27.35,1462920,24.96
NLG,2020-08-21,26.9,27.3,26.9,27.2,1665010,24.83
NLG,2020-08-20,26.75,27.0,26.65,26.9,921560,24.55
NLG,2020-08-19,26.45,26.8,26.2,26.75,1138740,24.41
NLG,2020-08-18,26.35,26.4,26.1,26.4,843930,24.1
NLG,2020-08-17,26.4,26.5,26.1,26.4,983440,24.1
NLG,2020-08-14,26.8,26.8,26.2,26.5,1548760,24.19
NLG,2020-08-13,26.8,26.8,26.4,26.8,1186960,24.46
NLG,2020-08-12,26.7,26.85,26.5,26.8,1310690,24.46
NLG,2020-08-11,26.7,26.85,26.2,26.7,1455400,24.37
NLG,2020-08-10,25.85,26.65,25.8,26.6,3250140,24.28
NLG,2020-08-07,25.65,25.85,25.45,25.85,896380,23.59
NLG,2020-08-06,25.6,25.65,25.35,25.65,1491340,23.41
NLG,2020-08-05,25.4,25.75,25.1,25.6,1445660,23.37
NLG,2020-08-04,25.45,25.5,25.2,25.3,284970,23.09
NLG,2020-08-03,25.0,25.4,24.7,25.3,390430,23.09
NLG,2020-07-31,25.2,25.5,24.8,25.0,1215660,22.82
NLG,2020-07-30,25.2,25.4,24.9,25.3,934340,23.09
NLG,2020-07-29,25.6,25.8,24.8,25.2,899150,23.0
NLG,2020-07-28,25.4,25.65,24.7,25.6,845820,23.37
NLG,2020-07-27,25.0,25.75,24.9,25.4,1171180,23.18
NLG,2020-07-24,25.45,25.85,24.7,25.7,2479900,23.46
NLG,2020-07-23,25.4,25.5,25.1,25.45,901520,23.23
NLG,2020-07-22,25.0,25.5,25.0,25.4,510260,23.18
NLG,2020-07-21,25.2,25.3,24.9,25.3,749500,23.09
NLG,2020-07-20,25.2,25.35,24.95,25.2,498990,23.0
NLG,2020-07-17,25.05,25.35,24.9,25.35,328420,23.14
NLG,2020-07-16,25.4,25.5,25.05,25.15,415710,22.95
NLG,2020-07-15,25.75,25.75,25.2,25.45,342400,23.23
NLG,2020-07-14,25.3,25.5,25.0,25.5,1222700,23.27
NLG,2020-07-13,25.85,25.9,25.25,25.5,1066520,23.27
NLG,2020-07-10,25.9,25.9,25.3,25.85,1355590,23.59
NLG,2020-07-09,25.2,25.9,25.0,25.9,2041610,23.64
NLG,2020-07-08,25.2,25.45,24.9,25.2,861650,23.0
NLG,2020-07-07,25.6,25.6,25.0,25.4,781250,23.18
NLG,2020-07-06,25.5,25.55,25.2,25.45,893910,23.23
NLG,2020-07-03,25.4,25.5,25.0,25.35,1941940,23.14
NLG,2020-07-02,25.1,25.4,24.7,25.2,1039100,23.0
NLG,2020-07-01,24.5,25.0,24.35,24.9,1063210,22.73
NLG,2020-06-30,24.95,24.95,24.2,24.5,566050,22.36
NLG,2020-06-29,25.1,25.1,24.4,24.7,717540,22.54
NLG,2020-06-26,24.9,25.15,24.65,25.1,908690,22.91
NLG,2020-06-25,24.5,24.8,24.0,24.8,1979060,22.64
NLG,2020-06-24,25.0,25.0,24.6,24.6,1246790,22.45
NLG,2020-06-23,25.35,25.35,24.8,25.0,2360900,22.82
NLG,2020-06-22,25.4,25.45,24.95,25.35,854190,23.14
NLG,2020-06-19,24.7,25.5,24.6,25.4,2309140,23.18
NLG,2020-06-18,24.9,24.9,24.55,24.9,529920,22.73
NLG,2020-06-17,25.0,25.0,24.55,24.9,734070,22.73
NLG,2020-06-16,24.9,24.9,24.2,24.9,656970,22.73
NLG,2020-06-15,25.0,25.2,24.0,24.7,1621460,22.54
NLG,2020-06-12,24.5,25.0,23.7,25.0,1338480,22.82
NLG,2020-06-11,25.6,26.0,24.5,25.0,2572050,22.82
NLG,2020-06-10,24.3,25.7,24.05,25.6,3523820,23.37
NLG,2020-06-09,24.3,24.65,23.85,24.3,1663490,22.18
NLG,2020-06-08,24.25,24.5,23.9,24.25,1379870,22.13
NLG,2020-06-05,24.0,24.25,23.5,24.25,818430,22.13
NLG,2020-06-04,23.6,24.5,23.3,24.3,1536300,21.74
NLG,2020-06-03,23.55,23.7,23.4,23.6,652800,21.12
NLG,2020-06-02,23.7,23.8,22.7,23.55,1095790,21.07
NLG,2020-06-01,23.2,23.7,23.2,23.55,767560,21.07
NLG,2020-05-29,23.35,23.35,22.95,23.2,955580,20.76
NLG,2020-05-28,23.2,23.45,23.1,23.35,805560,20.89
NLG,2020-05-27,23.6,24.0,23.15,23.15,990530,20.71
NLG,2020-05-26,23.4,23.85,23.05,23.6,1053500,21.12
NLG,2020-05-25,23.4,23.4,23.0,23.05,410850,20.62
NLG,2020-05-22,23.6,23.7,22.95,23.0,813420,20.58
NLG,2020-05-21,23.2,23.85,23.2,23.6,1189550,21.12
NLG,2020-05-20,23.9,23.9,23.3,23.7,835660,21.2
NLG,2020-05-19,23.8,24.0,23.2,23.9,1145470,21.38
NLG,2020-05-18,24.2,24.2,22.9,23.5,1193610,21.03
NLG,2020-05-15,24.7,24.7,23.0,24.2,2346140,21.65
NLG,2020-05-14,24.3,24.7,24.3,24.7,852830,22.1
NLG,2020-05-13,24.3,25.1,23.65,24.65,1640120,22.05
NLG,2020-05-12,23.8,24.3,23.0,24.3,1508710,21.74
NLG,2020-05-11,23.6,23.7,22.8,23.6,1055830,21.12
NLG,2020-05-08,22.35,23.15,22.0,23.0,1481880,20.58
NLG,2020-05-07,22.45,22.45,22.0,22.3,770090,19.95
NLG,2020-05-06,22.5,22.5,22.15,22.45,337450,20.09
NLG,2020-05-05,22.3,22.8,22.0,22.4,384290,20.04
NLG,2020-05-04,22.5,22.55,22.0,22.5,1723340,20.13
NLG,2020-04-29,22.5,22.5,21.35,22.5,981800,20.13
NLG,2020-04-28,21.5,21.6,21.1,21.6,374620,19.33
NLG,2020-04-27,21.65,21.7,21.2,21.45,413810,19.19
NLG,2020-04-24,21.5,21.7,21.35,21.6,707590,19.33
NLG,2020-04-23,21.8,21.8,21.4,21.65,901490,19.37
