name,date,open,high,low,close,volume,adj_close
NTP,2020-10-22,34.0,34.0,34.0,33.8,25780,33.8
NTP,2020-10-21,34.4,34.5,34.5,34.0,33892,34.0
NTP,2020-10-20,34.2,34.4,34.5,34.4,57005,34.4
NTP,2020-10-19,33.3,33.3,34.2,34.2,86764,34.2
NTP,2020-10-16,32.9,32.6,33.3,33.3,58050,33.3
NTP,2020-10-15,32.6,32.9,32.9,32.9,36566,32.9
NTP,2020-10-14,32.6,32.8,33.6,32.6,46535,32.6
NTP,2020-10-13,32.8,32.8,32.8,32.6,13148,32.6
NTP,2020-10-12,32.7,33.3,34.0,32.8,72851,32.8
NTP,2020-10-09,33.0,33.1,33.1,32.7,20182,32.7
NTP,2020-10-08,33.5,33.5,33.5,33.0,16306,33.0
NTP,2020-10-07,33.5,33.2,33.5,33.5,9330,33.5
NTP,2020-10-06,33.7,33.7,33.8,33.5,10062,33.5
NTP,2020-10-05,33.5,33.5,33.7,33.7,23783,33.7
NTP,2020-10-02,33.6,33.8,33.8,33.5,55245,33.5
NTP,2020-10-01,32.7,33.4,33.8,33.6,77260,33.6
NTP,2020-09-30,33.3,33.1,33.9,32.7,12634,32.7
NTP,2020-09-29,33.7,33.6,33.7,33.3,9635,33.3
NTP,2020-09-28,33.2,33.2,33.7,33.7,27520,33.7
NTP,2020-09-25,33.6,33.2,33.5,33.2,52768,33.2
NTP,2020-09-24,33.9,33.0,34.2,33.6,14240,33.6
NTP,2020-09-23,34.0,34.2,34.2,33.9,16545,33.9
NTP,2020-09-22,34.1,33.9,34.4,34.0,18382,34.0
NTP,2020-09-21,33.3,33.3,34.5,34.1,131545,34.1
NTP,2020-09-18,33.2,33.0,33.3,33.3,18558,33.3
NTP,2020-09-17,33.0,33.4,33.5,33.2,14445,33.2
NTP,2020-09-16,32.7,32.8,33.1,33.0,86850,33.0
NTP,2020-09-15,32.0,32.0,33.5,32.7,118624,32.7
NTP,2020-09-14,31.9,31.8,32.5,32.0,61312,32.0
NTP,2020-09-11,32.0,32.0,32.0,31.9,10548,31.9
NTP,2020-09-10,31.7,31.7,32.2,32.0,47060,32.0
NTP,2020-09-09,31.5,31.5,31.7,31.7,51310,31.7
NTP,2020-09-08,31.1,31.4,32.0,31.5,14931,31.5
NTP,2020-09-07,31.2,31.4,31.6,31.1,41000,31.1
NTP,2020-09-04,31.2,31.1,31.3,31.2,39933,31.2
NTP,2020-09-03,30.9,31.0,31.4,31.2,34596,31.2
NTP,2020-09-01,31.4,31.4,31.4,30.9,38525,30.9
NTP,2020-08-31,31.6,31.6,31.6,31.4,13359,31.4
NTP,2020-08-28,31.0,31.0,31.9,31.6,14061,31.6
NTP,2020-08-27,30.8,30.6,31.2,31.0,92575,31.0
NTP,2020-08-26,30.5,30.0,30.9,30.8,46102,30.8
NTP,2020-08-25,30.5,30.0,30.6,30.5,20947,30.5
NTP,2020-08-24,29.9,29.9,30.8,30.5,31265,30.5
NTP,2020-08-21,29.7,29.6,29.9,29.9,14591,29.9
NTP,2020-08-20,29.8,29.7,29.7,29.7,15400,29.7
NTP,2020-08-19,29.8,29.8,29.9,29.8,47170,29.8
NTP,2020-08-18,28.8,28.9,30.7,29.8,49926,29.8
NTP,2020-08-17,29.0,28.8,28.8,28.8,44145,28.8
NTP,2020-08-14,29.1,28.9,29.1,29.0,10050,29.0
NTP,2020-08-13,29.0,29.1,29.1,29.1,3440,29.1
NTP,2020-08-12,29.0,29.2,29.2,29.0,4112,29.0
NTP,2020-08-11,29.1,29.2,29.3,29.0,35640,29.0
NTP,2020-08-10,28.6,28.7,29.2,29.1,29350,29.1
NTP,2020-08-07,29.0,29.0,29.2,28.6,13825,28.6
NTP,2020-08-06,29.1,29.1,29.1,29.0,25852,29.0
NTP,2020-08-05,28.7,28.7,29.2,29.1,8304,29.1
NTP,2020-08-04,28.5,28.7,29.1,28.7,18411,28.7
NTP,2020-08-03,28.5,27.0,28.8,28.5,12040,28.5
NTP,2020-07-31,27.2,27.0,28.5,28.5,3200,28.5
NTP,2020-07-30,26.6,26.7,27.2,27.2,10700,27.2
NTP,2020-07-29,27.9,27.9,27.9,26.6,45910,26.6
NTP,2020-07-28,25.7,25.7,27.9,27.9,15721,27.9
NTP,2020-07-27,28.4,27.2,27.8,25.7,99724,25.7
NTP,2020-07-24,30.1,30.0,30.0,28.4,56490,28.4
NTP,2020-07-23,30.4,30.4,30.4,30.1,83900,30.1
NTP,2020-07-22,30.9,30.5,30.7,30.4,38400,30.4
NTP,2020-07-21,31.4,30.6,30.9,30.9,23159,30.9
NTP,2020-07-20,30.7,30.7,31.9,31.4,13646,31.4
NTP,2020-07-17,30.7,31.4,31.4,30.7,2920,30.7
NTP,2020-07-16,31.4,32.0,32.0,30.7,11300,30.7
NTP,2020-07-15,31.2,31.2,31.5,31.4,18505,31.4
NTP,2020-07-14,31.6,30.4,31.3,31.2,2810,31.2
NTP,2020-07-13,31.0,31.0,32.0,31.6,63400,31.6
NTP,2020-07-10,31.2,31.4,31.4,31.0,50334,31.0
NTP,2020-07-09,31.0,31.0,31.6,31.2,9765,31.2
NTP,2020-07-08,32.0,32.0,32.0,31.0,18220,31.0
NTP,2020-07-07,32.2,32.3,32.3,32.0,5150,32.0
NTP,2020-07-06,32.3,32.1,32.5,32.2,5930,32.2
NTP,2020-07-03,32.7,32.7,33.2,32.3,12400,32.3
NTP,2020-07-02,32.3,32.2,32.7,32.7,6910,32.7
NTP,2020-07-01,31.7,32.8,32.8,32.3,5964,32.3
NTP,2020-06-30,32.0,32.0,32.3,31.7,21600,31.7
NTP,2020-06-29,34.0,32.0,33.8,32.0,36727,32.0
NTP,2020-06-26,32.6,34.5,35.7,34.0,17980,34.0
NTP,2020-06-25,32.5,34.0,34.0,32.6,37930,32.6
NTP,2020-06-24,40.1,40.1,40.1,39.0,21433,32.5
NTP,2020-06-23,39.9,40.3,40.7,40.1,85252,33.42
NTP,2020-06-22,39.3,39.9,40.0,39.9,340971,33.25
NTP,2020-06-19,37.9,38.0,39.3,39.3,65350,32.75
NTP,2020-06-18,37.6,37.6,38.5,37.9,70500,31.58
NTP,2020-06-17,37.1,37.2,39.0,37.6,29779,31.33
NTP,2020-06-16,36.9,36.6,37.1,37.1,9650,30.92
NTP,2020-06-15,37.0,37.0,37.1,36.9,18143,30.75
NTP,2020-06-12,37.0,36.7,37.0,37.0,37544,30.83
NTP,2020-06-11,38.5,38.5,38.5,37.0,35760,30.83
NTP,2020-06-10,38.2,38.2,38.5,38.5,51489,32.08
NTP,2020-06-09,37.7,37.8,38.3,38.2,21724,31.83
NTP,2020-06-08,37.5,37.5,38.0,37.7,42555,31.42
NTP,2020-06-05,36.0,36.0,37.5,37.5,72830,31.25
NTP,2020-06-04,35.2,35.0,36.7,36.0,130298,30.0
NTP,2020-06-03,36.2,35.3,36.2,36.2,5972,29.33
NTP,2020-06-02,36.2,36.2,36.4,36.2,32510,29.33
NTP,2020-06-01,35.5,35.6,36.3,36.2,59238,29.33
NTP,2020-05-29,35.5,35.5,35.6,35.5,27523,28.77
NTP,2020-05-28,34.9,35.1,35.7,35.5,143511,28.77
NTP,2020-05-27,34.8,34.8,35.0,34.9,249910,28.28
NTP,2020-05-26,34.2,34.2,34.8,34.8,25506,28.2
NTP,2020-05-25,34.4,34.4,34.8,34.2,26910,27.71
NTP,2020-05-22,35.2,35.2,35.2,34.4,26419,27.87
NTP,2020-05-21,35.7,35.8,35.8,35.2,32260,28.52
NTP,2020-05-20,35.3,35.4,35.8,35.7,18470,28.93
NTP,2020-05-19,35.0,35.1,35.3,35.3,104700,28.6
NTP,2020-05-18,35.0,35.0,35.0,35.0,9110,28.36
NTP,2020-05-15,35.9,35.7,35.7,35.0,30700,28.36
NTP,2020-05-14,35.4,35.4,35.9,35.9,48800,29.09
NTP,2020-05-13,35.4,35.3,35.9,35.4,43200,28.68
NTP,2020-05-12,33.5,33.6,36.0,35.4,55550,28.68
NTP,2020-05-11,33.3,33.3,33.5,33.5,72180,27.15
NTP,2020-05-08,32.7,32.7,34.5,33.3,101762,26.98
NTP,2020-05-07,32.8,33.1,33.5,32.7,51549,26.5
NTP,2020-05-06,32.8,33.0,33.0,32.8,11945,26.58
NTP,2020-05-05,32.2,32.5,32.8,32.8,14432,26.58
