name,date,open,high,low,close,volume,adj_close
PC1,2020-10-16,22.4,22.8,22.25,22.4,216240,22.4
PC1,2020-10-15,22.6,22.6,22.25,22.4,216620,22.4
PC1,2020-10-14,22.6,22.6,22.3,22.6,91520,22.6
PC1,2020-10-13,22.3,22.8,22.3,22.5,99600,22.5
PC1,2020-10-12,22.1,22.9,22.1,22.5,323750,22.5
PC1,2020-10-09,22.5,22.75,22.4,22.7,230190,22.7
PC1,2020-10-08,22.55,22.55,22.0,22.4,165470,22.4
PC1,2020-10-07,22.45,22.75,22.4,22.55,430810,22.55
PC1,2020-10-06,22.8,22.9,22.7,22.75,186490,22.75
PC1,2020-10-05,22.0,22.8,22.0,22.8,472320,22.8
PC1,2020-10-02,21.3,22.2,21.3,22.0,802180,22.0
PC1,2020-10-01,21.4,21.55,21.2,21.3,323690,21.3
PC1,2020-09-30,21.1,21.3,20.9,21.25,143300,21.25
PC1,2020-09-29,21.65,21.7,21.1,21.2,232450,21.2
PC1,2020-09-28,21.2,21.65,21.2,21.6,206630,21.6
PC1,2020-09-25,21.7,21.7,21.3,21.3,224520,21.3
PC1,2020-09-24,21.6,21.75,21.4,21.55,437830,21.55
PC1,2020-09-23,21.6,21.95,21.6,21.6,288250,21.6
PC1,2020-09-22,21.2,21.5,21.2,21.5,297440,21.5
PC1,2020-09-21,21.1,21.5,21.0,21.5,511000,21.5
PC1,2020-09-10,19.4,19.5,19.35,19.45,293010,19.45
PC1,2020-09-09,19.1,19.4,19.1,19.4,182520,19.4
PC1,2020-09-08,19.15,19.4,19.0,19.2,324950,19.2
PC1,2020-09-07,19.2,19.7,19.15,19.15,391800,19.15
PC1,2020-09-04,19.5,19.7,19.25,19.6,338510,19.6
PC1,2020-09-03,19.85,19.85,19.55,19.75,288840,19.75
PC1,2020-09-01,19.15,19.75,19.1,19.7,457950,19.7
PC1,2020-08-31,19.5,19.85,19.2,19.2,490190,19.2
PC1,2020-08-28,19.8,19.95,19.5,19.5,669190,19.5
PC1,2020-08-27,19.2,19.8,19.2,19.5,834900,19.5
PC1,2020-08-26,19.25,19.3,19.1,19.2,249670,19.2
PC1,2020-08-25,19.5,19.5,19.25,19.25,361950,19.25
PC1,2020-08-24,19.2,19.4,19.0,19.3,634080,19.3
PC1,2020-08-21,18.4,19.1,18.4,18.85,630360,18.85
PC1,2020-08-20,18.65,18.7,18.4,18.55,308560,18.55
PC1,2020-08-19,18.5,18.75,18.5,18.65,170220,18.65
PC1,2020-08-18,18.5,18.6,18.4,18.5,156920,18.5
PC1,2020-08-17,18.5,18.75,18.2,18.5,283760,18.5
PC1,2020-08-14,18.9,18.9,18.5,18.75,455200,18.75
PC1,2020-08-13,18.55,18.95,18.3,18.9,405970,18.9
PC1,2020-08-12,17.7,18.45,17.6,18.45,316820,18.45
PC1,2020-08-11,17.8,17.8,17.5,17.7,132250,17.7
PC1,2020-08-10,17.35,17.85,17.35,17.6,282950,17.6
PC1,2020-08-07,17.75,17.75,17.45,17.5,316380,17.5
PC1,2020-08-06,17.9,17.9,17.65,17.75,201070,17.75
PC1,2020-08-05,18.0,18.0,17.7,17.9,239720,17.9
PC1,2020-08-04,17.5,17.9,17.5,17.8,275340,17.8
PC1,2020-08-03,17.0,17.55,16.95,17.5,241300,17.5
PC1,2020-07-31,16.2,17.35,16.2,17.0,302580,17.0
PC1,2020-07-30,16.5,17.1,16.5,17.1,286200,17.1
PC1,2020-07-29,16.9,16.95,16.2,16.5,827820,16.5
PC1,2020-07-28,16.6,17.4,16.6,17.4,460430,17.4
PC1,2020-07-27,16.8,17.5,16.55,16.6,1109170,16.6
PC1,2020-07-24,18.4,18.4,17.25,17.7,1615380,17.7
PC1,2020-07-23,18.75,18.9,18.2,18.5,430850,18.5
PC1,2020-07-22,19.2,19.4,18.7,18.75,375030,18.75
PC1,2020-07-21,18.6,19.2,18.6,19.2,754960,19.2
PC1,2020-07-20,18.8,19.5,18.8,18.8,1082800,18.8
PC1,2020-07-17,19.3,19.55,18.8,19.45,386160,19.45
PC1,2020-07-16,19.4,19.95,19.4,19.4,462250,19.4
PC1,2020-07-15,18.25,19.4,18.2,19.4,2710320,19.4
PC1,2020-07-14,17.9,18.15,17.85,18.15,200130,18.15
PC1,2020-07-13,18.0,18.35,17.85,17.95,483560,17.95
PC1,2020-07-10,17.9,18.05,17.7,17.95,367470,17.95
PC1,2020-07-09,17.4,18.1,17.3,17.95,822010,17.95
PC1,2020-07-08,17.35,17.45,17.25,17.4,140400,17.4
PC1,2020-07-07,17.0,17.45,17.0,17.35,315340,17.35
PC1,2020-07-06,17.2,17.3,16.95,17.0,113630,17.0
PC1,2020-07-03,17.3,17.3,16.95,17.1,197690,17.1
PC1,2020-07-02,17.3,17.3,16.9,16.95,147990,16.95
PC1,2020-07-01,16.5,17.15,16.5,17.1,161770,17.1
PC1,2020-06-30,16.8,17.2,16.65,16.75,191870,16.75
PC1,2020-06-29,17.3,17.3,16.2,16.8,347140,16.8
PC1,2020-06-26,17.4,17.5,17.0,17.3,232030,17.3
PC1,2020-06-25,17.35,17.4,17.0,17.35,77560,17.35
PC1,2020-06-24,17.7,17.85,17.35,17.35,191510,17.35
PC1,2020-06-23,18.0,18.0,17.5,17.75,211510,17.75
PC1,2020-06-22,17.4,18.2,17.3,17.7,496020,17.7
PC1,2020-06-19,17.0,17.2,16.95,17.15,153850,17.15
PC1,2020-06-18,17.0,17.3,16.9,16.95,81670,16.95
PC1,2020-06-17,17.5,17.5,16.9,17.2,152340,17.2
PC1,2020-06-16,17.0,17.25,16.75,17.25,297420,17.25
PC1,2020-06-15,17.7,17.75,16.8,16.8,790350,16.8
PC1,2020-06-12,16.5,17.6,16.5,17.6,575940,17.6
PC1,2020-06-11,18.0,18.6,17.5,17.5,881980,17.5
PC1,2020-06-10,17.7,18.1,17.5,18.05,551300,18.05
PC1,2020-06-09,18.0,18.1,17.7,17.7,448740,17.7
PC1,2020-06-08,18.2,18.2,17.9,18.0,1039690,18.0
PC1,2020-06-05,18.2,18.25,18.0,18.1,463250,18.1
PC1,2020-06-04,18.0,18.35,18.0,18.2,441530,18.2
PC1,2020-06-03,18.2,18.4,17.8,17.8,535100,17.8
PC1,2020-06-02,17.9,18.5,17.6,18.0,1354500,18.0
PC1,2020-06-01,17.3,17.6,17.3,17.6,515080,17.6
PC1,2020-05-29,17.2,17.7,17.15,17.3,774130,17.3
PC1,2020-05-28,17.2,17.5,17.0,17.2,774470,17.2
PC1,2020-05-27,17.8,17.8,17.2,17.2,577340,17.2
PC1,2020-05-26,17.5,17.7,17.3,17.55,1129300,17.55
PC1,2020-05-25,16.8,16.9,16.6,16.9,394950,16.9
PC1,2020-05-22,16.8,17.0,16.75,16.8,720070,16.8
PC1,2020-05-21,17.1,17.2,16.6,16.8,515100,16.8
PC1,2020-05-20,17.0,17.3,17.0,17.1,260460,17.1
PC1,2020-05-19,17.5,17.6,17.0,17.1,608140,17.1
PC1,2020-05-18,17.3,17.6,16.9,17.5,601740,17.5
PC1,2020-05-15,16.9,17.4,16.7,17.1,803410,17.1
PC1,2020-05-14,16.7,17.1,16.7,16.9,379940,16.9
PC1,2020-05-13,16.7,17.35,16.3,17.0,831140,17.0
PC1,2020-05-12,16.4,16.7,16.2,16.6,522640,16.6
PC1,2020-05-11,16.7,17.1,16.15,16.7,1120310,16.7
PC1,2020-05-08,16.0,17.0,15.85,17.0,1169570,17.0
PC1,2020-05-07,16.15,16.15,15.5,16.15,1612260,16.15
PC1,2020-05-06,14.2,15.1,14.2,15.1,964100,15.1
PC1,2020-05-05,14.2,14.4,14.1,14.15,168390,14.15
PC1,2020-05-04,14.1,14.4,14.0,14.2,412500,14.2
PC1,2020-04-29,14.1,14.4,14.0,14.1,181480,14.1
PC1,2020-04-28,14.5,14.5,14.1,14.3,160830,14.3
PC1,2020-04-27,14.0,14.4,14.0,14.3,354940,14.3
PC1,2020-04-24,14.1,14.1,13.85,14.0,282990,14.0
PC1,2020-04-23,14.3,14.4,13.7,13.85,246000,13.85
PC1,2020-04-22,13.7,14.1,13.7,14.0,565370,14.0
PC1,2020-04-21,14.2,14.35,13.6,14.1,1080760,14.1
PC1,2020-04-20,14.85,14.85,14.05,14.35,901540,14.35
PC1,2020-04-17,13.7,14.2,13.7,13.95,612310,13.95
PC1,2020-04-16,13.2,13.7,13.2,13.5,245690,13.5
PC1,2020-04-15,13.2,13.6,13.05,13.55,725070,13.55
PC1,2020-04-14,13.15,13.2,12.75,13.0,696770,13.0
PC1,2020-04-13,12.55,13.2,12.55,13.15,761590,13.15
PC1,2020-04-10,12.8,12.9,12.4,12.55,705910,12.55
PC1,2020-04-09,11.9,12.4,11.6,12.4,606720,12.4
PC1,2020-04-08,11.5,11.8,11.35,11.6,248780,11.6
PC1,2020-04-07,12.0,12.0,11.5,11.8,211990,11.8
PC1,2020-04-06,11.45,11.9,11.4,11.8,391390,11.8
PC1,2020-04-03,10.7,11.2,10.6,11.15,349570,11.15
PC1,2020-04-01,10.25,10.5,10.25,10.5,143120,10.5
PC1,2020-03-31,10.4,10.8,10.0,10.1,365250,10.1
PC1,2020-03-30,11.0,11.0,10.3,10.45,153330,10.45
PC1,2020-03-27,11.1,11.2,10.85,11.0,184000,11.0
PC1,2020-03-26,11.4,11.4,10.9,11.1,255150,11.1
PC1,2020-03-25,11.4,11.55,11.05,11.4,177580,11.4
PC1,2020-03-24,11.4,11.4,10.7,11.05,319500,11.05
PC1,2020-03-23,11.5,11.5,10.85,10.85,654930,10.85
PC1,2020-03-20,11.7,11.7,11.3,11.65,300610,11.65
PC1,2020-03-19,11.6,11.7,11.4,11.55,1072830,11.55
PC1,2020-03-18,11.75,11.9,11.55,11.7,480910,11.7
PC1,2020-03-17,11.7,11.7,11.1,11.7,448750,11.7
PC1,2020-03-16,11.65,11.95,11.6,11.7,325680,11.7
PC1,2020-03-13,11.65,11.9,11.65,11.7,1246350,11.7
PC1,2020-03-12,12.85,13.0,12.5,12.5,796680,12.5
PC1,2020-03-11,13.85,14.0,13.2,13.4,411730,13.4
PC1,2020-03-10,13.8,14.0,13.45,13.85,285280,13.85
PC1,2020-03-09,13.9,14.4,13.85,13.85,553800,13.85
PC1,2020-03-06,15.0,15.0,14.7,14.85,225700,14.85
PC1,2020-03-05,15.3,15.5,15.05,15.15,558820,15.15
PC1,2020-03-04,14.6,15.0,14.3,15.0,336270,15.0
PC1,2020-03-03,14.2,14.8,14.2,14.65,279470,14.65
PC1,2020-03-02,14.35,14.5,14.1,14.2,691280,14.2
PC1,2020-02-28,14.4,14.4,14.05,14.35,746100,14.35
PC1,2020-02-27,14.65,14.95,14.5,14.5,666880,14.5
PC1,2020-02-26,14.6,14.9,14.5,14.65,837610,14.65
PC1,2020-02-25,14.1,14.75,14.1,14.6,726440,14.6
PC1,2020-02-24,15.3,15.3,14.75,14.75,508070,14.75
PC1,2020-02-21,15.75,15.85,15.4,15.5,1173150,15.5
PC1,2020-02-20,16.15,16.15,15.65,15.8,432400,15.8
PC1,2020-02-19,16.1,16.1,15.85,15.9,202990,15.9
PC1,2020-02-18,15.8,16.15,15.65,16.05,626800,16.05
PC1,2020-02-17,15.5,16.05,15.4,15.6,478240,15.6
PC1,2020-02-14,15.8,15.8,15.5,15.55,434680,15.55
PC1,2020-02-13,15.65,16.0,15.4,15.65,443430,15.65
PC1,2020-02-12,14.7,15.65,14.7,15.65,1169930,15.65
PC1,2020-02-11,15.0,15.0,14.65,14.65,557840,14.65
PC1,2020-02-10,15.0,15.1,14.8,15.0,245560,15.0
PC1,2020-02-07,14.85,15.4,14.85,15.15,375830,15.15
PC1,2020-02-06,14.5,15.05,14.5,14.85,836030,14.85
PC1,2020-02-05,14.8,15.5,14.4,14.4,615330,14.4
PC1,2020-02-04,15.65,16.0,14.7,14.8,518670,14.8
PC1,2020-02-03,15.65,16.7,15.65,15.65,604010,15.65
PC1,2020-01-31,17.95,17.95,16.8,16.8,207960,16.8
PC1,2020-01-30,18.25,18.25,17.6,17.8,86440,17.8
PC1,2020-01-22,18.7,18.7,18.25,18.35,145670,18.35
PC1,2020-01-21,17.9,18.55,17.8,18.3,305210,18.3
PC1,2020-01-20,17.6,17.85,17.5,17.85,69820,17.85
PC1,2020-01-17,17.6,17.6,17.2,17.6,94810,17.6
PC1,2020-01-16,17.5,17.7,17.35,17.5,118800,17.5
PC1,2020-01-15,17.9,17.9,17.45,17.45,215660,17.45
PC1,2020-01-14,18.0,18.3,17.65,17.9,77660,17.9
PC1,2020-01-13,17.8,17.85,17.7,17.85,115370,17.85
PC1,2020-01-10,17.2,17.7,17.2,17.7,96210,17.7
PC1,2020-01-09,17.0,17.3,17.0,17.2,108180,17.2
PC1,2020-01-08,17.3,17.3,16.85,17.0,201300,17.0
PC1,2020-01-07,17.3,17.5,17.2,17.4,76170,17.4
PC1,2020-01-06,17.55,17.6,17.3,17.3,109560,17.3
PC1,2020-01-03,17.85,17.85,17.5,17.6,141110,17.6
PC1,2020-01-02,17.5,17.85,17.4,17.85,114650,17.85
PC1,2019-12-31,17.7,17.7,17.45,17.5,18680,17.5
PC1,2019-12-30,17.6,17.85,17.6,17.7,153080,17.7
PC1,2019-12-27,17.5,17.7,17.45,17.6,65380,17.6
PC1,2019-12-26,17.35,17.5,17.3,17.4,63870,17.4
PC1,2019-12-25,17.45,17.8,17.4,17.55,51670,17.55
PC1,2019-12-24,17.5,17.5,17.4,17.45,16550,17.45
PC1,2019-12-23,17.9,17.9,17.5,17.5,85870,17.5
PC1,2019-12-20,17.5,17.95,17.5,17.9,67000,17.9
PC1,2019-12-19,17.35,17.8,17.3,17.5,89000,17.5
PC1,2019-12-18,17.45,17.5,17.0,17.3,235390,17.3
PC1,2019-12-17,17.35,17.75,17.2,17.35,361390,17.35
PC1,2019-12-16,17.7,17.7,17.3,17.5,357090,17.5
PC1,2019-12-13,17.9,17.95,17.7,17.7,268380,17.7
PC1,2019-12-12,17.8,18.05,17.7,17.8,212120,17.8
PC1,2019-12-11,17.9,17.9,17.6,17.65,107880,17.65
PC1,2019-12-10,18.1,18.1,17.8,17.8,59720,17.8
PC1,2019-12-09,18.05,18.25,18.0,18.05,49680,18.05
PC1,2019-12-06,18.2,18.25,18.0,18.25,269840,18.25
PC1,2019-12-05,18.2,18.45,18.0,18.05,45250,18.05
PC1,2019-12-04,17.9,18.4,17.65,18.4,181540,18.4
PC1,2019-12-03,17.6,17.8,17.4,17.65,153640,17.65
PC1,2019-12-02,18.2,18.3,17.5,17.5,176800,17.5
PC1,2019-11-29,18.15,18.3,18.0,18.2,120050,18.2
PC1,2019-11-28,18.35,18.45,18.1,18.2,156280,18.2
PC1,2019-11-27,18.7,18.7,18.3,18.35,83290,18.35
PC1,2019-11-26,18.5,18.7,18.35,18.45,180360,18.45
PC1,2019-11-25,18.5,18.7,18.3,18.3,196330,18.3
PC1,2019-11-22,18.9,19.1,18.45,18.6,316930,18.6
PC1,2019-11-21,18.8,19.2,18.7,18.9,163980,18.9
PC1,2019-11-20,19.1,19.15,18.85,18.9,287160,18.9
PC1,2019-11-19,19.35,19.55,19.1,19.1,386260,19.1
PC1,2019-11-18,20.0,20.15,19.3,19.3,417000,19.3
PC1,2019-11-15,20.0,20.3,19.9,20.0,269080,20.0
PC1,2019-11-14,20.3,20.4,20.0,20.0,317770,20.0
PC1,2019-11-13,19.3,20.3,19.3,20.3,943780,20.3
PC1,2019-11-12,19.0,19.3,19.0,19.3,153430,19.3
PC1,2019-11-11,19.0,19.15,18.0,19.15,184410,19.15
PC1,2019-11-08,19.0,19.25,19.0,19.1,187590,19.1
PC1,2019-11-07,19.0,19.4,18.8,19.0,107380,19.0
PC1,2019-11-06,18.6,19.0,18.2,18.95,135270,18.95
PC1,2019-11-05,18.7,19.2,18.5,18.65,85080,18.65
PC1,2019-11-04,18.9,18.9,18.6,18.7,142410,18.7
PC1,2019-11-01,19.2,19.25,18.6,18.9,314830,18.9
PC1,2019-10-31,19.45,19.45,19.2,19.2,112590,19.2
PC1,2019-10-30,19.8,19.8,19.4,19.45,80090,19.45
PC1,2019-10-29,19.6,19.85,19.6,19.65,422480,19.65
PC1,2019-10-28,19.1,19.55,19.05,19.4,290190,19.4
PC1,2019-10-25,19.1,19.25,19.0,19.0,39150,19.0
PC1,2019-10-24,18.65,19.2,18.6,19.2,61490,19.2
PC1,2019-10-23,19.0,19.1,18.5,18.6,121960,18.6
PC1,2019-10-22,19.15,19.15,18.8,19.0,78510,19.0
PC1,2019-10-21,19.3,19.3,18.9,19.0,134080,19.0
PC1,2019-10-18,19.35,19.45,19.25,19.25,65460,19.25
PC1,2019-10-17,19.55,19.8,19.4,19.5,126330,19.5
PC1,2019-10-16,19.6,20.2,19.5,19.6,125700,19.6
PC1,2019-10-15,19.5,20.3,19.5,19.9,159630,19.9
PC1,2019-10-14,19.7,20.0,19.4,19.5,152000,19.5
PC1,2019-10-11,19.6,19.6,19.25,19.5,136690,19.5
PC1,2019-10-10,19.5,19.7,19.05,19.5,199990,19.5
PC1,2019-10-09,19.7,19.9,19.5,19.5,104480,19.5
PC1,2019-10-08,19.65,20.2,19.7,19.7,108020,19.7
PC1,2019-10-07,19.65,20.0,19.3,20.0,219630,20.0
PC1,2019-10-04,20.2,20.6,19.5,19.7,207660,19.7
PC1,2019-10-03,20.3,20.4,20.0,20.25,152930,20.25
PC1,2019-10-02,20.6,20.6,20.1,20.35,283300,20.35
PC1,2019-10-01,20.15,20.6,20.0,20.4,127340,20.4
