name,date,open,high,low,close,volume,adj_close
PLX,2020-10-16,49.6,50.2,49.6,49.95,251320,49.95
PLX,2020-10-15,49.9,50.6,49.8,49.8,460270,49.8
PLX,2020-10-14,49.35,49.5,49.2,49.5,678810,49.5
PLX,2020-10-13,49.3,49.9,49.25,49.35,167150,49.35
PLX,2020-10-12,49.8,50.0,49.25,49.35,282010,49.35
PLX,2020-10-09,49.8,50.2,49.75,49.75,218150,49.75
PLX,2020-10-08,50.0,50.2,49.8,49.8,137770,49.8
PLX,2020-10-07,50.0,50.3,49.9,49.9,485060,49.9
PLX,2020-10-06,50.8,50.8,50.1,50.2,245460,50.2
PLX,2020-10-05,50.6,50.7,50.2,50.2,256340,50.2
PLX,2020-10-02,50.6,50.8,50.2,50.6,232550,50.6
PLX,2020-10-01,51.0,51.0,50.5,50.8,145990,50.8
PLX,2020-09-30,50.6,50.8,50.0,50.3,178430,50.3
PLX,2020-09-29,51.2,51.6,50.6,50.6,244710,50.6
PLX,2020-09-28,51.7,51.7,51.0,51.3,177110,51.3
PLX,2020-09-25,51.5,51.7,50.9,51.6,178820,51.6
PLX,2020-09-24,51.7,51.8,51.0,51.7,273970,51.7
PLX,2020-09-23,50.4,51.7,50.2,51.6,583370,51.6
PLX,2020-09-22,50.7,50.7,50.2,50.4,170700,50.4
PLX,2020-09-21,50.9,50.9,50.3,50.7,473020,50.7
PLX,2020-09-10,51.1,51.2,50.0,50.1,1510640,50.1
PLX,2020-09-09,50.8,51.0,50.5,50.9,1610170,50.9
PLX,2020-09-08,51.5,51.8,50.8,51.2,1444420,51.2
PLX,2020-09-07,51.5,51.9,50.8,51.1,2220460,51.1
PLX,2020-09-04,51.0,52.1,50.7,51.6,2920060,51.6
PLX,2020-09-03,52.3,52.6,51.4,52.1,2055830,52.1
PLX,2020-09-01,53.0,53.0,52.1,52.9,2076920,51.9
PLX,2020-08-31,52.1,53.1,52.0,52.5,3631670,51.51
PLX,2020-08-28,52.8,53.0,52.0,52.3,3804130,51.31
PLX,2020-08-27,51.4,53.0,51.4,52.8,3326890,51.8
PLX,2020-08-26,50.4,51.5,50.4,51.4,1298440,50.43
PLX,2020-08-25,49.0,50.5,49.0,50.4,1227490,49.45
PLX,2020-08-24,46.9,48.6,46.9,48.5,1037310,47.58
PLX,2020-08-21,46.35,46.85,46.35,46.55,548520,45.67
PLX,2020-08-20,47.0,47.15,46.3,46.35,429540,45.47
PLX,2020-08-19,46.05,47.0,45.9,47.0,562910,46.11
PLX,2020-08-18,46.25,46.25,45.95,46.05,88390,45.18
PLX,2020-08-17,46.2,46.5,45.95,46.2,225870,45.33
PLX,2020-08-14,46.2,46.65,46.15,46.6,509440,45.72
PLX,2020-08-13,46.5,47.0,46.35,46.6,380300,45.72
PLX,2020-08-12,45.7,46.5,45.7,46.5,660600,45.62
PLX,2020-08-11,45.2,45.75,45.15,45.7,549990,44.84
PLX,2020-08-10,44.6,45.4,44.6,45.2,310330,44.35
PLX,2020-08-07,44.6,44.7,44.3,44.6,221640,43.76
PLX,2020-08-06,44.4,44.8,44.05,44.6,432920,43.76
PLX,2020-08-05,44.2,44.8,44.1,44.45,234150,43.61
PLX,2020-08-04,43.75,44.5,43.1,44.5,382000,43.66
PLX,2020-08-03,42.0,44.15,42.0,43.75,528550,42.92
PLX,2020-07-31,41.8,42.6,41.0,42.2,359580,41.4
PLX,2020-07-30,42.0,42.5,41.8,42.2,173730,41.4
PLX,2020-07-29,43.0,43.5,41.05,41.55,399820,40.76
PLX,2020-07-28,42.3,45.0,42.1,43.6,552420,42.78
PLX,2020-07-27,42.5,43.9,42.25,42.25,1119400,41.45
PLX,2020-07-24,45.8,46.0,43.95,45.4,876920,44.54
PLX,2020-07-23,45.3,46.15,45.05,46.0,368860,45.13
PLX,2020-07-22,46.4,46.4,45.0,45.3,720410,44.44
PLX,2020-07-21,46.45,46.5,45.55,45.9,439810,45.03
PLX,2020-07-20,46.4,47.25,46.35,46.4,574960,45.52
PLX,2020-07-17,46.85,48.3,46.8,47.5,1335770,46.6
PLX,2020-07-16,46.6,47.3,46.6,46.85,878460,45.96
PLX,2020-07-15,46.5,46.6,46.25,46.45,468770,45.57
PLX,2020-07-14,46.3,46.4,45.75,46.4,425960,45.52
PLX,2020-07-13,46.3,46.5,46.25,46.4,580920,45.52
PLX,2020-07-10,46.4,46.5,46.15,46.35,340000,45.47
PLX,2020-07-09,46.5,46.7,46.2,46.55,678930,45.67
PLX,2020-07-08,46.5,46.5,46.0,46.5,467240,45.62
PLX,2020-07-07,46.8,46.8,46.0,46.5,583010,45.62
PLX,2020-07-06,45.95,46.5,45.75,46.4,810350,45.52
PLX,2020-07-03,45.5,46.2,45.2,45.95,599290,45.08
PLX,2020-07-02,45.4,45.6,44.45,45.5,1347150,44.64
PLX,2020-07-01,44.6,45.2,44.0,45.1,1510610,44.25
PLX,2020-06-30,44.5,45.2,44.0,44.5,1473030,43.66
PLX,2020-06-29,45.65,45.65,44.25,44.5,2141710,43.66
