name,date,open,high,low,close,volume,adj_close
SAM,2020-10-16,9.9,9.9,9.3,9.3,339820,9.3
SAM,2020-10-15,10.15,10.25,10.0,10.0,51000,10.0
SAM,2020-10-14,10.05,10.35,10.0,10.15,112200,10.15
SAM,2020-10-13,10.25,10.25,10.0,10.05,41690,10.05
SAM,2020-10-12,10.25,10.35,10.2,10.25,17410,10.25
SAM,2020-10-09,10.4,10.4,10.2,10.35,118050,10.35
SAM,2020-10-08,10.5,10.5,10.4,10.4,98670,10.4
SAM,2020-10-07,10.7,10.7,10.5,10.7,125010,10.7
SAM,2020-10-06,10.8,10.8,10.5,10.7,94720,10.7
SAM,2020-10-05,10.8,10.8,10.55,10.7,63740,10.7
SAM,2020-10-02,10.65,10.8,10.5,10.8,31170,10.8
SAM,2020-10-01,10.6,10.8,10.6,10.8,24170,10.8
SAM,2020-09-30,10.65,10.7,10.6,10.7,38360,10.7
SAM,2020-09-29,10.75,10.8,10.7,10.7,20960,10.7
SAM,2020-09-28,10.8,10.8,10.7,10.75,13930,10.75
SAM,2020-09-25,10.9,10.9,10.7,10.8,11150,10.8
SAM,2020-09-24,10.85,10.9,10.7,10.9,4760,10.9
SAM,2020-09-23,10.8,10.9,10.7,10.9,27490,10.9
SAM,2020-09-22,11.0,11.0,10.8,10.9,16410,10.9
SAM,2020-09-21,11.0,11.0,10.8,11.0,7230,11.0
SAM,2020-09-10,11.1,11.1,10.95,11.0,46600,11.0
SAM,2020-09-09,11.1,11.1,10.95,11.05,56010,11.05
SAM,2020-09-08,11.0,11.1,10.9,11.1,57270,11.1
SAM,2020-09-07,11.1,11.1,10.95,10.95,139290,10.95
SAM,2020-09-04,11.0,11.15,11.0,11.1,36390,11.1
SAM,2020-09-03,10.75,11.2,10.75,11.2,210090,11.2
SAM,2020-09-01,10.6,10.75,10.6,10.75,87810,10.75
SAM,2020-08-31,10.7,10.7,10.6,10.7,37940,10.7
SAM,2020-08-28,10.55,10.75,10.55,10.75,57670,10.75
SAM,2020-08-27,10.8,10.8,10.4,10.55,161710,10.55
SAM,2020-08-26,10.65,10.85,10.55,10.8,39100,10.8
SAM,2020-08-25,10.8,10.9,10.55,10.65,199230,10.65
SAM,2020-08-24,10.7,11.0,10.7,10.85,302730,10.85
SAM,2020-08-21,10.8,10.9,10.6,10.85,37010,10.85
SAM,2020-08-20,10.85,11.0,10.65,10.85,87980,10.85
SAM,2020-08-19,10.4,11.2,10.4,10.85,279820,10.85
SAM,2020-08-18,10.5,10.55,10.3,10.5,94150,10.5
SAM,2020-08-17,10.6,10.85,10.55,10.6,59870,10.6
