name,date,open,high,low,close,volume,adj_close
SGN,2020-10-16,67.6,67.6,66.0,66.0,14180,66.0
SGN,2020-10-15,69.7,69.7,67.5,67.5,7830,67.5
SGN,2020-10-14,69.1,69.2,68.6,68.6,10060,68.6
SGN,2020-10-13,69.2,69.2,69.1,69.1,8520,69.1
SGN,2020-10-12,69.9,69.9,69.1,69.2,8990,69.2
SGN,2020-10-09,69.3,69.3,69.1,69.3,10830,69.3
SGN,2020-10-08,69.3,70.0,69.1,69.4,5350,69.4
SGN,2020-10-07,69.1,69.3,69.1,69.3,12420,69.3
SGN,2020-10-06,69.0,69.1,69.0,69.1,8980,69.1
SGN,2020-10-05,69.2,69.2,68.6,69.0,3930,69.0
SGN,2020-10-02,68.1,69.0,68.1,68.8,20890,68.8
SGN,2020-10-01,68.0,68.4,68.0,68.1,28200,68.1
SGN,2020-09-30,67.9,68.2,67.8,67.9,5000,67.9
SGN,2020-09-29,67.8,68.0,67.8,67.9,9920,67.9
SGN,2020-09-28,67.9,68.0,67.8,67.8,9020,67.8
SGN,2020-09-25,67.8,67.9,67.7,67.9,11930,67.9
SGN,2020-09-24,67.7,67.9,67.7,67.7,17650,67.7
SGN,2020-09-23,67.7,67.9,67.7,67.7,25250,67.7
SGN,2020-09-22,67.8,67.9,67.7,67.7,17710,67.7
SGN,2020-09-21,67.7,67.9,67.7,67.8,18690,67.8
SGN,2020-09-10,68.1,68.8,68.1,68.7,40380,66.7
SGN,2020-09-09,68.0,68.1,67.7,67.9,27320,65.92
SGN,2020-09-08,67.9,68.0,67.8,68.0,29560,66.02
SGN,2020-09-07,67.4,68.1,67.4,67.9,29160,65.92
SGN,2020-09-04,67.8,67.8,67.0,67.4,24400,65.44
SGN,2020-09-03,68.1,69.0,67.9,67.9,50970,65.92
SGN,2020-09-01,69.0,69.0,68.0,68.1,13630,66.12
SGN,2020-08-31,67.5,68.6,67.5,68.1,22140,66.12
SGN,2020-08-28,67.0,67.9,66.8,66.9,34760,64.95
SGN,2020-08-27,67.0,67.5,66.8,66.9,87720,64.95
SGN,2020-08-26,67.5,67.5,65.9,65.9,13690,63.98
SGN,2020-08-25,65.9,66.5,65.8,65.9,25200,63.98
SGN,2020-08-24,67.5,67.5,65.8,65.8,9970,63.89
SGN,2020-08-21,66.1,66.4,66.0,66.3,11550,64.37
SGN,2020-08-20,68.9,68.9,66.0,66.3,14560,64.37
SGN,2020-08-19,66.4,70.0,66.3,66.4,11950,64.47
SGN,2020-08-18,67.0,67.0,66.3,66.4,5680,64.47
SGN,2020-08-17,66.6,67.0,66.6,66.6,5960,64.66
SGN,2020-08-14,68.3,68.3,67.0,67.0,6690,65.05
SGN,2020-08-13,67.0,68.5,67.0,68.3,1810,66.31
SGN,2020-08-12,67.1,67.1,67.0,67.0,2160,65.05
SGN,2020-08-11,67.6,67.7,66.6,67.0,1400,65.05
SGN,2020-08-10,68.0,68.0,67.9,67.9,3100,65.92
SGN,2020-08-07,67.0,68.0,66.5,68.0,4440,66.02
SGN,2020-08-06,68.0,69.8,68.0,68.0,12040,66.02
SGN,2020-08-05,70.5,70.5,67.6,69.8,13030,67.77
SGN,2020-08-04,67.6,67.6,66.1,67.6,21930,65.63
SGN,2020-08-03,67.5,67.6,67.5,67.6,40,65.63
SGN,2020-07-31,69.0,69.0,67.1,67.5,630,65.54
SGN,2020-07-30,68.5,68.5,67.0,67.0,670,65.05
SGN,2020-07-29,68.0,68.3,66.3,68.3,5690,66.31
SGN,2020-07-28,65.1,70.3,65.1,68.3,550,66.31
SGN,2020-07-27,65.0,68.9,65.0,68.2,6510,66.22
SGN,2020-07-24,70.0,70.5,68.0,68.0,2880,66.02
SGN,2020-07-23,70.2,71.2,70.1,70.5,1250,68.45
SGN,2020-07-22,70.0,70.3,70.0,70.1,610,68.06
SGN,2020-07-21,72.0,72.0,71.0,71.1,1250,69.03
SGN,2020-07-20,71.6,71.6,70.7,71.6,3300,69.52
SGN,2020-07-17,71.3,71.5,70.7,70.7,1500,68.64
SGN,2020-07-16,71.5,71.8,70.5,70.5,3310,68.45
SGN,2020-07-15,72.0,72.0,70.5,70.5,2370,68.45
SGN,2020-07-14,70.1,71.5,70.0,70.0,1500,67.96
SGN,2020-07-13,71.5,72.0,71.0,71.0,5530,68.93
SGN,2020-07-10,70.7,72.0,69.0,70.0,4160,67.96
SGN,2020-07-09,72.0,72.0,70.1,70.1,4250,68.06
SGN,2020-07-08,72.4,72.4,71.5,72.0,7870,69.9
SGN,2020-07-07,71.4,73.0,70.8,72.4,11920,70.29
SGN,2020-07-06,69.5,71.5,69.5,71.4,4060,69.32
SGN,2020-07-03,68.8,68.8,68.0,68.6,5200,66.6
SGN,2020-07-02,69.5,69.5,64.7,68.8,30410,66.8
SGN,2020-07-01,69.5,69.5,69.0,69.5,3080,67.48
SGN,2020-06-30,69.5,71.0,69.0,69.0,1720,66.99
SGN,2020-06-29,70.3,70.3,66.2,69.5,18750,67.48
SGN,2020-06-26,71.5,72.0,71.1,71.1,4290,69.03
SGN,2020-06-25,71.5,71.5,71.5,71.5,2780,69.42
SGN,2020-06-24,72.0,72.5,71.5,72.0,5650,69.9
SGN,2020-06-23,72.0,72.0,70.2,72.0,8340,69.9
SGN,2020-06-22,70.0,72.4,70.0,71.0,670,68.93
SGN,2020-06-19,71.6,72.5,71.6,72.5,5070,70.39
SGN,2020-06-18,71.5,73.0,71.5,71.6,320,69.52
SGN,2020-06-17,72.3,72.3,71.0,71.8,3840,69.71
SGN,2020-06-16,70.6,72.5,70.6,72.0,8080,69.9
SGN,2020-06-15,70.1,72.0,70.1,70.6,5840,68.55
SGN,2020-06-12,70.9,72.1,67.5,71.0,37720,68.93
SGN,2020-06-11,73.7,73.7,72.1,72.1,18060,70.0
SGN,2020-06-10,75.0,75.0,73.0,74.0,16020,71.85
SGN,2020-06-09,71.5,75.0,71.5,75.0,44950,72.82
SGN,2020-06-08,71.0,71.5,70.5,71.0,16400,68.93
SGN,2020-06-05,71.0,71.4,70.9,71.0,16930,68.93
SGN,2020-06-04,70.8,71.0,70.8,71.0,16320,68.93
SGN,2020-06-03,70.8,71.0,70.7,70.8,3900,68.74
SGN,2020-06-02,70.8,70.9,70.6,70.7,3210,68.64
SGN,2020-06-01,71.5,71.5,70.5,70.6,7690,68.55
SGN,2020-05-29,70.1,70.9,70.0,70.5,10900,68.45
SGN,2020-05-28,71.1,71.1,70.0,70.0,26840,67.96
SGN,2020-05-27,72.2,72.2,71.1,71.1,18070,69.03
SGN,2020-05-26,72.0,72.3,71.3,72.2,6510,70.1
SGN,2020-05-25,72.5,72.5,71.9,72.0,9560,69.9
SGN,2020-05-22,72.5,72.5,71.6,72.0,7000,69.9
