name,date,open,high,low,close,volume,adj_close
TCW,2020-10-16,0,22.5,22.3,22.4,,22.4
TCW,2020-10-15,0,22.6,22.5,22.4,,22.4
TCW,2020-10-14,0,22.6,22.6,22.5,,22.5
TCW,2020-10-13,0,22.5,22.5,22.5,,22.5
TCW,2020-10-12,0,22.4,22.4,22.5,,22.5
TCW,2020-10-09,0,22.5,22.5,22.5,,22.5
TCW,2020-10-08,0,22.5,22.5,22.4,,22.4
TCW,2020-10-07,0,22.5,22.3,22.4,,22.4
TCW,2020-10-06,0,22.9,22.9,22.5,,22.5
TCW,2020-10-05,0,22.5,22.5,23.0,,23.0
TCW,2020-10-02,0,21.8,22.2,22.5,,22.5
TCW,2020-10-01,0,21.1,21.4,22.2,,22.2
TCW,2020-09-30,0,20.8,20.8,21.2,,21.2
TCW,2020-09-29,0,20.9,20.9,20.7,,20.7
TCW,2020-09-28,0,21.0,21.0,21.0,,21.0
TCW,2020-09-25,0,21.0,21.0,21.0,,21.0
TCW,2020-09-24,0,21.1,21.1,21.1,,21.1
TCW,2020-09-23,0,21.2,21.2,21.1,,21.1
TCW,2020-09-22,0,21.5,21.3,21.2,,21.2
TCW,2020-09-21,0,21.5,21.5,21.5,,21.5
TCW,2020-09-03,0,20.7,20.5,20.7,,20.7
TCW,2020-09-01,0,20.7,20.7,20.9,,20.9
TCW,2020-08-31,0,21.1,21.0,20.5,,20.5
TCW,2020-08-28,0,21.1,20.9,21.2,,21.2
TCW,2020-08-27,0,21.2,21.2,21.2,,21.2
TCW,2020-08-26,0,21.8,21.3,21.3,,21.3
TCW,2020-08-25,0,20.7,20.7,21.9,,21.9
TCW,2020-08-24,0,20.6,20.7,20.7,,20.7
TCW,2020-08-21,0,21.0,21.0,20.5,,20.5
TCW,2020-08-20,0,20.6,20.8,21.0,,21.0
TCW,2020-08-19,0,20.4,20.3,20.8,,20.8
TCW,2020-08-18,0,20.3,21.0,20.3,,20.3
TCW,2020-08-17,0,20.1,20.1,20.5,,20.5
TCW,2020-08-14,0,19.7,19.8,20.1,,20.1
TCW,2020-08-13,0,18.8,18.9,20.3,,20.3
TCW,2020-08-12,0,18.7,18.7,18.9,,18.9
TCW,2020-08-11,0,18.5,18.9,18.8,,18.8
TCW,2020-08-10,0,18.5,18.8,18.6,,18.6
TCW,2020-08-07,0,18.6,18.6,18.5,,18.5
TCW,2020-08-06,0,18.4,18.4,18.6,,18.6
TCW,2020-08-05,0,18.4,18.3,18.5,,18.5
TCW,2020-08-04,0,18.4,18.5,18.4,,18.4
TCW,2020-08-03,0,18.4,18.5,18.5,,18.5
TCW,2020-07-31,0,18.5,18.5,18.3,,18.3
TCW,2020-07-30,0,18.2,18.5,18.6,,18.6
TCW,2020-07-29,0,18.5,18.3,18.2,,18.2
TCW,2020-07-28,0,18.2,18.5,18.5,,18.5
TCW,2020-07-27,0,18.8,18.5,17.9,,17.9
TCW,2020-07-24,0,18.9,18.9,18.8,,18.8
TCW,2020-07-23,0,19.0,18.9,18.9,,18.9
TCW,2020-07-22,0,18.8,19.0,19.0,,19.0
TCW,2020-07-21,0,18.8,18.8,18.8,,18.8
TCW,2020-07-20,0,18.9,18.8,18.8,,18.8
TCW,2020-07-17,0,19.0,19.0,18.8,,18.8
TCW,2020-07-16,0,19.0,19.0,19.0,,19.0
TCW,2020-07-15,0,19.0,19.0,19.0,,19.0
TCW,2020-07-14,0,19.0,19.0,19.0,,19.0
TCW,2020-07-13,0,18.9,19.0,19.0,,19.0
TCW,2020-07-10,0,18.9,18.9,18.9,,18.9
TCW,2020-07-09,0,18.9,18.9,18.9,,18.9
TCW,2020-07-08,0,18.9,18.9,18.9,,18.9
TCW,2020-07-07,0,18.8,18.9,18.9,,18.9
TCW,2020-07-06,0,18.8,18.8,18.7,,18.7
TCW,2020-07-03,0,18.5,19.0,18.8,,18.8
TCW,2020-07-02,0,19.0,18.3,18.5,,18.5
TCW,2020-07-01,0,19.1,18.9,19.0,,19.0
TCW,2020-06-30,0,18.3,19.0,18.8,,18.8
TCW,2020-06-29,0,18.9,18.2,18.3,,18.3
TCW,2020-06-26,0,18.9,18.9,18.9,,18.9
TCW,2020-06-25,0,19.0,18.7,18.9,,18.9
TCW,2020-06-24,0,19.2,19.2,19.0,,19.0
TCW,2020-06-23,0,19.0,19.2,19.1,,19.1
TCW,2020-06-22,0,18.7,19.0,19.0,,19.0
TCW,2020-06-19,0,18.5,18.6,19.3,,19.3
TCW,2020-06-18,0,18.6,18.3,18.6,,18.6
TCW,2020-06-17,0,19.0,18.6,18.5,,18.5
TCW,2020-06-16,0,18.8,19.0,19.0,,19.0
TCW,2020-06-15,0,19.0,18.9,18.8,,18.8
TCW,2020-06-12,0,19.4,18.8,19.1,,19.1
TCW,2020-06-11,0,19.7,20.0,19.0,,19.0
TCW,2020-06-10,0,19.7,19.6,19.7,,19.7
TCW,2020-06-09,0,19.5,19.5,19.6,,19.6
TCW,2020-06-08,0,19.3,19.4,19.5,,19.5
TCW,2020-06-05,0,19.3,19.0,19.4,,19.4
TCW,2020-06-04,0,19.2,19.3,19.3,,19.3
TCW,2020-06-03,0,19.0,19.1,19.3,,19.3
TCW,2020-06-02,0,19.1,19.1,19.2,,19.2
TCW,2020-06-01,0,18.9,18.9,19.0,,19.0
TCW,2020-05-29,0,18.9,18.9,19.0,,19.0
TCW,2020-05-28,0,19.3,18.8,18.8,,18.8
TCW,2020-05-27,0,19.3,19.1,19.2,,19.2
TCW,2020-05-26,0,18.6,18.5,19.1,,19.1
TCW,2020-05-25,0,18.0,18.0,18.9,,18.9
TCW,2020-05-22,0,18.0,18.0,17.8,,17.8
TCW,2020-05-21,0,17.7,17.7,18.1,,18.1
TCW,2020-05-20,0,17.6,17.4,18.0,,18.0
TCW,2020-05-19,0,17.4,17.5,17.6,,17.6
TCW,2020-05-18,0,17.6,17.6,17.5,,17.5
TCW,2020-05-15,0,18.1,18.1,17.3,,17.3
TCW,2020-05-14,0,18.3,18.0,18.1,,18.1
TCW,2020-05-13,0,18.5,18.4,18.2,,18.2
TCW,2020-05-12,0,18.1,18.2,18.6,,18.5
TCW,2020-05-11,0,17.9,18.0,18.3,,18.1
TCW,2020-05-08,0,19.8,19.0,19.8,,17.87
TCW,2020-05-07,0,19.6,19.9,19.9,,17.84
TCW,2020-05-06,0,20.2,20.3,19.7,,17.6
TCW,2020-05-05,0,19.8,20.0,19.8,,18.19
TCW,2020-05-04,0,18.5,18.7,20.0,,17.84
TCW,2020-04-29,0,18.4,18.8,18.7,,16.65
TCW,2020-04-28,0,18.0,18.2,18.6,,16.57
TCW,2020-04-27,0,18.0,18.0,18.5,,16.16
TCW,2020-04-24,0,17.8,18.0,18.0,,16.19
TCW,2020-04-23,0,17.8,17.8,17.8,,17.8
TCW,2020-04-22,0,17.5,17.8,17.8,,16.01
TCW,2020-04-21,0,17.9,17.5,17.5,,15.73
TCW,2020-04-20,0,17.6,18.2,17.7,,16.07
TCW,2020-04-17,0,17.4,17.7,17.6,,15.83
TCW,2020-04-16,0,17.5,17.5,17.5,,15.68
TCW,2020-04-15,0,16.7,17.5,17.4,,15.72
TCW,2020-04-14,0,16.5,17.0,17.0,,14.98
TCW,2020-04-13,0,16.3,16.3,16.6,,14.85
TCW,2020-04-10,0,16.2,16.5,16.5,,14.67
TCW,2020-04-09,0,16.0,16.5,16.9,,14.59
TCW,2020-04-08,0,15.9,16.5,16.0,,14.39
TCW,2020-04-07,0,15.6,16.5,15.8,,14.26
TCW,2020-04-06,0,15.8,15.7,15.5,,14.02
TCW,2020-04-03,0,15.0,16.0,15.8,,14.24
TCW,2020-04-01,0,15.3,15.3,15.5,,13.52
TCW,2020-03-31,0,15.3,15.5,15.3,,13.79
