name,date,open,high,low,close,volume,adj_close
TPB,2020-10-16,24.75,25.5,24.7,24.95,3618880,24.95
TPB,2020-10-15,25.05,25.1,24.8,24.8,2932680,24.8
TPB,2020-10-14,24.95,25.15,24.8,25.0,3276270,25.0
TPB,2020-10-13,24.8,25.05,24.55,24.85,1935520,24.85
TPB,2020-10-12,25.1,25.2,24.8,24.8,2026030,24.8
TPB,2020-10-09,24.6,25.05,24.5,24.9,3478130,24.9
TPB,2020-10-08,24.9,25.0,24.45,24.6,1913730,24.6
TPB,2020-10-07,24.95,25.1,24.7,24.75,2744360,24.75
TPB,2020-10-06,25.1,25.5,24.85,25.1,3513190,25.1
TPB,2020-10-05,25.0,25.3,24.95,25.15,3570750,25.15
TPB,2020-10-02,24.9,25.1,24.1,24.85,3339580,24.85
TPB,2020-10-01,23.5,24.85,23.5,24.7,4408980,24.7
TPB,2020-09-30,23.5,23.65,23.35,23.45,2843160,23.45
TPB,2020-09-29,23.8,23.9,23.3,23.3,1121300,23.3
TPB,2020-09-28,23.5,24.0,23.5,23.7,1006930,23.7
TPB,2020-09-25,23.8,23.85,23.5,23.5,1447080,23.5
TPB,2020-09-24,23.7,23.9,23.65,23.8,1428130,23.8
TPB,2020-09-23,23.9,24.2,23.7,23.7,1634160,23.7
TPB,2020-09-22,23.6,24.5,23.6,23.9,2864060,23.9
TPB,2020-09-21,24.0,24.05,23.65,23.7,1445490,23.7
TPB,2020-09-10,23.05,23.3,23.0,23.25,1455720,23.25
TPB,2020-09-09,22.8,23.05,22.65,23.0,1336480,23.0
TPB,2020-09-08,22.8,23.1,22.8,22.95,1094670,22.95
TPB,2020-09-07,23.15,23.4,22.8,22.8,1393600,22.8
TPB,2020-09-04,23.3,23.4,23.0,23.15,378370,23.15
TPB,2020-09-03,23.4,23.6,23.0,23.55,375140,23.55
TPB,2020-09-01,22.7,23.7,22.6,23.4,565870,23.4
TPB,2020-08-31,22.4,22.6,22.3,22.5,214630,22.5
TPB,2020-08-28,22.4,22.4,22.15,22.3,266980,22.3
TPB,2020-08-27,22.4,22.4,22.0,22.3,128510,22.3
TPB,2020-08-26,22.5,22.5,22.3,22.3,150080,22.3
TPB,2020-08-25,22.4,22.45,22.2,22.45,281750,22.45
TPB,2020-08-24,22.6,22.75,22.3,22.4,457370,22.4
TPB,2020-08-21,21.6,22.1,21.6,22.0,219380,22.0
TPB,2020-08-20,20.9,21.4,20.9,21.4,150390,21.4
TPB,2020-08-19,21.3,21.3,20.9,21.15,25160,21.15
TPB,2020-08-18,21.3,21.3,20.85,21.1,70860,21.1
