,date,VN30 TRI,VNMID TRI,VNSML TRI,VN100 TRI,VNALL TRI,VNDIAMON TRI,VNFINLEA TRI,VNFINSEL TRI
0,02.06.2016,638.21,815.18,809.39,620.54,633.15,1005.18,1092.3,1064.4799999999998
1,03.06.2016,639.02,819.99,809.4,622.19,634.69,1005.18,1092.3,1064.4799999999998
2,06.06.2016,636.79,820.82,804.78,620.21,632.5,1005.18,1092.3,1064.4799999999998
3,07.06.2016,642.07,830.95,810.87,626.2,638.49,1005.18,1092.3,1064.4799999999998
4,08.06.2016,648.33,835.01,816.78,631.28,643.6,1005.18,1092.3,1064.4799999999998
5,09.06.2016,648.92,837.8,824.97,632.17,645.02,1005.18,1092.3,1064.4799999999998
6,10.06.2016,647.49,841.34,828.71,631.61,644.76,1005.18,1092.3,1064.4799999999998
7,13.06.2016,639.75,833.9,827.43,624.47,638.02,1005.18,1092.3,1064.4799999999998
8,14.06.2016,643.46,839.01,833.74,628.27,642.05,1005.18,1092.3,1064.4799999999998
9,15.06.2016,642.26,846.83,839.25,628.96,643.09,1005.18,1092.3,1064.4799999999998
10,16.06.2016,640.56,849.76,843.31,628.42,642.89,1005.18,1092.3,1064.4799999999998
11,17.06.2016,633.57,845.17,839.75,622.54,637.15,1005.18,1092.3,1064.4799999999998
12,20.06.2016,642.25,860.55,847.41,631.68,646.19,1005.18,1092.3,1064.4799999999998
13,21.06.2016,645.11,862.48,852.1,634.39,649.06,1005.18,1092.3,1064.4799999999998
14,22.06.2016,642.24,867.87,857.61,632.97,648.08,1005.18,1092.3,1064.4799999999998
15,23.06.2016,644.63,881.81,864.41,637.56,652.83,1005.18,1092.3,1064.4799999999998
16,24.06.2016,630.42,876.67,851.11,626.35,641.48,1005.18,1092.3,1064.4799999999998
17,27.06.2016,632.2,871.47,846.55,627.15,641.98,1005.18,1092.3,1064.4799999999998
18,28.06.2016,632.25,873.7,850.97,627.76,642.83,1005.18,1092.3,1064.4799999999998
19,29.06.2016,639.54,890.4,867.8,635.72,651.41,1005.18,1092.3,1064.4799999999998
20,30.06.2016,639.95,891.44,869.93,637.07,652.89,1005.18,1092.3,1064.4799999999998
21,01.07.2016,644.63,894.68,882.61,641.79,658.26,1005.18,1092.3,1064.4799999999998
22,04.07.2016,652.07,903.24,893.32,648.61,665.31,1005.18,1092.3,1064.4799999999998
23,05.07.2016,654.85,905.22,892.97,650.68,667.19,1005.18,1092.3,1064.4799999999998
24,06.07.2016,654.76,912.06,901.85,651.76,668.84,1005.18,1092.3,1064.4799999999998
25,07.07.2016,663.34,933.87,915.52,662.39,679.66,1005.18,1092.3,1064.4799999999998
26,08.07.2016,662.35,933.56,915.37,661.69,679.01,1005.18,1092.3,1064.4799999999998
