,date,VN30 TRI,VNMID TRI,VNSML TRI,VN100 TRI,VNALL TRI,VNDIAMON TRI,VNFINLEA TRI,VNFINSEL TRI
0,02.10.2015,590.51,670.42,651.03,552.16,558.56,1005.18,1092.3,1064.4799999999998
1,05.10.2015,598.63,677.45,656.43,559.26,565.53,1005.18,1092.3,1064.4799999999998
2,06.10.2015,610.01,690.38,666.09,569.2,575.47,1005.18,1092.3,1064.4799999999998
3,07.10.2015,608.48,686.03,661.81,567.44,573.52,1005.18,1092.3,1064.4799999999998
4,08.10.2015,615.08,696.71,668.84,573.85,579.98,1005.18,1092.3,1064.4799999999998
5,09.10.2015,615.78,693.81,668.38,573.74,579.85,1005.18,1092.3,1064.4799999999998
6,12.10.2015,619.8,691.57,669.55,575.98,582.02,1005.18,1092.3,1064.4799999999998
7,13.10.2015,617.24,694.6,673.6,574.81,581.18,1005.18,1092.3,1064.4799999999998
8,14.10.2015,617.79,696.9,673.72,576.13,582.36,1005.18,1092.3,1064.4799999999998
9,15.10.2015,618.18,701.87,676.46,577.06,583.41,1005.18,1092.3,1064.4799999999998
10,16.10.2015,619.99,704.86,677.27,579.15,585.41,1005.18,1092.3,1064.4799999999998
11,19.10.2015,621.66,708.55,678.9,581.69,587.92,1005.18,1092.3,1064.4799999999998
12,20.10.2015,615.75,705.05,677.69,577.05,583.53,1005.18,1092.3,1064.4799999999998
13,21.10.2015,614.51,703.24,680.48,575.89,582.65,1005.18,1092.3,1064.4799999999998
14,22.10.2015,620.19,710.22,688.5,581.33,588.26,1005.18,1092.3,1064.4799999999998
15,23.10.2015,626.59,712.52,688.42,586.87,593.42,1005.18,1092.3,1064.4799999999998
16,26.10.2015,622.66,710.64,686.09,583.55,590.17,1005.18,1092.3,1064.4799999999998
17,27.10.2015,622.01,711.88,689.76,583.55,590.42,1005.18,1092.3,1064.4799999999998
18,28.10.2015,620.09,714.6,695.96,582.74,590.07,1005.18,1092.3,1064.4799999999998
19,29.10.2015,628.56,722.86,702.99,591.14,598.18,1005.18,1092.3,1064.4799999999998
20,30.10.2015,629.78,726.14,699.82,592.24,599.05,1005.18,1092.3,1064.4799999999998
21,02.11.2015,623.66,715.72,688.05,585.95,592.39,1005.18,1092.3,1064.4799999999998
22,03.11.2015,634.76,723.66,693.41,596.07,601.95,1005.18,1092.3,1064.4799999999998
23,04.11.2015,632.22,721.41,689.78,594.02,599.77,1005.18,1092.3,1064.4799999999998
24,05.11.2015,636.66,725.42,693.33,598.35,603.81,1005.18,1092.3,1064.4799999999998
25,06.11.2015,633.57,720.96,690.5,595.64,601.0,1005.18,1092.3,1064.4799999999998
26,09.11.2015,630.28,721.56,692.45,593.14,598.88,1005.18,1092.3,1064.4799999999998
27,10.11.2015,625.31,720.4,691.1,589.5,595.29,1005.18,1092.3,1064.4799999999998
28,11.11.2015,623.43,719.52,687.54,588.28,593.79,1005.18,1092.3,1064.4799999999998
29,12.11.2015,625.64,728.52,689.69,591.46,596.82,1005.18,1092.3,1064.4799999999998
30,13.11.2015,633.74,740.16,693.77,599.9,604.76,1005.18,1092.3,1064.4799999999998
31,16.11.2015,630.48,743.27,691.83,598.43,603.06,1005.18,1092.3,1064.4799999999998
32,17.11.2015,625.64,741.61,695.48,593.92,599.4,1005.18,1092.3,1064.4799999999998
33,18.11.2015,623.46,741.53,697.38,592.16,597.98,1005.18,1092.3,1064.4799999999998
34,19.11.2015,620.2,746.3,697.63,590.36,596.42,1005.18,1092.3,1064.4799999999998
35,20.11.2015,622.35,751.23,703.41,592.82,599.08,1005.18,1092.3,1064.4799999999998
36,23.11.2015,618.04,754.6,706.25,589.69,596.55,1005.18,1092.3,1064.4799999999998
37,24.11.2015,611.2,750.86,705.35,583.56,590.93,1005.18,1092.3,1064.4799999999998
38,25.11.2015,613.71,751.25,709.74,585.62,593.05,1005.18,1092.3,1064.4799999999998
39,26.11.2015,609.0,748.6,704.34,581.54,588.95,1005.18,1092.3,1064.4799999999998
40,27.11.2015,601.41,738.46,697.92,574.53,581.85,1005.18,1092.3,1064.4799999999998
41,30.11.2015,592.6,730.74,689.62,567.62,574.77,1005.18,1092.3,1064.4799999999998
42,01.12.2015,589.67,732.62,688.42,565.75,573.04,1005.18,1092.3,1064.4799999999998
43,02.12.2015,594.64,738.99,695.88,570.31,577.79,1005.18,1092.3,1064.4799999999998
44,03.12.2015,595.95,736.24,695.86,570.88,578.32,1005.18,1092.3,1064.4799999999998
45,04.12.2015,593.64,735.6,694.3,569.12,576.56,1005.18,1092.3,1064.4799999999998
46,07.12.2015,586.04,732.0,694.2,562.97,570.93,1005.18,1092.3,1064.4799999999998
47,08.12.2015,595.73,740.13,698.76,571.66,579.14,1005.18,1092.3,1064.4799999999998
48,09.12.2015,585.23,731.48,693.24,562.57,570.31,1005.18,1092.3,1064.4799999999998
49,10.12.2015,583.15,723.0,687.03,559.54,567.03,1005.18,1092.3,1064.4799999999998
50,11.12.2015,588.76,728.95,688.99,564.27,571.62,1005.18,1092.3,1064.4799999999998
51,14.12.2015,590.2,730.41,689.14,565.3,572.53,1005.18,1092.3,1064.4799999999998
52,15.12.2015,593.11,735.05,692.94,568.44,575.63,1005.18,1092.3,1064.4799999999998
53,16.12.2015,594.83,744.36,695.28,571.51,578.56,1005.18,1092.3,1064.4799999999998
54,17.12.2015,597.38,750.8,700.27,574.2,581.44,1005.18,1092.3,1064.4799999999998
55,18.12.2015,589.62,746.78,699.75,568.16,575.7,1005.18,1092.3,1064.4799999999998
56,21.12.2015,588.48,745.54,695.11,566.74,574.23,1005.18,1092.3,1064.4799999999998
57,22.12.2015,587.61,741.07,695.41,565.44,573.02,1005.18,1092.3,1064.4799999999998
58,23.12.2015,586.24,737.32,693.84,563.95,571.56,1005.18,1092.3,1064.4799999999998
59,24.12.2015,587.51,739.6,695.95,565.73,573.33,1005.18,1092.3,1064.4799999999998
60,25.12.2015,590.17,737.84,692.75,567.98,575.28,1005.18,1092.3,1064.4799999999998
61,28.12.2015,595.17,738.14,686.62,573.16,579.57,1005.18,1092.3,1064.4799999999998
62,29.12.2015,601.57,741.34,692.3,578.38,584.88,1005.18,1092.3,1064.4799999999998
63,30.12.2015,607.05,747.4,695.76,583.07,589.53,1005.18,1092.3,1064.4799999999998
64,31.12.2015,607.84,749.61,702.27,584.11,590.89,1005.18,1092.3,1064.4799999999998
