,date,VN30 TRI,VNMID TRI,VNSML TRI,VN100 TRI,VNALL TRI,VNDIAMON TRI,VNFINLEA TRI,VNFINSEL TRI
0,04.01.2016,602.06,745.58,700.76,579.61,586.66,1005.18,1092.3,1064.4799999999998
1,05.01.2016,595.64,740.68,697.97,574.25,581.49,1005.18,1092.3,1064.4799999999998
2,06.01.2016,602.12,745.34,701.82,579.69,586.81,1005.18,1092.3,1064.4799999999998
3,07.01.2016,594.29,734.29,692.7,572.74,579.77,1005.18,1092.3,1064.4799999999998
4,08.01.2016,587.82,728.68,680.36,566.98,573.62,1005.18,1092.3,1064.4799999999998
5,11.01.2016,585.53,721.51,676.2,564.1,570.68,1005.18,1092.3,1064.4799999999998
6,12.01.2016,594.38,733.55,684.44,572.33,578.87,1005.18,1092.3,1064.4799999999998
7,13.01.2016,590.54,732.62,681.24,568.99,575.62,1005.18,1092.3,1064.4799999999998
8,14.01.2016,580.89,724.89,674.08,561.13,567.73,1005.18,1092.3,1064.4799999999998
9,15.01.2016,567.2,718.71,670.05,549.94,556.96,1005.18,1092.3,1064.4799999999998
10,18.01.2016,552.32,702.11,656.65,536.73,543.78,1005.18,1092.3,1064.4799999999998
11,19.01.2016,561.62,712.38,664.79,545.16,552.16,1005.18,1092.3,1064.4799999999998
12,20.01.2016,555.45,707.05,662.06,539.86,547.11,1005.18,1092.3,1064.4799999999998
13,21.01.2016,549.62,702.22,655.49,535.16,542.29,1005.18,1092.3,1064.4799999999998
14,22.01.2016,550.48,707.0,657.46,536.31,543.64,1005.18,1092.3,1064.4799999999998
15,25.01.2016,573.77,725.37,675.21,555.87,562.76,1005.18,1092.3,1064.4799999999998
16,26.01.2016,565.94,717.32,668.11,548.6,555.5,1005.18,1092.3,1064.4799999999998
17,27.01.2016,570.49,723.67,672.98,552.91,559.78,1005.18,1092.3,1064.4799999999998
18,28.01.2016,568.33,720.02,669.28,550.92,557.76,1005.18,1092.3,1064.4799999999998
19,29.01.2016,573.18,726.17,675.19,554.97,561.76,1005.18,1092.3,1064.4799999999998
20,01.02.2016,569.48,720.69,671.89,551.65,558.61,1005.18,1092.3,1064.4799999999998
21,02.02.2016,566.53,718.64,668.67,549.27,556.22,1005.18,1092.3,1064.4799999999998
22,03.02.2016,568.0,719.6,670.77,550.81,557.86,1005.18,1092.3,1064.4799999999998
23,04.02.2016,572.79,724.68,675.47,555.17,562.18,1005.18,1092.3,1064.4799999999998
24,05.02.2016,575.6,730.67,682.33,558.31,565.57,1005.18,1092.3,1064.4799999999998
25,15.02.2016,570.72,733.29,684.03,555.43,563.06,1005.18,1092.3,1064.4799999999998
26,16.02.2016,573.91,742.81,690.83,559.7,567.52,1005.18,1092.3,1064.4799999999998
27,17.02.2016,572.66,743.08,693.6,559.21,567.38,1005.18,1092.3,1064.4799999999998
28,18.02.2016,578.53,747.67,698.82,563.96,572.06,1005.18,1092.3,1064.4799999999998
29,19.02.2016,579.2,749.8,699.55,564.44,572.43,1005.18,1092.3,1064.4799999999998
30,22.02.2016,586.2,758.13,704.92,571.0,578.79,1005.18,1092.3,1064.4799999999998
31,23.02.2016,585.6,757.62,704.55,570.63,578.48,1005.18,1092.3,1064.4799999999998
32,24.02.2016,590.79,758.82,706.12,574.29,581.92,1005.18,1092.3,1064.4799999999998
33,25.02.2016,584.82,753.81,701.73,569.07,576.8,1005.18,1092.3,1064.4799999999998
34,26.02.2016,590.1,756.41,707.46,573.1,580.85,1005.18,1092.3,1064.4799999999998
35,29.02.2016,582.9,756.1,708.12,567.58,575.7,1005.18,1092.3,1064.4799999999998
36,01.03.2016,585.28,755.98,712.59,569.4,577.78,1005.18,1092.3,1064.4799999999998
37,02.03.2016,591.59,761.21,719.26,575.24,583.76,1005.18,1092.3,1064.4799999999998
38,03.03.2016,591.53,756.89,719.45,574.47,583.08,1005.18,1092.3,1064.4799999999998
39,04.03.2016,593.4,763.47,724.94,577.26,586.12,1005.18,1092.3,1064.4799999999998
40,07.03.2016,595.1,760.69,723.59,577.69,586.35,1005.18,1092.3,1064.4799999999998
41,08.03.2016,595.04,758.82,723.06,577.55,586.34,1005.18,1092.3,1064.4799999999998
42,09.03.2016,593.72,759.18,723.55,576.83,585.76,1005.18,1092.3,1064.4799999999998
43,10.03.2016,596.29,768.92,732.03,580.33,589.51,1005.18,1092.3,1064.4799999999998
44,11.03.2016,596.41,768.91,733.49,580.67,589.83,1005.18,1092.3,1064.4799999999998
45,14.03.2016,599.68,767.84,738.37,582.54,591.82,1005.18,1092.3,1064.4799999999998
46,15.03.2016,595.52,761.53,733.79,578.5,587.81,1005.18,1092.3,1064.4799999999998
47,16.03.2016,596.31,763.12,736.51,579.29,588.64,1005.18,1092.3,1064.4799999999998
48,17.03.2016,599.05,768.72,739.95,582.43,591.84,1005.18,1092.3,1064.4799999999998
49,18.03.2016,594.43,767.15,740.83,578.7,588.38,1005.18,1092.3,1064.4799999999998
50,21.03.2016,592.39,760.95,737.78,576.06,585.88,1005.18,1092.3,1064.4799999999998
51,22.03.2016,590.37,756.22,742.44,573.64,584.02,1005.18,1092.3,1064.4799999999998
52,23.03.2016,593.06,765.35,747.98,577.39,587.82,1005.18,1092.3,1064.4799999999998
53,24.03.2016,589.7,766.89,745.71,575.62,586.04,1005.18,1092.3,1064.4799999999998
54,25.03.2016,590.65,764.61,744.89,575.96,586.38,1005.18,1092.3,1064.4799999999998
55,28.03.2016,594.87,771.27,752.56,580.53,591.26,1005.18,1092.3,1064.4799999999998
56,29.03.2016,587.51,764.44,751.89,574.17,585.48,1005.18,1092.3,1064.4799999999998
57,30.03.2016,589.5,768.13,754.41,576.55,587.91,1005.18,1092.3,1064.4799999999998
58,31.03.2016,583.96,758.11,748.29,570.73,582.21,1005.18,1092.3,1064.4799999999998
59,01.04.2016,580.47,749.23,745.6,566.69,578.39,1005.18,1092.3,1064.4799999999998
60,04.04.2016,577.86,746.91,742.45,564.44,576.11,1005.18,1092.3,1064.4799999999998
61,05.04.2016,582.68,749.04,745.4,568.48,580.04,1005.18,1092.3,1064.4799999999998
62,06.04.2016,588.78,756.19,747.61,574.08,585.34,1005.18,1092.3,1064.4799999999998
63,07.04.2016,591.72,759.52,753.73,577.08,588.54,1005.18,1092.3,1064.4799999999998
64,08.04.2016,591.4,765.35,759.17,578.32,590.14,1005.18,1092.3,1064.4799999999998
65,11.04.2016,599.38,773.86,767.95,586.44,598.58,1005.18,1092.3,1064.4799999999998
66,12.04.2016,600.08,775.7,768.52,587.78,600.04,1005.18,1092.3,1064.4799999999998
67,13.04.2016,597.18,775.25,769.71,585.6,598.12,1005.18,1092.3,1064.4799999999998
68,14.04.2016,599.39,774.88,776.31,587.19,600.14,1005.18,1092.3,1064.4799999999998
69,15.04.2016,597.61,774.6,774.25,585.92,598.76,1005.18,1092.3,1064.4799999999998
70,19.04.2016,587.99,762.95,762.28,575.86,588.34,1005.18,1092.3,1064.4799999999998
71,20.04.2016,588.61,764.71,757.36,576.38,588.57,1005.18,1092.3,1064.4799999999998
72,21.04.2016,596.19,766.39,763.16,582.35,594.54,1005.18,1092.3,1064.4799999999998
73,22.04.2016,609.1,773.25,771.24,593.67,605.7,1005.18,1092.3,1064.4799999999998
74,25.04.2016,607.85,776.7,774.21,592.56,604.79,1005.18,1092.3,1064.4799999999998
75,26.04.2016,615.12,777.99,776.99,598.33,610.38,1005.18,1092.3,1064.4799999999998
76,27.04.2016,611.19,777.08,777.45,594.93,607.24,1005.18,1092.3,1064.4799999999998
77,28.04.2016,609.35,773.78,775.02,592.66,604.93,1005.18,1092.3,1064.4799999999998
78,29.04.2016,615.1,779.93,781.08,598.02,610.32,1005.18,1092.3,1064.4799999999998
79,04.05.2016,616.45,783.48,786.05,599.5,611.98,1005.18,1092.3,1064.4799999999998
80,05.05.2016,618.62,786.15,784.49,601.62,613.85,1005.18,1092.3,1064.4799999999998
81,06.05.2016,621.55,782.44,779.0,603.3,615.03,1005.18,1092.3,1064.4799999999998
82,09.05.2016,618.31,782.21,771.37,601.17,612.49,1005.18,1092.3,1064.4799999999998
83,10.05.2016,618.64,779.0,768.54,600.62,611.77,1005.18,1092.3,1064.4799999999998
84,11.05.2016,626.21,786.2,774.8,608.02,619.12,1005.18,1092.3,1064.4799999999998
85,12.05.2016,626.29,786.93,775.08,608.07,619.17,1005.18,1092.3,1064.4799999999998
86,13.05.2016,624.17,786.09,770.9,606.28,617.21,1005.18,1092.3,1064.4799999999998
87,16.05.2016,629.49,786.62,766.98,610.78,621.14,1005.18,1092.3,1064.4799999999998
88,17.05.2016,637.43,791.69,772.79,616.89,627.16,1005.18,1092.3,1064.4799999999998
89,18.05.2016,638.44,791.68,771.24,616.9,627.0,1005.18,1092.3,1064.4799999999998
90,19.05.2016,635.59,792.37,775.58,615.08,625.65,1005.18,1092.3,1064.4799999999998
91,20.05.2016,630.75,792.66,781.19,611.29,622.5,1005.18,1092.3,1064.4799999999998
92,23.05.2016,629.46,795.61,781.09,611.22,622.44,1005.18,1092.3,1064.4799999999998
93,24.05.2016,629.63,799.87,783.85,612.09,623.44,1005.18,1092.3,1064.4799999999998
94,25.05.2016,627.7,800.84,785.08,610.81,622.35,1005.18,1092.3,1064.4799999999998
