,date,VN30 TRI,VNMID TRI,VNSML TRI,VN100 TRI,VNALL TRI,VNDIAMON TRI,VNFINLEA TRI,VNFINSEL TRI
0,24.07.2015,657.97,689.67,659.75,604.21,607.18,1005.18,1092.3,1064.48
1,27.07.2015,665.66,699.51,663.83,610.89,613.63,1005.18,1092.3,1064.48
2,28.07.2015,659.6,693.76,661.62,605.58,608.54,1005.18,1092.3,1064.48
3,29.07.2015,651.21,688.01,660.09,598.45,601.85,1005.18,1092.3,1064.48
4,30.07.2015,651.7,690.62,661.82,599.25,602.62,1005.18,1092.3,1064.48
5,31.07.2015,647.36,685.96,663.47,595.37,599.17,1005.18,1092.3,1064.48
6,03.08.2015,636.92,676.12,657.39,586.45,590.49,1005.18,1092.3,1064.48
7,04.08.2015,631.27,677.77,658.66,581.86,586.25,1005.18,1092.3,1064.48
8,05.08.2015,641.55,687.47,671.12,590.89,595.51,1005.18,1092.3,1064.48
9,06.08.2015,635.73,683.53,669.08,586.27,591.15,1005.18,1092.3,1064.48
10,07.08.2015,640.62,685.07,668.44,590.64,595.3,1005.18,1092.3,1064.48
11,10.08.2015,652.25,690.77,671.86,600.63,605.11,1005.18,1092.3,1064.48
12,11.08.2015,651.74,689.65,669.83,600.01,604.31,1005.18,1092.3,1064.48
13,12.08.2015,641.08,685.4,666.16,591.65,596.24,1005.18,1092.3,1064.48
14,13.08.2015,630.88,677.8,658.6,583.42,588.24,1005.18,1092.3,1064.48
15,14.08.2015,626.94,680,660.65,581,586.14,1005.18,1092.3,1064.48
16,17.08.2015,615.29,674.36,653.15,572.11,577.32,1005.18,1092.3,1064.48
17,18.08.2015,619.71,675.85,653.17,575.48,580.43,1005.18,1092.3,1064.48
18,19.08.2015,617.65,674.44,650.44,573.15,578.15,1005.18,1092.3,1064.48
19,20.08.2015,606.81,668.76,646.03,564.4,569.67,1005.18,1092.3,1064.48
20,21.08.2015,596.27,660.31,638.25,555.43,560.82,1005.18,1092.3,1064.48
21,24.08.2015,566.94,628.14,615.28,528.7,534.26,1005.18,1092.3,1064.48
22,25.08.2015,569.05,628.3,610.58,530.38,535.57,1005.18,1092.3,1064.48
23,26.08.2015,583.31,642.92,623.69,542.86,548.17,1005.18,1092.3,1064.48
24,27.08.2015,590.04,648.94,632.35,548.75,554.17,1005.18,1092.3,1064.48
25,28.08.2015,606.58,654.49,633.09,561.91,566.44,1005.18,1092.3,1064.48
26,31.08.2015,594.83,652.21,628.54,553.03,557.89,1005.18,1092.3,1064.48
27,01.09.2015,592.17,652.51,630.48,550.87,556.01,1005.18,1092.3,1064.48
28,03.09.2015,584.02,645.78,631.59,543.9,549.64,1005.18,1092.3,1064.48
29,04.09.2015,587.27,648.25,635.3,547.17,552.89,1005.18,1092.3,1064.48
30,07.09.2015,582.51,643.11,633.8,542.39,548.3,1005.18,1092.3,1064.48
31,08.09.2015,591.91,649.08,640.67,549.77,555.58,1005.18,1092.3,1064.48
32,09.09.2015,596.31,653.25,643.19,553.56,559.27,1005.18,1092.3,1064.48
33,10.09.2015,597.17,651.68,644.39,554.22,560.07,1005.18,1092.3,1064.48
34,11.09.2015,591.82,650.04,643.36,549.81,555.87,1005.18,1092.3,1064.48
35,14.09.2015,584.75,643.3,638.35,543.54,549.71,1005.18,1092.3,1064.48
36,15.09.2015,581.16,641.66,636.87,540.57,546.87,1005.18,1092.3,1064.48
37,16.09.2015,586.5,642.8,637.62,544.75,550.77,1005.18,1092.3,1064.48
38,17.09.2015,586.4,644.71,637.72,545.13,551.12,1005.18,1092.3,1064.48
39,18.09.2015,592.55,651.63,642.52,550.2,556.17,1005.18,1092.3,1064.48
40,21.09.2015,600.41,657.31,647.35,556.99,562.83,1005.18,1092.3,1064.48
41,22.09.2015,602.77,660.35,645.55,559.45,564.97,1005.18,1092.3,1064.48
42,23.09.2015,601.19,662.55,647.48,558.41,564.13,1005.18,1092.3,1064.48
43,24.09.2015,599.35,663.25,649.68,557.1,563.07,1005.18,1092.3,1064.48
44,25.09.2015,598.02,668.18,651.68,557.11,563.21,1005.18,1092.3,1064.48
45,28.09.2015,592.23,664.15,649.12,552.72,558.93,1005.18,1092.3,1064.48
46,29.09.2015,588.73,660.56,646.79,549.2,555.51,1005.18,1092.3,1064.48
47,30.09.2015,590.09,665.01,649.6,550.98,557.37,1005.18,1092.3,1064.48
48,01.10.2015,592.13,666.74,646.8,552.86,558.92,1005.18,1092.3,1064.48
49,02.10.2015,590.51,670.42,651.03,552.16,558.56,1005.18,1092.3,1064.48
50,05.10.2015,598.63,677.45,656.43,559.26,565.53,1005.18,1092.3,1064.48
51,06.10.2015,610.01,690.38,666.09,569.2,575.47,1005.18,1092.3,1064.48
52,07.10.2015,608.48,686.03,661.81,567.44,573.52,1005.18,1092.3,1064.48
53,08.10.2015,615.08,696.71,668.84,573.85,579.98,1005.18,1092.3,1064.48
54,09.10.2015,615.78,693.81,668.38,573.74,579.85,1005.18,1092.3,1064.48
55,12.10.2015,619.8,691.57,669.55,575.98,582.02,1005.18,1092.3,1064.48
56,13.10.2015,617.24,694.6,673.6,574.81,581.18,1005.18,1092.3,1064.48
57,14.10.2015,617.79,696.9,673.72,576.13,582.36,1005.18,1092.3,1064.48
58,15.10.2015,618.18,701.87,676.46,577.06,583.41,1005.18,1092.3,1064.48
59,16.10.2015,619.99,704.86,677.27,579.15,585.41,1005.18,1092.3,1064.48
60,19.10.2015,621.66,708.55,678.9,581.69,587.92,1005.18,1092.3,1064.48
61,20.10.2015,615.75,705.05,677.69,577.05,583.53,1005.18,1092.3,1064.48
62,21.10.2015,614.51,703.24,680.48,575.89,582.65,1005.18,1092.3,1064.48
63,22.10.2015,620.19,710.22,688.5,581.33,588.26,1005.18,1092.3,1064.48
64,23.10.2015,626.59,712.52,688.42,586.87,593.42,1005.18,1092.3,1064.48
