name,date,open,high,low,close,volume,adj_close
TV2,2020-10-16,46.0,46.0,43.7,45.6,92860,45.6
TV2,2020-10-15,46.95,46.95,46.0,46.0,74420,46.0
TV2,2020-10-14,47.0,47.0,46.8,46.95,44550,46.95
TV2,2020-10-13,47.1,47.2,47.05,47.05,28050,47.05
TV2,2020-10-12,47.3,47.3,47.05,47.05,50680,47.05
TV2,2020-10-09,47.3,47.45,47.2,47.3,46680,47.3
TV2,2020-10-08,47.75,47.75,47.2,47.3,39760,47.3
TV2,2020-10-07,47.5,47.8,47.2,47.65,75990,47.65
TV2,2020-10-06,47.55,48.0,47.4,47.6,43700,47.6
TV2,2020-10-05,47.6,47.6,47.35,47.6,59970,47.6
TV2,2020-10-02,47.9,47.95,47.25,47.6,75090,47.6
TV2,2020-10-01,47.4,47.95,47.25,47.9,97170,47.9
TV2,2020-09-30,47.7,47.7,47.3,47.5,127170,47.5
TV2,2020-09-29,48.75,48.75,47.6,47.9,81250,47.9
TV2,2020-09-28,48.4,48.8,48.35,48.75,90540,48.75
TV2,2020-09-25,48.25,48.75,48.25,48.3,125990,48.3
TV2,2020-09-24,47.8,48.2,47.7,48.2,109430,48.2
TV2,2020-09-23,47.75,48.0,47.7,47.9,57210,47.9
TV2,2020-09-22,48.2,48.2,47.7,48.0,93680,48.0
TV2,2020-09-21,48.35,48.4,48.1,48.25,82700,48.25
TV2,2020-09-10,49.65,50.0,49.65,49.65,83030,49.65
TV2,2020-09-09,48.0,50.5,48.0,49.65,233080,49.65
TV2,2020-09-08,48.0,48.1,47.9,48.0,38450,48.0
TV2,2020-09-07,48.0,48.4,47.8,48.0,63570,48.0
TV2,2020-09-04,48.0,48.1,47.8,48.1,48620,48.1
TV2,2020-09-03,48.35,48.8,48.25,48.3,32510,48.3
TV2,2020-09-01,48.1,48.55,48.0,48.35,56950,48.35
TV2,2020-08-31,48.55,48.55,48.1,48.3,52540,48.3
TV2,2020-08-28,48.6,48.75,48.5,48.55,55390,48.55
TV2,2020-08-27,48.5,48.9,48.3,48.7,53510,48.7
TV2,2020-08-26,49.35,49.35,48.6,48.6,93500,48.6
TV2,2020-08-25,48.45,49.5,48.45,49.35,143200,49.35
TV2,2020-08-24,48.3,48.7,48.1,48.45,63720,48.45
TV2,2020-08-21,48.2,48.5,48.0,48.25,41080,48.25
TV2,2020-08-20,48.35,48.6,48.0,48.2,75500,48.2
TV2,2020-08-19,48.5,48.9,48.0,48.5,45190,48.5
TV2,2020-08-18,48.5,49.0,48.3,48.3,59150,48.3
TV2,2020-08-17,49.0,50.0,48.0,49.0,74970,49.0
TV2,2020-08-14,51.5,51.5,49.5,50.4,167470,50.4
TV2,2020-08-13,49.0,51.5,49.0,51.3,166470,51.3
TV2,2020-08-12,49.9,49.9,47.5,48.9,307430,48.9
TV2,2020-08-11,71.9,71.9,69.2,70.0,150170,46.67
TV2,2020-08-10,70.0,72.0,70.0,71.0,125980,47.34
TV2,2020-08-07,70.5,70.5,67.1,68.9,104210,45.94
TV2,2020-08-06,73.0,73.4,69.7,70.6,193360,47.07
TV2,2020-08-05,69.6,69.6,69.0,69.6,262250,46.4
TV2,2020-08-04,64.0,65.1,63.1,65.1,347550,43.4
TV2,2020-08-03,58.7,61.5,58.7,60.9,95910,40.6
TV2,2020-07-31,59.2,59.2,57.5,58.0,72950,38.67
TV2,2020-07-30,58.2,61.2,58.2,59.4,60700,39.6
TV2,2020-07-29,61.8,61.8,58.0,59.2,48280,39.47
TV2,2020-07-28,60.5,62.0,60.5,61.5,100930,41.0
TV2,2020-07-27,63.0,63.0,60.8,60.8,94220,40.54
TV2,2020-07-24,67.8,68.0,63.9,65.3,81520,43.54
TV2,2020-07-23,71.8,71.8,68.4,68.7,110880,45.8
TV2,2020-07-22,73.0,73.0,71.2,71.8,54650,47.87
TV2,2020-07-21,73.9,73.9,72.1,72.2,62840,48.14
TV2,2020-07-20,74.0,74.3,73.4,74.0,20700,49.34
TV2,2020-07-17,74.5,74.6,73.7,74.0,114620,49.34
TV2,2020-07-16,75.1,75.3,74.2,74.7,55460,49.8
TV2,2020-07-15,75.0,75.2,74.5,75.1,77800,50.07
TV2,2020-07-14,75.9,75.9,74.5,75.2,49760,50.14
TV2,2020-07-13,78.0,78.0,75.0,75.0,46090,50.0
