name,date,open,high,low,close,volume,adj_close
VCI,2020-10-16,40.5,41.85,39.1,40.3,1534360,40.3
VCI,2020-10-15,36.9,39.15,36.7,39.15,1386260,39.15
VCI,2020-10-14,34.3,36.7,34.05,36.6,1435810,36.6
VCI,2020-10-13,35.0,35.2,34.3,34.3,688030,34.3
VCI,2020-10-12,34.5,35.5,34.0,35.0,1153290,35.0
VCI,2020-10-09,32.5,34.0,32.4,34.0,1385850,34.0
VCI,2020-10-08,31.7,32.55,31.6,32.5,841930,32.5
VCI,2020-10-07,31.6,32.55,31.5,31.65,841750,31.65
VCI,2020-10-06,32.2,32.45,31.3,32.0,1143460,32.0
VCI,2020-10-05,32.8,32.8,31.9,32.2,780330,32.2
VCI,2020-10-02,31.0,31.7,30.2,31.5,1158330,31.5
VCI,2020-10-01,29.2,30.8,29.2,30.8,2148460,30.8
VCI,2020-09-30,28.5,29.0,28.2,28.8,390350,28.8
VCI,2020-09-29,28.8,29.35,28.6,28.6,783580,28.6
VCI,2020-09-28,28.4,28.8,28.25,28.8,761250,28.8
VCI,2020-09-25,28.3,28.6,27.8,28.3,754920,28.3
VCI,2020-09-24,29.0,29.15,28.15,28.3,1058850,28.3
VCI,2020-09-23,29.5,29.7,29.2,29.3,517710,29.3
VCI,2020-09-22,29.35,29.55,29.1,29.4,439670,29.4
VCI,2020-09-21,29.2,29.8,29.2,29.6,593370,29.6
VCI,2020-09-10,28.5,28.5,27.6,27.8,702560,27.8
VCI,2020-09-09,27.0,28.05,26.9,28.05,1413500,28.05
VCI,2020-09-08,26.65,27.4,26.5,27.4,1324370,27.4
VCI,2020-09-07,28.0,28.45,26.5,26.5,1523250,26.5
VCI,2020-09-04,26.2,28.4,25.95,27.8,1926100,27.8
VCI,2020-09-03,26.1,26.75,25.95,26.7,1046200,26.7
VCI,2020-09-01,25.3,26.35,25.3,25.95,729470,25.95
VCI,2020-08-31,25.6,26.4,25.2,25.2,1269250,25.2
VCI,2020-08-28,25.95,26.5,25.5,25.5,679200,25.5
VCI,2020-08-27,24.4,26.05,24.35,26.05,2281980,26.05
VCI,2020-08-26,23.25,24.7,23.0,24.35,1740420,24.35
VCI,2020-08-25,23.6,23.8,23.3,23.3,736340,23.3
VCI,2020-08-24,23.7,23.7,23.3,23.6,698810,23.6
VCI,2020-08-21,22.15,23.25,22.15,23.1,1395340,23.1
VCI,2020-08-20,22.05,22.45,21.9,22.15,618180,22.15
VCI,2020-08-19,21.45,22.3,21.4,22.25,526020,22.25
VCI,2020-08-18,21.7,21.95,21.35,21.6,301990,21.6
VCI,2020-08-17,21.7,22.15,21.45,21.7,245960,21.7
VCI,2020-08-14,22.45,22.6,21.8,22.05,471190,22.05
VCI,2020-08-13,22.3,22.8,22.2,22.4,365050,22.4
VCI,2020-08-12,22.0,22.45,21.8,22.3,353450,22.3
VCI,2020-08-11,21.6,22.4,21.3,22.0,618790,22.0
VCI,2020-08-10,21.4,21.65,21.35,21.4,410500,21.4
VCI,2020-08-07,21.35,21.5,21.2,21.4,150520,21.4
VCI,2020-08-06,21.6,21.8,21.25,21.35,362070,21.35
VCI,2020-08-05,21.5,21.7,21.0,21.55,316960,21.55
VCI,2020-08-04,21.2,21.75,21.2,21.4,316050,21.4
VCI,2020-08-03,20.45,20.95,20.1,20.95,303080,20.95
VCI,2020-07-31,19.9,20.7,19.9,20.05,257670,20.05
VCI,2020-07-30,20.8,21.25,20.45,20.45,313810,20.45
VCI,2020-07-29,20.3,20.8,19.75,20.45,761760,20.45
VCI,2020-07-28,20.0,21.0,19.9,21.0,713060,21.0
VCI,2020-07-27,20.3,20.95,20.0,20.0,1595680,20.0
VCI,2020-07-24,22.5,22.5,20.95,21.5,1533360,21.5
VCI,2020-07-23,22.35,22.6,21.95,22.5,672430,22.5
VCI,2020-07-22,23.5,23.5,22.5,22.6,604490,22.6
VCI,2020-07-21,23.5,23.5,22.7,23.2,481600,23.2
VCI,2020-07-20,23.35,23.6,23.0,23.35,599990,23.35
VCI,2020-07-17,23.4,23.4,23.0,23.15,318800,23.15
VCI,2020-07-16,23.9,23.9,23.15,23.35,497370,23.35
VCI,2020-07-15,25.4,25.45,24.8,24.9,661280,23.4
VCI,2020-07-14,24.75,25.35,24.3,25.05,780520,23.54
VCI,2020-07-13,25.0,25.0,24.6,24.75,647150,23.26
VCI,2020-07-10,24.15,25.4,24.15,24.8,1770990,23.31
VCI,2020-07-09,23.9,24.5,23.85,24.15,911920,22.7
VCI,2020-07-08,22.9,23.75,22.7,23.7,681070,22.27
VCI,2020-07-07,23.4,23.6,22.9,22.9,911110,21.52
VCI,2020-07-06,22.9,22.9,22.4,22.85,328790,21.47
VCI,2020-07-03,22.5,22.5,22.05,22.35,425360,21.0
VCI,2020-07-02,22.45,22.8,22.1,22.2,275590,20.86
VCI,2020-07-01,20.5,21.9,20.5,21.9,373730,20.58
VCI,2020-06-30,21.7,21.8,20.35,20.5,863550,19.27
VCI,2020-06-29,21.95,22.45,20.95,21.0,739540,19.74
VCI,2020-06-26,22.85,23.4,21.9,22.45,768440,21.1
VCI,2020-06-25,22.5,23.2,22.35,22.85,509950,21.47
VCI,2020-06-24,23.85,24.4,22.5,23.0,722350,21.62
VCI,2020-06-23,23.3,24.25,23.0,23.85,1347280,22.41
VCI,2020-06-22,23.0,23.45,22.8,22.9,459520,21.52
VCI,2020-06-19,21.9,22.85,21.9,22.8,801950,21.43
VCI,2020-06-18,22.2,22.25,21.7,21.85,397870,20.53
VCI,2020-06-17,22.3,22.6,21.7,22.2,574740,20.86
VCI,2020-06-16,22.2,22.65,21.9,22.25,865980,20.91
VCI,2020-06-15,23.1,23.1,21.5,21.5,1023220,20.21
VCI,2020-06-12,21.95,23.1,21.9,23.1,1141200,21.71
VCI,2020-06-11,25.3,25.55,23.5,23.5,1309250,22.09
VCI,2020-06-10,24.7,25.4,24.35,25.25,1060000,23.73
VCI,2020-06-09,25.5,25.6,24.7,24.85,1394860,23.35
VCI,2020-06-08,25.8,26.1,25.2,25.6,895100,24.06
VCI,2020-06-05,25.4,25.4,24.8,25.2,621890,23.68
VCI,2020-06-04,23.75,25.3,23.75,25.2,2503400,23.68
VCI,2020-06-03,23.55,24.15,23.4,23.65,387580,22.23
VCI,2020-06-02,23.8,24.55,23.75,23.8,1134730,22.37
VCI,2020-06-01,23.0,23.6,22.9,23.55,272620,22.13
VCI,2020-05-29,23.15,23.4,22.65,22.8,1256510,21.43
VCI,2020-05-28,23.3,23.5,22.85,23.35,846770,21.94
VCI,2020-05-27,24.3,24.45,23.0,23.0,747450,21.62
VCI,2020-05-26,23.4,24.5,23.4,24.0,920040,22.56
VCI,2020-05-25,23.2,23.7,22.9,23.4,744260,21.99
VCI,2020-05-22,23.4,23.85,22.8,23.2,798190,21.8
VCI,2020-05-21,23.9,24.25,22.8,23.3,1134540,21.9
VCI,2020-05-20,23.6,24.3,23.6,24.05,374340,22.6
VCI,2020-05-19,24.6,24.9,23.5,24.5,677230,23.03
VCI,2020-05-18,23.0,24.3,22.8,24.0,600770,22.56
VCI,2020-05-15,22.7,23.9,22.65,23.05,791520,21.66
VCI,2020-05-14,21.3,23.3,21.2,22.7,962520,21.33
VCI,2020-05-13,21.65,22.4,21.0,21.8,952830,20.49
VCI,2020-05-12,22.45,22.45,21.9,22.45,1566100,21.1
VCI,2020-05-11,21.0,21.0,20.1,21.0,725760,19.74
VCI,2020-05-08,19.05,20.3,19.05,19.65,1299710,18.47
VCI,2020-05-07,18.4,19.0,18.35,19.0,393280,17.86
VCI,2020-05-06,18.5,18.6,18.3,18.4,143670,17.29
VCI,2020-05-05,18.2,18.5,17.8,18.5,281980,17.39
VCI,2020-05-04,17.5,18.6,17.4,17.75,413270,16.68
VCI,2020-04-29,17.6,17.7,17.4,17.6,303380,16.54
VCI,2020-04-28,17.6,17.7,17.35,17.7,314120,16.63
VCI,2020-04-27,18.4,18.5,17.5,17.65,349740,16.59
VCI,2020-04-24,18.5,18.55,18.3,18.4,549750,17.29
VCI,2020-04-23,18.8,19.1,18.3,18.8,603730,17.67
VCI,2020-04-22,17.0,18.6,17.0,18.3,460820,17.2
VCI,2020-04-21,18.5,18.8,17.8,17.8,690330,16.73
VCI,2020-04-20,19.8,19.9,18.6,19.1,902790,17.95
VCI,2020-04-17,18.85,19.8,18.7,19.8,465210,18.61
VCI,2020-04-16,18.3,19.2,18.1,18.7,327780,17.57
VCI,2020-04-15,17.8,18.7,17.8,18.3,1117240,17.2
VCI,2020-04-14,18.0,18.0,17.05,17.5,327760,16.45
VCI,2020-04-13,18.05,18.7,17.8,18.0,335150,16.92
VCI,2020-04-10,17.6,17.6,17.3,17.6,1148030,16.54
VCI,2020-04-09,15.4,16.45,15.4,16.45,514950,15.46
VCI,2020-04-08,15.5,15.6,15.1,15.4,199900,14.47
VCI,2020-04-07,15.85,15.85,15.0,15.7,230520,14.75
VCI,2020-04-06,15.5,15.85,15.4,15.85,259240,14.9
VCI,2020-04-03,14.75,15.4,14.75,15.0,269230,14.1
VCI,2020-04-01,14.2,14.9,14.2,14.5,145180,13.63
VCI,2020-03-31,14.8,15.0,14.2,14.2,77020,13.35
VCI,2020-03-30,15.5,15.55,14.8,14.8,177850,13.91
VCI,2020-03-27,16.0,16.0,15.4,15.9,110100,14.94
VCI,2020-03-26,16.05,16.05,15.7,15.9,111750,14.94
VCI,2020-03-25,16.0,16.3,16.0,16.05,101960,15.08
VCI,2020-03-24,16.9,16.9,15.8,16.0,82950,15.04
VCI,2020-03-23,18.0,18.0,16.9,16.9,137700,15.88
VCI,2020-03-20,17.9,18.65,17.9,18.15,64460,17.06
VCI,2020-03-19,17.7,18.7,17.7,18.7,30150,17.57
VCI,2020-03-18,19.0,19.3,18.65,18.9,28810,17.76
VCI,2020-03-17,19.3,19.8,17.95,19.3,112680,18.14
VCI,2020-03-16,19.65,19.65,19.3,19.3,70910,18.14
VCI,2020-03-13,20.7,22.0,20.7,20.7,14480,19.45
VCI,2020-03-12,22.25,23.1,22.25,22.25,20000,20.91
VCI,2020-03-11,24.5,24.5,23.75,23.9,101910,22.46
VCI,2020-03-10,24.1,25.9,24.1,25.5,171530,23.96
VCI,2020-03-09,25.0,25.9,24.75,25.5,95830,23.96
VCI,2020-03-06,26.4,26.6,26.15,26.6,11030,25.0
VCI,2020-03-05,26.45,26.8,26.0,26.4,69690,24.81
VCI,2020-03-04,26.4,26.4,26.0,26.0,6280,24.43
VCI,2020-03-03,26.5,26.5,26.0,26.0,29910,24.43
VCI,2020-03-02,26.0,27.0,26.0,26.0,53480,24.43
VCI,2020-02-28,26.1,26.1,26.0,26.0,7540,24.43
VCI,2020-02-27,26.5,26.9,26.0,26.9,78230,25.28
VCI,2020-02-26,27.5,27.5,25.6,26.5,30500,24.9
VCI,2020-02-25,27.0,27.5,26.65,27.5,13560,25.84
VCI,2020-02-24,27.2,27.75,26.6,27.2,8780,25.56
VCI,2020-02-21,28.0,28.35,27.65,28.0,128730,26.31
VCI,2020-02-20,27.55,28.0,27.55,28.0,4640,26.31
VCI,2020-02-19,28.3,28.3,27.35,28.1,2080,26.41
VCI,2020-02-18,28.05,28.3,27.5,28.3,14320,26.6
VCI,2020-02-17,27.95,28.5,27.6,28.0,17570,26.31
VCI,2020-02-14,27.8,28.9,27.8,28.15,30240,26.46
VCI,2020-02-13,27.0,27.65,27.0,27.65,34100,25.99
VCI,2020-02-12,26.5,27.4,26.45,27.35,55830,25.7
VCI,2020-02-11,26.4,26.8,26.0,26.5,30890,24.9
VCI,2020-02-10,27.0,27.0,26.15,26.4,9850,24.81
VCI,2020-02-07,26.6,27.75,25.0,26.5,60730,24.9
VCI,2020-02-06,26.8,27.0,25.9,26.8,23930,25.19
VCI,2020-02-05,26.2,27.3,25.5,26.65,59100,25.05
VCI,2020-02-04,26.0,27.0,26.0,26.8,6550,25.19
VCI,2020-02-03,26.8,26.8,25.0,26.8,96440,25.19
VCI,2020-01-31,28.0,28.0,26.6,26.8,54030,25.19
VCI,2020-01-30,30.0,30.0,27.0,27.0,101240,25.37
VCI,2020-01-22,29.45,29.45,28.6,28.6,44180,26.88
VCI,2020-01-21,28.5,29.0,28.5,28.9,53940,27.16
VCI,2020-01-20,29.0,29.0,28.55,28.55,10870,26.83
VCI,2020-01-17,28.5,29.45,28.5,28.8,30490,27.07
VCI,2020-01-16,28.05,28.95,28.05,28.5,24120,26.78
VCI,2020-01-15,28.5,29.85,28.5,29.0,1050,27.25
VCI,2020-01-14,29.0,29.0,28.5,29.0,65730,27.25
VCI,2020-01-13,28.2,29.4,28.2,29.0,40860,27.25
VCI,2020-01-10,28.6,28.9,28.1,28.8,8570,27.07
VCI,2020-01-09,29.0,29.0,28.6,28.9,3720,27.16
VCI,2020-01-08,28.0,28.6,28.0,28.6,2640,26.88
VCI,2020-01-07,29.4,29.4,28.6,28.6,18320,26.88
VCI,2020-01-06,28.0,29.3,28.0,28.6,22760,26.88
VCI,2020-01-03,29.0,29.0,28.5,29.0,2450,27.25
VCI,2020-01-02,29.0,29.0,28.6,29.0,18320,27.25
VCI,2019-12-31,29.5,29.5,28.9,29.5,56710,27.72
VCI,2019-12-30,29.5,29.5,29.35,29.5,46860,27.72
VCI,2019-12-27,29.4,29.8,29.3,29.8,21900,28.01
VCI,2019-12-26,29.0,29.8,29.0,29.5,21720,27.72
VCI,2019-12-25,29.9,29.95,29.25,29.8,68620,28.01
VCI,2019-12-24,30.0,31.55,29.0,29.5,96900,27.72
VCI,2019-12-23,30.0,30.0,29.25,29.5,30760,27.72
VCI,2019-12-20,29.5,30.3,29.2,30.0,149860,28.19
VCI,2019-12-19,29.6,30.5,29.6,30.0,12660,28.19
VCI,2019-12-18,30.85,30.85,29.2,29.5,49090,27.72
VCI,2019-12-17,31.2,31.2,30.6,30.85,50960,28.99
VCI,2019-12-16,31.5,31.5,31.3,31.4,42350,29.51
VCI,2019-12-13,31.3,31.95,31.2,31.7,23010,29.79
VCI,2019-12-12,32.3,32.3,31.4,31.9,27460,29.98
VCI,2019-12-11,32.0,32.2,31.35,31.5,15340,29.6
VCI,2019-12-10,31.9,31.9,31.6,31.8,187140,29.89
VCI,2019-12-09,32.45,32.5,31.7,32.45,18800,30.5
VCI,2019-12-06,32.6,32.6,31.0,31.5,71540,29.6
VCI,2019-12-05,32.7,33.0,32.6,32.6,51710,30.64
VCI,2019-12-04,33.5,33.5,32.5,33.35,7880,31.34
VCI,2019-12-03,33.0,33.4,32.7,33.2,8580,31.2
VCI,2019-12-02,33.7,33.7,33.2,33.4,53710,31.39
VCI,2019-11-29,33.45,34.0,33.1,33.7,392020,31.67
VCI,2019-11-28,33.1,34.0,33.1,33.4,15960,31.39
VCI,2019-11-27,33.0,33.5,33.0,33.0,146900,31.01
VCI,2019-11-26,33.0,34.0,33.0,33.1,104330,31.11
VCI,2019-11-25,33.6,35.6,33.1,33.1,439070,31.11
VCI,2019-11-22,33.4,33.9,33.4,33.4,408480,31.39
VCI,2019-11-21,33.0,34.0,33.0,33.5,102380,31.48
VCI,2019-11-20,33.0,34.0,33.0,34.0,35640,31.95
VCI,2019-11-19,34.0,34.0,33.6,34.0,36800,31.95
VCI,2019-11-18,33.6,33.95,33.6,33.95,44310,31.91
VCI,2019-11-15,34.0,34.0,33.45,33.55,124190,31.53
VCI,2019-11-14,33.9,34.9,33.9,34.0,130030,31.95
VCI,2019-11-13,33.9,34.35,33.35,33.95,104600,31.91
VCI,2019-11-12,34.0,34.2,34.0,34.05,127500,32.0
VCI,2019-11-11,34.2,34.25,34.0,34.0,155360,31.95
VCI,2019-11-08,34.65,34.8,34.2,34.25,144030,32.19
VCI,2019-11-07,34.0,34.5,34.0,34.05,202450,32.0
VCI,2019-11-06,34.6,34.6,34.0,34.5,74360,32.42
