name,date,open,high,low,close,volume,adj_close
VJC,2020-10-08,104.0,104.0,103.3,104.0,405290,104.0
VJC,2020-10-07,104.3,104.3,103.0,104.0,356210,104.0
VJC,2020-10-06,104.8,104.9,103.9,104.5,408750,104.5
VJC,2020-10-05,105.0,105.4,104.8,104.8,306570,104.8
VJC,2020-10-02,105.5,105.6,104.3,104.9,384660,104.9
VJC,2020-10-01,104.7,105.5,104.6,105.5,445300,105.5
VJC,2020-09-30,103.8,105.3,103.8,104.6,413700,104.6
VJC,2020-09-29,105.4,105.4,104.0,104.0,374370,104.0
VJC,2020-09-28,105.7,105.8,105.0,105.5,331270,105.5
VJC,2020-09-25,105.8,106.2,105.3,105.6,314150,105.6
VJC,2020-09-24,106.1,106.4,105.5,105.8,353690,105.8
VJC,2020-09-23,106.7,106.8,106.0,106.5,370730,106.5
VJC,2020-09-22,106.5,106.8,105.9,106.7,641230,106.7
VJC,2020-09-21,106.0,107.0,106.0,106.5,416780,106.5
VJC,2020-09-18,105.3,106.1,105.3,106.0,356340,106.0
VJC,2020-09-17,106.9,106.9,105.9,105.9,566330,105.9
VJC,2020-09-16,106.9,106.9,106.0,106.9,443260,106.9
VJC,2020-09-15,107.5,108.0,106.0,106.9,415560,106.9
VJC,2020-09-14,106.0,107.4,106.0,107.4,551420,107.4
VJC,2020-09-11,106.0,106.0,104.5,105.8,409590,105.8
VJC,2020-09-10,106.0,106.2,105.5,106.0,460670,106.0
VJC,2020-09-09,106.0,106.0,104.4,106.0,527620,106.0
VJC,2020-09-08,107.0,107.0,105.4,106.8,404020,106.8
VJC,2020-09-07,108.0,108.0,105.6,107.0,485630,107.0
VJC,2020-09-04,105.5,107.6,105.5,107.6,663890,107.6
VJC,2020-09-03,106.6,107.9,106.5,107.6,607480,107.6
VJC,2020-09-01,103.7,105.5,103.6,105.5,686820,105.5
VJC,2020-08-31,101.0,103.2,100.7,103.0,489880,103.0
VJC,2020-08-28,99.8,100.8,99.8,100.6,480460,100.6
VJC,2020-08-27,100.5,100.6,99.5,99.6,276490,99.6
VJC,2020-08-26,99.8,100.6,99.6,100.6,460680,100.6
VJC,2020-08-25,100.1,100.4,99.2,99.5,560970,99.5
VJC,2020-08-24,99.7,100.4,99.7,100.0,537630,100.0
VJC,2020-08-21,99.7,99.7,99.1,99.6,270450,99.6
VJC,2020-08-20,99.9,100.0,98.8,99.6,481250,99.6
VJC,2020-08-19,99.8,100.0,99.6,100.0,245440,100.0
VJC,2020-08-18,100.0,100.2,98.9,99.8,267090,99.8
VJC,2020-08-17,100.2,100.6,98.8,100.2,265010,100.2
VJC,2020-08-14,101.6,101.7,100.3,100.6,362250,100.6
VJC,2020-08-13,100.7,101.6,100.6,101.6,421970,101.6
VJC,2020-08-12,99.8,100.5,99.7,100.5,298910,100.5
VJC,2020-08-11,100.0,100.1,99.1,99.5,240830,99.5
VJC,2020-08-10,100.3,101.0,100.0,100.0,339710,100.0
VJC,2020-08-07,101.0,101.2,99.2,100.3,255020,100.3
VJC,2020-08-06,100.0,102.1,100.0,101.0,362410,101.0
VJC,2020-08-05,97.0,100.0,96.1,99.8,413720,99.8
VJC,2020-08-04,96.0,97.5,96.0,97.0,323790,97.0
VJC,2020-08-03,94.5,96.2,94.5,96.0,297320,96.0
VJC,2020-07-31,95.0,95.9,94.5,94.5,266790,94.5
VJC,2020-07-30,95.1,97.0,95.1,96.0,208710,96.0
VJC,2020-07-29,96.0,96.4,94.3,95.1,229700,95.1
VJC,2020-07-28,97.8,97.9,94.9,96.5,334050,96.5
VJC,2020-07-27,98.0,100.0,96.6,97.9,362790,97.9
VJC,2020-07-24,107.5,107.9,102.4,103.8,351710,103.8
VJC,2020-07-23,107.4,108.0,107.2,107.9,252960,107.9
VJC,2020-07-22,108.3,108.3,107.4,107.4,247420,107.4
VJC,2020-07-21,107.4,108.5,107.0,108.4,232510,108.4
VJC,2020-07-20,107.5,108.7,107.3,107.5,218370,107.5
VJC,2020-07-17,109.0,109.0,108.0,109.0,319230,109.0
