name,date,open,high,low,close,volume,adj_close
GAS,2020-10-16,75.0,76.0,74.4,75.4,1091120,75.4
GAS,2020-10-15,76.0,76.9,75.0,75.0,1377170,75.0
GAS,2020-10-14,75.5,76.2,74.9,75.2,1263470,75.2
GAS,2020-10-13,75.1,75.7,74.7,75.0,596720,75.0
GAS,2020-10-12,74.3,76.6,74.0,75.0,1917010,75.0
GAS,2020-10-09,75.0,75.0,74.1,74.3,438960,74.3
GAS,2020-10-08,74.9,75.2,74.1,74.6,774540,74.6
GAS,2020-10-07,72.5,75.3,72.2,74.1,2294270,74.1
GAS,2020-10-06,72.8,73.2,72.4,72.5,763230,72.5
GAS,2020-10-05,71.9,72.8,71.6,72.5,704400,72.5
GAS,2020-10-02,72.4,72.5,71.1,71.9,612860,71.9
GAS,2020-10-01,71.5,72.4,71.5,72.4,252570,72.4
GAS,2020-09-30,71.5,72.0,71.3,71.3,615450,71.3
GAS,2020-09-29,72.2,73.0,71.5,71.5,1073200,71.5
GAS,2020-09-28,73.1,73.5,72.2,72.2,417070,72.2
GAS,2020-09-25,73.5,73.6,72.6,73.1,459680,73.1
GAS,2020-09-24,72.7,73.8,72.4,73.5,820660,73.5
GAS,2020-09-23,72.5,73.5,72.2,72.7,823090,72.7
GAS,2020-09-22,72.5,72.9,71.9,71.9,821590,71.9
GAS,2020-09-21,72.9,73.6,72.1,72.8,939720,72.8
GAS,2020-09-10,72.5,72.9,71.9,72.0,620770,72.0
GAS,2020-09-09,71.0,72.0,70.9,71.7,740970,71.7
GAS,2020-09-08,72.0,73.3,72.0,72.0,663940,72.0
GAS,2020-09-07,74.4,74.4,72.0,72.0,1336130,72.0
GAS,2020-09-04,74.1,75.2,74.1,74.6,937330,74.6
GAS,2020-09-03,76.0,76.2,75.3,75.8,587250,75.8
GAS,2020-09-01,74.1,75.5,73.8,75.4,844110,75.4
GAS,2020-08-31,74.4,75.0,73.5,74.1,549950,74.1
GAS,2020-08-28,74.0,75.0,73.1,74.2,1011700,74.2
GAS,2020-08-27,73.4,73.4,72.5,73.0,501290,73.0
GAS,2020-08-26,74.0,74.4,73.5,73.5,431210,73.5
GAS,2020-08-25,73.2,74.5,73.2,73.8,722600,73.8
GAS,2020-08-24,72.2,73.5,72.2,73.0,638880,73.0
GAS,2020-08-21,71.2,72.1,71.1,72.0,494700,72.0
GAS,2020-08-20,71.9,72.2,71.0,71.0,444340,71.0
GAS,2020-08-19,72.0,72.3,71.8,72.1,224530,72.1
GAS,2020-08-18,73.0,73.0,71.5,71.9,297780,71.9
GAS,2020-08-17,72.0,72.4,71.2,72.0,460890,72.0
GAS,2020-08-14,72.0,72.8,71.8,72.3,870730,72.3
GAS,2020-08-13,71.5,72.9,71.5,72.6,951630,72.6
GAS,2020-08-12,70.5,71.6,70.0,71.2,973330,71.2
GAS,2020-08-11,70.5,70.8,69.7,70.0,550870,70.0
GAS,2020-08-10,70.3,71.1,70.2,70.5,469290,70.5
GAS,2020-08-07,69.5,70.7,69.2,70.2,571770,70.2
GAS,2020-08-06,68.5,69.8,68.4,69.5,640610,69.5
GAS,2020-08-05,68.1,68.9,67.8,68.6,566050,68.6
GAS,2020-08-04,68.5,68.5,67.7,68.1,387300,68.1
GAS,2020-08-03,65.3,67.5,65.2,67.2,536220,67.2
GAS,2020-07-31,64.5,65.5,63.8,65.5,314230,65.5
GAS,2020-07-30,67.9,67.9,64.5,65.5,417700,65.5
GAS,2020-07-29,65.1,66.6,63.3,63.5,777530,63.5
GAS,2020-07-28,66.0,67.8,64.0,67.8,683540,67.8
GAS,2020-07-27,64.2,69.0,63.8,64.0,1319680,64.0
GAS,2020-07-24,71.1,71.5,67.5,68.3,1173440,68.3
GAS,2020-07-23,70.2,71.6,70.2,71.1,629750,71.1
GAS,2020-07-22,71.5,71.5,70.1,70.2,343540,70.2
GAS,2020-07-21,70.9,71.7,70.8,71.0,264440,71.0
GAS,2020-07-20,70.9,71.8,70.9,70.9,492500,70.9
GAS,2020-07-17,72.2,72.5,71.9,71.9,382400,71.9
GAS,2020-07-16,72.7,72.9,72.2,72.2,534310,72.2
GAS,2020-07-15,72.9,73.6,72.1,72.1,507920,72.1
GAS,2020-07-14,72.0,73.5,71.9,72.2,631990,72.2
GAS,2020-07-13,75.0,75.3,74.3,74.9,592380,71.4
GAS,2020-07-10,75.0,75.4,74.2,74.3,461690,70.83
GAS,2020-07-09,73.9,75.8,73.7,75.2,1179910,71.69
GAS,2020-07-08,73.0,74.1,72.5,72.9,534040,69.5
GAS,2020-07-07,73.0,74.3,72.4,72.4,819010,69.02
GAS,2020-07-06,71.8,72.8,71.2,72.4,485000,69.02
