name,date,open,high,low,close,volume,adj_close
TCB,2020-10-16,22.9,23.3,22.6,22.65,27075400,22.65
TCB,2020-10-15,23.45,23.8,22.8,22.85,25323170,22.85
TCB,2020-10-14,21.6,22.85,21.6,22.85,48630920,22.85
TCB,2020-10-13,21.25,21.65,21.2,21.4,14215200,21.4
TCB,2020-10-12,21.7,21.85,21.2,21.2,14203730,21.2
TCB,2020-10-09,21.5,21.95,21.3,21.35,13523760,21.35
TCB,2020-10-08,21.9,22.0,21.35,21.35,14366760,21.35
TCB,2020-10-07,22.3,22.35,21.8,21.8,12159210,21.8
TCB,2020-10-06,22.7,22.75,22.2,22.4,6850730,22.4
TCB,2020-10-05,22.55,22.75,22.25,22.55,5363760,22.55
TCB,2020-10-02,22.9,23.0,22.35,22.55,4381810,22.55
TCB,2020-10-01,22.65,22.9,22.6,22.8,3497290,22.8
TCB,2020-09-30,22.55,22.6,22.3,22.6,2357980,22.6
TCB,2020-09-29,22.9,23.0,22.55,22.55,2973020,22.55
TCB,2020-09-28,22.35,23.0,22.25,22.85,2811640,22.85
TCB,2020-09-25,22.45,22.5,22.25,22.4,3497970,22.4
TCB,2020-09-24,22.25,22.45,22.1,22.45,3988170,22.45
TCB,2020-09-23,22.35,22.5,22.25,22.3,2941250,22.3
TCB,2020-09-22,22.2,22.45,22.05,22.35,3669840,22.35
TCB,2020-09-21,22.0,22.3,22.0,22.3,5874890,22.3
TCB,2020-09-10,21.3,21.6,21.3,21.45,1524900,21.45
TCB,2020-09-09,21.1,21.5,20.95,21.2,2762390,21.2
TCB,2020-09-08,21.35,21.5,21.05,21.5,1935300,21.5
TCB,2020-09-07,21.85,21.95,21.2,21.2,2350940,21.2
TCB,2020-09-04,21.7,21.9,21.7,21.85,2276910,21.85
TCB,2020-09-03,21.75,22.1,21.7,22.0,3326470,22.0
TCB,2020-09-01,21.3,21.7,21.1,21.7,2171350,21.7
TCB,2020-08-31,21.6,21.8,21.25,21.3,1793790,21.3
TCB,2020-08-28,21.3,21.85,21.25,21.6,5154230,21.6
TCB,2020-08-27,21.1,21.2,21.0,21.15,1792750,21.15
TCB,2020-08-26,21.2,21.3,21.0,21.1,2116830,21.1
TCB,2020-08-25,21.0,21.4,21.0,21.3,3775640,21.3
TCB,2020-08-24,20.75,21.0,20.5,20.95,2749740,20.95
TCB,2020-08-21,20.1,20.4,20.1,20.35,2817550,20.35
TCB,2020-08-20,20.2,20.25,19.85,20.0,3659990,20.0
TCB,2020-08-19,20.1,20.25,20.0,20.2,1132620,20.2
TCB,2020-08-18,20.1,20.2,20.0,20.05,1410740,20.05
TCB,2020-08-17,20.1,20.15,19.75,20.1,2732690,20.1
TCB,2020-08-14,19.8,20.2,19.65,19.8,2588850,19.8
TCB,2020-08-13,19.75,19.85,19.6,19.8,1584180,19.8
TCB,2020-08-12,19.45,19.7,19.45,19.65,1634530,19.65
TCB,2020-08-11,19.55,19.55,19.3,19.45,1334060,19.45
TCB,2020-08-10,19.3,19.7,19.3,19.4,2743500,19.4
TCB,2020-08-07,19.3,19.35,19.05,19.15,951190,19.15
TCB,2020-08-06,19.4,19.5,19.1,19.2,1860660,19.2
TCB,2020-08-05,18.9,19.45,18.7,19.45,1917290,19.45
TCB,2020-08-04,18.9,19.1,18.75,18.85,1210770,18.85
TCB,2020-08-03,18.25,18.6,18.15,18.6,1247760,18.6
TCB,2020-07-31,18.2,18.65,18.15,18.15,2304460,18.15
TCB,2020-07-30,18.2,19.0,17.5,18.6,974910,18.6
TCB,2020-07-29,18.3,18.4,17.5,18.15,1841250,18.15
TCB,2020-07-28,18.2,18.8,18.0,18.75,2883870,18.75
TCB,2020-07-27,19.1,19.2,18.15,18.15,2677650,18.15
TCB,2020-07-24,20.3,20.3,19.0,19.5,2951240,19.5
TCB,2020-07-23,20.2,20.3,20.1,20.3,861140,20.3
TCB,2020-07-22,20.6,20.6,20.25,20.25,1224170,20.25
TCB,2020-07-21,20.5,20.55,20.3,20.5,818210,20.5
TCB,2020-07-20,20.5,20.65,20.45,20.5,1164560,20.5
TCB,2020-07-17,20.7,20.8,20.55,20.6,1180670,20.6
TCB,2020-07-16,20.6,21.0,20.4,21.0,1662150,21.0
TCB,2020-07-15,20.3,20.75,20.3,20.6,1697190,20.6
TCB,2020-07-14,20.2,20.3,20.0,20.1,1809120,20.1
TCB,2020-07-13,20.8,20.8,20.0,20.3,1725580,20.3
TCB,2020-07-10,20.85,20.95,20.45,20.45,1398740,20.45
TCB,2020-07-09,20.25,20.95,20.1,20.95,3146430,20.95
TCB,2020-07-08,20.2,20.25,20.1,20.1,676840,20.1
TCB,2020-07-07,20.3,20.4,20.2,20.25,895150,20.25
TCB,2020-07-06,19.8,20.25,19.8,20.25,1220550,20.25
TCB,2020-07-03,19.75,19.8,19.55,19.8,593390,19.8
TCB,2020-07-02,19.95,19.95,19.5,19.75,820250,19.75
TCB,2020-07-01,19.5,19.9,19.45,19.8,751460,19.8
TCB,2020-06-30,19.75,19.9,19.1,19.55,1290510,19.55
TCB,2020-06-29,20.0,20.1,19.6,19.65,1752070,19.65
TCB,2020-06-26,20.5,20.5,20.15,20.35,668030,20.35
TCB,2020-06-25,20.2,20.4,20.1,20.2,1162400,20.2
TCB,2020-06-24,20.7,20.75,20.4,20.5,860730,20.5
TCB,2020-06-23,20.75,20.8,20.6,20.65,1173850,20.65
TCB,2020-06-22,20.95,20.95,20.5,20.75,1166650,20.75
TCB,2020-06-19,20.2,20.5,20.2,20.5,632650,20.5
TCB,2020-06-18,20.3,20.45,20.2,20.2,625890,20.2
TCB,2020-06-17,20.6,20.6,20.25,20.3,1416900,20.3
TCB,2020-06-16,20.5,20.6,20.3,20.6,1487150,20.6
TCB,2020-06-15,21.1,21.1,20.05,20.1,2302220,20.1
TCB,2020-06-12,20.6,21.25,20.5,21.15,3715000,21.15
TCB,2020-06-11,21.9,21.9,20.9,20.9,3478310,20.9
TCB,2020-06-10,21.35,21.95,21.25,21.85,2295880,21.85
TCB,2020-06-09,21.7,21.8,21.5,21.55,1702620,21.55
TCB,2020-06-08,21.55,21.9,21.55,21.7,3484860,21.7
TCB,2020-06-05,21.25,21.45,21.1,21.45,2251740,21.45
TCB,2020-06-04,21.4,21.45,21.2,21.2,2216760,21.2
TCB,2020-06-03,21.15,21.45,21.15,21.35,2064360,21.35
TCB,2020-06-02,21.5,21.5,21.1,21.15,2469400,21.15
TCB,2020-06-01,20.8,21.3,20.8,21.3,2341100,21.3
TCB,2020-05-29,20.85,20.95,20.7,20.7,1101170,20.7
TCB,2020-05-28,20.9,21.2,20.8,20.9,1584390,20.9
TCB,2020-05-27,21.2,21.4,20.9,20.9,2673490,20.9
TCB,2020-05-26,21.1,21.3,21.0,21.15,2220450,21.15
TCB,2020-05-25,21.1,21.3,20.95,21.05,1962970,21.05
TCB,2020-05-22,21.6,21.6,21.05,21.05,3322040,21.05
TCB,2020-05-21,21.05,22.0,20.85,22.0,3539410,22.0
TCB,2020-05-20,21.0,21.2,20.95,21.05,1911850,21.05
TCB,2020-05-19,21.35,21.4,20.95,21.3,4135900,21.3
TCB,2020-05-18,20.05,20.75,19.9,20.65,3017660,20.65
