name,date,open,high,low,close,volume,adj_close
VNM,2020-10-16,107.5,108.0,106.9,107.4,1637740,107.4
VNM,2020-10-15,107.8,107.9,107.0,107.5,1854560,107.5
VNM,2020-10-14,107.1,107.7,106.8,107.4,1299160,107.4
VNM,2020-10-13,107.0,108.0,106.9,107.1,858550,107.1
VNM,2020-10-12,106.8,107.8,106.6,107.0,1209250,107.0
VNM,2020-10-09,107.0,107.1,106.6,106.7,980970,106.7
VNM,2020-10-08,107.9,107.9,106.8,106.9,1325810,106.9
VNM,2020-10-07,106.8,108.0,106.5,108.0,2153700,108.0
VNM,2020-10-06,107.3,108.0,106.5,107.0,2044710,107.0
VNM,2020-10-05,108.0,109.0,107.0,107.3,1427600,107.3
VNM,2020-10-02,109.5,110.1,106.7,108.0,2864220,108.0
VNM,2020-10-01,109.0,109.4,107.9,109.3,1702500,109.3
VNM,2020-09-30,110.0,111.4,108.5,108.9,1432380,108.9
VNM,2020-09-29,110.0,112.6,108.0,109.2,5191680,109.2
VNM,2020-09-28,128.0,128.6,127.3,128.3,2169790,105.24
VNM,2020-09-25,127.8,128.0,127.5,127.7,1011140,104.75
VNM,2020-09-24,128.2,128.9,127.3,127.3,1506610,104.42
VNM,2020-09-23,129.9,130.2,129.1,129.2,1042800,105.98
VNM,2020-09-22,130.1,130.2,128.5,129.6,1244610,106.31
VNM,2020-09-21,126.4,130.2,126.4,130.1,2614310,106.72
VNM,2020-09-10,125.0,125.4,124.4,124.7,848330,102.29
VNM,2020-09-09,122.5,123.9,121.5,123.8,1621920,101.55
VNM,2020-09-08,125.9,127.4,123.9,124.2,1809570,101.88
VNM,2020-09-07,125.0,128.4,124.9,126.0,2178380,103.36
VNM,2020-09-04,123.7,125.0,123.1,125.0,1711980,102.54
VNM,2020-09-03,123.5,124.8,123.5,124.7,2016680,102.29
VNM,2020-09-01,121.0,123.2,120.2,123.2,1448060,101.06
VNM,2020-08-31,120.3,121.0,119.5,121.0,1634090,99.26
VNM,2020-08-28,117.8,120.0,117.2,119.3,1341270,97.86
VNM,2020-08-27,117.5,117.9,117.0,117.2,799570,96.14
VNM,2020-08-26,118.0,118.2,116.9,117.1,1922780,96.06
VNM,2020-08-25,117.0,117.9,116.8,117.3,1693030,96.22
VNM,2020-08-24,116.5,117.6,116.0,116.5,1526860,95.57
VNM,2020-08-21,115.5,116.0,115.1,115.6,884990,94.83
VNM,2020-08-20,115.3,115.8,114.6,115.2,1254280,94.5
VNM,2020-08-19,116.0,116.0,114.9,115.3,981840,94.58
VNM,2020-08-18,117.0,117.4,115.6,115.6,604570,94.83
VNM,2020-08-17,117.0,117.9,115.3,117.0,906890,95.98
VNM,2020-08-14,116.6,118.0,116.2,116.7,1623690,95.73
VNM,2020-08-13,116.0,116.6,115.9,116.4,1238980,95.48
VNM,2020-08-12,114.5,115.9,114.5,115.6,1451960,94.83
VNM,2020-08-11,114.9,115.0,114.0,114.5,852250,93.92
VNM,2020-08-10,116.0,116.5,114.5,114.5,1412680,93.92
VNM,2020-08-07,115.0,116.0,114.8,115.5,1148200,94.74
VNM,2020-08-06,112.2,116.0,112.1,114.8,1360570,94.17
VNM,2020-08-05,111.5,113.6,110.0,112.1,888080,91.96
VNM,2020-08-04,111.0,111.3,109.9,111.3,765170,91.3
VNM,2020-08-03,108.0,110.0,107.7,109.2,860190,89.58
VNM,2020-07-31,107.0,109.2,106.5,107.0,839830,87.77
VNM,2020-07-30,108.0,109.5,106.8,109.0,1028620,89.41
VNM,2020-07-29,108.5,108.9,105.5,106.0,1497450,86.95
VNM,2020-07-28,104.0,109.9,104.0,109.9,1390810,90.15
VNM,2020-07-27,107.1,107.6,103.4,103.4,2553780,84.82
VNM,2020-07-24,114.2,114.2,109.0,111.1,2313270,91.14
VNM,2020-07-23,114.2,114.6,113.5,114.2,766500,93.68
VNM,2020-07-22,115.4,116.0,114.1,114.1,1051320,93.6
VNM,2020-07-21,115.7,116.3,114.6,116.0,1618780,95.15
VNM,2020-07-20,115.7,116.7,115.5,115.7,474700,94.91
VNM,2020-07-17,116.7,117.4,116.5,116.8,583510,95.81
VNM,2020-07-16,116.7,117.5,116.2,117.5,1112460,96.39
VNM,2020-07-15,116.0,117.0,116.0,116.0,1015000,95.15
VNM,2020-07-14,114.2,115.2,113.9,115.2,731170,94.5
VNM,2020-07-13,115.3,115.8,114.3,114.8,943850,94.17
VNM,2020-07-10,116.0,116.4,115.3,115.3,677180,94.58
VNM,2020-07-09,115.5,116.7,115.5,115.9,1560410,95.07
VNM,2020-07-08,116.0,116.0,115.5,115.5,551310,94.74
VNM,2020-07-07,116.5,117.1,116.0,116.0,1024960,95.15
VNM,2020-07-06,114.5,116.6,114.3,116.5,1319980,95.57
VNM,2020-07-03,113.0,114.2,112.8,114.1,729290,93.6
VNM,2020-07-02,114.8,114.9,113.0,113.0,720480,92.69
VNM,2020-07-01,112.7,115.0,112.0,114.7,450020,94.09
VNM,2020-06-30,113.0,113.5,111.9,112.7,797960,92.45
VNM,2020-06-29,114.0,114.3,110.1,111.9,1519040,91.79
VNM,2020-06-26,116.6,117.1,115.4,115.9,495750,93.85
VNM,2020-06-25,116.5,116.5,115.3,116.4,572770,94.25
VNM,2020-06-24,116.4,118.4,116.4,117.1,750960,94.82
VNM,2020-06-23,116.0,116.4,115.6,116.0,1063470,93.93
VNM,2020-06-22,115.0,115.9,114.8,115.4,867620,93.44
VNM,2020-06-19,115.2,116.5,115.0,115.0,1251600,93.12
VNM,2020-06-18,115.6,116.6,114.1,115.2,523160,93.28
VNM,2020-06-17,117.0,117.2,115.4,115.6,513570,93.6
VNM,2020-06-16,114.6,117.5,114.0,117.0,844740,94.74
VNM,2020-06-15,120.0,120.9,112.0,112.0,2058870,90.69
VNM,2020-06-12,118.0,119.8,114.6,118.0,2394330,95.55
VNM,2020-06-11,123.0,125.0,121.0,122.3,1098260,99.03
VNM,2020-06-10,126.0,126.0,122.8,123.0,1242180,99.6
VNM,2020-06-09,123.1,126.0,123.1,125.0,1704320,101.21
VNM,2020-06-08,119.2,123.4,119.1,122.8,1419750,99.43
VNM,2020-06-05,117.8,119.2,116.7,119.2,1076470,96.52
VNM,2020-06-04,117.0,117.9,117.0,117.8,735420,95.38
VNM,2020-06-03,116.2,118.1,115.6,116.6,1322080,94.41
VNM,2020-06-02,116.1,117.0,115.7,116.0,891910,93.93
