name,date,open,high,low,close,volume,adj_close
VNMID-INDEX,2020-10-23,1007.93,1013.08,1006.41,1009.77,107735510,1009.77
VNMID-INDEX,2020-10-22,1004.04,1007.93,993.46,1007.93,93609430,1007.93
VNMID-INDEX,2020-10-21,1016.81,1020.43,1003.86,1004.04,117651240,1004.04
VNMID-INDEX,2020-10-16,1007.83,1012.21,999.87,1007.25,133972630,1007.25
VNMID-INDEX,2020-10-13,1008.42,1010.37,1001.51,1008.21,124952180,1008.21
VNMID-INDEX,2020-10-09,1013.22,1020.26,1012.03,1016.27,118542920,1016.27
VNMID-INDEX,2020-10-08,1019.68,1023.09,1007.37,1013.22,166469240,1013.22
VNMID-INDEX,2020-10-01,988.92,1004.34,988.92,1004.34,119915930,1004.34
VNMID-INDEX,2020-09-28,983.72,991.46,983.25,991.46,141970580,991.46
VNMID-INDEX,2020-09-23,985.59,992.45,985.44,990.18,120640880,990.18
VNMID-INDEX,2020-09-22,983.21,988.65,976.78,985.44,129215200,985.44
VNMID-INDEX,2020-09-21,982.43,989.02,982.43,983.52,127957120,983.52
VNMID-INDEX,2020-09-18,973.01,982.8,972.72,982.43,112526150,982.43
VNMID-INDEX,2020-09-17,973.13,976.77,966.32,973.01,147766410,973.01
VNMID-INDEX,2020-09-15,967.3,975.49,967.3,968.91,122680660,968.91
VNMID-INDEX,2020-09-11,955.08,958.96,951.46,958.93,91839120,958.93
VNMID-INDEX,2020-09-09,943.23,949.99,935.24,949.6,99203700,949.6
VNMID-INDEX,2020-09-08,935.84,943.35,934.87,943.23,78977190,943.23
VNMID-INDEX,2020-09-07,940.35,951.58,935.84,935.84,140431610,935.84
VNMID-INDEX,2020-09-01,919.69,933.98,919.35,933.98,104303260,933.98
VNMID-INDEX,2020-08-28,931.0,934.89,927.42,927.42,105568160,927.42
VNMID-INDEX,2020-08-26,919.61,926.35,916.86,924.59,117617800,924.59
VNMID-INDEX,2020-08-25,916.35,923.06,914.58,919.61,111322330,919.61
VNMID-INDEX,2020-08-24,906.66,918.34,906.66,916.35,115000410,916.35
VNMID-INDEX,2020-08-21,893.53,906.66,893.36,906.66,92909350,906.66
VNMID-INDEX,2020-08-18,882.16,889.79,882.16,886.61,76926010,886.61
VNMID-INDEX,2020-08-17,877.74,882.16,869.31,882.16,73213510,882.16
VNMID-INDEX,2020-08-14,884.01,887.43,874.11,877.74,97780840,877.74
VNMID-INDEX,2020-08-12,876.1,879.8,872.49,877.16,80885770,877.16
VNMID-INDEX,2020-08-11,874.29,878.2,871.56,876.1,81725230,876.1
VNMID-INDEX,2020-08-10,866.79,879.37,866.79,874.26,101195090,874.26
VNMID-INDEX,2020-08-06,864.41,867.99,856.76,863.16,80546920,863.16
VNMID-INDEX,2020-08-04,837.43,854.72,837.39,852.31,80614020,852.31
VNMID-INDEX,2020-07-31,824.98,824.98,812.71,817.11,87294430,817.11
VNMID-INDEX,2020-07-30,819.02,827.66,818.51,824.98,52666840,824.98
VNMID-INDEX,2020-07-23,891.26,891.42,879.03,885.98,69579050,885.98
VNMID-INDEX,2020-07-21,896.14,899.32,888.58,896.47,86668940,896.47
VNMID-INDEX,2020-07-15,907.38,913.18,906.7,906.7,79827440,906.7
VNMID-INDEX,2020-07-13,902.41,911.36,899.88,902.88,69377250,902.88
VNMID-INDEX,2020-07-10,900.9,905.6,897.63,902.42,84765000,902.42
VNMID-INDEX,2020-07-09,886.7,900.96,886.65,900.9,87145620,900.9
VNMID-INDEX,2020-07-08,882.01,887.26,880.97,886.7,66234620,886.7
VNMID-INDEX,2020-07-07,885.65,890.02,881.67,882.01,113846650,882.01
VNMID-INDEX,2020-07-06,879.82,887.06,879.82,885.65,56531330,885.65
VNMID-INDEX,2020-07-03,876.12,881.68,876.12,879.82,63284290,879.82
VNMID-INDEX,2020-07-02,875.04,878.81,871.23,876.12,78302910,876.12
VNMID-INDEX,2020-07-01,860.21,876.09,855.25,874.92,99118950,874.92
VNMID-INDEX,2020-06-29,890.22,890.64,857.41,866.21,122712600,866.21
VNMID-INDEX,2020-06-26,894.13,901.07,883.64,890.64,112531280,890.64
VNMID-INDEX,2020-06-25,893.99,895.36,879.33,894.1,113188350,894.1
VNMID-INDEX,2020-06-24,908.95,910.05,891.7,895.36,136172870,895.36
VNMID-INDEX,2020-06-23,906.6,914.8,900.93,908.95,148982090,908.95
VNMID-INDEX,2020-06-22,898.7,908.57,898.7,906.6,131141500,906.6
VNMID-INDEX,2020-06-18,877.46,879.29,868.3,879.08,68985890,879.08
VNMID-INDEX,2020-06-17,882.45,884.92,873.14,878.12,94195980,878.12
VNMID-INDEX,2020-06-16,865.7,881.74,863.93,881.74,110895840,881.74
VNMID-INDEX,2020-06-15,892.78,897.68,862.02,863.93,162328240,863.93
VNMID-INDEX,2020-06-12,882.18,890.69,851.72,890.69,182888070,890.69
VNMID-INDEX,2020-06-11,929.76,938.8,888.56,888.92,234904580,888.92
VNMID-INDEX,2020-06-10,919.98,929.9,908.69,927.83,198818400,927.83
VNMID-INDEX,2020-06-09,919.09,923.89,914.24,918.37,145537660,918.37
VNMID-INDEX,2020-06-08,901.22,923.6,901.22,919.06,169089540,919.06
VNMID-INDEX,2020-06-05,885.98,901.22,879.79,901.22,143659540,901.22
VNMID-INDEX,2020-06-02,876.48,884.0,868.34,868.94,179128170,868.94
VNMID-INDEX,2020-05-27,874.12,877.91,855.96,855.96,134077950,855.96
VNMID-INDEX,2020-05-26,854.85,870.78,854.73,870.64,121906100,870.64
VNMID-INDEX,2020-05-25,839.6,854.73,839.56,854.73,92510420,854.73
VNMID-INDEX,2020-05-22,844.37,850.07,839.56,839.56,94292900,839.56
VNMID-INDEX,2020-05-20,843.47,846.74,840.86,844.91,77380040,844.91
VNMID-INDEX,2020-05-15,840.7,845.35,826.57,831.52,93398330,831.52
VNMID-INDEX,2020-05-14,840.75,846.51,832.5,840.7,99053550,840.7
VNMID-INDEX,2020-05-13,827.74,843.11,818.5,837.65,110551380,837.65
VNMID-INDEX,2020-05-11,795.01,808.35,794.98,808.35,87448700,808.35
VNMID-INDEX,2020-05-08,792.98,803.25,792.98,794.98,104707030,794.98
VNMID-INDEX,2020-05-07,785.7,793.25,785.7,792.98,70357910,792.98
VNMID-INDEX,2020-04-29,777.17,782.96,776.65,782.04,71247300,782.04
VNMID-INDEX,2020-04-23,763.92,777.47,762.98,766.38,63502990,766.38
VNMID-INDEX,2020-04-22,750.76,763.0,735.89,762.98,69805550,762.98
VNMID-INDEX,2020-04-21,779.32,783.73,747.75,753.35,130862240,753.35
VNMID-INDEX,2020-04-17,760.5,777.17,760.5,776.21,91108640,776.21
VNMID-INDEX,2020-04-16,752.98,761.6,745.7,760.5,79561020,760.5
VNMID-INDEX,2020-04-15,736.56,754.49,736.56,752.98,83216780,752.98
VNMID-INDEX,2020-04-14,735.61,739.6,726.31,736.56,70736140,736.56
VNMID-INDEX,2020-04-13,730.78,739.72,730.29,735.61,62019580,735.61
VNMID-INDEX,2020-04-09,723.73,736.66,723.73,733.0,82721040,733.0
VNMID-INDEX,2020-04-08,718.53,724.25,702.76,723.73,74016700,723.73
VNMID-INDEX,2020-04-07,710.9,723.53,706.5,718.53,88772660,718.53
VNMID-INDEX,2020-04-06,682.34,711.11,682.34,710.9,75931120,710.9
VNMID-INDEX,2020-04-03,669.38,683.57,669.38,682.34,51959840,682.34
VNMID-INDEX,2020-03-27,700.83,702.39,689.58,693.45,55318790,693.45
VNMID-INDEX,2020-03-26,714.6,714.6,700.83,700.83,48092050,700.83
VNMID-INDEX,2020-03-25,696.84,715.31,696.84,714.6,52875040,714.6
VNMID-INDEX,2020-03-24,700.05,700.49,682.69,696.84,62428860,696.84
VNMID-INDEX,2020-03-23,739.19,739.19,696.17,700.05,75868170,700.05
VNMID-INDEX,2020-03-20,745.98,745.98,730.61,739.19,46601210,739.19
VNMID-INDEX,2020-03-18,756.13,762.94,754.12,760.08,67384900,760.08
VNMID-INDEX,2020-03-17,743.84,756.13,722.9,756.13,59885620,756.13
VNMID-INDEX,2020-03-13,764.82,764.82,722.24,749.76,86626280,749.76
VNMID-INDEX,2020-03-12,805.06,805.06,756.23,764.82,104513100,764.82
VNMID-INDEX,2020-03-11,826.17,831.37,791.82,805.06,71942280,805.06
VNMID-INDEX,2020-03-09,877.3,877.3,823.24,826.13,78592740,826.13
VNMID-INDEX,2020-03-06,877.69,877.69,869.38,877.3,51796950,877.3
VNMID-INDEX,2020-03-05,877.61,883.96,876.46,877.69,70007140,877.69
VNMID-INDEX,2020-03-04,872.51,878.06,867.99,877.61,78577600,877.61
VNMID-INDEX,2020-03-03,862.68,872.84,862.68,872.51,55569670,872.51
VNMID-INDEX,2020-03-02,859.57,862.68,854.77,862.68,43007630,862.68
VNMID-INDEX,2020-02-28,872.27,873.28,851.52,859.57,56535930,859.57
VNMID-INDEX,2020-02-27,869.76,873.57,864.7,873.28,34659070,873.28
VNMID-INDEX,2020-02-26,878.58,879.63,864.34,869.77,36358180,869.77
VNMID-INDEX,2020-02-21,911.57,913.65,905.69,908.18,49537150,908.18
VNMID-INDEX,2020-02-20,906.28,911.69,906.28,911.57,55532750,911.57
VNMID-INDEX,2020-02-19,906.14,907.29,903.44,906.28,49995880,906.28
VNMID-INDEX,2020-02-17,908.22,909.16,902.89,904.87,41408100,904.87
VNMID-INDEX,2020-02-13,906.11,907.77,901.72,907.1,42125630,907.1
VNMID-INDEX,2020-02-12,895.63,906.11,895.55,906.11,52777130,906.11
VNMID-INDEX,2020-02-11,890.9,895.63,890.59,895.63,40270100,895.63
VNMID-INDEX,2020-02-10,894.38,895.25,885.54,890.9,38648390,890.9
VNMID-INDEX,2020-02-07,892.24,899.7,890.84,894.38,45599880,894.38
VNMID-INDEX,2020-02-06,875.18,892.24,874.53,892.24,57387930,892.24
VNMID-INDEX,2020-02-05,872.09,877.52,869.84,875.18,48009000,875.18
VNMID-INDEX,2020-02-04,876.59,880.96,864.32,872.09,55661510,872.09
VNMID-INDEX,2020-02-03,896.47,896.47,852.39,876.59,88896520,876.59
VNMID-INDEX,2020-01-31,922.78,922.78,896.32,896.47,63643620,896.47
VNMID-INDEX,2020-01-30,942.66,942.7,917.35,922.78,52708270,922.78
VNMID-INDEX,2020-01-21,929.07,935.39,926.08,935.39,34694350,935.39
VNMID-INDEX,2020-01-20,932.37,934.06,927.92,929.07,32209970,929.07
VNMID-INDEX,2020-01-17,934.78,937.33,932.35,932.44,34429870,932.44
VNMID-INDEX,2020-01-16,933.09,935.27,931.96,934.75,39430570,934.75
VNMID-INDEX,2020-01-15,928.05,933.29,928.03,933.09,36833500,933.09
VNMID-INDEX,2020-01-14,920.15,928.84,919.05,928.83,40093820,928.83
VNMID-INDEX,2020-01-13,922.47,924.12,918.75,920.15,39202450,920.15
VNMID-INDEX,2020-01-10,920.83,922.73,918.7,922.47,41215090,922.47
VNMID-INDEX,2020-01-09,913.99,921.5,913.96,920.83,43567070,920.83
VNMID-INDEX,2020-01-08,928.73,928.73,910.62,913.99,61452260,913.99
VNMID-INDEX,2020-01-07,928.85,931.15,925.84,928.73,38597010,928.73
VNMID-INDEX,2020-01-06,930.37,930.42,924.04,928.85,50692160,928.85
VNMID-INDEX,2020-01-03,931.18,936.83,927.63,930.37,47328630,930.37
VNMID-INDEX,2019-12-31,929.53,929.53,924.29,928.87,41461710,928.87
VNMID-INDEX,2019-12-30,929.61,932.21,925.98,929.53,48422130,929.53
VNMID-INDEX,2019-12-27,927.94,929.61,923.81,929.61,42102940,929.61
VNMID-INDEX,2019-12-26,928.13,931.2,925.73,927.94,50943780,927.94
VNMID-INDEX,2019-12-25,924.12,928.31,922.84,928.13,51125440,928.13
VNMID-INDEX,2019-12-24,923.81,925.22,919.85,924.12,45851550,924.12
VNMID-INDEX,2019-12-23,922.58,926.99,921.91,923.81,48888170,923.81
