name,date,open,high,low,close,volume,adj_close
ASM,2020-10-16,9.01,9.53,9.01,9.45,3656020,9.45
ASM,2020-10-15,9.78,9.8,9.22,9.27,6211180,9.27
ASM,2020-10-14,9.87,10.0,9.75,9.79,2916790,9.79
ASM,2020-10-13,10.0,10.0,9.83,9.87,2683930,9.87
ASM,2020-10-12,9.84,10.25,9.84,9.87,4813990,9.87
ASM,2020-10-09,9.85,9.94,9.74,9.84,3186480,9.84
ASM,2020-10-08,10.25,10.25,9.8,9.83,5563700,9.83
ASM,2020-10-07,9.86,10.35,9.65,10.05,6619510,10.05
ASM,2020-10-06,10.3,10.35,9.75,9.96,6418700,9.96
ASM,2020-10-05,10.1,10.45,9.99,10.25,6508910,10.25
ASM,2020-10-02,9.37,10.0,9.0,9.98,9784760,9.98
ASM,2020-10-01,9.28,9.37,9.07,9.37,10065330,9.37
ASM,2020-09-30,8.3,8.76,8.16,8.76,8229570,8.76
ASM,2020-09-29,8.09,8.48,8.0,8.19,4909320,8.19
ASM,2020-09-28,8.17,8.25,8.04,8.05,4672500,8.05
ASM,2020-09-25,8.25,8.33,8.12,8.17,3617050,8.17
ASM,2020-09-24,8.03,8.35,8.03,8.25,4047760,8.25
ASM,2020-09-23,8.1,8.27,8.01,8.15,3213730,8.15
ASM,2020-09-22,7.6,8.04,7.56,7.94,11230770,7.94
ASM,2020-09-21,8.4,8.4,7.85,7.85,7975280,7.85
ASM,2020-09-10,6.37,6.78,6.37,6.68,4027240,6.68
ASM,2020-09-09,6.28,6.38,6.27,6.37,1987540,6.37
ASM,2020-09-08,6.32,6.38,6.26,6.35,1255710,6.35
ASM,2020-09-07,6.19,6.5,6.16,6.3,4076730,6.3
ASM,2020-09-04,6.02,6.18,6.02,6.12,1597560,6.12
ASM,2020-09-03,6.2,6.25,6.14,6.17,1232160,6.17
ASM,2020-09-01,6.13,6.18,6.02,6.15,1070890,6.15
ASM,2020-08-31,6.2,6.23,6.08,6.1,1802390,6.1
ASM,2020-08-28,6.22,6.26,6.15,6.15,1815970,6.15
ASM,2020-08-27,6.21,6.33,6.2,6.21,1045450,6.21
ASM,2020-08-26,6.13,6.47,6.08,6.21,2294380,6.21
ASM,2020-08-25,6.12,6.19,6.09,6.13,2090860,6.13
ASM,2020-08-24,6.05,6.15,6.05,6.12,1348470,6.12
ASM,2020-08-21,5.91,6.05,5.91,6.0,2053050,6.0
ASM,2020-08-20,5.9,5.95,5.83,5.86,1146900,5.86
ASM,2020-08-19,5.95,5.95,5.88,5.9,1185430,5.9
ASM,2020-08-18,5.9,6.0,5.82,5.94,1217290,5.94
ASM,2020-08-17,5.82,5.9,5.62,5.82,2017060,5.82
ASM,2020-08-14,5.95,5.98,5.72,5.84,2325410,5.84
ASM,2020-08-13,6.09,6.19,6.0,6.0,1668240,6.0
ASM,2020-08-12,5.9,6.29,5.9,6.09,5173260,6.09
ASM,2020-08-11,5.7,5.88,5.7,5.88,3735280,5.88
ASM,2020-08-10,5.55,5.75,5.55,5.68,3143880,5.68
ASM,2020-08-07,5.45,5.48,5.41,5.43,2815250,5.43
ASM,2020-08-06,5.36,5.49,5.27,5.42,1435960,5.42
ASM,2020-08-05,5.31,5.52,5.25,5.36,4010580,5.36
ASM,2020-08-04,5.58,5.58,5.35,5.35,4328510,5.35
ASM,2020-08-03,5.1,5.43,5.1,5.43,4668200,5.43
ASM,2020-07-31,4.79,5.08,4.69,5.08,4531550,5.08
ASM,2020-07-30,4.54,4.85,4.54,4.75,3776330,4.75
ASM,2020-07-29,4.8,4.8,4.54,4.54,1642670,4.54
ASM,2020-07-28,4.55,4.88,4.55,4.88,1161400,4.88
ASM,2020-07-27,4.7,4.79,4.68,4.68,1767650,4.68
ASM,2020-07-24,5.4,5.4,5.03,5.03,2363290,5.03
ASM,2020-07-23,5.54,5.54,5.35,5.4,2090620,5.4
ASM,2020-07-22,5.53,5.64,5.41,5.54,1587310,5.54
ASM,2020-07-21,5.57,5.62,5.53,5.56,932690,5.56
ASM,2020-07-20,5.58,5.65,5.55,5.58,1664870,5.58
ASM,2020-07-17,5.68,5.7,5.6,5.64,1432160,5.64
