name,date,open,high,low,close,volume,adj_close
DHC,2020-10-16,44.75,45.75,44.75,45.3,319830,45.3
DHC,2020-10-15,45.7,45.7,45.0,45.0,214490,45.0
DHC,2020-10-14,45.7,45.7,45.4,45.5,173200,45.5
DHC,2020-10-13,45.25,45.6,45.05,45.55,295470,45.55
DHC,2020-10-12,46.0,46.0,45.3,45.55,405500,45.55
DHC,2020-10-09,45.8,46.0,45.4,45.7,449460,45.7
DHC,2020-10-08,46.1,46.1,45.25,45.8,214300,45.8
DHC,2020-10-07,46.0,46.2,45.25,45.8,416440,45.8
DHC,2020-10-06,45.45,46.45,45.4,46.0,924850,46.0
DHC,2020-10-05,45.1,45.55,45.0,45.35,471120,45.35
DHC,2020-10-02,45.8,45.8,44.7,45.0,615210,45.0
DHC,2020-10-01,45.9,45.9,45.3,45.6,331070,45.6
DHC,2020-09-30,45.1,45.7,45.0,45.5,555840,45.5
DHC,2020-09-29,45.9,45.9,45.0,45.1,653770,45.1
DHC,2020-09-28,46.35,46.35,45.05,45.9,734360,45.9
DHC,2020-09-25,45.5,46.1,45.0,46.1,1235180,46.1
DHC,2020-09-24,44.2,44.9,44.1,44.8,527740,44.8
DHC,2020-09-23,45.0,45.35,44.3,44.5,1202310,44.5
DHC,2020-09-22,45.3,46.3,45.0,45.0,1042460,45.0
DHC,2020-09-21,46.6,46.75,45.3,45.6,845270,45.6
DHC,2020-09-10,47.0,47.25,46.3,46.6,626270,46.6
DHC,2020-09-09,44.4,47.0,44.3,46.7,1702340,46.7
DHC,2020-09-08,44.4,44.85,44.2,44.6,456100,44.6
DHC,2020-09-07,44.9,44.9,44.2,44.4,713200,44.4
DHC,2020-09-04,44.0,45.1,43.95,44.9,917660,44.9
DHC,2020-09-03,44.5,44.9,44.1,44.5,549090,44.5
DHC,2020-09-01,43.8,44.6,43.7,44.55,521820,44.55
DHC,2020-08-31,44.4,44.5,43.55,43.8,1025250,43.8
DHC,2020-08-28,45.1,45.45,44.3,44.4,1069590,44.4
DHC,2020-08-27,45.75,45.75,44.7,44.9,682150,44.9
DHC,2020-08-26,45.3,45.8,44.45,45.5,733440,45.5
DHC,2020-08-25,45.95,46.0,45.25,45.25,651200,45.25
DHC,2020-08-24,46.0,46.5,45.6,45.95,1319300,45.95
DHC,2020-08-21,45.5,45.7,44.9,45.7,801060,45.7
DHC,2020-08-20,45.3,46.1,44.7,45.3,1007340,45.3
DHC,2020-08-19,44.5,45.7,44.25,45.4,889920,45.4
DHC,2020-08-18,44.6,45.0,44.3,44.3,645140,44.3
DHC,2020-08-17,44.8,44.95,44.2,44.8,626620,44.8
DHC,2020-08-14,45.7,45.7,44.65,45.0,1193380,45.0
DHC,2020-08-13,44.7,45.7,44.2,45.7,1328670,45.7
DHC,2020-08-12,45.0,45.0,44.15,44.5,687600,44.5
DHC,2020-08-11,44.1,44.9,43.9,44.8,2103010,44.8
DHC,2020-08-10,45.2,45.45,44.1,44.1,1124990,44.1
DHC,2020-08-07,45.0,45.3,44.3,45.3,1093430,45.3
DHC,2020-08-06,44.8,45.3,43.8,45.0,1335300,45.0
DHC,2020-08-05,42.0,44.4,41.85,44.4,2154120,44.4
DHC,2020-08-04,42.0,42.0,41.35,41.95,628220,41.95
DHC,2020-08-03,40.3,41.7,40.3,41.6,789560,41.6
DHC,2020-07-31,41.0,41.2,40.05,40.3,880480,40.3
DHC,2020-07-30,41.35,41.5,41.0,41.05,925680,41.05
DHC,2020-07-29,40.9,41.35,39.2,41.0,1821910,41.0
DHC,2020-07-28,40.45,42.1,39.85,41.65,912110,41.65
DHC,2020-07-27,40.6,41.5,39.5,39.8,1868940,39.8
DHC,2020-07-24,43.0,44.2,40.5,42.0,2741350,42.0
DHC,2020-07-23,41.7,43.5,41.35,43.5,1283610,43.5
DHC,2020-07-22,41.6,42.4,41.5,41.75,1001600,41.75
DHC,2020-07-21,42.3,42.3,40.6,41.65,1627280,41.65
DHC,2020-07-20,42.4,43.75,42.0,42.4,1576530,42.4
DHC,2020-07-17,42.5,43.65,42.45,42.95,975650,42.95
DHC,2020-07-16,41.5,42.75,41.5,42.65,1019810,42.65
DHC,2020-07-15,43.5,43.6,41.5,41.5,1351200,41.5
DHC,2020-07-14,41.9,43.0,41.85,43.0,1304480,43.0
DHC,2020-07-13,41.0,43.0,41.0,41.95,1531970,41.95
DHC,2020-07-10,40.6,41.9,40.6,41.5,2380990,41.5
DHC,2020-07-09,40.6,40.6,40.2,40.6,1263310,40.6
DHC,2020-07-08,36.4,37.95,36.4,37.95,2387470,37.95
DHC,2020-07-07,36.35,37.25,35.5,35.5,1730330,35.5
DHC,2020-07-06,37.1,38.0,36.2,36.2,1445760,36.2
DHC,2020-07-03,38.3,39.5,36.9,37.0,1169170,37.0
DHC,2020-07-02,35.9,38.0,35.3,37.9,2773060,37.9
DHC,2020-07-01,34.55,35.8,34.5,35.55,533490,35.55
DHC,2020-06-30,35.0,35.0,34.1,34.55,533910,34.55
DHC,2020-06-29,34.5,36.0,34.0,34.0,597050,34.0
DHC,2020-06-26,34.7,36.5,34.7,35.2,677170,35.2
DHC,2020-06-25,35.0,35.0,34.4,34.7,404650,34.7
DHC,2020-06-24,34.1,35.0,33.95,34.65,421690,34.65
DHC,2020-06-23,34.2,34.2,34.0,34.1,368900,34.1
DHC,2020-06-22,34.5,34.5,34.15,34.2,307480,34.2
DHC,2020-06-19,35.5,35.5,34.4,34.5,359300,34.5
