name,date,open,high,low,close,volume,adj_close
GEG,2020-10-16,16.1,16.2,15.45,15.8,489310,15.8
GEG,2020-10-15,16.3,16.3,15.9,16.1,345810,16.1
GEG,2020-10-14,16.3,16.5,16.0,16.3,343340,16.3
GEG,2020-10-13,16.6,16.6,16.0,16.3,337000,16.3
GEG,2020-10-12,16.8,17.1,16.5,16.55,403650,16.55
GEG,2020-10-09,16.65,16.95,16.6,16.75,387620,16.75
GEG,2020-10-08,17.0,17.0,16.5,16.65,394230,16.65
GEG,2020-10-07,17.3,17.3,16.9,17.0,494260,17.0
GEG,2020-10-06,16.9,17.5,16.9,17.2,806160,17.2
GEG,2020-10-05,15.85,16.8,15.85,16.8,775500,16.8
GEG,2020-10-02,15.9,16.1,15.7,15.8,344670,15.8
GEG,2020-10-01,15.9,16.0,15.8,15.9,305980,15.9
GEG,2020-09-30,16.4,16.4,15.7,15.9,328770,15.9
GEG,2020-09-29,16.2,16.4,16.0,16.4,532210,16.4
GEG,2020-09-28,16.15,16.45,16.05,16.2,341060,16.2
GEG,2020-09-25,16.05,16.3,16.0,16.2,412260,16.2
GEG,2020-09-24,16.05,16.3,16.05,16.3,340360,16.3
GEG,2020-09-23,16.5,16.5,16.2,16.3,410740,16.3
GEG,2020-09-22,16.45,16.8,16.15,16.5,360210,16.5
GEG,2020-09-21,17.3,17.3,16.45,16.8,449880,16.8
GEG,2020-09-10,16.8,17.05,16.7,17.05,449980,14.54
GEG,2020-09-09,16.8,16.95,16.6,16.6,443640,14.16
GEG,2020-09-08,16.85,17.0,16.8,16.95,373460,14.46
GEG,2020-09-07,16.85,17.1,16.85,16.85,348600,14.37
GEG,2020-09-04,16.9,17.0,16.75,16.85,282670,14.37
GEG,2020-09-03,17.15,17.3,16.95,16.95,387070,14.46
GEG,2020-09-01,17.15,17.15,17.0,17.15,342520,14.63
GEG,2020-08-31,17.15,17.2,17.0,17.15,387380,14.63
GEG,2020-08-28,17.15,17.2,17.05,17.15,352730,14.63
GEG,2020-08-27,17.15,17.3,17.0,17.15,340490,14.63
GEG,2020-08-26,17.3,17.4,17.0,17.15,498620,14.63
GEG,2020-08-25,17.2,17.5,17.2,17.3,387100,14.76
GEG,2020-08-24,17.2,17.35,17.2,17.2,405800,14.67
GEG,2020-08-21,16.8,17.25,16.8,17.15,387470,14.63
GEG,2020-08-20,17.1,17.4,16.8,16.8,366350,14.33
GEG,2020-08-19,17.4,17.5,17.35,17.35,310870,14.8
GEG,2020-08-18,17.3,17.4,17.25,17.35,359340,14.8
GEG,2020-08-17,17.3,17.5,17.3,17.3,351720,14.76
GEG,2020-08-14,17.45,17.5,17.4,17.5,379840,14.93
GEG,2020-08-13,17.6,17.8,17.45,17.45,347920,14.88
GEG,2020-08-12,17.7,17.85,17.5,17.5,374000,14.93
GEG,2020-08-11,18.1,18.2,17.7,17.7,365250,15.1
GEG,2020-08-10,18.1,18.4,18.0,18.1,379940,15.44
GEG,2020-08-07,18.3,18.3,18.0,18.1,384690,15.44
GEG,2020-08-06,18.55,18.55,18.0,18.3,362540,15.61
GEG,2020-08-05,17.3,18.45,17.3,18.45,418520,15.74
GEG,2020-08-04,17.3,17.8,17.3,17.3,350520,14.76
GEG,2020-08-03,15.8,17.5,15.8,17.2,394370,14.67
GEG,2020-07-31,16.0,16.85,16.0,16.45,361480,14.03
GEG,2020-07-30,17.05,17.2,16.95,17.0,322870,14.5
GEG,2020-07-29,16.95,17.85,16.9,17.05,318270,14.54
GEG,2020-07-28,17.0,18.2,17.0,18.1,386100,15.44
GEG,2020-07-27,19.0,19.0,17.7,17.7,417940,15.1
GEG,2020-07-24,19.65,19.65,18.45,19.0,418080,16.21
GEG,2020-07-23,19.7,19.8,19.6,19.75,338390,16.84
GEG,2020-07-22,19.6,19.8,19.6,19.7,402550,16.8
GEG,2020-07-21,19.8,19.8,19.6,19.65,369100,16.76
GEG,2020-07-20,19.75,20.0,19.7,19.75,401130,16.84
GEG,2020-07-17,20.0,20.0,19.85,20.0,338820,17.06
GEG,2020-07-16,20.0,20.0,19.8,20.0,372530,17.06
GEG,2020-07-15,19.75,20.1,19.7,20.0,397810,17.06
GEG,2020-07-14,20.0,20.0,19.75,19.75,397570,16.84
GEG,2020-07-13,20.3,20.4,19.85,20.0,394730,17.06
GEG,2020-07-10,20.4,20.4,20.15,20.3,410180,17.31
GEG,2020-07-09,20.35,20.5,20.2,20.4,562170,17.4
GEG,2020-07-08,20.55,20.55,20.2,20.35,387510,17.36
GEG,2020-07-07,20.8,20.8,20.4,20.55,456100,17.53
GEG,2020-07-06,20.5,20.9,20.5,20.7,412200,17.66
GEG,2020-07-03,20.75,20.9,20.5,20.5,369110,17.48
GEG,2020-07-02,21.0,21.4,20.7,20.75,451320,17.7
GEG,2020-07-01,22.0,22.0,21.0,21.25,488880,18.12
GEG,2020-06-30,20.9,22.0,20.7,22.0,1007680,18.76
GEG,2020-06-29,20.3,20.9,19.95,20.9,648580,17.83
GEG,2020-06-26,20.2,20.5,20.1,20.3,702630,17.31
GEG,2020-06-25,19.6,20.2,19.55,20.2,584530,17.23
GEG,2020-06-24,19.8,20.0,19.5,19.8,455200,16.89
GEG,2020-06-23,19.95,20.0,19.5,19.85,388630,16.93
GEG,2020-06-22,20.2,20.2,19.6,20.0,466120,17.06
GEG,2020-06-19,19.4,20.1,19.4,20.0,488110,17.06
GEG,2020-06-18,19.15,19.4,18.9,19.4,436240,16.55
GEG,2020-06-17,19.1,19.3,18.9,19.2,408140,16.38
GEG,2020-06-16,19.2,19.5,18.7,19.1,459480,16.29
GEG,2020-06-15,19.6,20.0,18.5,19.1,449810,16.29
GEG,2020-06-12,19.8,20.2,19.5,19.6,482360,16.72
GEG,2020-06-11,21.2,21.3,20.6,20.6,579860,17.57
GEG,2020-06-10,20.7,21.0,20.65,21.0,549690,17.91
GEG,2020-06-09,20.95,20.95,20.65,20.7,492950,17.66
GEG,2020-06-08,20.9,21.0,20.6,20.95,487140,17.87
GEG,2020-06-05,20.65,21.0,20.65,20.9,446090,17.83
GEG,2020-06-04,20.55,20.8,20.55,20.8,463520,17.74
GEG,2020-06-03,20.8,21.0,20.4,20.55,460500,17.53
GEG,2020-06-02,21.2,21.35,20.8,20.8,508070,17.74
GEG,2020-06-01,21.0,21.5,20.9,21.1,428850,18.0
GEG,2020-05-29,21.1,21.15,20.8,21.0,474540,17.91
GEG,2020-05-28,21.8,21.8,21.35,21.45,427410,18.29
GEG,2020-05-27,22.0,22.3,21.8,21.8,509140,18.59
GEG,2020-05-26,21.35,22.0,21.35,22.0,639940,18.76
GEG,2020-05-25,21.05,21.35,20.9,21.35,504970,18.21
