name,date,open,high,low,close,volume,adj_close
GMD,2020-10-16,23.55,23.7,23.3,23.55,462700,23.55
GMD,2020-10-15,23.8,24.0,23.65,23.65,285370,23.65
GMD,2020-10-14,23.9,23.9,23.65,23.8,322390,23.8
GMD,2020-10-13,23.95,24.0,23.6,23.7,320640,23.7
GMD,2020-10-12,24.5,24.5,23.95,23.95,482380,23.95
GMD,2020-10-09,24.3,24.45,24.1,24.2,323030,24.2
GMD,2020-10-08,24.5,24.5,24.05,24.25,700500,24.25
GMD,2020-10-07,24.7,24.8,24.3,24.5,587430,24.5
GMD,2020-10-06,25.3,25.3,24.6,24.7,600240,24.7
GMD,2020-10-05,24.25,25.3,24.2,25.0,1003420,25.0
GMD,2020-10-02,24.15,24.2,23.6,24.2,858770,24.2
GMD,2020-10-01,24.0,24.4,24.0,24.1,559230,24.1
GMD,2020-09-30,23.4,24.0,23.4,23.95,494620,23.95
GMD,2020-09-29,23.75,23.85,23.5,23.5,803470,23.5
GMD,2020-09-28,24.05,24.05,23.75,23.8,443050,23.8
GMD,2020-09-25,24.05,24.15,23.65,23.8,415100,23.8
GMD,2020-09-24,23.7,24.2,23.7,24.05,1051110,24.05
GMD,2020-09-23,23.6,23.8,23.5,23.7,556570,23.7
GMD,2020-09-22,23.55,23.8,23.35,23.65,642380,23.65
GMD,2020-09-21,24.05,24.1,23.7,23.85,601860,23.85
GMD,2020-09-10,22.65,23.8,22.65,23.8,1545260,23.8
GMD,2020-09-09,21.8,22.65,21.8,22.55,848620,22.55
GMD,2020-09-08,21.8,22.1,21.7,21.95,342930,21.95
GMD,2020-09-07,22.45,22.5,21.8,21.8,474570,21.8
GMD,2020-09-04,22.3,22.65,22.2,22.4,335850,22.4
GMD,2020-09-03,22.7,22.75,22.25,22.75,956750,22.75
GMD,2020-09-01,22.55,23.0,22.55,23.0,659800,22.0
GMD,2020-08-31,23.0,23.3,22.6,22.7,692920,21.71
GMD,2020-08-28,23.25,23.45,23.0,23.0,450980,22.0
GMD,2020-08-27,23.4,23.75,23.3,23.45,443220,22.43
GMD,2020-08-26,23.15,23.5,22.9,23.45,614910,22.43
GMD,2020-08-25,23.4,23.9,23.0,23.0,1145650,22.0
GMD,2020-08-24,23.0,23.3,22.7,23.0,679450,22.0
GMD,2020-08-21,22.55,23.45,22.45,22.95,871990,21.95
GMD,2020-08-20,22.5,22.8,22.35,22.65,613210,21.66
GMD,2020-08-19,21.9,23.2,21.85,22.95,1187460,21.95
GMD,2020-08-18,21.3,22.35,21.3,21.9,1287980,20.95
GMD,2020-08-17,21.1,21.1,20.35,21.1,706990,20.18
GMD,2020-08-14,20.9,21.15,20.3,20.7,566480,19.8
GMD,2020-08-13,20.85,21.15,20.65,21.0,726470,20.09
GMD,2020-08-12,20.85,21.2,20.75,20.85,673390,19.94
GMD,2020-08-11,20.15,20.9,20.0,20.75,624980,19.85
GMD,2020-08-10,20.0,20.5,20.0,20.05,526000,19.18
GMD,2020-08-07,20.25,20.5,20.2,20.25,218780,19.37
GMD,2020-08-06,20.35,21.0,20.15,20.45,580190,19.56
GMD,2020-08-05,19.4,20.4,19.15,20.35,1149290,19.46
GMD,2020-08-04,19.0,19.5,18.7,19.15,316610,18.32
GMD,2020-08-03,18.05,18.6,18.05,18.55,194730,17.74
GMD,2020-07-31,18.25,18.3,18.05,18.3,236540,17.5
GMD,2020-07-30,18.0,18.4,18.0,18.4,220450,17.6
GMD,2020-07-29,17.65,17.9,17.45,17.8,182240,17.03
GMD,2020-07-28,17.35,18.35,17.3,18.35,300540,17.55
GMD,2020-07-27,17.5,17.9,17.3,17.35,926780,16.6
GMD,2020-07-24,19.45,19.55,18.1,18.6,339740,17.79
GMD,2020-07-23,19.4,19.55,19.25,19.45,124260,18.6
GMD,2020-07-22,19.55,19.7,19.5,19.55,167170,18.7
GMD,2020-07-21,19.6,19.65,19.45,19.55,68740,18.7
GMD,2020-07-20,19.55,19.6,19.3,19.55,259790,18.7
GMD,2020-07-17,19.65,19.75,19.5,19.6,104600,18.75
GMD,2020-07-16,19.9,19.95,19.6,19.65,162340,18.8
GMD,2020-07-15,19.3,19.9,19.3,19.75,430110,18.89
GMD,2020-07-14,19.3,19.35,19.2,19.3,86810,18.46
GMD,2020-07-13,19.45,19.45,19.2,19.3,190260,18.46
GMD,2020-07-10,19.3,19.3,19.1,19.2,107920,18.36
GMD,2020-07-09,19.05,19.4,19.0,19.3,284050,18.46
GMD,2020-07-08,19.15,19.2,19.0,19.1,77840,18.27
GMD,2020-07-07,19.2,19.3,19.1,19.15,161710,18.32
