name,date,open,high,low,close,volume,adj_close
HAG,2020-10-16,5.01,5.05,4.9,4.9,7871120,4.9
HAG,2020-10-15,5.3,5.3,4.99,5.03,32371800,5.03
HAG,2020-10-14,4.96,4.96,4.96,4.96,5650810,4.96
HAG,2020-10-13,4.52,4.67,4.49,4.64,8362670,4.64
HAG,2020-10-12,4.7,4.72,4.5,4.5,8229570,4.5
HAG,2020-10-09,4.79,4.8,4.6,4.68,4807460,4.68
HAG,2020-10-08,4.85,4.93,4.75,4.8,8815320,4.8
HAG,2020-10-07,4.68,4.93,4.62,4.85,12586830,4.85
HAG,2020-10-06,4.75,4.75,4.57,4.69,5195620,4.69
HAG,2020-10-05,4.54,4.75,4.51,4.71,9345570,4.71
HAG,2020-10-02,4.51,4.58,4.44,4.54,4819580,4.54
HAG,2020-10-01,4.58,4.58,4.51,4.55,2098660,4.55
HAG,2020-09-30,4.56,4.6,4.5,4.56,2097030,4.56
HAG,2020-09-29,4.61,4.62,4.4,4.56,8274800,4.56
HAG,2020-09-28,4.57,4.6,4.52,4.57,4203390,4.57
HAG,2020-09-25,4.61,4.61,4.54,4.57,3472520,4.57
HAG,2020-09-24,4.6,4.66,4.57,4.6,3857030,4.6
HAG,2020-09-23,4.55,4.67,4.55,4.6,3047820,4.6
HAG,2020-09-22,4.56,4.58,4.47,4.55,10541580,4.55
HAG,2020-09-21,4.65,4.68,4.56,4.59,6459480,4.59
HAG,2020-09-10,4.85,4.89,4.75,4.79,8369740,4.79
HAG,2020-09-09,4.52,4.9,4.52,4.83,10190870,4.83
HAG,2020-09-08,4.66,4.7,4.5,4.61,7470830,4.61
HAG,2020-09-07,4.37,4.65,4.37,4.6,24336780,4.6
HAG,2020-09-04,4.2,4.39,4.2,4.35,7949550,4.35
HAG,2020-09-03,4.35,4.39,4.28,4.31,3294380,4.31
HAG,2020-09-01,4.26,4.37,4.23,4.33,6999140,4.33
HAG,2020-08-31,4.38,4.38,4.25,4.26,5841860,4.26
HAG,2020-08-28,4.37,4.41,4.25,4.25,3615000,4.25
HAG,2020-08-27,4.19,4.41,4.16,4.34,7980220,4.34
HAG,2020-08-26,4.21,4.29,4.17,4.2,5814110,4.2
HAG,2020-08-25,4.28,4.3,4.21,4.21,6147410,4.21
HAG,2020-08-24,4.28,4.3,4.17,4.28,7254780,4.28
HAG,2020-08-21,4.28,4.32,4.24,4.28,2078220,4.28
HAG,2020-08-20,4.3,4.45,4.23,4.26,7536870,4.26
HAG,2020-08-19,4.01,4.29,3.99,4.29,10234870,4.29
HAG,2020-08-18,4.0,4.06,3.97,4.01,2626750,4.01
HAG,2020-08-17,4.01,4.05,3.97,4.01,2535300,4.01
HAG,2020-08-14,4.12,4.14,4.02,4.05,3211710,4.05
HAG,2020-08-13,4.03,4.16,4.01,4.12,4089350,4.12
HAG,2020-08-12,4.04,4.05,3.98,4.02,2371180,4.02
HAG,2020-08-11,4.05,4.09,3.96,4.05,4662630,4.05
HAG,2020-08-10,4.01,4.12,3.99,4.05,5835720,4.05
HAG,2020-08-07,4.11,4.18,4.03,4.06,4486170,4.06
HAG,2020-08-06,3.93,4.15,3.87,4.11,7519390,4.11
HAG,2020-08-05,3.89,3.94,3.84,3.93,4045360,3.93
HAG,2020-08-04,3.9,3.94,3.84,3.87,6105280,3.87
HAG,2020-08-03,3.86,3.96,3.79,3.87,6501040,3.87
HAG,2020-07-31,3.6,3.83,3.58,3.8,4820380,3.8
HAG,2020-07-30,3.74,3.76,3.69,3.73,2249220,3.73
HAG,2020-07-29,3.73,3.78,3.59,3.74,7941990,3.74
HAG,2020-07-28,3.6,3.96,3.6,3.86,8791240,3.86
HAG,2020-07-27,3.75,3.85,3.75,3.75,7987120,3.75
HAG,2020-07-24,4.21,4.33,4.03,4.03,8589770,4.03
HAG,2020-07-23,4.3,4.33,4.11,4.33,4224410,4.33
HAG,2020-07-22,4.47,4.5,4.26,4.3,6398070,4.3
HAG,2020-07-21,4.4,4.52,4.37,4.47,3010820,4.47
HAG,2020-07-20,4.37,4.55,4.35,4.37,3206860,4.37
HAG,2020-07-17,4.68,4.68,4.36,4.58,12551460,4.58
HAG,2020-07-16,4.68,4.75,4.65,4.68,2707920,4.68
HAG,2020-07-15,4.9,4.95,4.65,4.65,12488230,4.65
HAG,2020-07-14,5.06,5.06,4.84,4.89,9509420,4.89
HAG,2020-07-13,5.1,5.13,5.01,5.08,2080870,5.08
HAG,2020-07-10,5.02,5.18,5.01,5.05,5894570,5.05
HAG,2020-07-09,5.0,5.1,4.99,5.0,4259110,5.0
HAG,2020-07-08,4.99,5.06,4.95,5.0,3471690,5.0
HAG,2020-07-07,5.11,5.17,4.9,5.02,6386340,5.02
HAG,2020-07-06,5.2,5.21,5.1,5.15,3350470,5.15
HAG,2020-07-03,5.25,5.25,5.2,5.2,2200190,5.2
HAG,2020-07-02,5.23,5.26,5.17,5.23,2706180,5.23
HAG,2020-07-01,5.23,5.27,5.16,5.23,2452040,5.23
HAG,2020-06-30,5.2,5.3,5.04,5.2,3991840,5.2
HAG,2020-06-29,5.11,5.38,5.05,5.2,6805580,5.2
HAG,2020-06-26,5.25,5.32,5.1,5.11,4018230,5.11
HAG,2020-06-25,5.15,5.2,5.08,5.2,2794120,5.2
HAG,2020-06-24,5.28,5.35,5.17,5.22,6303690,5.22
HAG,2020-06-23,5.2,5.35,5.19,5.3,5890640,5.3
