name,date,open,high,low,close,volume,adj_close
ITA,2020-10-16,4.95,5.03,4.9,4.96,11523340,4.96
ITA,2020-10-15,5.1,5.12,4.95,4.95,10409740,4.95
ITA,2020-10-14,5.2,5.25,5.07,5.07,10716580,5.07
ITA,2020-10-13,5.0,5.26,4.9,5.15,17517170,5.15
ITA,2020-10-12,5.32,5.38,4.99,4.99,13865620,4.99
ITA,2020-10-09,5.23,5.31,5.14,5.3,20216160,5.3
ITA,2020-10-08,5.48,5.5,5.17,5.29,29391610,5.29
ITA,2020-10-07,5.19,5.28,5.1,5.28,17101680,5.28
ITA,2020-10-06,4.66,4.94,4.66,4.94,31901310,4.94
ITA,2020-10-05,4.58,4.68,4.52,4.62,10336870,4.62
ITA,2020-10-02,4.59,4.66,4.4,4.51,12598390,4.51
ITA,2020-10-01,4.6,4.63,4.53,4.54,7782810,4.54
ITA,2020-09-30,4.55,4.6,4.48,4.55,8110410,4.55
ITA,2020-09-29,4.7,4.71,4.5,4.5,12890040,4.5
ITA,2020-09-28,4.74,4.75,4.66,4.69,7363100,4.69
ITA,2020-09-25,4.78,4.81,4.66,4.71,10302140,4.71
ITA,2020-09-24,4.63,4.89,4.58,4.78,19516400,4.78
ITA,2020-09-23,4.52,4.68,4.51,4.64,13168190,4.64
ITA,2020-09-22,4.5,4.57,4.46,4.48,12704520,4.48
ITA,2020-09-21,4.62,4.68,4.56,4.56,8358060,4.56
ITA,2020-09-10,4.42,4.5,4.4,4.4,6946160,4.4
ITA,2020-09-09,4.37,4.42,4.35,4.39,6389810,4.39
ITA,2020-09-08,4.39,4.44,4.36,4.4,4868840,4.4
ITA,2020-09-07,4.41,4.55,4.37,4.37,12113660,4.37
ITA,2020-09-04,4.31,4.47,4.31,4.38,8170360,4.38
ITA,2020-09-03,4.41,4.47,4.37,4.39,8054330,4.39
ITA,2020-09-01,4.38,4.47,4.33,4.38,7553300,4.38
ITA,2020-08-31,4.54,4.55,4.35,4.39,8353990,4.39
ITA,2020-08-28,4.54,4.67,4.5,4.53,13513610,4.53
ITA,2020-08-27,4.28,4.55,4.25,4.48,19553870,4.48
ITA,2020-08-26,4.3,4.4,4.28,4.3,8188930,4.3
ITA,2020-08-25,4.44,4.44,4.29,4.29,8748770,4.29
ITA,2020-08-24,4.26,4.49,4.26,4.38,13550290,4.38
ITA,2020-08-21,4.2,4.26,4.17,4.22,6233480,4.22
ITA,2020-08-20,4.24,4.27,4.18,4.18,5547690,4.18
ITA,2020-08-19,4.1,4.29,4.1,4.22,7139720,4.22
ITA,2020-08-18,4.17,4.18,4.1,4.1,4653640,4.1
ITA,2020-08-17,4.14,4.16,4.07,4.14,5291400,4.14
ITA,2020-08-14,4.26,4.27,4.05,4.1,10869920,4.1
ITA,2020-08-13,4.25,4.3,4.22,4.24,7248880,4.24
ITA,2020-08-12,4.3,4.38,4.16,4.21,7776090,4.21
ITA,2020-08-11,4.39,4.39,4.26,4.3,11349510,4.3
