name,date,open,high,low,close,volume,adj_close
KDC,2020-10-16,36.2,36.5,35.0,35.9,560670,35.9
KDC,2020-10-15,35.9,36.45,35.7,36.1,505060,36.1
KDC,2020-10-14,35.45,35.5,34.3,35.5,1062990,35.5
KDC,2020-10-13,35.85,35.95,35.2,35.45,530620,35.45
KDC,2020-10-12,36.4,36.45,35.55,35.85,642340,35.85
KDC,2020-10-09,36.5,36.5,36.0,36.15,404450,36.15
KDC,2020-10-08,36.3,36.7,36.05,36.15,657980,36.15
KDC,2020-10-07,36.75,36.85,36.05,36.05,736740,36.05
KDC,2020-10-06,36.85,37.0,36.5,36.75,471320,36.75
KDC,2020-10-05,37.3,37.3,36.5,36.75,413610,36.75
KDC,2020-10-02,36.85,36.95,36.0,36.7,597070,36.7
KDC,2020-10-01,36.6,36.7,36.3,36.7,537090,36.7
KDC,2020-09-30,36.5,36.95,36.2,36.5,602870,36.5
KDC,2020-09-29,37.0,37.4,36.25,36.5,697070,36.5
KDC,2020-09-28,37.5,37.5,34.7,37.0,1314730,37.0
KDC,2020-09-25,37.7,37.85,37.0,37.25,977030,37.25
KDC,2020-09-24,37.2,37.45,36.8,37.15,557540,37.15
KDC,2020-09-23,36.7,37.4,36.6,37.2,1273780,37.2
KDC,2020-09-22,36.3,36.75,36.2,36.7,1096240,36.7
KDC,2020-09-21,36.6,36.8,36.35,36.7,1255330,36.7
KDC,2020-09-10,36.0,36.2,35.7,35.8,842570,35.8
KDC,2020-09-09,34.9,35.9,34.7,35.7,1341780,35.7
KDC,2020-09-08,34.6,35.1,34.6,34.9,539460,34.9
KDC,2020-09-07,34.5,35.25,34.45,34.5,798740,34.5
KDC,2020-09-04,35.0,35.2,34.5,34.5,784540,34.5
KDC,2020-09-03,35.3,35.45,34.95,35.2,650740,35.2
KDC,2020-09-01,35.5,35.5,33.8,35.45,771110,35.45
KDC,2020-08-31,36.0,36.0,34.9,35.5,751380,35.5
KDC,2020-08-28,36.0,36.2,35.1,36.0,1032580,36.0
KDC,2020-08-27,35.6,36.8,35.6,36.0,950620,36.0
KDC,2020-08-26,36.8,37.6,36.7,36.8,858760,35.2
KDC,2020-08-25,36.2,37.9,35.9,36.7,1219270,35.1
KDC,2020-08-24,36.9,37.1,36.5,36.55,1219570,34.96
KDC,2020-08-21,35.5,36.55,35.5,36.25,1254780,34.67
KDC,2020-08-20,33.65,35.2,33.55,35.1,1826150,33.57
KDC,2020-08-19,33.3,33.65,33.25,33.5,398390,32.04
KDC,2020-08-18,33.5,33.75,33.0,33.5,240280,32.04
KDC,2020-08-17,33.2,33.2,31.9,33.2,275860,31.76
KDC,2020-08-14,33.6,33.6,32.3,32.5,824410,31.09
KDC,2020-08-13,33.6,33.9,33.15,33.6,686740,32.14
KDC,2020-08-12,33.4,33.9,33.1,33.6,672780,32.14
KDC,2020-08-11,34.1,34.5,32.8,33.8,1026650,32.33
KDC,2020-08-10,33.95,35.0,33.85,34.1,1555440,32.62
KDC,2020-08-07,33.9,33.95,33.0,33.35,462400,31.9
KDC,2020-08-06,31.8,33.7,31.75,33.4,969500,31.95
KDC,2020-08-05,31.7,31.95,31.5,31.75,510710,30.37
KDC,2020-08-04,31.1,31.75,31.1,31.7,504240,30.32
KDC,2020-08-03,29.95,31.1,29.6,31.1,595750,29.75
KDC,2020-07-31,29.9,29.95,29.1,29.95,405020,28.65
KDC,2020-07-30,29.9,30.0,29.7,29.95,260200,28.65
KDC,2020-07-29,29.4,29.9,28.3,29.9,402930,28.6
KDC,2020-07-28,29.5,30.0,28.9,29.9,386350,28.6
KDC,2020-07-27,28.7,30.0,28.5,29.4,506850,28.12
KDC,2020-07-24,31.6,31.6,29.1,30.5,853520,29.17
KDC,2020-07-23,31.2,31.5,30.9,31.25,456840,29.89
KDC,2020-07-22,31.5,31.6,30.5,31.2,423540,29.84
KDC,2020-07-21,31.3,31.3,30.35,31.2,523000,29.84
KDC,2020-07-20,31.2,31.8,30.85,31.2,381500,29.84
KDC,2020-07-17,31.55,32.0,31.45,31.5,481670,30.13
KDC,2020-07-16,30.5,32.0,30.3,31.55,1106930,30.18
KDC,2020-07-15,30.6,30.65,30.1,30.25,259800,28.93
KDC,2020-07-14,30.6,30.6,29.1,30.25,347480,28.93
KDC,2020-07-13,30.6,31.0,30.2,30.4,338040,29.08
KDC,2020-07-10,30.7,30.9,30.3,30.4,498030,29.08
KDC,2020-07-09,29.0,30.65,29.0,30.5,1651750,29.17
KDC,2020-07-08,28.8,29.1,28.7,29.0,209240,27.74
KDC,2020-07-07,29.0,29.2,28.7,29.0,615200,27.74
KDC,2020-07-06,28.9,29.2,28.8,29.0,600470,27.74
KDC,2020-07-03,29.0,29.2,28.5,28.9,485210,27.64
KDC,2020-07-02,29.0,29.2,28.65,28.9,152160,27.64
KDC,2020-07-01,28.4,28.65,28.0,28.65,307830,27.4
KDC,2020-06-30,28.7,28.85,27.8,28.4,255330,27.16
KDC,2020-06-29,28.3,28.5,27.0,28.5,235450,27.26
KDC,2020-06-26,29.8,29.8,28.2,29.0,340620,27.74
KDC,2020-06-25,29.0,29.8,29.0,29.5,238070,28.22
KDC,2020-06-24,29.45,30.1,29.3,29.8,234670,28.5
KDC,2020-06-23,30.15,30.15,29.75,30.0,276560,28.7
KDC,2020-06-22,30.45,30.45,29.8,30.15,315750,28.84
KDC,2020-06-19,29.7,30.2,29.7,30.1,290430,28.79
KDC,2020-06-18,30.0,30.0,29.7,30.0,259490,28.7
KDC,2020-06-17,29.65,29.9,29.55,29.9,255380,28.6
KDC,2020-06-16,30.2,30.2,29.1,29.65,217500,28.36
KDC,2020-06-15,31.6,31.6,28.85,29.2,593930,27.93
KDC,2020-06-12,30.5,31.3,30.05,31.0,506230,29.65
KDC,2020-06-11,33.0,33.0,31.7,32.3,1128190,30.9
KDC,2020-06-10,33.85,33.9,32.9,33.4,644830,31.95
KDC,2020-06-09,33.8,34.3,33.3,33.65,1237350,32.19
KDC,2020-06-08,33.3,33.8,32.0,33.6,804970,32.14
KDC,2020-06-05,33.55,33.55,32.5,33.45,443660,31.99
KDC,2020-06-04,33.2,34.0,33.05,33.5,461310,32.04
KDC,2020-06-03,33.55,34.2,33.2,33.55,903020,32.09
KDC,2020-06-02,33.6,33.9,33.0,33.55,1192950,32.09
KDC,2020-06-01,34.05,34.05,32.3,33.2,920630,31.76
KDC,2020-05-29,29.9,31.85,29.8,31.85,455960,30.46
KDC,2020-05-28,29.8,30.0,29.5,29.8,405650,28.5
KDC,2020-05-27,30.0,31.0,29.15,29.8,518150,28.5
KDC,2020-05-26,30.0,30.5,29.4,30.0,291910,28.7
KDC,2020-05-25,28.9,29.5,27.0,29.2,541810,27.93
KDC,2020-05-22,28.3,30.0,28.3,29.0,942530,27.74
KDC,2020-05-21,27.9,28.2,27.9,28.15,928750,26.93
KDC,2020-05-20,25.9,26.4,25.5,26.4,561850,25.25
KDC,2020-05-19,24.2,24.7,23.9,24.7,670550,23.63
KDC,2020-05-18,21.6,23.1,21.6,23.1,434300,22.1
KDC,2020-05-15,21.5,21.9,21.2,21.6,332350,20.66
KDC,2020-05-14,21.9,21.95,21.1,21.5,368310,20.56
KDC,2020-05-13,20.75,21.9,20.7,21.5,383590,20.56
KDC,2020-05-12,20.6,20.75,20.35,20.75,397560,19.85
KDC,2020-05-11,20.5,20.7,20.3,20.5,492160,19.61
KDC,2020-05-08,20.4,20.8,20.1,20.3,573410,19.42
KDC,2020-05-07,20.7,20.85,20.0,20.35,329610,19.46
KDC,2020-05-06,18.4,19.5,18.4,19.5,247900,18.65
