name,date,open,high,low,close,volume,adj_close
PAN,2020-10-16,20.4,20.7,20.1,20.1,222140,20.1
PAN,2020-10-15,21.05,21.05,20.6,20.6,158540,20.6
PAN,2020-10-14,21.2,21.3,20.85,21.1,118830,21.1
PAN,2020-10-13,20.5,21.5,20.3,21.2,212430,21.2
PAN,2020-10-12,20.75,20.75,20.3,20.55,103350,20.55
PAN,2020-10-09,20.8,20.9,20.7,20.8,51570,20.8
PAN,2020-10-08,21.2,21.2,20.7,20.8,69430,20.8
PAN,2020-10-07,21.3,21.5,21.0,21.0,183230,21.0
PAN,2020-10-06,20.95,21.25,20.6,21.2,233750,21.2
PAN,2020-10-05,20.2,20.5,20.15,20.45,69770,20.45
PAN,2020-10-02,20.5,20.55,19.9,20.2,98240,20.2
PAN,2020-10-01,20.15,20.55,20.15,20.5,102710,20.5
PAN,2020-09-30,20.4,20.4,20.15,20.35,38710,20.35
PAN,2020-09-29,20.1,20.65,19.95,20.35,137130,20.35
PAN,2020-09-28,20.35,20.55,19.95,19.95,228820,19.95
PAN,2020-09-25,20.6,20.8,20.15,20.35,174230,20.35
PAN,2020-09-24,20.9,20.9,20.6,20.6,94170,20.6
PAN,2020-09-23,21.1,21.1,20.65,20.7,398150,20.7
PAN,2020-09-22,20.8,21.3,20.8,20.9,166010,20.9
PAN,2020-09-21,20.65,21.6,20.65,21.3,163150,21.3
PAN,2020-09-10,22.8,23.0,21.95,22.4,147340,22.4
PAN,2020-09-09,23.2,23.2,22.65,22.65,632640,22.65
PAN,2020-09-08,20.3,21.7,20.3,21.7,724050,21.7
PAN,2020-09-07,20.7,20.9,20.0,20.3,49890,20.3
PAN,2020-09-04,20.5,20.6,20.2,20.5,73190,20.5
PAN,2020-09-03,20.5,20.8,20.5,20.5,55460,20.5
PAN,2020-09-01,20.7,20.7,20.5,20.5,6680,20.5
PAN,2020-08-31,19.6,20.9,19.6,20.7,36170,20.7
PAN,2020-08-28,20.0,21.0,20.0,20.65,58480,20.65
PAN,2020-08-27,19.8,20.1,19.8,19.95,12640,19.95
PAN,2020-08-26,20.1,20.1,19.9,19.95,18130,19.95
PAN,2020-08-25,19.1,20.1,19.1,20.1,28310,20.1
PAN,2020-08-24,19.0,19.35,19.0,19.1,34890,19.1
PAN,2020-08-21,19.0,19.1,18.8,19.1,15640,19.1
PAN,2020-08-20,19.05,19.1,19.0,19.0,32790,19.0
PAN,2020-08-19,19.0,19.1,18.9,19.1,23690,19.1
PAN,2020-08-18,19.2,19.2,19.0,19.0,6460,19.0
PAN,2020-08-17,18.8,19.1,18.6,18.8,8780,18.8
PAN,2020-08-14,19.0,19.05,18.8,18.9,11510,18.9
PAN,2020-08-13,19.0,19.0,18.8,19.0,8580,19.0
PAN,2020-08-12,19.1,19.1,18.9,19.0,1830,19.0
PAN,2020-08-11,19.15,19.15,18.9,19.0,9910,19.0
PAN,2020-08-10,19.0,19.15,18.9,19.15,9730,19.15
PAN,2020-08-07,18.5,18.6,18.5,18.5,60290,18.5
PAN,2020-08-06,19.1,19.2,18.8,19.0,4810,19.0
PAN,2020-08-05,18.9,19.2,18.9,18.9,8980,18.9
PAN,2020-08-04,19.0,19.0,18.7,19.0,9480,19.0
PAN,2020-08-03,17.55,18.7,17.55,18.6,5880,18.6
PAN,2020-07-31,18.15,18.25,17.2,17.55,10280,17.55
PAN,2020-07-30,18.2,18.5,18.15,18.15,5830,18.15
PAN,2020-07-29,18.1,18.15,17.9,18.0,7670,18.0
PAN,2020-07-28,17.7,18.9,17.7,18.6,15050,18.6
PAN,2020-07-27,18.2,19.0,18.1,18.5,58150,18.5
PAN,2020-07-24,20.15,20.15,18.6,19.45,47600,19.45
PAN,2020-07-23,20.0,20.0,20.0,20.0,620,20.0
PAN,2020-07-22,20.1,20.25,20.0,20.15,23720,20.15
PAN,2020-07-21,20.0,20.25,19.9,20.0,8230,20.0
PAN,2020-07-20,20.0,20.1,19.9,20.0,8750,20.0
PAN,2020-07-17,20.2,20.2,20.0,20.1,8540,20.1
PAN,2020-07-16,20.0,20.35,20.0,20.0,14810,20.0
PAN,2020-07-15,20.2,20.2,20.0,20.0,26440,20.0
PAN,2020-07-14,20.1,20.2,20.0,20.2,6500,20.2
PAN,2020-07-13,20.0,20.3,20.0,20.1,18520,20.1
PAN,2020-07-10,20.5,20.5,20.15,20.35,8980,20.35
PAN,2020-07-09,20.1,20.5,20.0,20.5,27620,20.5
PAN,2020-07-08,20.45,20.5,20.1,20.15,11120,20.15
PAN,2020-07-07,20.5,20.5,20.25,20.25,25500,20.25
PAN,2020-07-06,20.3,20.5,20.0,20.5,9700,20.5
PAN,2020-07-03,20.4,20.5,20.0,20.0,11720,20.0
PAN,2020-07-02,20.0,20.0,19.85,19.9,8450,19.9
PAN,2020-07-01,19.2,20.0,19.2,20.0,23190,20.0
PAN,2020-06-30,20.0,20.0,19.85,19.85,26360,19.85
PAN,2020-06-29,20.35,20.4,19.8,20.0,37200,20.0
PAN,2020-06-26,20.85,21.1,20.8,20.85,12620,20.85
PAN,2020-06-25,20.0,20.85,20.0,20.8,44510,20.8
PAN,2020-06-24,21.0,21.4,20.95,20.95,23560,20.95
PAN,2020-06-23,21.2,21.2,20.9,21.0,30260,21.0
PAN,2020-06-22,21.1,21.3,20.9,21.2,29620,21.2
PAN,2020-06-19,21.5,21.5,20.9,21.3,17660,21.3
PAN,2020-06-18,21.0,21.1,20.6,21.1,53270,21.1
PAN,2020-06-17,20.4,21.2,20.4,21.0,40470,21.0
PAN,2020-06-16,21.4,21.4,20.6,21.0,18930,21.0
PAN,2020-06-15,21.5,21.5,20.4,21.0,40200,21.0
PAN,2020-06-12,19.6,21.5,19.6,21.5,40540,21.5
PAN,2020-06-11,21.45,21.7,21.0,21.0,38120,21.0
PAN,2020-06-10,22.0,22.0,21.45,21.7,28910,21.7
PAN,2020-06-09,21.55,22.0,21.55,21.6,29630,21.6
PAN,2020-06-08,22.0,22.0,21.7,21.9,74080,21.9
PAN,2020-06-05,21.75,21.75,21.1,21.7,92190,21.7
PAN,2020-06-04,21.9,22.1,21.75,21.75,27670,21.75
PAN,2020-06-03,21.9,22.0,21.5,21.8,19230,21.8
PAN,2020-06-02,21.9,22.3,21.9,21.9,70570,21.9
PAN,2020-06-01,22.0,22.35,21.5,21.9,52770,21.9
PAN,2020-05-29,22.35,22.35,21.35,22.0,24650,22.0
PAN,2020-05-28,21.6,22.35,20.5,22.35,20490,22.35
PAN,2020-05-27,22.2,22.5,21.9,21.9,67800,21.9
PAN,2020-05-26,23.0,23.0,22.4,22.5,18970,22.5
PAN,2020-05-25,21.95,23.0,21.95,23.0,26170,23.0
PAN,2020-05-22,22.0,22.4,21.9,21.9,29270,21.9
PAN,2020-05-21,22.45,22.5,22.0,22.0,38970,22.0
PAN,2020-05-20,22.7,22.9,22.3,22.4,45790,22.4
PAN,2020-05-19,22.95,23.3,22.85,22.85,18510,22.85
PAN,2020-05-18,23.0,23.0,22.5,22.95,30280,22.95
PAN,2020-05-15,23.35,23.5,22.8,23.0,20510,23.0
PAN,2020-05-14,22.9,23.2,22.5,23.0,35740,23.0
PAN,2020-05-13,23.5,23.5,22.5,22.9,44060,22.9
PAN,2020-05-12,23.7,24.0,23.6,23.65,27890,23.65
PAN,2020-05-11,23.7,24.4,23.45,23.7,26320,23.7
PAN,2020-05-08,24.5,25.8,24.15,24.6,44120,24.6
PAN,2020-05-07,26.0,26.0,24.7,25.45,51430,25.45
PAN,2020-05-06,23.0,24.5,23.0,24.5,170190,24.5
PAN,2020-05-05,22.9,23.1,22.9,22.9,30570,22.9
PAN,2020-05-04,22.9,23.0,22.5,23.0,30140,23.0
PAN,2020-04-29,23.0,23.0,22.5,23.0,196610,23.0
PAN,2020-04-28,22.4,23.1,22.0,22.8,409180,22.8
