name,date,open,high,low,close,volume,adj_close
PTB,2020-10-16,55.0,57.4,54.8,57.0,456320,57.0
PTB,2020-10-15,55.3,55.8,54.8,55.0,143510,55.0
PTB,2020-10-14,55.7,56.2,55.1,55.2,154110,55.2
PTB,2020-10-13,55.5,56.4,55.5,55.7,263290,55.7
PTB,2020-10-12,56.9,56.9,55.5,55.5,168620,55.5
PTB,2020-10-09,57.0,57.2,55.5,56.0,181040,56.0
PTB,2020-10-08,56.2,56.9,56.0,56.4,136810,56.4
PTB,2020-10-07,56.9,58.0,56.2,56.2,220470,56.2
PTB,2020-10-06,55.2,57.0,55.2,57.0,421430,57.0
PTB,2020-10-05,55.0,55.3,54.4,55.0,116680,55.0
PTB,2020-10-02,55.0,55.2,53.0,54.4,136770,54.4
PTB,2020-10-01,55.8,56.2,54.8,54.9,206230,54.9
PTB,2020-09-30,52.0,55.5,52.0,55.1,333590,55.1
PTB,2020-09-29,53.0,53.7,52.0,52.0,139530,52.0
PTB,2020-09-28,53.0,53.2,52.0,53.0,106420,53.0
PTB,2020-09-25,52.0,52.9,51.3,51.6,194750,51.6
PTB,2020-09-24,53.0,53.4,52.0,52.6,192450,52.6
PTB,2020-09-23,53.4,53.7,53.2,53.3,118370,53.3
PTB,2020-09-22,53.2,54.4,53.2,53.5,182780,53.5
PTB,2020-09-21,54.5,54.9,53.8,54.2,208470,54.2
PTB,2020-09-10,50.2,50.5,49.7,50.2,164550,50.2
PTB,2020-09-09,48.4,50.5,48.0,50.2,160540,50.2
PTB,2020-09-08,49.0,49.2,48.2,48.7,179340,48.7
PTB,2020-09-07,48.2,49.9,48.2,49.0,472260,49.0
PTB,2020-09-04,49.0,50.4,48.8,50.4,104290,50.4
PTB,2020-09-03,50.5,50.5,49.5,49.7,112000,49.7
PTB,2020-09-01,50.4,50.5,49.6,50.0,176750,50.0
PTB,2020-08-31,50.9,50.9,49.9,50.4,192350,50.4
PTB,2020-08-28,51.0,51.8,50.6,50.9,227860,50.9
PTB,2020-08-27,49.5,51.5,49.5,50.8,346280,50.8
PTB,2020-08-26,48.9,49.75,48.3,49.5,236120,49.5
PTB,2020-08-25,49.2,49.2,48.8,48.9,196200,48.9
PTB,2020-08-24,48.1,49.5,48.1,48.8,115370,48.8
PTB,2020-08-21,46.7,48.0,46.4,47.8,198070,47.8
PTB,2020-08-20,47.0,47.2,46.4,46.4,79320,46.4
PTB,2020-08-19,46.2,47.3,46.2,47.0,128430,47.0
PTB,2020-08-18,47.0,47.0,46.1,46.2,61150,46.2
PTB,2020-08-17,46.3,46.9,46.05,46.3,67540,46.3
PTB,2020-08-14,46.9,47.0,46.2,46.5,103310,46.5
PTB,2020-08-13,46.2,46.8,45.8,46.8,99010,46.8
PTB,2020-08-12,46.05,47.0,45.6,45.75,76590,45.75
PTB,2020-08-11,47.2,47.2,46.0,46.05,61070,46.05
PTB,2020-08-10,46.0,47.2,46.0,46.4,81220,46.4
PTB,2020-08-07,47.1,47.1,46.1,46.1,81690,46.1
PTB,2020-08-06,47.0,47.8,46.9,47.1,70130,47.1
PTB,2020-08-05,45.1,47.4,44.5,47.2,78690,47.2
PTB,2020-08-04,44.5,45.5,44.5,45.05,56690,45.05
PTB,2020-08-03,42.85,45.0,42.85,44.1,89750,44.1
PTB,2020-07-31,43.1,44.1,43.0,43.8,34890,43.8
PTB,2020-07-30,44.5,44.5,43.25,44.0,38590,44.0
PTB,2020-07-29,45.8,45.8,42.7,43.0,289250,43.0
PTB,2020-07-28,43.2,45.9,43.2,45.9,128030,45.9
PTB,2020-07-27,44.0,46.0,44.0,44.0,517220,44.0
PTB,2020-07-24,48.1,49.5,47.0,47.3,178660,47.3
PTB,2020-07-23,50.2,50.5,49.5,49.5,71310,49.5
PTB,2020-07-22,50.2,51.5,50.2,50.2,79930,50.2
PTB,2020-07-21,49.5,50.2,49.5,50.0,210530,50.0
PTB,2020-07-20,50.1,50.9,50.0,50.1,66820,50.1
PTB,2020-07-17,51.0,51.5,50.0,50.9,61300,50.9
PTB,2020-07-16,51.8,52.0,51.2,51.2,65000,51.2
PTB,2020-07-15,51.6,51.8,51.2,51.8,70970,51.8
PTB,2020-07-14,51.6,51.8,51.0,51.6,66090,51.6
PTB,2020-07-13,52.8,52.8,51.1,51.6,107080,51.6
PTB,2020-07-10,52.5,53.8,52.4,53.1,193080,51.1
PTB,2020-07-09,52.1,52.7,52.1,52.5,70720,50.52
PTB,2020-07-08,52.0,52.4,51.6,52.1,55400,50.14
PTB,2020-07-07,52.5,52.8,52.1,52.2,128370,50.23
PTB,2020-07-06,51.8,52.5,51.6,52.0,70830,50.04
PTB,2020-07-03,51.5,52.5,51.4,51.8,88030,49.85
PTB,2020-07-02,51.1,51.2,50.5,51.0,72720,49.08
PTB,2020-07-01,48.7,50.5,48.7,50.5,66060,48.6
PTB,2020-06-30,49.1,50.0,48.5,49.0,193650,47.15
PTB,2020-06-29,50.0,50.2,49.0,49.1,151270,47.25
PTB,2020-06-26,51.2,51.2,50.0,50.3,67660,48.4
PTB,2020-06-25,49.5,50.4,49.5,49.9,129950,48.02
PTB,2020-06-24,51.1,51.5,50.4,51.0,176460,49.08
PTB,2020-06-23,51.0,52.3,50.8,51.4,190590,49.46
PTB,2020-06-22,53.0,53.0,51.0,51.5,212100,49.56
PTB,2020-06-19,52.0,53.0,51.5,52.0,148830,50.04
PTB,2020-06-18,53.0,53.5,51.0,51.8,286400,49.85
PTB,2020-06-17,49.4,52.2,48.5,52.2,565220,50.23
PTB,2020-06-16,48.5,49.0,48.25,48.8,120960,46.96
PTB,2020-06-15,48.8,48.8,47.2,48.0,251910,46.19
PTB,2020-06-12,46.6,49.3,46.5,48.9,217160,47.06
PTB,2020-06-11,52.8,53.1,49.5,49.5,453410,47.63
PTB,2020-06-10,53.7,53.7,51.3,53.2,209200,51.19
PTB,2020-06-09,50.7,54.2,50.7,53.7,509000,51.68
PTB,2020-06-08,49.45,51.0,48.8,50.7,613380,48.79
PTB,2020-06-05,47.0,48.4,46.85,48.3,189760,46.48
PTB,2020-06-04,47.0,47.35,46.85,47.25,120120,45.47
PTB,2020-06-03,46.65,47.0,46.5,46.7,97940,44.94
PTB,2020-06-02,47.7,47.7,46.65,46.65,146520,44.89
PTB,2020-06-01,46.85,47.0,46.4,46.9,169670,45.13
PTB,2020-05-29,46.6,47.0,46.35,46.5,72060,44.75
PTB,2020-05-28,46.0,47.8,46.0,47.0,98380,45.23
PTB,2020-05-27,49.3,49.3,47.8,48.0,200100,46.19
PTB,2020-05-26,47.1,48.45,47.0,48.45,266740,46.62
PTB,2020-05-25,46.5,47.3,45.9,46.9,226010,45.13
PTB,2020-05-22,46.15,46.8,46.15,46.3,113660,44.55
PTB,2020-05-21,46.35,46.9,46.3,46.45,78490,44.7
PTB,2020-05-20,46.05,46.7,46.05,46.35,120250,44.6
PTB,2020-05-19,47.5,47.5,46.15,46.9,221910,45.13
PTB,2020-05-18,45.0,47.0,45.0,47.0,99580,45.23
PTB,2020-05-15,46.6,46.8,44.7,45.0,342130,43.3
PTB,2020-05-14,47.3,47.5,46.0,46.55,257890,44.8
PTB,2020-05-13,47.9,48.9,47.7,47.8,162920,46.0
