name,date,open,high,low,close,volume,adj_close
SCS,2020-10-16,117.6,118.5,117.2,117.9,15780,117.9
SCS,2020-10-15,117.7,118.0,116.7,117.2,42160,117.2
SCS,2020-10-14,120.9,120.9,117.7,117.7,61790,117.7
SCS,2020-10-13,120.7,121.0,120.7,120.7,5090,120.7
SCS,2020-10-12,121.3,121.3,120.7,120.7,21100,120.7
SCS,2020-10-09,122.2,122.2,121.3,121.3,14900,121.3
SCS,2020-10-08,123.0,123.0,122.0,122.2,15210,122.2
SCS,2020-10-07,122.0,122.7,121.1,122.5,30140,122.5
SCS,2020-10-06,121.6,122.0,121.0,121.0,34180,121.0
SCS,2020-10-05,121.8,121.9,121.5,121.6,20710,121.6
SCS,2020-10-02,122.6,122.6,121.4,121.8,17130,121.8
SCS,2020-10-01,120.7,123.8,120.7,122.6,10390,122.6
SCS,2020-09-30,121.3,121.5,120.7,120.7,28760,120.7
SCS,2020-09-29,122.5,122.5,121.2,121.6,42200,121.6
SCS,2020-09-28,122.5,123.0,121.8,122.0,21500,122.0
SCS,2020-09-25,124.0,124.0,121.1,122.5,25990,122.5
SCS,2020-09-24,124.9,124.9,123.5,123.7,6400,123.7
SCS,2020-09-23,123.2,125.0,123.1,123.5,15670,123.5
SCS,2020-09-22,123.9,123.9,123.1,123.3,31740,123.3
SCS,2020-09-21,124.0,124.1,123.6,123.9,21530,123.9
SCS,2020-09-10,124.3,124.3,123.4,123.7,22490,123.7
SCS,2020-09-09,125.0,125.0,123.5,124.5,24530,124.5
SCS,2020-09-08,120.0,125.0,120.0,125.0,83040,125.0
SCS,2020-09-07,119.9,120.6,119.5,120.5,60750,120.5
SCS,2020-09-04,117.6,119.2,117.0,119.2,51930,119.2
SCS,2020-09-03,116.8,118.0,116.8,117.7,45730,117.7
SCS,2020-09-01,117.0,117.0,116.0,116.6,20250,116.6
SCS,2020-08-31,117.0,118.0,116.0,116.0,23750,116.0
SCS,2020-08-28,114.9,117.0,114.8,117.0,40320,117.0
SCS,2020-08-27,115.6,116.0,114.8,114.9,8930,114.9
SCS,2020-08-26,115.5,115.6,115.0,115.6,7000,115.6
SCS,2020-08-25,116.5,116.5,115.1,115.5,12980,115.5
SCS,2020-08-24,115.9,115.9,113.8,114.8,18410,114.8
SCS,2020-08-21,116.0,116.0,114.4,115.0,14440,115.0
SCS,2020-08-20,117.0,117.5,114.5,114.5,18350,114.5
SCS,2020-08-19,113.0,116.5,113.0,116.5,36540,116.5
SCS,2020-08-18,112.1,113.0,111.8,113.0,15320,113.0
SCS,2020-08-17,112.2,112.5,112.0,112.2,15030,112.2
SCS,2020-08-14,112.0,112.7,112.0,112.5,25030,112.5
SCS,2020-08-13,111.5,112.1,111.0,112.0,30110,112.0
SCS,2020-08-12,110.8,111.5,110.8,111.5,26300,111.5
SCS,2020-08-11,112.7,112.7,110.0,110.8,13380,110.8
SCS,2020-08-10,110.0,110.9,109.8,110.0,21590,110.0
SCS,2020-08-07,111.0,111.0,110.1,110.1,15130,110.1
SCS,2020-08-06,111.0,111.9,110.8,111.0,15650,111.0
SCS,2020-08-05,110.0,111.0,109.9,111.0,27930,111.0
SCS,2020-08-04,108.5,110.5,108.5,109.9,19740,109.9
SCS,2020-08-03,108.0,108.4,107.5,108.4,19610,108.4
SCS,2020-07-31,108.0,109.0,107.1,108.4,11190,108.4
SCS,2020-07-30,109.0,110.0,108.0,109.0,10680,109.0
SCS,2020-07-29,112.0,112.0,107.6,109.0,30260,109.0
SCS,2020-07-28,105.0,112.6,105.0,112.6,25210,112.6
SCS,2020-07-27,106.0,109.8,106.0,107.1,64440,107.1
SCS,2020-07-24,115.0,115.5,110.0,113.9,43700,113.9
SCS,2020-07-23,116.0,116.1,114.7,115.0,22700,115.0
SCS,2020-07-22,117.2,117.6,116.0,116.0,11560,116.0
SCS,2020-07-21,118.1,118.4,117.0,117.2,7290,117.2
SCS,2020-07-20,118.1,120.0,115.2,118.1,13050,118.1
SCS,2020-07-17,120.0,122.0,115.2,115.2,34810,115.2
SCS,2020-07-16,124.3,125.9,120.0,120.0,27830,115.0
SCS,2020-07-15,125.2,125.4,124.1,124.3,9080,119.12
SCS,2020-07-14,126.0,126.4,124.8,124.8,12670,119.6
SCS,2020-07-13,126.0,126.5,125.0,126.0,11630,120.75
SCS,2020-07-10,124.0,125.0,123.5,125.0,13380,119.79
SCS,2020-07-09,125.0,125.6,123.8,123.9,16840,118.73
SCS,2020-07-08,127.0,127.0,124.8,125.0,9930,119.79
SCS,2020-07-07,126.9,127.9,124.5,124.5,37780,119.31
SCS,2020-07-06,122.3,125.0,122.2,125.0,34450,119.79
SCS,2020-07-03,119.0,122.0,118.9,122.0,22630,116.91
SCS,2020-07-02,117.0,118.8,115.5,118.5,12350,113.56
SCS,2020-07-01,114.0,117.8,114.0,117.8,7230,112.89
SCS,2020-06-30,115.5,117.0,114.2,115.5,20510,110.68
SCS,2020-06-29,120.0,120.0,115.2,115.5,15520,110.68
SCS,2020-06-26,120.0,121.6,119.2,120.0,7630,115.0
SCS,2020-06-25,121.4,121.4,119.0,120.0,12440,115.0
SCS,2020-06-24,121.8,122.5,121.5,121.5,8170,116.43
SCS,2020-06-23,122.0,122.5,121.7,121.8,10030,116.72
SCS,2020-06-22,122.0,123.5,121.7,121.8,18490,116.72
SCS,2020-06-19,123.0,124.0,122.0,122.0,17900,116.91
SCS,2020-06-18,123.9,123.9,122.0,123.0,33460,117.87
SCS,2020-06-17,123.7,123.8,120.0,122.0,65640,116.91
