name,date,open,high,low,close,volume,adj_close
TDM,2020-10-16,23.4,23.4,23.2,23.25,180260,23.25
TDM,2020-10-15,23.4,23.5,23.25,23.4,157520,23.4
TDM,2020-10-14,23.6,23.6,23.3,23.4,154910,23.4
TDM,2020-10-13,23.45,23.6,23.4,23.4,198930,23.4
TDM,2020-10-12,23.4,23.8,23.35,23.35,112610,23.35
TDM,2020-10-09,23.5,23.6,23.3,23.4,104830,23.4
TDM,2020-10-08,23.8,23.8,23.3,23.5,302060,23.5
TDM,2020-10-07,23.85,24.0,23.75,23.75,161240,23.75
TDM,2020-10-06,23.65,23.95,23.6,23.85,322610,23.85
TDM,2020-10-05,23.55,23.65,23.5,23.55,141660,23.55
TDM,2020-10-02,23.75,23.85,22.15,23.55,280430,23.55
TDM,2020-10-01,23.6,23.9,23.6,23.8,209710,23.8
TDM,2020-09-30,23.75,23.85,23.55,23.6,143620,23.6
TDM,2020-09-29,23.5,24.2,23.35,23.7,401850,23.7
TDM,2020-09-28,23.6,23.6,23.35,23.5,201770,23.5
TDM,2020-09-25,23.4,23.55,23.4,23.45,243000,23.45
TDM,2020-09-24,23.6,23.65,23.35,23.45,331060,23.45
TDM,2020-09-23,23.75,23.85,23.6,23.6,313340,23.6
TDM,2020-09-22,23.8,23.85,23.7,23.8,229780,23.8
TDM,2020-09-21,24.0,24.15,23.75,23.85,226810,23.85
TDM,2020-09-10,24.0,24.7,23.9,24.35,357820,24.35
TDM,2020-09-09,23.85,23.85,23.55,23.7,205580,23.7
TDM,2020-09-08,23.45,24.0,23.4,23.7,287300,23.7
TDM,2020-09-07,24.05,24.1,23.45,23.45,600470,23.45
TDM,2020-09-04,24.0,24.2,23.9,24.05,379140,24.05
TDM,2020-09-03,24.45,24.7,24.0,24.3,459300,24.3
TDM,2020-09-01,24.4,24.4,24.1,24.3,271590,24.3
TDM,2020-08-31,24.8,25.0,24.25,24.4,319450,24.4
TDM,2020-08-28,25.4,25.8,24.9,24.9,734300,24.9
TDM,2020-08-27,24.1,25.35,23.95,25.0,862320,25.0
TDM,2020-08-26,24.4,24.7,24.2,24.25,286070,24.25
TDM,2020-08-25,24.2,24.3,24.1,24.2,257290,24.2
TDM,2020-08-24,24.3,24.3,24.0,24.1,254990,24.1
TDM,2020-08-21,23.65,24.0,23.65,23.95,141560,23.95
TDM,2020-08-20,24.2,24.5,23.8,23.8,190560,23.8
TDM,2020-08-19,23.95,24.0,23.75,24.0,278930,24.0
TDM,2020-08-18,24.0,24.0,23.6,23.7,306760,23.7
TDM,2020-08-17,23.45,23.9,23.45,23.45,214330,23.45
TDM,2020-08-14,24.3,24.3,23.6,23.85,155950,23.85
TDM,2020-08-13,23.6,24.2,23.5,24.2,381920,24.2
TDM,2020-08-12,23.8,23.9,23.55,23.6,420910,23.6
TDM,2020-08-11,24.0,24.0,23.75,23.8,434480,23.8
TDM,2020-08-10,24.6,24.95,24.0,24.0,423970,24.0
TDM,2020-08-07,24.5,24.9,24.5,24.7,128760,24.7
TDM,2020-08-06,25.0,25.1,24.8,24.8,199800,24.8
TDM,2020-08-05,24.95,25.3,24.8,25.0,292600,25.0
TDM,2020-08-04,25.5,25.5,24.8,24.95,170310,24.95
TDM,2020-08-03,24.6,25.0,24.6,25.0,71780,25.0
TDM,2020-07-31,24.5,25.3,24.1,24.8,222400,24.8
TDM,2020-07-30,23.5,24.7,23.5,24.6,196040,24.6
TDM,2020-07-29,23.5,23.5,22.5,23.5,239500,23.5
TDM,2020-07-28,22.2,23.8,22.2,23.5,72000,23.5
TDM,2020-07-27,22.6,23.8,22.4,22.4,297850,22.4
TDM,2020-07-24,25.0,25.15,23.55,24.05,129670,24.05
TDM,2020-07-23,25.6,25.6,25.0,25.3,59180,25.3
TDM,2020-07-22,24.8,25.7,24.75,25.4,227290,25.4
TDM,2020-07-21,24.4,24.8,23.9,24.8,91670,24.8
