name,date,open,high,low,close,volume,adj_close
VGC,2020-10-16,23.5,23.6,21.8,23.0,170550,23.0
VGC,2020-10-15,23.05,23.4,22.95,23.4,181900,23.4
VGC,2020-10-14,23.0,23.05,22.9,23.0,217220,23.0
VGC,2020-10-13,22.9,23.1,22.8,22.9,181140,22.9
VGC,2020-10-12,23.2,23.25,22.9,22.9,290900,22.9
VGC,2020-10-09,22.9,22.95,22.7,22.95,150530,22.95
VGC,2020-10-08,23.0,23.2,22.6,22.8,182670,22.8
VGC,2020-10-07,22.9,23.1,22.9,23.0,82270,23.0
VGC,2020-10-06,23.1,23.2,23.0,23.0,249230,23.0
VGC,2020-10-05,23.0,23.35,23.0,23.0,107390,23.0
VGC,2020-10-02,23.1,23.35,22.8,23.0,378360,23.0
VGC,2020-10-01,23.15,23.15,22.9,23.0,275340,23.0
VGC,2020-09-30,23.5,23.5,22.0,23.0,495820,23.0
VGC,2020-09-29,23.5,23.6,23.35,23.4,280950,23.4
VGC,2020-09-28,23.5,23.75,23.45,23.5,341540,23.5
VGC,2020-09-25,23.4,23.6,23.35,23.5,726240,23.5
VGC,2020-09-24,23.25,23.5,23.25,23.4,529020,23.4
VGC,2020-09-23,23.4,23.45,23.2,23.4,397090,23.4
VGC,2020-09-22,23.45,23.6,23.4,23.45,395230,23.45
VGC,2020-09-21,23.8,23.8,23.3,23.45,425800,23.45
VGC,2020-09-10,22.1,22.2,21.7,21.7,474080,21.7
VGC,2020-09-09,22.55,23.2,21.45,21.7,1380600,21.7
VGC,2020-09-08,23.0,23.5,23.0,23.05,235580,23.05
VGC,2020-09-07,23.05,24.45,22.85,23.5,475670,23.5
VGC,2020-09-04,22.5,23.5,22.4,23.15,640480,23.15
VGC,2020-09-03,21.8,23.2,21.8,23.0,1031740,23.0
VGC,2020-09-01,21.5,22.2,21.5,21.7,273060,21.7
VGC,2020-08-31,22.15,22.15,21.5,21.5,579560,21.5
VGC,2020-08-28,22.0,22.3,21.9,21.95,753330,21.95
VGC,2020-08-27,21.8,22.1,21.8,21.95,1093370,21.95
VGC,2020-08-26,21.55,21.95,21.55,21.8,607000,21.8
VGC,2020-08-25,22.35,22.35,21.5,21.8,742450,21.8
VGC,2020-08-24,22.3,22.5,21.95,22.35,525010,22.35
VGC,2020-08-21,22.0,22.1,21.8,22.1,254000,22.1
VGC,2020-08-20,22.2,22.4,22.0,22.0,413030,22.0
VGC,2020-08-19,22.1,22.45,22.1,22.2,484680,22.2
VGC,2020-08-18,21.9,22.7,21.5,22.45,596240,22.45
VGC,2020-08-17,21.85,22.0,20.7,21.85,706300,21.85
VGC,2020-08-14,21.6,21.7,21.1,21.1,577410,21.1
VGC,2020-08-13,22.0,22.0,21.55,21.6,647350,21.6
VGC,2020-08-12,21.5,22.0,21.5,22.0,1189560,22.0
VGC,2020-08-11,21.2,22.0,21.15,21.7,522950,21.7
VGC,2020-08-10,21.65,21.65,21.15,21.25,655270,21.25
VGC,2020-08-07,20.1,21.5,20.05,21.5,7816310,21.5
VGC,2020-08-06,20.1,20.2,19.9,20.1,238130,20.1
VGC,2020-08-05,20.1,20.2,19.8,20.1,186340,20.1
VGC,2020-08-04,19.8,20.2,19.6,20.1,231450,20.1
VGC,2020-08-03,19.1,19.8,19.1,19.8,318900,19.8
VGC,2020-07-31,18.6,19.4,18.6,19.1,318360,19.1
VGC,2020-07-30,18.8,19.6,18.7,18.8,177040,18.8
VGC,2020-07-29,19.65,19.65,18.65,18.8,705420,18.8
VGC,2020-07-28,18.8,19.9,18.6,19.4,553350,19.4
VGC,2020-07-27,18.4,19.4,18.4,18.7,1210280,18.7
VGC,2020-07-24,20.1,20.1,18.7,19.35,1148350,19.35
VGC,2020-07-23,19.95,20.15,19.85,20.1,383110,20.1
VGC,2020-07-22,20.0,20.2,20.0,20.0,282680,20.0
VGC,2020-07-21,20.0,20.15,20.0,20.05,516770,20.05
VGC,2020-07-20,20.05,20.3,19.9,20.05,494460,20.05
VGC,2020-07-17,20.1,20.2,20.0,20.0,449190,20.0
VGC,2020-07-16,20.4,20.45,19.9,20.15,238820,20.15
VGC,2020-07-15,20.5,20.7,20.0,20.15,340490,20.15
VGC,2020-07-14,20.0,20.5,19.7,20.5,399700,20.5
VGC,2020-07-13,20.6,20.7,20.0,20.0,322960,20.0
VGC,2020-07-10,20.4,20.6,20.1,20.5,428260,20.5
VGC,2020-07-09,20.1,20.6,20.1,20.5,837690,20.5
VGC,2020-07-08,19.45,20.3,19.1,20.1,714770,20.1
VGC,2020-07-07,19.55,19.6,19.2,19.45,437010,19.45
VGC,2020-07-06,21.0,21.0,20.3,20.5,486080,19.4
VGC,2020-07-03,21.3,21.7,20.4,20.5,1456560,19.4
VGC,2020-07-02,20.3,20.9,19.8,20.9,1084590,19.78
VGC,2020-07-01,19.2,19.6,19.0,19.55,170090,18.5
VGC,2020-06-30,19.35,19.6,18.9,19.05,456320,18.03
VGC,2020-06-29,19.0,19.55,19.0,19.35,446090,18.31
VGC,2020-06-26,19.0,19.1,18.8,18.9,184160,17.89
VGC,2020-06-25,18.7,19.2,18.65,18.85,238810,17.84
VGC,2020-06-24,19.2,19.5,19.05,19.2,171620,18.17
VGC,2020-06-23,19.65,19.8,19.1,19.4,603340,18.36
VGC,2020-06-22,20.5,20.5,19.9,19.95,794280,18.88
VGC,2020-06-19,20.0,20.6,19.7,20.5,922180,19.4
VGC,2020-06-18,19.2,20.1,19.05,19.9,1125010,18.83
VGC,2020-06-17,19.05,19.2,19.0,19.05,68440,18.03
VGC,2020-06-16,18.85,19.1,18.6,19.05,489980,18.03
VGC,2020-06-15,19.1,19.1,18.5,18.7,196310,17.7
VGC,2020-06-12,18.7,18.9,17.7,18.9,434060,17.89
VGC,2020-06-11,19.1,19.15,18.85,18.85,564220,17.84
VGC,2020-06-10,19.2,19.2,19.0,19.1,395720,18.07
VGC,2020-06-09,19.1,19.25,18.95,19.15,354680,18.12
VGC,2020-06-08,19.0,19.15,19.0,19.05,203660,18.03
VGC,2020-06-05,19.05,19.1,18.75,19.0,57610,17.98
VGC,2020-06-04,18.6,19.1,18.6,19.05,509800,18.03
VGC,2020-06-03,18.9,19.05,18.5,18.65,186540,17.65
VGC,2020-06-02,18.95,18.95,18.75,18.9,138230,17.89
VGC,2020-06-01,18.75,19.05,18.75,18.8,167840,17.79
VGC,2020-05-29,18.7,19.15,18.7,18.8,621160,17.79
VGC,2020-05-28,19.1,19.15,18.75,18.95,553290,17.93
VGC,2020-05-27,19.0,19.1,18.6,19.05,512780,18.03
VGC,2020-05-26,18.5,19.0,18.2,18.95,386760,17.93
VGC,2020-05-25,17.65,18.4,17.65,18.3,584370,17.32
VGC,2020-05-22,17.1,17.7,17.1,17.65,342150,16.7
VGC,2020-05-21,17.2,17.45,17.0,17.4,235630,16.47
VGC,2020-05-20,17.4,17.4,17.3,17.3,414090,16.37
VGC,2020-05-19,17.5,17.5,17.4,17.4,150110,16.47
VGC,2020-05-18,17.1,17.4,17.05,17.4,556780,16.47
VGC,2020-05-15,17.05,17.3,17.0,17.05,122360,16.13
VGC,2020-05-14,16.9,17.3,16.9,17.05,179710,16.13
VGC,2020-05-13,16.8,17.15,16.7,16.7,171310,15.8
VGC,2020-05-12,17.1,17.25,16.7,16.9,171050,15.99
VGC,2020-05-11,17.1,17.4,17.1,17.1,95630,16.18
VGC,2020-05-08,17.35,17.4,17.2,17.3,273560,16.37
VGC,2020-05-07,17.3,17.35,17.0,17.3,434920,16.37
VGC,2020-05-06,17.3,17.35,17.05,17.3,456160,16.37
VGC,2020-05-05,16.7,17.3,16.45,17.3,362270,16.37
VGC,2020-05-04,17.3,17.3,16.5,16.5,167100,15.61
VGC,2020-04-29,17.3,17.4,17.0,17.3,224620,16.37
VGC,2020-04-28,17.2,17.3,16.9,17.3,481990,16.37
VGC,2020-04-27,16.6,17.0,16.5,17.0,466220,16.09
VGC,2020-04-24,16.7,16.7,16.4,16.5,23740,15.61
VGC,2020-04-23,16.5,16.6,16.4,16.6,235620,15.71
VGC,2020-04-22,16.1,16.1,15.85,16.1,88070,15.24
VGC,2020-04-21,16.45,16.7,15.7,15.7,172870,14.86
VGC,2020-04-20,17.0,17.0,16.65,16.65,136670,15.76
VGC,2020-04-17,16.5,16.65,16.5,16.65,140970,15.76
VGC,2020-04-16,15.8,16.45,15.7,16.45,319380,15.57
VGC,2020-04-15,16.1,16.1,15.7,15.7,82480,14.86
VGC,2020-04-14,15.3,16.0,15.3,15.95,131500,15.09
VGC,2020-04-13,15.85,15.9,15.15,15.75,140150,14.9
VGC,2020-04-10,16.3,16.3,14.8,15.85,411370,15.0
VGC,2020-04-09,16.0,16.2,15.9,15.9,153920,15.05
VGC,2020-04-08,15.0,16.2,15.0,16.1,514920,15.24
VGC,2020-04-07,16.2,16.2,15.4,15.7,430610,14.86
VGC,2020-04-06,14.9,15.6,14.9,15.4,335880,14.57
VGC,2020-04-03,15.35,15.35,14.6,14.9,107090,14.1
VGC,2020-04-01,14.4,14.65,14.1,14.6,136890,13.82
VGC,2020-03-31,14.0,14.1,13.6,14.1,793060,13.34
VGC,2020-03-30,14.0,14.05,13.5,13.8,215450,13.06
VGC,2020-03-27,13.8,14.1,13.8,14.05,320910,13.3
VGC,2020-03-26,14.1,14.1,13.8,14.1,140200,13.34
VGC,2020-03-25,13.4,14.2,13.4,14.1,182820,13.34
VGC,2020-03-24,13.3,13.7,13.15,13.4,572680,12.68
VGC,2020-03-23,14.8,15.0,14.1,14.1,132620,13.34
VGC,2020-03-20,15.4,15.4,15.0,15.15,332740,14.34
VGC,2020-03-19,15.5,16.0,15.2,15.2,408650,14.38
VGC,2020-03-18,16.35,16.35,15.8,16.1,168420,15.24
VGC,2020-03-17,16.3,16.3,15.1,16.3,254490,15.42
VGC,2020-03-16,16.3,16.3,15.8,15.9,170270,15.05
VGC,2020-03-13,16.0,16.4,15.8,16.3,571780,15.42
VGC,2020-03-12,16.7,17.85,16.7,16.95,1125890,16.04
VGC,2020-03-11,18.2,18.2,17.75,17.75,293330,16.8
VGC,2020-03-10,17.5,17.85,17.3,17.85,220700,16.89
VGC,2020-03-09,18.1,18.1,17.4,17.5,632730,16.56
VGC,2020-03-06,18.6,18.6,18.4,18.5,466980,17.51
VGC,2020-03-05,18.5,18.7,18.3,18.5,505220,17.51
VGC,2020-03-04,18.5,18.6,18.3,18.5,644960,17.51
VGC,2020-03-03,18.6,18.6,18.3,18.5,166640,17.51
VGC,2020-03-02,18.1,18.7,18.1,18.5,470570,17.51
VGC,2020-02-28,18.05,18.3,18.0,18.2,245970,17.22
VGC,2020-02-27,18.2,18.5,18.2,18.4,99090,17.41
VGC,2020-02-26,18.3,18.5,18.2,18.3,62240,17.32
VGC,2020-02-25,17.7,18.5,17.7,18.5,454500,17.51
VGC,2020-02-24,17.7,18.5,17.7,18.0,459500,17.03
VGC,2020-02-21,18.15,18.5,18.15,18.5,301110,17.51
VGC,2020-02-20,18.1,18.2,18.0,18.15,52480,17.18
VGC,2020-02-19,17.6,18.1,17.6,18.1,345140,17.13
VGC,2020-02-18,17.7,17.7,17.45,17.6,228380,16.65
VGC,2020-02-17,17.45,17.85,17.45,17.6,96320,16.65
VGC,2020-02-14,17.95,17.95,17.65,17.65,177320,16.7
VGC,2020-02-13,17.6,17.95,17.55,17.7,213760,16.75
VGC,2020-02-12,17.5,17.75,17.45,17.6,154960,16.65
VGC,2020-02-11,17.35,17.6,17.35,17.5,106560,16.56
VGC,2020-02-10,17.8,17.8,17.4,17.4,209100,16.47
VGC,2020-02-07,17.8,17.8,17.55,17.7,110460,16.75
VGC,2020-02-06,17.55,17.65,17.3,17.55,92070,16.61
VGC,2020-02-05,17.7,17.7,17.2,17.5,151750,16.56
VGC,2020-02-04,17.3,18.0,17.25,17.25,211230,16.32
VGC,2020-02-03,17.3,17.8,17.2,17.3,254350,16.37
VGC,2020-01-31,18.2,18.2,18.0,18.05,306970,17.08
VGC,2020-01-30,17.75,18.2,17.75,18.0,203710,17.03
VGC,2020-01-22,18.0,18.25,18.0,18.25,171450,17.27
VGC,2020-01-21,18.1,18.3,18.0,18.0,92950,17.03
VGC,2020-01-20,18.0,18.2,18.0,18.1,153910,17.13
VGC,2020-01-17,18.0,18.1,18.0,18.0,251850,17.03
VGC,2020-01-16,18.0,18.05,18.0,18.0,115470,17.03
VGC,2020-01-15,18.0,18.0,17.9,18.0,262570,17.03
VGC,2020-01-14,17.8,18.05,17.8,18.0,199490,17.03
VGC,2020-01-13,18.05,18.05,18.0,18.0,131260,17.03
VGC,2020-01-10,18.05,18.2,18.0,18.05,105900,17.08
VGC,2020-01-09,18.0,18.2,18.0,18.2,374150,17.22
VGC,2020-01-08,18.0,18.05,16.95,18.0,310830,17.03
VGC,2020-01-07,17.8,18.0,17.8,18.0,121120,17.03
VGC,2020-01-06,18.0,18.05,17.95,18.0,152580,17.03
VGC,2020-01-03,18.0,18.1,18.0,18.0,55480,17.03
VGC,2020-01-02,18.2,18.2,18.0,18.0,143280,17.03
VGC,2019-12-31,18.2,18.4,17.95,18.4,301810,17.41
VGC,2019-12-30,17.95,18.2,17.9,18.2,132010,17.22
VGC,2019-12-27,18.1,18.2,18.0,18.0,35720,17.03
VGC,2019-12-26,18.0,18.2,17.95,18.1,245380,17.13
VGC,2019-12-25,17.95,18.05,17.95,18.0,110370,17.03
VGC,2019-12-24,18.0,18.05,17.9,18.0,170380,17.03
VGC,2019-12-23,18.1,18.15,18.0,18.0,55900,17.03
VGC,2019-12-20,18.05,18.05,17.9,18.05,110900,17.08
VGC,2019-12-19,17.95,18.05,17.9,18.05,132530,17.08
VGC,2019-12-18,18.0,18.1,17.9,18.1,222750,17.13
VGC,2019-12-17,18.15,18.2,18.0,18.0,125990,17.03
VGC,2019-12-16,18.25,18.3,18.15,18.3,95390,17.32
VGC,2019-12-13,18.2,18.3,18.15,18.25,122580,17.27
VGC,2019-12-12,18.3,18.3,18.2,18.3,68720,17.32
VGC,2019-12-11,18.2,18.3,18.1,18.3,104710,17.32
VGC,2019-12-10,18.25,18.3,18.15,18.3,269040,17.32
VGC,2019-12-09,18.3,18.35,18.25,18.35,99850,17.36
VGC,2019-12-06,18.4,18.4,18.25,18.4,29330,17.41
VGC,2019-12-05,18.25,18.45,18.25,18.4,122470,17.41
VGC,2019-12-04,18.4,18.4,18.25,18.4,87590,17.41
VGC,2019-12-03,18.45,18.45,18.25,18.35,232280,17.36
VGC,2019-12-02,18.45,18.45,18.2,18.4,286370,17.41
VGC,2019-11-29,18.2,18.45,18.2,18.35,180030,17.36
VGC,2019-11-28,18.5,18.5,18.15,18.5,161890,17.51
VGC,2019-11-27,18.55,18.55,18.35,18.5,33020,17.51
VGC,2019-11-26,18.5,18.55,18.4,18.5,210250,17.51
VGC,2019-11-25,18.4,18.5,18.4,18.5,117850,17.51
VGC,2019-11-22,18.5,18.6,18.1,18.5,730740,17.51
VGC,2019-11-21,18.4,18.6,18.1,18.6,308360,17.6
VGC,2019-11-20,18.5,18.55,18.35,18.55,171740,17.55
VGC,2019-11-19,18.55,18.65,18.45,18.6,177500,17.6
VGC,2019-11-18,18.7,18.7,18.5,18.7,99190,17.7
VGC,2019-11-15,18.55,18.75,18.55,18.7,144600,17.7
VGC,2019-11-14,18.7,18.75,18.55,18.75,81200,17.74
VGC,2019-11-13,18.75,18.75,18.55,18.75,218450,17.74
VGC,2019-11-12,18.5,18.75,18.5,18.75,317450,17.74
VGC,2019-11-11,18.8,18.85,18.65,18.75,121820,17.74
VGC,2019-11-08,18.6,18.9,18.5,18.8,237820,17.79
VGC,2019-11-07,18.8,18.9,18.55,18.75,301280,17.74
VGC,2019-11-06,18.85,19.0,18.8,18.9,204080,17.89
VGC,2019-11-05,18.85,19.05,18.8,18.85,171080,17.84
VGC,2019-11-04,19.1,19.25,18.8,18.85,134290,17.84
VGC,2019-11-01,18.8,19.0,18.8,18.9,130380,17.89
VGC,2019-10-31,19.0,19.2,18.95,18.95,111240,17.93
VGC,2019-10-30,19.05,19.25,18.9,19.0,132540,17.98
VGC,2019-10-29,19.1,19.2,19.0,19.05,80000,18.03
VGC,2019-10-28,19.3,19.4,19.1,19.1,102070,18.07
VGC,2019-10-25,19.1,19.45,19.1,19.3,210540,18.26
VGC,2019-10-24,19.2,19.2,19.0,19.1,57670,18.07
VGC,2019-10-23,18.9,19.2,18.9,19.2,97320,18.17
VGC,2019-10-22,19.05,19.05,18.9,18.9,93980,17.89
VGC,2019-10-21,19.1,19.2,19.0,19.1,111860,18.07
VGC,2019-10-18,19.05,19.2,19.0,19.05,70720,18.03
VGC,2019-10-17,19.3,19.3,19.0,19.05,130900,18.03
VGC,2019-10-16,19.3,19.4,19.2,19.3,104150,18.26
VGC,2019-10-15,19.4,19.4,19.2,19.35,24850,18.31
VGC,2019-10-14,19.45,19.45,19.25,19.4,58850,18.36
VGC,2019-10-11,19.5,19.5,19.1,19.2,203980,18.17
VGC,2019-10-10,19.5,19.9,19.1,19.1,199690,18.07
VGC,2019-10-09,19.0,20.0,18.9,20.0,471810,18.93
VGC,2019-10-08,19.0,19.2,19.0,19.0,289580,17.98
VGC,2019-10-07,19.4,19.2,19.0,19.0,278030,17.98
VGC,2019-10-04,19.4,19.4,19.1,19.15,374450,18.12
VGC,2019-10-03,19.3,19.4,19.2,19.35,292920,18.31
VGC,2019-10-02,19.3,19.4,19.25,19.3,210700,18.26
VGC,2019-10-01,19.3,19.5,19.3,19.35,226620,18.31
VGC,2019-09-30,19.3,19.5,19.25,19.3,313970,18.26
VGC,2019-09-27,19.3,19.5,19.3,19.3,216150,18.26
VGC,2019-09-26,19.25,19.4,19.2,19.3,222370,18.26
