name,date,open,high,low,close,volume,adj_close
VNSML-INDEX,2020-10-23,835.71,840.85,835.71,840.37,72040470,840.37
VNSML-INDEX,2020-10-22,833.38,835.89,829.44,835.71,51965370,835.71
VNSML-INDEX,2020-10-21,839.1,842.54,833.24,833.38,63059280,833.38
VNSML-INDEX,2020-10-12,858.83,863.22,847.27,848.6,85036340,848.6
VNSML-INDEX,2020-10-09,859.21,861.42,856.95,858.83,69230360,858.83
VNSML-INDEX,2020-10-08,862.36,865.83,853.32,859.21,85811860,859.21
VNSML-INDEX,2020-10-01,833.55,843.11,833.55,843.11,69932700,843.11
VNSML-INDEX,2020-09-30,827.0,833.62,822.99,833.55,59151840,833.55
VNSML-INDEX,2020-09-29,832.44,835.51,826.56,827.02,82942870,827.02
VNSML-INDEX,2020-09-28,826.9,832.69,826.83,832.44,68305690,832.44
VNSML-INDEX,2020-09-23,826.23,830.89,826.07,829.2,57963240,829.2
VNSML-INDEX,2020-09-22,829.29,829.39,822.68,826.21,73904770,826.21
VNSML-INDEX,2020-09-21,831.1,834.74,828.92,829.39,72595160,829.39
VNSML-INDEX,2020-09-18,828.0,831.1,827.77,831.1,58974310,831.1
VNSML-INDEX,2020-09-17,827.69,831.44,822.1,828.0,92647780,828.0
VNSML-INDEX,2020-09-16,827.9,828.25,824.33,827.69,64795130,827.69
VNSML-INDEX,2020-09-15,826.66,831.66,826.66,827.9,100431160,827.9
VNSML-INDEX,2020-09-14,821.15,828.35,821.0,826.66,80029180,826.66
VNSML-INDEX,2020-09-11,813.26,821.15,811.25,821.15,84087940,821.15
VNSML-INDEX,2020-09-09,802.93,809.28,796.31,809.28,65059820,809.28
VNSML-INDEX,2020-09-08,797.78,802.93,795.65,802.93,72931160,802.93
VNSML-INDEX,2020-09-07,802.79,809.04,797.78,797.78,91903390,797.78
VNSML-INDEX,2020-09-01,798.76,805.23,796.41,805.23,67891890,805.23
VNSML-INDEX,2020-08-31,807.78,810.69,796.55,798.76,85944180,798.76
VNSML-INDEX,2020-08-28,805.47,811.17,805.47,807.69,85391230,807.69
VNSML-INDEX,2020-08-26,793.26,799.84,789.86,797.89,80191700,797.89
VNSML-INDEX,2020-08-24,780.84,792.08,780.84,790.32,89257640,790.32
VNSML-INDEX,2020-08-21,770.93,781.65,770.93,780.84,66999290,780.84
VNSML-INDEX,2020-08-18,761.96,766.45,760.68,765.09,44081200,765.09
VNSML-INDEX,2020-08-17,759.87,761.96,752.88,761.96,57938520,761.96
VNSML-INDEX,2020-08-14,762.95,767.62,756.81,759.87,69368910,759.87
VNSML-INDEX,2020-08-12,755.31,757.67,749.35,752.03,61726480,752.03
VNSML-INDEX,2020-08-11,755.8,761.39,753.36,755.27,63945090,755.27
VNSML-INDEX,2020-08-10,747.45,758.66,747.34,755.75,73924460,755.75
VNSML-INDEX,2020-08-04,719.34,732.45,718.96,729.42,84376770,729.42
VNSML-INDEX,2020-07-31,705.12,705.12,695.03,699.93,54388780,699.93
VNSML-INDEX,2020-07-30,701.29,708.1,699.77,705.12,40544870,705.12
VNSML-INDEX,2020-07-24,762.12,762.13,726.85,732.51,97526880,732.51
VNSML-INDEX,2020-07-23,767.5,768.85,758.12,762.13,55416050,762.13
VNSML-INDEX,2020-07-21,770.45,772.99,765.93,771.88,47967540,771.88
VNSML-INDEX,2020-07-20,775.64,777.94,769.77,770.45,61878050,770.45
VNSML-INDEX,2020-07-15,768.16,775.91,768.09,772.18,70373320,772.18
VNSML-INDEX,2020-07-13,769.37,772.57,764.53,766.6,48443800,766.6
VNSML-INDEX,2020-07-08,758.58,759.98,755.59,759.72,43741920,759.72
VNSML-INDEX,2020-07-07,758.45,764.5,758.45,758.58,59491060,758.58
VNSML-INDEX,2020-07-06,754.42,760.11,754.25,758.45,45820790,758.45
VNSML-INDEX,2020-07-03,750.45,755.28,750.19,754.42,47951660,754.42
