,name,date,open,high,low,close,volume,adj_close
1184,AAA,2016-01-04,12.3,12.7,12.3,12.6,324250,7.59
1183,AAA,2016-01-05,12.4,13.6,12.4,13.5,1842018,8.13
1182,AAA,2016-01-06,13.5,13.6,13.0,13.2,249405,7.95
1181,AAA,2016-01-07,13.1,13.5,12.9,13.2,334090,7.95
1180,AAA,2016-01-08,13.0,13.1,12.7,13.1,168020,7.89
1179,AAA,2016-01-11,13.0,13.9,13.0,13.8,614427,8.31
1178,AAA,2016-01-12,13.9,14.6,13.6,14.3,916709,8.61
1177,AAA,2016-01-13,14.3,14.5,13.9,13.9,189045,8.37
1176,AAA,2016-01-14,13.7,14.9,13.7,14.5,802285,8.73
1175,AAA,2016-01-15,14.4,15.2,14.4,14.9,509115,8.97
1174,AAA,2016-01-18,14.9,14.9,14.0,14.4,626829,8.67
1173,AAA,2016-01-19,14.4,14.9,14.2,14.5,306011,8.73
1172,AAA,2016-01-20,14.5,15.1,14.3,14.7,821924,8.85
1171,AAA,2016-01-21,14.7,15.8,14.7,15.7,876915,9.46
1170,AAA,2016-01-22,15.7,15.9,15.3,15.5,397410,9.34
1169,AAA,2016-01-25,15.5,15.7,15.1,15.5,415210,9.34
1168,AAA,2016-01-26,15.4,15.4,14.0,14.0,667213,8.43
1167,AAA,2016-01-27,14.0,15.0,13.7,14.1,540042,8.49
1166,AAA,2016-01-28,14.1,14.6,14.1,14.2,180725,8.55
1165,AAA,2016-01-29,14.3,14.3,13.3,13.6,327977,8.19
1164,AAA,2016-02-01,13.6,14.2,13.6,14.2,929010,8.55
1163,AAA,2016-02-02,14.2,14.8,14.2,14.4,650180,8.67
1162,AAA,2016-02-03,14.5,14.5,14.2,14.2,498600,8.55
1161,AAA,2016-02-04,14.5,14.5,14.3,14.3,189590,8.61
1160,AAA,2016-02-05,14.2,14.4,14.2,14.2,131200,8.55
1159,AAA,2016-02-15,14.2,14.8,14.2,14.8,123428,8.91
1158,AAA,2016-02-16,14.8,15.1,14.8,14.8,510890,8.91
1157,AAA,2016-02-17,14.8,15.3,14.8,15.0,474760,9.04
1156,AAA,2016-02-18,15.0,15.2,15.0,15.1,240880,9.1
1155,AAA,2016-02-19,15.1,15.1,14.6,15.0,398570,9.04
1154,AAA,2016-02-22,14.9,15.0,14.7,14.8,173963,8.91
1153,AAA,2016-02-23,14.8,14.9,14.5,14.5,251510,8.73
1152,AAA,2016-02-24,14.5,14.7,14.4,14.6,306984,8.79
1151,AAA,2016-02-25,14.7,15.1,14.6,14.7,278800,8.85
1150,AAA,2016-02-26,14.7,14.8,14.5,14.6,147340,8.79
