,name,date,open,high,low,close,volume,adj_close
1190,ANV,2016-01-04,7.9,8.4,7.8,7.9,2960,3.11
1189,ANV,2016-01-05,8.3,8.3,7.8,8.0,2410,3.15
1188,ANV,2016-01-06,7.9,8.3,7.9,8.0,620,3.15
1187,ANV,2016-01-07,8.0,8.1,7.8,7.9,5730,3.11
1186,ANV,2016-01-08,7.9,8.2,7.8,7.8,4220,3.07
1185,ANV,2016-01-11,7.5,8.1,7.5,7.8,1360,3.07
1184,ANV,2016-01-12,7.5,8.0,7.5,7.6,630,3.0
1183,ANV,2016-01-13,7.7,7.9,7.3,7.3,2220,2.88
1182,ANV,2016-01-14,7.6,7.6,7.0,7.0,1410,2.76
1181,ANV,2016-01-15,7.4,7.4,6.8,6.8,5280,2.68
1180,ANV,2016-01-18,6.4,7.2,6.4,6.5,1120,2.56
1179,ANV,2016-01-19,6.9,6.9,6.9,6.9,1850,2.72
1178,ANV,2016-01-20,7.2,7.2,6.7,6.7,810,2.64
1177,ANV,2016-01-21,6.8,7.0,6.8,6.8,7040,2.68
1176,ANV,2016-01-22,6.9,6.9,6.5,6.8,1730,2.68
1175,ANV,2016-01-25,7.0,7.2,7.0,7.1,4620,2.8
1174,ANV,2016-01-26,7.4,7.4,7.0,7.0,700,2.76
1173,ANV,2016-01-27,7.3,7.3,7.1,7.1,4150,2.8
1172,ANV,2016-01-28,7.4,7.4,7.1,7.1,110,2.8
1171,ANV,2016-01-29,7.1,7.4,7.1,7.4,110,2.92
1170,ANV,2016-02-01,7.4,7.4,7.0,7.0,800,2.76
1169,ANV,2016-02-02,6.9,6.9,6.8,6.9,1700,2.72
1168,ANV,2016-02-03,6.9,7.2,6.7,6.8,410,2.68
1167,ANV,2016-02-04,7.2,7.2,6.5,6.5,2250,2.56
1166,ANV,2016-02-05,6.9,6.9,6.9,6.9,2320,2.72
1165,ANV,2016-02-15,6.7,6.9,6.6,6.9,12270,2.72
1164,ANV,2016-02-16,7.0,7.1,7.0,7.1,2330,2.8
1163,ANV,2016-02-17,7.2,7.4,7.2,7.4,2440,2.92
1162,ANV,2016-02-18,7.6,7.9,7.6,7.9,20810,3.11
1161,ANV,2016-02-19,7.8,8.0,7.4,8.0,12850,3.15
1160,ANV,2016-02-22,8.0,8.0,7.8,8.0,16350,3.15
1159,ANV,2016-02-23,7.8,8.0,7.8,8.0,2580,3.15
1158,ANV,2016-02-24,8.0,8.0,8.0,8.0,2000,3.15
1157,ANV,2016-02-25,7.9,7.9,7.8,7.9,2500,3.11
1156,ANV,2016-02-26,8.2,8.2,7.9,8.0,120,3.15
1155,ANV,2016-02-29,7.7,8.1,7.7,7.9,45720,3.11
