,name,date,open,high,low,close,volume,adj_close
1190,ASM,2016-01-04,17.1,17.2,16.5,17.1,1201780,12.72
1189,ASM,2016-01-05,16.8,17.4,16.8,17.0,1345450,12.65
1188,ASM,2016-01-06,16.9,18.0,16.9,18.0,1091630,13.39
1187,ASM,2016-01-07,17.9,17.9,17.4,17.6,1316800,13.09
1186,ASM,2016-01-08,17.4,17.5,16.9,16.9,1432450,12.57
1185,ASM,2016-01-11,16.7,17.4,16.1,17.3,1145130,12.87
1184,ASM,2016-01-12,17.1,17.8,17.1,17.8,1167310,13.24
1183,ASM,2016-01-13,17.7,17.8,17.0,17.2,1118440,12.79
1182,ASM,2016-01-14,16.9,17.2,16.6,17.2,1081400,12.79
1181,ASM,2016-01-15,16.8,17.5,16.8,17.1,1143170,12.72
1180,ASM,2016-01-18,17.0,17.0,16.3,16.6,1035220,12.35
1179,ASM,2016-01-19,16.2,16.8,16.2,16.6,1132820,12.35
1178,ASM,2016-01-20,16.5,16.7,16.4,16.6,1171610,12.35
1177,ASM,2016-01-21,16.4,16.7,16.2,16.2,1015470,12.05
1176,ASM,2016-01-22,16.2,16.4,15.4,16.2,1170930,12.05
1175,ASM,2016-01-25,16.2,17.0,16.0,17.0,1724390,12.65
1174,ASM,2016-01-26,17.0,17.0,16.5,16.8,946700,12.5
1173,ASM,2016-01-27,16.8,17.2,16.8,17.2,1452500,12.79
1172,ASM,2016-01-28,17.2,17.3,16.9,17.1,1002410,12.72
1171,ASM,2016-01-29,17.1,17.5,16.8,17.2,1256340,12.79
1170,ASM,2016-02-01,17.2,17.3,17.0,17.1,1560020,12.72
1169,ASM,2016-02-02,17.1,17.1,16.9,16.9,1400710,12.57
1168,ASM,2016-02-03,16.9,16.9,16.6,16.9,1215090,12.57
1167,ASM,2016-02-04,16.9,17.3,16.9,17.1,930740,12.72
1166,ASM,2016-02-05,17.1,17.7,17.0,17.6,1270220,13.09
1165,ASM,2016-02-15,17.6,17.6,17.4,17.6,1604260,13.09
1164,ASM,2016-02-16,17.6,18.0,17.5,18.0,1724620,13.39
1163,ASM,2016-02-17,18.0,18.3,17.8,17.8,1370970,13.24
1162,ASM,2016-02-18,17.8,18.0,17.7,17.9,1414040,13.32
1161,ASM,2016-02-19,17.7,17.9,17.5,17.6,1536940,13.09
1160,ASM,2016-02-22,17.4,17.8,17.2,17.8,1966740,13.24
1159,ASM,2016-02-23,17.6,18.0,17.6,17.7,1609720,13.17
1158,ASM,2016-02-24,17.6,17.8,17.5,17.8,1572220,13.24
1157,ASM,2016-02-25,17.9,17.9,17.6,17.7,1783880,13.17
