,name,date,open,high,low,close,volume,adj_close
687,AST,2018-01-04,54.0,54.0,54.0,54.0,12000,40.06
686,AST,2018-01-05,57.7,57.7,57.7,57.7,8700,42.81
685,AST,2018-01-08,61.7,61.7,61.7,61.7,150720,45.78
684,AST,2018-01-09,66.0,66.0,66.0,66.0,223230,48.97
683,AST,2018-01-10,70.6,70.6,70.6,70.6,173190,52.38
682,AST,2018-01-11,68.0,70.6,65.7,65.7,203460,48.74
681,AST,2018-01-12,69.0,69.0,65.0,66.0,234850,48.97
680,AST,2018-01-15,66.0,66.5,63.9,64.3,63550,47.71
679,AST,2018-01-16,63.1,64.1,62.4,64.1,126190,47.56
678,AST,2018-01-17,66.0,67.0,65.0,65.2,106720,48.37
677,AST,2018-01-18,65.0,65.0,61.8,64.7,118340,48.0
676,AST,2018-01-19,64.7,65.3,63.0,64.9,159450,48.15
675,AST,2018-01-22,64.9,66.5,64.9,66.2,295680,49.12
674,AST,2018-01-25,67.0,67.0,65.0,66.5,278640,49.34
673,AST,2018-01-26,66.7,66.8,66.0,66.4,163520,49.26
672,AST,2018-01-29,63.0,66.3,62.8,65.8,269020,48.82
671,AST,2018-01-30,64.0,65.8,63.5,65.1,354390,48.3
670,AST,2018-01-31,67.0,67.0,65.7,65.9,116870,48.89
669,AST,2018-02-01,66.5,68.8,66.0,68.8,471760,51.04
668,AST,2018-02-02,70.0,70.0,68.8,69.7,322370,51.71
667,AST,2018-02-05,69.3,69.3,68.2,68.6,193730,50.9
666,AST,2018-02-06,64.3,66.8,63.8,64.3,280640,47.71
665,AST,2018-02-07,66.3,66.5,65.1,66.5,252300,49.34
664,AST,2018-02-08,66.5,67.5,65.5,67.0,186020,49.71
663,AST,2018-02-09,65.0,65.8,64.0,65.6,175110,48.67
662,AST,2018-02-12,66.5,69.9,66.4,67.1,135440,49.78
661,AST,2018-02-13,69.0,69.0,67.3,67.9,122540,50.38
660,AST,2018-02-21,68.5,72.0,68.5,71.2,179470,52.83
659,AST,2018-02-22,72.0,72.0,70.0,71.3,161180,52.9
658,AST,2018-02-23,72.0,72.0,71.5,72.0,172900,53.42
657,AST,2018-02-26,72.0,73.6,71.0,72.0,145310,53.42
656,AST,2018-02-27,72.2,72.2,71.1,71.6,159690,53.12
655,AST,2018-02-28,71.6,71.6,71.2,71.6,198250,53.12
