,name,date,open,high,low,close,volume,adj_close
686,BAB,2017-12-28,0,20.0,23.0,23.0,,17.86
685,BAB,2017-12-29,0,23.0,25.0,25.0,,19.41
684,BAB,2018-01-02,0,25.0,26.0,26.0,,20.18
683,BAB,2018-01-03,0,26.0,26.0,26.0,,20.18
682,BAB,2018-01-04,0,26.0,25.5,25.5,,19.8
681,BAB,2018-01-05,0,25.5,25.5,25.5,,19.8
680,BAB,2018-01-08,0,25.5,26.5,25.2,,19.79
679,BAB,2018-01-09,0,25.5,26.0,24.0,,19.22
678,BAB,2018-01-10,0,24.8,24.5,24.5,,19.02
677,BAB,2018-01-11,0,24.5,24.5,24.5,,19.02
676,BAB,2018-01-12,0,24.5,25.0,25.0,,19.41
675,BAB,2018-01-15,0,25.0,28.7,26.6,,20.68
674,BAB,2018-01-16,0,26.6,24.5,24.5,,19.02
673,BAB,2018-01-17,0,24.5,24.5,24.5,,19.02
672,BAB,2018-01-18,0,24.5,24.5,24.5,,19.02
671,BAB,2018-01-19,0,24.5,24.5,24.5,,19.02
670,BAB,2018-01-22,0,24.5,24.5,24.5,,19.02
669,BAB,2018-01-23,0,24.5,25.0,25.0,,19.41
668,BAB,2018-01-24,0,25.0,25.3,26.4,,19.92
667,BAB,2018-01-25,0,25.7,26.5,26.9,,20.64
666,BAB,2018-01-26,0,26.6,28.0,24.8,,18.94
665,BAB,2018-01-29,0,24.4,24.4,24.7,,19.0
664,BAB,2018-01-30,0,24.5,24.1,24.0,,18.65
663,BAB,2018-01-31,0,24.0,23.8,24.6,,18.85
662,BAB,2018-02-01,0,24.3,24.7,24.7,,19.17
661,BAB,2018-02-02,0,24.7,24.1,24.1,,18.71
660,BAB,2018-02-05,0,24.1,24.2,24.4,,18.88
659,BAB,2018-02-06,0,24.3,23.0,22.5,,17.7
658,BAB,2018-02-07,0,22.8,22.8,23.3,,17.88
657,BAB,2018-02-08,0,23.0,23.0,23.0,,17.79
656,BAB,2018-02-09,0,22.9,22.5,22.9,,17.59
655,BAB,2018-02-12,0,22.7,22.7,23.0,,17.79
654,BAB,2018-02-13,0,22.9,22.6,23.1,,17.65
653,BAB,2018-02-21,0,22.7,22.7,23.0,,17.7
652,BAB,2018-02-22,0,22.8,22.5,23.1,,17.75
651,BAB,2018-02-23,0,22.9,22.6,23.1,,17.64
650,BAB,2018-02-26,0,22.7,23.1,23.2,,17.96
649,BAB,2018-02-27,0,23.1,23.0,23.2,,17.93
648,BAB,2018-02-28,0,23.1,23.2,23.3,,18.03
647,BAB,2018-03-01,0,23.2,22.8,23.5,,17.79
646,BAB,2018-03-02,0,22.9,22.9,23.0,,17.74
645,BAB,2018-03-05,0,22.8,22.8,23.0,,17.82
644,BAB,2018-03-06,0,23.0,23.0,23.1,,17.9
643,BAB,2018-03-07,0,23.1,23.0,22.8,,17.84
642,BAB,2018-03-08,0,23.0,22.9,22.8,,17.76
641,BAB,2018-03-09,0,22.9,22.8,22.9,,17.75
640,BAB,2018-03-12,0,22.9,22.8,23.0,,17.81
639,BAB,2018-03-13,0,22.9,22.8,23.0,,17.75
638,BAB,2018-03-14,0,22.9,22.9,23.0,,17.8
637,BAB,2018-03-15,0,22.9,23.0,23.1,,17.87
636,BAB,2018-03-16,0,23.0,23.0,23.0,,17.86
635,BAB,2018-03-19,0,23.0,23.1,23.1,,17.93
634,BAB,2018-03-20,0,23.1,23.1,23.1,,17.93
633,BAB,2018-03-21,0,23.1,23.1,23.1,,17.93
632,BAB,2018-03-22,0,23.1,23.1,23.1,,17.94
631,BAB,2018-03-23,0,23.1,23.1,23.1,,17.93
630,BAB,2018-03-26,0,23.1,23.1,23.2,,17.97
629,BAB,2018-03-27,0,23.2,23.1,23.3,,17.93
