,name,date,open,high,low,close,volume,adj_close
1190,BIC,2016-01-04,18.4,19.0,18.4,18.4,35880,16.66
1189,BIC,2016-01-05,18.4,18.8,18.0,18.1,22110,16.38
1188,BIC,2016-01-06,18.1,18.3,18.1,18.3,17720,16.57
1187,BIC,2016-01-07,18.3,18.3,17.8,17.8,38580,16.11
1186,BIC,2016-01-08,17.5,18.1,17.1,17.1,47650,15.48
1185,BIC,2016-01-11,18.0,18.0,17.5,17.5,20940,15.84
1184,BIC,2016-01-12,17.5,17.8,17.5,17.7,21690,16.02
1183,BIC,2016-01-13,18.1,18.4,17.7,17.8,83150,16.11
1182,BIC,2016-01-14,17.8,17.8,17.3,17.4,24450,15.75
1181,BIC,2016-01-15,17.5,17.8,16.6,16.6,44130,15.03
1180,BIC,2016-01-18,16.6,16.6,15.5,15.5,123610,14.03
1179,BIC,2016-01-19,15.5,16.5,15.5,16.5,88180,14.94
1178,BIC,2016-01-20,17.0,17.0,16.1,16.1,32720,14.57
1177,BIC,2016-01-21,16.0,16.3,15.5,15.5,41020,14.03
1176,BIC,2016-01-22,15.5,15.6,14.5,14.6,176290,13.22
1175,BIC,2016-01-25,14.6,15.6,14.6,15.6,63230,14.12
1174,BIC,2016-01-26,15.6,16.4,15.3,15.5,90750,14.03
1173,BIC,2016-01-27,15.5,16.0,15.5,15.9,71800,14.39
1172,BIC,2016-01-28,16.0,16.0,15.7,15.8,63350,14.3
1171,BIC,2016-01-29,15.8,15.9,15.6,15.7,36520,14.21
1170,BIC,2016-02-01,15.8,15.9,15.2,15.2,38390,13.76
1169,BIC,2016-02-02,15.3,15.6,15.2,15.6,26430,14.12
1168,BIC,2016-02-03,15.4,15.7,15.0,15.7,20890,14.21
1167,BIC,2016-02-04,15.7,15.8,15.7,15.7,16570,14.21
1166,BIC,2016-02-05,15.7,15.7,15.6,15.6,17370,14.12
1165,BIC,2016-02-15,15.6,15.6,15.0,15.5,11330,14.03
1164,BIC,2016-02-16,15.5,16.0,15.5,15.8,53590,14.3
1163,BIC,2016-02-17,16.0,16.0,15.8,15.8,22660,14.3
1162,BIC,2016-02-18,16.9,16.9,16.9,16.9,42530,15.3
1161,BIC,2016-02-19,18.0,18.0,18.0,18.0,42370,16.29
1160,BIC,2016-02-22,19.2,19.2,19.2,19.2,82020,17.38
1159,BIC,2016-02-23,20.5,20.5,19.6,20.5,760540,18.56
1158,BIC,2016-02-24,21.4,21.9,20.7,21.9,246250,19.82
1157,BIC,2016-02-25,23.2,23.4,21.5,21.5,323680,19.46
1156,BIC,2016-02-26,21.0,22.0,20.6,22.0,281200,19.92
1155,BIC,2016-02-29,22.0,22.0,21.5,21.5,180920,19.46
1154,BIC,2016-03-01,21.3,21.9,20.5,20.5,135250,18.56
1153,BIC,2016-03-02,20.4,21.9,20.0,21.8,572450,19.73
1152,BIC,2016-03-03,21.4,22.5,21.3,21.4,180940,19.37
1151,BIC,2016-03-04,21.6,22.2,21.4,21.9,221840,19.82
1150,BIC,2016-03-07,21.9,22.1,21.0,21.0,232660,19.01
1149,BIC,2016-03-08,21.0,21.4,21.0,21.0,124630,19.01
1148,BIC,2016-03-09,21.0,21.0,20.5,20.5,77290,18.56
1147,BIC,2016-03-10,20.5,21.0,20.5,21.0,77400,19.01
1146,BIC,2016-03-11,21.0,21.3,20.6,20.6,75100,18.65
1145,BIC,2016-03-14,20.7,21.3,20.5,20.5,71700,18.56
1144,BIC,2016-03-15,20.4,20.5,19.5,20.0,116800,18.1
1143,BIC,2016-03-16,19.9,20.8,19.8,20.2,106020,18.29
1142,BIC,2016-03-17,20.3,20.8,20.2,20.3,96150,18.38
1141,BIC,2016-03-18,20.6,20.6,20.3,20.3,45340,18.38
1140,BIC,2016-03-21,19.9,20.4,19.9,20.3,41470,18.38
1139,BIC,2016-03-22,20.1,20.3,20.0,20.0,91090,18.1
1138,BIC,2016-03-23,19.6,20.2,19.4,19.5,95790,17.65
1137,BIC,2016-03-24,19.4,20.2,19.4,19.8,98350,17.92
1136,BIC,2016-03-25,20.0,21.1,20.0,21.1,474130,19.1
1135,BIC,2016-03-28,21.6,21.9,21.4,21.5,100170,19.46
1134,BIC,2016-03-29,21.5,22.3,21.5,22.1,237310,20.01
1133,BIC,2016-03-30,21.0,21.9,21.0,21.7,101750,19.64
1132,BIC,2016-03-31,21.7,21.7,20.5,20.6,182370,18.65
1131,BIC,2016-04-01,20.5,20.7,20.0,20.0,92680,18.1
1130,BIC,2016-04-04,19.8,19.9,19.5,19.5,73970,17.65
1129,BIC,2016-04-05,19.9,20.3,19.5,20.3,44820,18.38
1128,BIC,2016-04-06,20.7,21.0,19.8,21.0,65500,19.01
1127,BIC,2016-04-07,21.1,21.3,20.0,21.3,58650,19.28
1126,BIC,2016-04-08,21.2,21.6,20.9,21.4,69590,19.37
1125,BIC,2016-04-11,21.5,21.5,21.0,21.2,84360,19.19
1124,BIC,2016-04-12,21.4,21.4,20.6,21.2,38490,19.19
1123,BIC,2016-04-13,20.6,21.2,20.5,20.6,42350,18.65
1122,BIC,2016-04-14,20.6,21.0,20.5,20.7,33940,18.74
1121,BIC,2016-04-15,21.0,21.0,20.6,20.6,13690,18.65
1120,BIC,2016-04-19,20.5,20.8,20.0,20.8,19820,18.83
1119,BIC,2016-04-20,20.2,21.0,20.2,20.2,38330,18.29
1118,BIC,2016-04-21,20.5,20.9,20.2,20.3,33370,18.38
1117,BIC,2016-04-22,20.2,20.9,20.2,20.8,15330,18.83
1116,BIC,2016-04-25,21.0,21.5,20.1,20.9,40540,18.92
1115,BIC,2016-04-26,21.0,21.1,20.5,20.9,69790,18.92
1114,BIC,2016-04-27,21.0,21.8,20.9,21.2,77200,19.19
1113,BIC,2016-04-28,21.3,21.7,21.0,21.6,122220,19.55
1112,BIC,2016-04-29,21.7,23.1,21.7,23.1,636150,20.91
1111,BIC,2016-05-04,23.7,24.0,23.6,24.0,168400,21.73
1110,BIC,2016-05-05,24.5,24.5,23.1,23.4,85870,21.18
1109,BIC,2016-05-06,22.8,23.7,22.3,22.5,179020,20.37
1108,BIC,2016-05-09,21.8,22.7,21.5,21.7,118560,19.64
1107,BIC,2016-05-10,21.5,22.7,21.4,22.5,106880,20.37
1106,BIC,2016-05-11,22.5,23.3,22.5,23.0,87490,20.82
1105,BIC,2016-05-12,22.9,23.1,22.1,22.1,104500,20.01
1104,BIC,2016-05-13,22.1,22.1,21.5,21.6,85770,20.1
1103,BIC,2016-05-16,21.6,22.0,21.0,21.7,50050,20.19
1102,BIC,2016-05-17,21.6,22.3,21.6,21.8,78970,20.28
1101,BIC,2016-05-18,22.0,22.4,21.7,21.9,45350,20.38
1100,BIC,2016-05-19,21.9,22.0,21.6,21.7,9370,20.19
1099,BIC,2016-05-20,22.0,22.0,21.2,21.4,53650,19.91
1098,BIC,2016-05-23,21.8,21.9,21.2,21.7,31270,20.19
1097,BIC,2016-05-24,21.3,21.7,21.3,21.6,29130,20.1
1096,BIC,2016-05-25,21.5,21.9,21.4,21.4,33440,19.91
1095,BIC,2016-05-26,21.4,21.4,20.6,20.9,70810,19.45
