,name,date,open,high,low,close,volume,adj_close
1190,BMI,2016-01-04,25.6,25.7,25.1,25.6,71850,18.66
1189,BMI,2016-01-05,25.4,25.8,25.3,25.6,67400,18.66
1188,BMI,2016-01-06,25.6,25.7,25.2,25.4,38110,18.52
1187,BMI,2016-01-07,25.6,25.6,24.6,24.6,50820,17.93
1186,BMI,2016-01-08,24.4,24.6,24.0,24.0,95700,17.5
1185,BMI,2016-01-11,23.4,24.0,23.4,23.5,56360,17.13
1184,BMI,2016-01-12,23.5,24.8,23.5,24.4,28250,17.79
1183,BMI,2016-01-13,25.0,25.0,23.9,24.7,14970,18.01
1182,BMI,2016-01-14,24.3,24.5,23.8,24.4,66220,17.79
1181,BMI,2016-01-15,24.4,24.4,23.5,23.7,72770,17.28
1180,BMI,2016-01-18,23.5,25.2,22.6,24.0,254120,17.5
1179,BMI,2016-01-19,24.0,24.0,23.7,23.7,63390,17.28
1178,BMI,2016-01-20,23.5,24.0,23.3,23.6,108170,17.2
1177,BMI,2016-01-21,23.4,23.6,22.9,23.4,136850,17.06
1176,BMI,2016-01-22,23.0,24.0,23.0,24.0,32460,17.5
1175,BMI,2016-01-25,24.0,25.2,24.0,25.1,64880,18.3
1174,BMI,2016-01-26,25.1,25.1,24.0,24.9,63300,18.15
1173,BMI,2016-01-27,24.9,24.9,24.3,24.8,12380,18.08
1172,BMI,2016-01-28,24.2,24.5,23.1,24.0,15790,17.5
1171,BMI,2016-01-29,24.0,24.5,23.7,24.5,52590,17.86
1170,BMI,2016-02-01,24.3,24.3,24.0,24.0,20060,17.5
1169,BMI,2016-02-02,24.0,24.0,23.5,24.0,19210,17.5
1168,BMI,2016-02-03,23.8,23.9,23.8,23.9,9110,17.42
1167,BMI,2016-02-04,23.9,24.1,23.5,24.1,25560,17.57
1166,BMI,2016-02-05,24.0,25.2,23.5,24.1,30010,17.57
1165,BMI,2016-02-15,23.9,24.4,23.9,24.4,1040,17.79
1164,BMI,2016-02-16,24.0,24.7,24.0,24.7,26450,18.01
1163,BMI,2016-02-17,24.8,24.8,24.2,24.8,18590,18.08
1162,BMI,2016-02-18,24.8,25.5,24.8,25.1,114930,18.3
1161,BMI,2016-02-19,25.2,25.7,25.2,25.7,102880,18.74
1160,BMI,2016-02-22,26.0,26.0,25.6,25.7,50780,18.74
1159,BMI,2016-02-23,25.7,25.8,24.4,24.4,86440,17.79
1158,BMI,2016-02-24,24.2,25.2,24.2,25.1,69310,18.3
1157,BMI,2016-02-25,25.1,25.4,25.0,25.0,90430,18.22
1156,BMI,2016-02-26,25.0,25.2,24.8,25.2,14840,18.37
1155,BMI,2016-02-29,24.8,24.9,24.4,24.4,31360,17.79
1154,BMI,2016-03-01,24.6,25.2,24.4,24.9,38870,18.15
1153,BMI,2016-03-02,25.2,26.3,24.7,26.0,213000,18.95
1152,BMI,2016-03-03,25.5,26.2,25.0,25.5,146790,18.59
1151,BMI,2016-03-04,25.5,27.0,25.5,26.2,313800,19.1
1150,BMI,2016-03-07,26.2,26.3,25.8,25.8,164160,18.81
1149,BMI,2016-03-08,25.3,26.0,25.3,26.0,123430,18.95
1148,BMI,2016-03-09,26.0,26.0,25.2,25.2,102160,18.37
1147,BMI,2016-03-10,25.6,25.9,25.3,25.9,85740,18.88
1146,BMI,2016-03-11,25.8,26.0,25.8,26.0,149260,18.95
1145,BMI,2016-03-14,26.0,26.2,26.0,26.0,184000,18.95
1144,BMI,2016-03-15,26.2,26.2,25.4,25.4,152260,18.52
1143,BMI,2016-03-16,25.5,25.8,25.5,25.7,37210,18.74
1142,BMI,2016-03-17,25.4,26.0,25.4,25.4,85260,18.52
1141,BMI,2016-03-18,25.4,25.8,25.0,25.5,104530,18.59
1140,BMI,2016-03-21,25.4,25.8,25.2,25.5,53820,18.59
1139,BMI,2016-03-22,25.5,25.5,24.8,25.2,67510,18.37
1138,BMI,2016-03-23,24.8,25.3,24.8,25.2,28300,18.37
1137,BMI,2016-03-24,25.2,25.4,24.7,24.9,42570,18.15
1136,BMI,2016-03-25,25.0,25.3,24.9,25.1,26630,18.3
1135,BMI,2016-03-28,24.6,25.1,24.6,24.8,135280,18.08
1134,BMI,2016-03-29,25.3,25.3,24.5,24.7,61130,18.01
1133,BMI,2016-03-30,24.5,24.7,24.4,24.7,46670,18.01
1132,BMI,2016-03-31,24.7,24.7,24.3,24.5,43380,17.86
1131,BMI,2016-04-01,24.1,24.4,23.9,24.4,12530,17.79
1130,BMI,2016-04-04,24.5,24.5,23.6,24.3,18920,17.71
1129,BMI,2016-04-05,24.3,24.3,23.8,24.3,4810,17.71
1128,BMI,2016-04-06,24.0,25.4,23.8,25.4,87510,18.52
1127,BMI,2016-04-07,25.3,25.3,24.6,25.2,42070,18.37
1126,BMI,2016-04-08,24.9,25.0,24.9,25.0,36500,18.22
1125,BMI,2016-04-11,24.9,25.3,24.9,25.2,167950,18.37
1124,BMI,2016-04-12,25.3,25.3,24.4,25.0,34730,18.22
1123,BMI,2016-04-13,25.0,25.3,24.8,25.0,49120,18.22
1122,BMI,2016-04-14,24.9,25.0,24.6,24.8,57260,18.08
1121,BMI,2016-04-15,25.0,25.0,24.8,24.8,13520,18.08
1120,BMI,2016-04-19,24.7,24.8,24.1,24.1,7950,17.57
1119,BMI,2016-04-20,24.5,24.5,23.7,23.8,30420,17.35
1118,BMI,2016-04-21,24.0,24.0,22.4,24.0,36420,17.5
1117,BMI,2016-04-22,24.3,24.4,24.0,24.0,24070,17.5
1116,BMI,2016-04-25,23.8,24.9,22.4,24.5,9610,17.86
1115,BMI,2016-04-26,24.3,24.6,24.2,24.5,18860,17.86
1114,BMI,2016-04-27,24.9,24.9,23.8,24.5,20740,17.86
1113,BMI,2016-04-28,24.1,24.4,23.8,24.3,51740,17.71
1112,BMI,2016-04-29,24.3,26.0,24.3,24.9,102190,18.15
1111,BMI,2016-05-04,25.0,25.3,24.5,25.1,53190,18.3
1110,BMI,2016-05-05,25.1,25.2,24.8,24.8,15780,18.08
1109,BMI,2016-05-06,24.8,24.8,24.1,24.1,40900,17.57
1108,BMI,2016-05-09,24.3,24.7,24.0,24.2,16690,17.64
1107,BMI,2016-05-10,24.1,24.5,23.9,24.0,41330,17.5
1106,BMI,2016-05-11,24.0,24.4,23.9,24.4,55050,17.79
1105,BMI,2016-05-12,24.1,24.3,24.0,24.3,10320,17.71
1104,BMI,2016-05-13,23.8,24.1,23.7,23.8,41670,17.35
1103,BMI,2016-05-16,23.8,23.8,23.5,23.5,24940,17.13
1102,BMI,2016-05-17,23.6,24.2,23.3,24.0,73650,17.5
1101,BMI,2016-05-18,24.3,24.7,23.9,24.1,33950,17.57
1100,BMI,2016-05-19,24.1,24.5,24.1,24.3,15890,17.71
1099,BMI,2016-05-20,23.9,25.0,23.9,24.8,31570,18.08
1098,BMI,2016-05-23,25.0,25.0,24.5,24.6,10890,17.93
1097,BMI,2016-05-24,24.7,24.7,24.4,24.6,25240,17.93
1096,BMI,2016-05-25,24.6,24.6,24.2,24.2,4900,17.64
1095,BMI,2016-05-26,24.5,24.5,24.1,24.4,23300,17.79
1094,BMI,2016-05-27,24.2,24.5,24.2,24.4,9580,17.79
1093,BMI,2016-05-30,24.4,24.4,24.1,24.4,37790,17.79
1092,BMI,2016-05-31,24.1,24.2,23.7,24.2,11580,18.4
1091,BMI,2016-06-01,24.2,24.2,23.7,24.0,26970,18.24
1090,BMI,2016-06-02,24.0,24.0,23.3,23.7,10620,18.02
1089,BMI,2016-06-03,23.3,23.6,23.3,23.6,4100,17.94
1088,BMI,2016-06-06,23.5,23.8,23.5,23.5,25550,17.86
1087,BMI,2016-06-07,23.6,25.0,23.6,24.5,468580,18.62
1086,BMI,2016-06-08,24.5,25.0,24.5,24.6,92410,18.7
1085,BMI,2016-06-09,25.0,25.0,24.6,24.8,40390,18.85
1084,BMI,2016-06-10,24.5,24.5,24.1,24.1,90330,18.32
1083,BMI,2016-06-13,24.0,25.3,23.8,24.8,184440,18.85
1082,BMI,2016-06-14,24.8,25.0,24.5,24.5,60890,18.62
1081,BMI,2016-06-15,24.5,24.6,24.3,24.5,29010,18.62
1080,BMI,2016-06-16,24.5,24.5,24.0,24.2,77840,18.4
1079,BMI,2016-06-17,24.2,24.2,23.7,23.8,69530,18.09
