,name,date,open,high,low,close,volume,adj_close
805,BWE,2017-07-20,17.15,17.15,17.15,17.15,2000,15.55
804,BWE,2017-07-21,18.35,18.35,18.35,18.35,10010,16.64
803,BWE,2017-07-24,19.6,19.6,19.6,19.6,10,17.77
802,BWE,2017-07-25,20.95,20.95,20.95,20.95,10,18.99
801,BWE,2017-07-26,22.4,22.4,22.4,22.4,6020,20.31
800,BWE,2017-07-27,23.95,23.95,22.7,23.95,1078970,21.71
799,BWE,2017-07-28,25.6,25.6,25.3,25.6,360000,23.21
798,BWE,2017-07-31,27.35,27.35,27.35,27.35,220000,24.8
797,BWE,2017-08-01,29.25,29.25,29.25,29.25,551530,26.52
796,BWE,2017-08-02,31.25,31.25,28.0,29.0,703050,26.29
795,BWE,2017-08-03,29.0,29.0,27.0,27.0,353980,24.48
794,BWE,2017-08-04,28.0,28.85,27.0,28.8,194320,26.11
793,BWE,2017-08-07,29.9,29.9,28.2,28.8,124720,26.11
792,BWE,2017-08-08,28.0,28.2,27.1,27.1,245060,24.57
791,BWE,2017-08-09,27.0,27.7,25.25,27.7,675340,25.11
790,BWE,2017-08-10,27.7,27.7,25.9,26.1,86550,23.66
789,BWE,2017-08-11,25.0,27.0,25.0,27.0,152900,24.48
788,BWE,2017-08-14,27.0,27.25,25.6,26.45,161420,23.98
787,BWE,2017-08-15,26.1,26.1,24.6,25.2,391180,22.85
786,BWE,2017-08-16,25.8,25.8,25.1,25.5,106700,23.12
785,BWE,2017-08-17,25.5,25.7,25.3,25.3,80110,22.94
784,BWE,2017-08-18,25.3,25.3,24.8,25.0,67000,22.67
783,BWE,2017-08-21,24.95,25.75,24.9,25.7,135980,23.3
782,BWE,2017-08-22,25.7,25.7,25.15,25.4,16960,23.03
781,BWE,2017-08-23,25.0,25.4,25.0,25.2,38920,22.85
780,BWE,2017-08-24,25.2,25.2,24.9,25.0,22810,22.67
779,BWE,2017-08-25,25.0,25.6,25.0,25.4,158370,23.03
778,BWE,2017-08-28,25.1,25.85,24.9,25.8,161300,23.39
777,BWE,2017-08-29,26.0,26.0,25.3,25.8,62230,23.39
776,BWE,2017-08-30,25.7,25.7,25.0,25.3,114910,22.94
775,BWE,2017-08-31,25.15,25.55,24.7,25.0,225550,22.67
774,BWE,2017-09-01,25.0,25.55,24.9,25.5,161080,23.12
773,BWE,2017-09-05,25.95,25.95,25.2,25.5,126890,23.12
772,BWE,2017-09-06,25.05,25.3,25.0,25.1,521380,22.76
771,BWE,2017-09-07,25.2,25.3,25.0,25.3,172410,22.94
770,BWE,2017-09-08,25.4,26.4,25.35,25.9,253780,23.48
769,BWE,2017-09-11,26.5,26.9,25.5,26.0,320470,23.57
768,BWE,2017-09-12,25.35,26.3,25.35,26.0,482780,23.57
767,BWE,2017-09-13,26.75,27.0,25.7,26.5,585880,24.03
766,BWE,2017-09-14,27.2,28.0,26.8,27.1,607710,24.57
765,BWE,2017-09-15,27.5,27.75,26.85,26.85,696120,24.34
764,BWE,2017-09-18,26.85,27.05,26.3,26.5,475760,24.03
763,BWE,2017-09-19,26.3,26.5,25.9,26.0,1038800,23.57
762,BWE,2017-09-20,26.0,26.0,25.2,25.2,1205870,22.85
761,BWE,2017-09-21,25.2,25.6,25.2,25.5,1105750,23.12
760,BWE,2017-09-22,26.2,27.25,26.2,27.25,969900,24.71
759,BWE,2017-09-25,28.0,28.4,27.2,27.4,268030,24.84
758,BWE,2017-09-26,27.4,27.4,26.65,27.0,347490,24.48
757,BWE,2017-09-27,27.0,27.25,26.8,27.1,212930,24.57
756,BWE,2017-09-28,27.3,27.3,26.95,27.0,399530,24.48
755,BWE,2017-09-29,27.2,27.25,26.4,26.9,146050,24.39
754,BWE,2017-10-02,27.1,27.1,26.3,26.5,176220,24.03
753,BWE,2017-10-03,26.5,26.5,25.85,26.0,227080,23.57
752,BWE,2017-10-04,26.3,26.4,26.0,26.15,56960,23.71
751,BWE,2017-10-05,26.9,26.9,26.1,26.1,136710,23.66
750,BWE,2017-10-06,25.9,26.25,25.8,25.95,134870,23.53
749,BWE,2017-10-09,26.5,26.5,25.7,25.95,102920,23.53
748,BWE,2017-10-10,26.0,26.0,25.7,25.95,141910,23.53
747,BWE,2017-10-11,25.7,25.95,25.7,25.95,107260,23.53
746,BWE,2017-10-12,25.95,27.0,25.8,27.0,245820,24.48
745,BWE,2017-10-13,27.0,27.5,26.6,27.25,347950,24.71
744,BWE,2017-10-16,27.0,27.3,27.0,27.15,318450,24.62
743,BWE,2017-10-17,27.15,27.15,26.65,26.65,218340,24.16
742,BWE,2017-10-18,26.65,27.0,26.5,26.5,81190,24.03
741,BWE,2017-10-19,26.1,26.8,26.05,26.6,125880,24.12
740,BWE,2017-10-20,26.65,26.85,26.3,26.3,184910,23.84
739,BWE,2017-10-23,25.4,26.0,25.4,25.4,816130,23.03
738,BWE,2017-10-24,25.2,25.6,24.5,25.1,634590,22.76
737,BWE,2017-10-25,25.5,26.7,25.5,26.1,909870,23.66
736,BWE,2017-10-26,26.3,26.35,26.0,26.0,496990,23.57
735,BWE,2017-10-27,26.0,26.1,25.6,25.6,305970,23.21
734,BWE,2017-10-30,25.6,25.6,25.3,25.6,218990,23.21
733,BWE,2017-10-31,25.4,25.6,25.2,25.3,143460,22.94
732,BWE,2017-11-01,25.5,25.7,25.35,25.55,142450,23.16
731,BWE,2017-11-02,25.6,25.6,23.8,25.0,308420,22.67
730,BWE,2017-11-03,25.0,25.2,24.7,25.0,278550,22.67
729,BWE,2017-11-06,25.0,25.2,25.0,25.0,62350,22.67
728,BWE,2017-11-07,25.0,25.6,25.0,25.5,122000,23.12
727,BWE,2017-11-08,25.4,25.4,25.0,25.05,248710,22.71
726,BWE,2017-11-09,25.1,25.35,25.0,25.3,90240,22.94
725,BWE,2017-11-10,25.35,25.35,25.0,25.05,270440,22.71
724,BWE,2017-11-13,24.95,25.05,24.5,24.5,163100,22.21
723,BWE,2017-11-14,24.5,25.3,24.1,24.55,562720,22.26
722,BWE,2017-11-15,24.8,25.0,24.65,24.8,400170,22.48
721,BWE,2017-11-16,24.7,25.6,24.7,25.45,254430,23.07
720,BWE,2017-11-17,25.45,25.55,25.05,25.05,266190,22.71
719,BWE,2017-11-20,24.8,25.2,24.65,24.65,158930,22.57
718,BWE,2017-11-21,24.95,25.0,24.45,24.5,98690,22.44
717,BWE,2017-11-22,24.5,25.0,24.5,24.8,208710,22.71
716,BWE,2017-11-23,25.3,25.3,24.6,25.0,216190,22.9
715,BWE,2017-11-24,25.0,25.0,24.6,24.7,133290,22.62
714,BWE,2017-11-27,24.7,24.8,24.4,24.5,89850,22.44
713,BWE,2017-11-28,24.6,24.9,23.9,24.5,324720,22.44
712,BWE,2017-11-29,24.5,24.5,22.8,22.85,587020,20.93
711,BWE,2017-11-30,23.35,23.35,22.65,23.05,159140,21.11
710,BWE,2017-12-01,23.05,23.85,22.9,23.8,239280,21.8
709,BWE,2017-12-04,23.8,24.15,23.2,23.8,340630,21.8
708,BWE,2017-12-05,23.8,23.8,23.4,23.7,121990,21.7
707,BWE,2017-12-06,23.8,23.8,23.25,23.4,144070,21.43
706,BWE,2017-12-07,23.5,23.65,23.05,23.4,93600,21.43
705,BWE,2017-12-08,23.4,23.4,22.85,23.0,464320,21.06
704,BWE,2017-12-11,23.0,23.0,22.8,22.8,191290,20.88
703,BWE,2017-12-12,22.8,22.8,21.65,22.0,140320,20.15
702,BWE,2017-12-13,21.6,22.0,21.5,22.0,266020,20.15
701,BWE,2017-12-14,22.0,22.1,21.0,21.0,363340,19.23
700,BWE,2017-12-15,21.0,22.45,21.0,22.45,494780,20.56
699,BWE,2017-12-18,23.0,23.0,22.5,23.0,188120,21.06
698,BWE,2017-12-19,22.9,22.9,22.5,22.5,124010,20.61
697,BWE,2017-12-20,22.75,22.85,22.4,22.75,114030,20.83
696,BWE,2017-12-21,22.75,22.9,22.35,22.9,97660,20.97
695,BWE,2017-12-22,22.5,22.8,22.5,22.8,156870,20.88
694,BWE,2017-12-25,22.8,23.15,22.6,22.75,182590,20.83
693,BWE,2017-12-26,22.5,22.75,22.4,22.7,153420,20.79
692,BWE,2017-12-27,22.5,22.7,22.2,22.6,113030,20.7
691,BWE,2017-12-28,22.85,22.85,22.45,22.7,175190,20.79
690,BWE,2017-12-29,22.2,22.7,22.2,22.7,117160,20.79
689,BWE,2018-01-02,23.8,23.8,22.6,23.2,433820,21.25
688,BWE,2018-01-03,23.4,24.75,22.7,24.75,306380,22.67
687,BWE,2018-01-04,24.9,25.6,24.9,25.5,446070,23.35
686,BWE,2018-01-05,25.5,25.6,24.9,25.2,140980,23.08
685,BWE,2018-01-08,25.2,25.2,24.55,25.1,172230,22.99
684,BWE,2018-01-09,24.9,26.7,24.9,26.7,893460,24.45
683,BWE,2018-01-10,26.8,26.9,26.1,26.5,459990,24.27
682,BWE,2018-01-11,26.5,26.6,25.8,26.5,332540,24.27
681,BWE,2018-01-12,26.1,26.75,25.9,26.6,385660,24.36
680,BWE,2018-01-15,27.0,27.0,26.2,26.6,122590,24.36
679,BWE,2018-01-16,26.6,26.6,26.1,26.5,152260,24.27
678,BWE,2018-01-17,26.3,27.3,26.1,26.6,890000,24.36
677,BWE,2018-01-18,26.6,27.15,26.6,27.15,422930,24.86
676,BWE,2018-01-19,27.15,27.3,26.85,27.3,362190,25.0
675,BWE,2018-01-22,27.3,27.3,26.2,26.4,406590,24.18
674,BWE,2018-01-25,26.35,26.35,25.7,26.2,324870,23.99
