,name,date,open,high,low,close,volume,adj_close
1190,CII,2016-01-04,22.8,22.9,21.7,22.8,5390820,21.4
1189,CII,2016-01-05,22.7,23.0,22.5,22.5,1196460,21.12
1188,CII,2016-01-06,22.4,23.2,22.4,23.1,2050830,21.68
1187,CII,2016-01-07,23.0,23.0,22.3,22.4,1612220,21.02
1186,CII,2016-01-08,22.3,22.4,21.9,22.4,1369980,21.02
1185,CII,2016-01-11,22.5,22.5,22.1,22.4,543860,21.02
1184,CII,2016-01-12,22.4,22.6,22.4,22.6,538170,21.21
1183,CII,2016-01-13,22.8,23.0,22.4,22.4,658220,21.02
1182,CII,2016-01-14,22.2,22.2,21.7,22.2,1878570,20.84
1181,CII,2016-01-15,22.0,22.4,22.0,22.3,1432290,20.93
1180,CII,2016-01-18,22.0,22.2,21.3,22.0,1491430,20.65
1179,CII,2016-01-19,21.7,22.2,21.7,22.2,729290,20.84
1178,CII,2016-01-20,22.0,22.3,21.8,21.9,623140,20.55
1177,CII,2016-01-21,21.7,22.2,21.7,21.8,1806180,20.46
1176,CII,2016-01-22,22.1,22.3,21.7,21.9,3194570,20.55
1175,CII,2016-01-25,22.0,22.7,22.0,22.7,2179020,21.31
1174,CII,2016-01-26,22.5,22.6,22.0,22.2,1043420,20.84
1173,CII,2016-01-27,22.4,22.5,22.2,22.4,950060,21.02
1172,CII,2016-01-28,22.3,22.4,22.2,22.2,535660,20.84
1171,CII,2016-01-29,22.2,22.5,22.2,22.4,1027150,21.02
1170,CII,2016-02-01,22.3,22.8,22.3,22.5,1546360,21.12
1169,CII,2016-02-02,22.4,22.6,22.4,22.5,466800,21.12
1168,CII,2016-02-03,22.3,22.5,22.2,22.3,554130,20.93
1167,CII,2016-02-04,22.3,22.6,22.3,22.6,864470,21.21
1166,CII,2016-02-05,22.4,22.6,22.4,22.5,294480,21.12
1165,CII,2016-02-15,22.2,22.7,22.2,22.7,527310,21.31
1164,CII,2016-02-16,22.8,22.9,22.6,22.8,603890,21.4
1163,CII,2016-02-17,22.6,22.7,22.5,22.6,559510,21.21
1162,CII,2016-02-18,22.7,22.8,22.6,22.6,603220,21.21
1161,CII,2016-02-19,22.7,22.8,22.5,22.5,1182000,21.12
1160,CII,2016-02-22,22.6,22.8,22.4,22.7,3347390,21.31
1159,CII,2016-02-23,22.7,22.8,22.4,22.5,2060810,21.12
1158,CII,2016-02-24,22.4,22.6,22.4,22.5,1257690,21.12
1157,CII,2016-02-25,22.6,22.6,22.2,22.3,891570,20.93
1156,CII,2016-02-26,22.2,22.4,22.2,22.4,952430,21.02
1155,CII,2016-02-29,22.4,23.5,22.2,23.4,3776170,21.96
