,name,date,open,high,low,close,volume,adj_close
1190,CMG,2016-01-04,14.6,14.6,14.0,14.6,12990,11.31
1189,CMG,2016-01-05,14.3,14.3,14.0,14.0,17240,10.85
1188,CMG,2016-01-06,14.0,14.3,13.9,14.3,27330,11.08
1187,CMG,2016-01-07,14.0,14.0,13.8,13.8,14100,10.69
1186,CMG,2016-01-08,13.8,13.8,13.4,13.8,7370,10.69
1185,CMG,2016-01-11,13.6,13.9,13.6,13.9,5590,10.77
1184,CMG,2016-01-12,13.8,14.0,13.8,14.0,12940,10.85
1183,CMG,2016-01-13,14.3,14.3,13.8,13.8,16580,10.69
1182,CMG,2016-01-14,13.8,13.8,13.6,13.8,3560,10.69
1181,CMG,2016-01-15,13.8,13.8,13.7,13.7,13210,10.61
1180,CMG,2016-01-18,13.3,13.5,12.8,13.5,21010,10.46
1179,CMG,2016-01-19,13.4,13.5,13.4,13.5,1160,10.46
1178,CMG,2016-01-20,13.3,13.4,13.1,13.1,39490,10.15
1177,CMG,2016-01-21,13.7,13.7,12.9,13.2,17970,10.23
1176,CMG,2016-01-22,13.0,13.2,13.0,13.1,10620,10.15
1175,CMG,2016-01-25,13.5,13.6,13.4,13.6,79460,10.54
1174,CMG,2016-01-26,13.6,13.9,13.5,13.9,38650,10.77
1173,CMG,2016-01-27,13.9,14.1,13.9,13.9,90190,10.77
1172,CMG,2016-01-28,14.0,14.3,13.8,14.0,47130,10.85
1171,CMG,2016-01-29,13.8,14.2,13.8,14.2,5210,11.0
1170,CMG,2016-02-01,14.2,14.2,14.2,14.2,0,11.0
1169,CMG,2016-02-02,14.2,14.2,14.0,14.0,77490,10.85
1168,CMG,2016-02-03,14.0,14.1,14.0,14.1,27870,10.92
1167,CMG,2016-02-04,14.1,14.1,14.1,14.1,44620,10.92
1166,CMG,2016-02-05,14.0,14.5,14.0,14.5,192650,11.23
1165,CMG,2016-02-15,14.4,14.4,14.2,14.3,2170,11.08
1164,CMG,2016-02-16,14.3,15.3,14.3,15.3,324010,11.85
1163,CMG,2016-02-17,15.6,15.8,15.5,15.7,130860,12.16
1162,CMG,2016-02-18,16.2,16.2,15.5,15.5,64080,12.01
1161,CMG,2016-02-19,15.5,15.9,15.3,15.3,230360,11.85
