name,date,open,high,low,close,volume,adj_close
CTG,2020-08-10,27.2,27.4,26.8,27.15,6514330,27.15
CTG,2020-07-10,27.1,27.75,27.0,27.0,8357770,27.0
CTG,2020-06-10,27.6,27.65,27.2,27.2,5909080,27.2
CTG,2020-05-10,27.5,27.65,27.25,27.5,5939210,27.5
CTG,2020-02-10,27.1,27.4,26.3,26.95,13241830,26.95
CTG,2020-01-10,26.85,27.0,26.55,26.6,5391110,26.6
CTG,2020-09-30,26.6,26.75,26.25,26.55,4764680,26.55
CTG,2020-09-29,27.4,27.4,26.6,26.6,5950290,26.6
CTG,2020-09-28,26.4,27.45,26.4,27.15,12014920,27.15
CTG,2020-09-25,26.1,26.2,25.7,26.2,4630970,26.2
CTG,2020-09-24,26.2,26.3,25.85,26.0,3582600,26.0
CTG,2020-09-23,25.95,26.6,25.9,26.25,6418220,26.25
CTG,2020-09-22,25.6,25.85,25.5,25.8,4239110,25.8
CTG,2020-09-21,26.0,26.15,25.6,25.75,5072680,25.75
CTG,2020-09-18,25.5,25.85,25.4,25.8,4213030,25.8
CTG,2020-09-17,25.3,25.65,25.25,25.3,3996280,25.3
CTG,2020-09-16,25.45,25.45,25.15,25.2,3970480,25.2
CTG,2020-09-15,25.65,25.75,25.4,25.4,3265100,25.4
CTG,2020-09-14,26.0,26.0,25.55,25.6,2823060,25.6
CTG,2020-11-09,25.15,25.7,25.15,25.6,3472470,25.6
CTG,2020-03-09,26.35,26.6,25.85,25.95,8343610,25.95
CTG,2020-01-09,25.7,26.15,25.6,26.15,4773840,26.15
CTG,2020-08-31,25.7,26.2,25.2,25.7,7359810,25.7
CTG,2020-08-28,24.9,25.4,24.8,25.1,9589990,25.1
CTG,2020-08-27,24.6,25.05,24.6,24.75,3085280,24.75
CTG,2020-08-26,24.5,25.1,24.45,24.7,6796160,24.7
CTG,2020-08-25,24.55,24.85,24.4,24.7,5203350,24.7
CTG,2020-08-24,24.7,24.8,24.4,24.4,4407840,24.4
CTG,2020-08-21,23.5,24.4,23.5,24.3,9577820,24.3
CTG,2020-08-20,23.4,23.55,23.25,23.3,4210180,23.3
CTG,2020-08-19,23.2,23.5,23.15,23.3,2560050,23.3
CTG,2020-08-18,23.5,23.55,23.1,23.2,2681950,23.2
CTG,2020-08-17,23.5,23.55,23.15,23.5,2898140,23.5
CTG,2020-08-14,23.65,23.85,23.25,23.5,5238720,23.5
CTG,2020-08-13,23.8,23.9,23.7,23.75,5131270,23.75
CTG,2020-12-08,23.3,23.8,23.2,23.4,4361920,23.4
CTG,2020-11-08,23.25,23.3,22.8,23.2,3873130,23.2
CTG,2020-10-08,23.1,23.4,22.8,22.8,4070190,22.8
CTG,2020-07-08,22.6,22.9,22.45,22.75,3870640,22.75
CTG,2020-06-08,22.65,22.8,22.35,22.4,2859860,22.4
CTG,2020-05-08,22.1,22.7,22.0,22.65,4575550,22.65
CTG,2020-04-08,22.1,22.3,21.9,22.05,3115850,22.05
CTG,2020-03-08,21.2,21.8,21.15,21.75,2692490,21.75
CTG,2020-07-31,21.0,21.5,20.9,21.2,2928540,21.2
CTG,2020-07-30,21.05,21.45,21.0,21.35,2574820,21.35
CTG,2020-07-29,21.2,21.3,20.4,20.85,4708610,20.85
CTG,2020-07-28,21.15,21.8,21.0,21.7,4278520,21.7
