,name,date,open,high,low,close,volume,adj_close
924,DBD,2017-01-16,35.0,35.0,35.0,35.0,100,31.56
923,DBD,2017-01-17,40.2,40.2,39.0,40.2,207498,36.24
922,DBD,2017-01-18,42.0,42.0,40.1,40.5,67500,36.51
921,DBD,2017-01-19,40.7,40.7,39.0,39.0,19500,35.16
920,DBD,2017-01-20,38.0,40.0,37.0,39.0,18305,35.16
919,DBD,2017-01-23,38.9,39.0,37.0,38.8,21920,34.98
918,DBD,2017-01-24,38.1,39.0,37.1,39.0,39950,35.16
917,DBD,2017-01-25,40.0,40.0,39.5,40.0,34000,36.06
916,DBD,2017-02-02,40.0,43.8,40.0,40.6,45210,36.6
915,DBD,2017-02-03,41.6,44.0,41.6,42.0,9924,37.87
914,DBD,2017-02-06,42.2,43.8,41.0,41.5,18316,37.42
913,DBD,2017-02-07,41.1,42.0,41.1,42.0,2600,37.87
912,DBD,2017-02-08,41.0,42.6,41.0,41.2,15260,37.15
911,DBD,2017-02-09,41.7,41.7,41.2,41.2,13700,37.15
910,DBD,2017-02-10,41.0,41.0,39.0,39.1,25200,35.25
909,DBD,2017-02-13,41.5,41.5,39.0,39.5,12320,35.61
908,DBD,2017-02-14,39.1,39.2,39.1,39.2,1500,35.34
907,DBD,2017-02-15,41.0,41.0,39.1,39.3,14484,35.43
906,DBD,2017-02-16,39.4,40.1,39.4,40.1,6435,36.15
905,DBD,2017-02-17,39.6,39.7,39.6,39.7,1200,35.79
904,DBD,2017-02-20,39.6,39.6,39.6,39.6,0,35.7
903,DBD,2017-02-21,38.1,39.5,38.1,39.0,6400,35.16
902,DBD,2017-02-22,38.5,38.6,38.4,38.6,8600,34.8
901,DBD,2017-02-23,39.0,39.0,38.6,38.6,9220,34.8
900,DBD,2017-02-24,38.8,39.2,38.8,39.0,13820,35.16
899,DBD,2017-02-27,37.5,39.0,37.5,37.5,3700,35.16
898,DBD,2017-02-28,37.5,38.9,37.5,38.5,8500,36.1
897,DBD,2017-03-01,35.0,38.0,35.0,38.0,18120,35.63
896,DBD,2017-03-02,37.3,37.9,37.2,37.9,11000,35.54
895,DBD,2017-03-03,37.6,37.9,37.6,37.9,31400,35.54
894,DBD,2017-03-06,38.0,38.0,37.6,37.6,800,35.26
893,DBD,2017-03-07,37.9,37.9,37.5,37.7,3500,35.35
892,DBD,2017-03-08,37.0,37.0,36.0,36.2,15100,33.94
891,DBD,2017-03-09,36.0,36.7,36.0,36.6,10400,34.32
890,DBD,2017-03-10,36.4,36.4,36.4,36.6,11,34.32
889,DBD,2017-03-13,36.6,36.8,36.5,36.5,8864,34.23
888,DBD,2017-03-14,36.5,37.1,36.3,37.1,33150,34.79
887,DBD,2017-03-15,37.0,37.5,37.0,37.1,7030,34.79
886,DBD,2017-03-16,37.5,37.5,37.5,37.5,19518,35.16
885,DBD,2017-03-17,37.5,37.5,37.4,37.4,1500,35.07
884,DBD,2017-03-20,37.0,37.5,37.0,37.0,7670,34.69
883,DBD,2017-03-21,37.4,37.4,37.1,37.2,900,34.88
882,DBD,2017-03-22,38.0,38.0,37.3,37.3,8600,34.98
881,DBD,2017-03-23,37.9,37.9,37.3,37.4,8900,35.07
880,DBD,2017-03-24,37.3,37.3,32.0,35.3,12900,33.1
879,DBD,2017-03-27,38.9,38.9,37.0,37.7,27200,35.35
878,DBD,2017-03-28,37.3,37.3,37.2,37.3,6400,34.98
877,DBD,2017-03-29,36.6,37.2,36.6,37.0,13500,34.69
876,DBD,2017-03-30,37.9,37.9,37.1,37.6,40800,35.26
875,DBD,2017-03-31,37.3,37.3,36.7,37.0,7000,34.69
874,DBD,2017-04-03,37.1,37.6,37.0,37.1,18700,34.79
873,DBD,2017-04-04,37.1,37.6,37.0,37.6,17172,35.26
872,DBD,2017-04-05,37.4,37.4,37.4,37.4,2800,35.07
871,DBD,2017-04-07,37.1,37.5,37.1,37.5,23400,35.16
870,DBD,2017-04-10,37.5,37.5,37.4,37.5,8150,35.16
869,DBD,2017-04-11,37.5,37.6,37.4,37.4,16100,35.07
868,DBD,2017-04-12,37.4,37.6,37.4,37.6,25728,35.26
867,DBD,2017-04-13,37.7,37.7,37.5,37.6,30420,35.26
866,DBD,2017-04-14,37.8,37.8,37.5,37.6,24900,35.26
865,DBD,2017-04-17,37.6,37.6,37.4,37.4,17200,35.07
864,DBD,2017-04-18,37.2,37.5,37.2,37.5,19064,35.16
863,DBD,2017-04-19,37.6,37.6,37.6,37.6,500,35.26
862,DBD,2017-04-20,37.5,37.6,37.5,37.6,7600,35.26
861,DBD,2017-04-21,37.5,37.5,37.5,37.5,6214,35.16
860,DBD,2017-04-24,37.4,37.4,37.4,37.4,14800,35.07
859,DBD,2017-04-25,37.4,37.7,37.4,37.6,22814,35.26
858,DBD,2017-04-26,37.7,37.7,37.6,37.6,12800,35.26
857,DBD,2017-04-27,37.6,37.6,37.6,37.6,9000,35.26
856,DBD,2017-04-28,37.5,37.6,37.5,37.5,14500,35.16
855,DBD,2017-05-03,37.5,37.5,37.4,37.5,19800,35.16
854,DBD,2017-05-04,37.4,37.5,37.4,37.4,7700,35.07
853,DBD,2017-05-05,37.4,37.5,37.4,37.4,10800,35.07
852,DBD,2017-05-08,37.4,37.4,37.3,37.3,7700,34.98
851,DBD,2017-05-09,37.3,37.4,37.3,37.3,7100,34.98
850,DBD,2017-05-10,37.3,37.4,37.3,37.3,12100,34.98
849,DBD,2017-05-11,37.3,37.4,37.3,37.4,5800,35.07
848,DBD,2017-05-12,37.3,37.4,37.2,37.3,4200,34.98
847,DBD,2017-05-15,37.2,37.3,37.2,37.3,13200,34.98
846,DBD,2017-05-16,37.4,37.4,37.2,37.2,12600,34.88
845,DBD,2017-05-17,37.1,37.1,37.0,37.1,21200,34.79
844,DBD,2017-05-18,37.2,37.2,37.0,37.0,11300,34.69
843,DBD,2017-05-19,37.0,37.0,37.0,37.0,5400,34.69
842,DBD,2017-05-22,37.0,37.0,36.8,36.8,7100,34.51
841,DBD,2017-05-23,36.9,36.9,36.5,36.5,7000,34.23
840,DBD,2017-05-24,36.6,36.6,36.5,36.5,2500,34.23
839,DBD,2017-05-25,36.5,37.5,36.5,37.4,34100,35.07
838,DBD,2017-05-26,37.3,38.7,37.3,38.5,57759,36.1
837,DBD,2017-05-29,39.5,39.5,38.9,39.0,9605,36.57
836,DBD,2017-05-30,38.7,38.7,38.0,38.0,14300,35.63
835,DBD,2017-05-31,38.0,38.0,37.6,37.9,16256,35.54
834,DBD,2017-06-01,38.3,39.0,38.1,38.1,8890,35.73
833,DBD,2017-06-02,38.4,38.5,38.0,38.5,14000,36.1
832,DBD,2017-06-05,38.0,38.2,38.0,38.0,30477,35.63
831,DBD,2017-06-06,37.6,38.0,37.6,37.9,9104,35.54
830,DBD,2017-06-07,37.7,38.1,37.7,38.0,17706,35.63
829,DBD,2017-06-08,38.1,38.1,37.8,37.9,13119,35.54
828,DBD,2017-06-09,38.0,38.0,37.6,38.0,11800,35.63
827,DBD,2017-06-12,37.7,37.7,37.1,37.7,26401,35.35
826,DBD,2017-06-13,37.5,37.9,37.3,37.9,33400,35.54
825,DBD,2017-06-14,37.7,38.1,37.6,38.1,64900,35.73
824,DBD,2017-06-16,38.1,38.2,38.0,38.1,7000,35.73
823,DBD,2017-06-19,38.0,38.1,37.7,38.0,45441,35.63
822,DBD,2017-06-20,37.9,38.2,37.9,38.1,19100,35.73
821,DBD,2017-06-21,37.7,38.1,37.7,38.1,21600,35.73
820,DBD,2017-06-22,37.2,38.3,37.2,38.2,36800,35.82
819,DBD,2017-06-23,37.9,38.3,37.9,38.2,35100,35.82
818,DBD,2017-06-26,38.2,39.3,38.2,39.3,83400,36.85
817,DBD,2017-06-27,39.4,39.5,38.8,39.0,21515,36.57
816,DBD,2017-06-28,40.0,41.5,40.0,40.1,59800,37.6
815,DBD,2017-06-29,40.5,40.6,40.1,40.6,34220,38.07
814,DBD,2017-06-30,40.4,42.3,40.4,42.2,106900,39.57
813,DBD,2017-07-03,43.0,44.0,42.0,43.9,37900,41.16
812,DBD,2017-07-04,43.5,43.5,41.9,42.5,21400,39.85
811,DBD,2017-07-05,40.7,42.0,40.6,41.5,19000,38.91
810,DBD,2017-07-06,41.2,42.6,41.2,42.5,18000,39.85
809,DBD,2017-07-07,42.9,44.0,42.5,42.5,45900,39.85
808,DBD,2017-07-10,42.9,42.9,42.5,42.5,22000,39.85
807,DBD,2017-07-11,43.0,43.3,42.0,42.0,32320,39.38
806,DBD,2017-07-12,42.5,42.8,42.0,42.0,4100,39.38
805,DBD,2017-07-13,42.4,42.4,42.0,42.0,18100,39.38
804,DBD,2017-07-14,42.1,44.0,42.1,43.3,48100,40.6
803,DBD,2017-07-17,43.0,43.0,42.2,43.0,26100,40.32
802,DBD,2017-07-18,42.3,44.3,42.2,44.3,74940,41.54
801,DBD,2017-07-19,44.0,45.0,44.0,45.0,54467,42.2
800,DBD,2017-07-20,47.5,47.5,46.5,46.5,38920,43.6
799,DBD,2017-07-21,46.5,46.5,45.6,45.6,29730,42.76
798,DBD,2017-07-24,45.6,46.0,44.9,45.0,46040,42.2
797,DBD,2017-07-25,44.2,45.2,44.2,44.9,37300,42.1
796,DBD,2017-07-26,45.0,47.0,45.0,47.0,148137,44.07
795,DBD,2017-07-27,47.2,48.0,47.0,47.0,29700,44.07
794,DBD,2017-07-28,47.4,47.4,47.0,47.4,7810,44.45
793,DBD,2017-07-31,47.0,47.9,47.0,47.1,16041,44.17
792,DBD,2017-08-01,47.0,47.3,46.7,46.9,22700,43.98
791,DBD,2017-08-02,46.7,47.0,46.7,46.9,8300,43.98
790,DBD,2017-08-03,46.8,47.1,46.5,47.1,28920,44.17
789,DBD,2017-08-04,47.0,48.2,46.9,47.9,92300,44.92
788,DBD,2017-08-07,47.9,48.4,47.9,47.9,28007,44.92
787,DBD,2017-08-08,47.7,47.9,47.6,47.7,12000,44.73
786,DBD,2017-08-09,47.8,47.8,47.0,47.4,22100,44.45
785,DBD,2017-08-10,47.0,47.3,46.5,47.3,13802,44.35
784,DBD,2017-08-11,47.0,47.0,46.8,47.0,6000,44.07
783,DBD,2017-08-14,47.0,47.0,46.5,46.8,9400,43.88
782,DBD,2017-08-15,46.5,47.4,39.8,47.4,143600,44.45
781,DBD,2017-08-16,46.0,46.9,40.6,45.0,115900,42.2
780,DBD,2017-08-17,45.2,45.6,45.1,45.5,62400,42.67
779,DBD,2017-08-18,45.5,46.0,38.8,44.6,160100,41.82
778,DBD,2017-08-21,43.0,46.0,42.0,45.0,48600,42.2
777,DBD,2017-08-22,43.0,45.5,41.5,45.5,104310,42.67
776,DBD,2017-08-23,45.0,46.0,45.0,46.0,51012,43.13
775,DBD,2017-08-24,46.0,52.0,46.0,47.8,314190,44.82
774,DBD,2017-08-25,47.5,57.8,47.5,50.0,378671,46.88
773,DBD,2017-08-28,52.0,60.0,50.0,51.0,98427,47.82
